time,close
2024-03-11,16.19
2024-03-12,16.19
2024-03-13,16.74
2024-03-14,16.5
2024-03-15,16.56
2024-03-18,16.28
2024-03-19,16.25
2024-03-20,16.65
2024-03-21,16.95
2024-03-22,17.04
2024-03-25,16.65
2024-03-26,16.92
2024-03-27,16.95
2024-03-28,17.16
2024-03-29,17.25
2024-04-01,17.22
2024-04-02,17.19
2024-04-03,16.95
2024-04-04,16.68
2024-04-05,16.43
2024-04-08,16.43
2024-04-09,16.53
2024-04-10,16.4
2024-04-11,16.43
2024-04-12,16.95
2024-04-15,16.25
2024-04-16,16.43
2024-04-17,16.19
2024-04-19,16.1
2024-04-22,16.22
2024-04-23,16.13
2024-04-24,16.37
2024-04-25,16.22
2024-04-26,16.25
2024-05-02,16.34
2024-05-03,16.65
2024-05-06,16.71
2024-05-07,16.74
2024-05-08,16.68
2024-05-09,16.71
2024-05-10,16.77
2024-05-13,16.77
2024-05-14,16.8
2024-05-15,16.77
2024-05-16,17.1
2024-05-17,17.1
2024-05-20,17.1
2024-05-21,17.07
2024-05-22,16.92
2024-05-23,17.22
2024-05-24,17.71
2024-05-27,17.83
2024-05-28,17.95
2024-05-29,17.71
2024-05-30,17.8
2024-05-31,17.76
2024-06-03,17.87
2024-06-04,17.65
2024-06-05,17.55
2024-06-06,17.55
2024-06-07,17.73
2024-06-10,17.58
2024-06-11,17.4
2024-06-12,17.69
2024-06-13,17.87
2024-06-14,17.73
2024-06-17,17.69
2024-06-18,17.69
2024-06-19,17.76
2024-06-20,17.87
2024-06-21,17.69
2024-06-24,17.36
2024-06-25,17.33
2024-06-26,17.36
2024-06-27,17.26
2024-06-28,17.15
2024-07-01,17.15
2024-07-02,17.33
2024-07-03,17.47
2024-07-04,17.4
2024-07-05,17.51
2024-07-08,17.47
2024-07-09,17.51
2024-07-10,17.47
2024-07-11,17.4
2024-07-12,17.29
2024-07-15,17.26
2024-07-16,17.36
2024-07-17,17.65
2024-07-18,17.87
2024-07-19,18.08
2024-07-22,17.83
2024-07-23,17.29
2024-07-24,17.44
2024-07-25,17.33
2024-07-26,17.36
2024-07-29,17.4
2024-07-30,17.4
2024-07-31,17.69
2024-08-01,17.26
2024-08-02,17.26
2024-08-05,16.72
2024-08-06,16.93
2024-08-07,16.86
2024-08-08,16.75
2024-08-09,17.0
2024-08-12,17.15
2024-08-13,17.0
2024-08-14,16.97
2024-08-15,16.93
2024-08-16,17.29
2024-08-19,17.33
2024-08-20,17.36
2024-08-21,17.58
2024-08-22,17.58
2024-08-23,17.62
2024-08-26,17.62
2024-08-27,17.62
2024-08-28,17.65
2024-08-29,17.76
2024-08-30,17.87
2024-09-04,17.76
2024-09-05,17.65
2024-09-06,17.73
2024-09-09,17.62
2024-09-10,17.47
2024-09-11,17.4
2024-09-12,17.62
2024-09-13,17.58
2024-09-16,17.4
2024-09-17,17.65
2024-09-18,17.76
2024-09-19,17.87
2024-09-20,18.48
2024-09-23,18.48
2024-09-24,18.59
2024-09-25,18.88
2024-09-26,18.73
2024-09-27,18.66
2024-09-30,18.55
2024-10-01,18.55
2024-10-02,18.59
2024-10-03,18.52
2024-10-04,18.3
2024-10-07,18.34
2024-10-08,18.37
2024-10-09,18.91
2024-10-10,18.88
2024-10-11,18.81
2024-10-14,18.7
2024-10-15,18.62
2024-10-16,18.55
2024-10-17,18.84
2024-10-18,18.81
2024-10-21,18.59
2024-10-22,18.3
2024-10-23,18.3
2024-10-24,18.01
2024-10-25,17.94
2024-10-28,18.12
2024-10-29,18.16
2024-10-30,18.08
2024-10-31,18.3
2024-11-01,17.94
