time,close
2024-03-11,51.09
2024-03-12,52.55
2024-03-13,54.67
2024-03-14,54.37
2024-03-15,54.31
2024-03-18,52.61
2024-03-19,51.64
2024-03-20,53.16
2024-03-21,52.55
2024-03-22,52.0
2024-03-25,50.97
2024-03-26,51.33
2024-03-27,51.21
2024-03-28,51.51
2024-03-29,51.51
2024-04-01,51.45
2024-04-02,51.03
2024-04-03,51.09
2024-04-04,50.91
2024-04-05,51.58
2024-04-08,51.27
2024-04-09,51.27
2024-04-10,51.82
2024-04-11,51.21
2024-04-12,51.58
2024-04-15,51.64
2024-04-16,52.55
2024-04-17,51.94
2024-04-19,51.27
2024-04-22,51.21
2024-04-23,50.97
2024-04-24,50.36
2024-04-25,49.69
2024-04-26,50.66
2024-05-02,54.67
2024-05-03,57.35
2024-05-06,59.66
2024-05-07,59.47
2024-05-08,60.02
2024-05-09,60.63
2024-05-10,60.69
2024-05-13,58.38
2024-05-14,59.84
2024-05-15,59.47
2024-05-16,59.47
2024-05-17,60.14
2024-05-20,60.51
2024-05-21,59.23
2024-05-22,59.59
2024-05-23,60.75
2024-05-24,59.53
2024-05-27,59.84
2024-05-28,61.84
2024-05-29,62.57
2024-05-30,61.05
2024-05-31,62.87
2024-06-03,67.98
2024-06-04,70.47
2024-06-05,68.65
2024-06-06,69.44
2024-06-07,70.47
2024-06-10,74.05
2024-06-11,73.63
2024-06-12,75.02
2024-06-13,82.38
2024-06-14,78.55
2024-06-17,79.95
2024-06-18,79.7
2024-06-19,80.13
2024-06-20,81.65
2024-06-21,82.19
2024-06-24,77.52
2024-06-25,76.54
2024-06-26,77.76
2024-06-27,76.24
2024-06-28,74.11
2024-07-01,72.11
2024-07-02,72.84
2024-07-03,71.08
2024-07-04,73.57
2024-07-05,75.63
2024-07-08,75.94
2024-07-09,74.72
2024-07-10,72.9
2024-07-11,73.51
2024-07-12,73.38
2024-07-15,71.99
2024-07-16,70.47
2024-07-17,69.07
2024-07-18,67.37
2024-07-19,66.16
2024-07-22,65.61
2024-07-23,65.18
2024-07-24,65.61
2024-07-25,67.92
2024-07-26,69.92
2024-07-29,71.38
2024-07-30,71.68
2024-07-31,70.41
2024-08-01,68.65
2024-08-02,69.5
2024-08-05,65.0
2024-08-06,61.96
2024-08-07,61.78
2024-08-08,62.87
2024-08-09,66.76
2024-08-12,66.58
2024-08-13,66.03
2024-08-14,66.22
2024-08-15,65.0
2024-08-16,66.52
2024-08-19,68.34
2024-08-20,69.19
2024-08-21,69.19
2024-08-22,69.07
2024-08-23,68.04
2024-08-26,66.76
2024-08-27,66.82
2024-08-28,66.76
2024-08-29,66.7
2024-08-30,66.82
2024-09-04,66.46
2024-09-05,65.61
2024-09-06,65.0
2024-09-09,64.39
2024-09-10,64.7
2024-09-11,65.37
2024-09-12,65.0
2024-09-13,64.94
2024-09-16,64.94
2024-09-17,64.45
2024-09-18,64.58
2024-09-19,64.45
2024-09-20,65.61
2024-09-23,64.76
2024-09-24,64.45
2024-09-25,64.39
2024-09-26,64.21
2024-09-27,63.85
2024-09-30,63.06
2024-10-01,63.06
2024-10-02,62.39
2024-10-03,62.51
2024-10-04,61.96
2024-10-07,61.96
2024-10-08,63.0
2024-10-09,66.22
2024-10-10,65.61
2024-10-11,68.89
2024-10-14,68.65
2024-10-15,69.13
2024-10-16,70.16
2024-10-17,69.92
2024-10-18,70.29
2024-10-21,70.16
2024-10-22,69.25
2024-10-23,69.44
2024-10-24,71.08
2024-10-25,71.5
2024-10-28,70.1
2024-10-29,71.68
