time,close
2024-03-11,7.73
2024-03-12,7.63
2024-03-13,7.84
2024-03-14,7.75
2024-03-15,7.74
2024-03-18,7.84
2024-03-19,8.05
2024-03-20,8.0
2024-03-21,8.13
2024-03-22,8.03
2024-03-25,8.17
2024-03-26,8.16
2024-03-27,8.15
2024-03-28,8.1
2024-03-29,8.0
2024-04-01,8.05
2024-04-02,8.29
2024-04-03,8.2
2024-04-04,8.07
2024-04-05,7.93
2024-04-08,8.0
2024-04-09,8.08
2024-04-10,8.0
2024-04-11,7.93
2024-04-12,7.99
2024-04-15,7.43
2024-04-16,7.13
2024-04-17,7.0
2024-04-19,7.13
2024-04-22,7.25
2024-04-23,7.26
2024-04-24,7.42
2024-04-25,7.32
2024-04-26,7.32
2024-05-02,7.57
2024-05-03,7.48
2024-05-06,7.67
2024-05-07,7.65
2024-05-08,7.79
2024-05-09,7.65
2024-05-10,7.59
2024-05-13,7.68
2024-05-14,7.62
2024-05-15,7.71
2024-05-16,7.72
2024-05-17,7.83
2024-05-20,8.17
2024-05-21,8.11
2024-05-22,8.11
2024-05-23,8.02
2024-05-24,7.72
2024-05-27,7.84
2024-05-28,7.92
2024-05-29,8.46
2024-05-30,8.71
2024-05-31,8.71
2024-06-03,8.66
2024-06-04,8.63
2024-06-05,9.01
2024-06-06,8.81
2024-06-07,8.73
2024-06-10,8.68
2024-06-11,8.52
2024-06-12,8.55
2024-06-13,8.52
2024-06-14,8.0
2024-06-17,8.12
2024-06-18,8.2
2024-06-19,8.31
2024-06-20,8.13
2024-06-21,8.09
2024-06-24,7.86
2024-06-25,7.82
2024-06-26,7.88
2024-06-27,7.84
2024-06-28,7.59
2024-07-01,7.68
2024-07-02,7.72
2024-07-03,7.72
2024-07-04,7.83
2024-07-05,7.77
2024-07-08,7.81
2024-07-09,8.03
2024-07-10,7.94
2024-07-11,7.94
2024-07-12,7.85
2024-07-15,7.88
2024-07-16,7.72
2024-07-17,7.27
2024-07-18,7.39
2024-07-19,7.3
2024-07-22,7.18
2024-07-23,6.82
2024-07-24,6.98
2024-07-25,6.93
2024-07-26,7.1
2024-07-29,6.91
2024-07-30,6.96
2024-07-31,6.97
2024-08-01,6.8
2024-08-02,6.78
2024-08-05,6.31
2024-08-06,6.39
2024-08-07,6.39
2024-08-08,6.48
2024-08-09,6.55
2024-08-12,6.45
2024-08-13,6.42
2024-08-14,6.39
2024-08-15,6.28
2024-08-16,6.69
2024-08-19,6.73
2024-08-20,6.87
2024-08-21,6.81
2024-08-22,6.76
2024-08-23,6.74
2024-08-26,6.83
2024-08-27,6.79
2024-08-28,6.74
2024-08-29,6.67
2024-08-30,6.66
2024-09-04,6.61
2024-09-05,6.6
2024-09-06,6.54
2024-09-09,6.42
2024-09-10,6.41
2024-09-11,6.34
2024-09-12,6.35
2024-09-13,6.4
2024-09-16,6.36
2024-09-17,6.44
2024-09-18,6.43
2024-09-19,6.44
2024-09-20,6.42
2024-09-23,6.35
2024-09-24,6.36
2024-09-25,6.57
2024-09-26,6.56
2024-09-27,6.6
2024-09-30,6.54
2024-10-01,6.6
2024-10-02,6.46
2024-10-03,6.35
2024-10-04,6.3
2024-10-07,6.34
2024-10-08,6.32
2024-10-09,6.38
2024-10-10,6.37
2024-10-11,6.39
2024-10-14,6.33
2024-10-15,6.22
2024-10-16,6.17
2024-10-17,6.18
2024-10-18,6.14
2024-10-21,6.08
2024-10-22,6.1
2024-10-23,6.29
2024-10-24,6.22
2024-10-25,6.19
2024-10-28,6.12
2024-10-29,6.19
2024-10-30,6.28
2024-10-31,6.37
2024-11-01,6.7
2024-11-04,6.56
2024-11-05,6.5
2024-11-06,6.47
2024-11-07,6.53
2024-11-08,6.65
2024-11-11,6.66
2024-11-12,6.47
2024-11-13,6.28
2024-11-14,6.2
2024-11-15,6.26
2024-11-18,6.36
2024-11-19,6.2
2024-11-20,6.31
2024-11-21,6.27
2024-11-22,6.27
2024-11-25,6.36
2024-11-26,6.44
2024-11-27,6.41
2024-11-28,6.41
2024-11-29,6.33
2024-12-02,6.29
2024-12-03,6.22
2024-12-04,6.19
2024-12-05,6.3
2024-12-06,6.4
2024-12-09,6.52
2024-12-10,6.4
2024-12-11,6.45
2024-12-12,6.58
2024-12-13,6.48
2024-12-16,6.4
2024-12-17,6.39
2024-12-18,6.45
2024-12-19,6.32
2024-12-20,6.35
2024-12-23,6.35
2024-12-24,6.27
2024-12-25,6.4
2024-12-26,6.5
2024-12-27,6.42
2024-12-30,6.35
2024-12-31,6.36
2025-01-02,6.33
2025-01-03,6.25
2025-01-06,6.13
2025-01-07,6.11
2025-01-08,6.14
2025-01-09,6.16
2025-01-10,6.06
2025-01-13,5.92
2025-01-14,5.7
2025-01-15,5.8
2025-01-16,5.83
2025-01-17,5.84
2025-01-20,5.84
2025-01-21,5.78
2025-01-22,5.75
2025-01-23,5.77
2025-01-24,5.82
2025-02-03,5.97
2025-02-04,6.05
2025-02-05,6.09
2025-02-06,6.05
2025-02-07,6.09
2025-02-10,5.97
2025-02-11,6.06
2025-02-12,6.09
2025-02-13,6.08
2025-02-14,5.96
2025-02-17,6.17
2025-02-18,6.12
2025-02-19,6.27
2025-02-20,6.18
2025-02-21,6.16
2025-02-24,6.13
2025-02-25,6.15
2025-02-26,5.87
2025-02-27,5.73
2025-02-28,5.76
2025-03-03,5.36
2025-03-04,4.99
2025-03-05,4.65
2025-03-06,4.36
2025-03-07,4.14
2025-03-10,3.97
2025-03-11,4.1
2025-03-12,4.03
2025-03-13,3.86
2025-03-14,3.86
2025-03-17,3.92
2025-03-18,4.01
