time,close
2024-03-11,8.93
2024-03-12,8.93
2024-03-13,9.71
2024-03-14,9.79
2024-03-15,9.79
2024-03-18,9.24
2024-03-19,9.32
2024-03-20,9.48
2024-03-21,9.55
2024-03-22,9.71
2024-03-25,9.48
2024-03-26,9.55
2024-03-27,9.55
2024-03-28,9.63
2024-03-29,9.48
2024-04-01,9.4
2024-04-02,9.48
2024-04-03,9.4
2024-04-04,9.4
2024-04-05,8.93
2024-04-08,8.86
2024-04-09,9.09
2024-04-10,8.93
2024-04-11,8.86
2024-04-12,9.01
2024-04-15,8.0
2024-04-16,8.08
2024-04-17,7.69
2024-04-19,7.22
2024-04-22,7.69
2024-04-23,7.38
2024-04-24,7.77
2024-04-25,7.69
2024-04-26,7.53
2024-05-02,7.46
2024-05-03,7.38
2024-05-06,7.77
2024-05-07,7.69
2024-05-08,7.77
2024-05-09,8.08
2024-05-10,8.0
2024-05-13,8.08
2024-05-14,8.0
2024-05-15,8.16
2024-05-16,8.47
2024-05-17,8.39
2024-05-20,8.31
2024-05-21,8.23
2024-05-22,8.31
2024-05-23,8.16
2024-05-24,8.0
2024-05-27,8.0
2024-05-28,8.16
2024-05-29,8.23
2024-05-30,8.23
2024-05-31,8.16
2024-06-03,8.31
2024-06-04,8.16
2024-06-05,8.39
2024-06-06,8.78
2024-06-07,9.17
2024-06-10,9.32
2024-06-11,9.09
2024-06-12,9.32
2024-06-13,9.24
2024-06-14,8.78
2024-06-17,8.7
2024-06-18,8.96
2024-06-19,8.78
2024-06-20,8.78
2024-06-21,8.78
2024-06-24,8.36
2024-06-25,8.36
2024-06-26,8.27
2024-06-27,8.36
2024-06-28,8.27
2024-07-01,8.44
2024-07-02,8.36
2024-07-03,8.36
2024-07-04,8.36
2024-07-05,8.27
2024-07-08,8.36
2024-07-09,8.53
2024-07-10,8.36
2024-07-11,8.53
2024-07-12,8.53
2024-07-15,8.44
2024-07-16,8.44
2024-07-17,8.27
2024-07-18,8.02
2024-07-19,7.68
2024-07-22,7.42
2024-07-23,7.34
2024-07-24,7.34
2024-07-25,7.34
2024-07-26,7.51
2024-07-29,7.59
2024-07-30,7.51
2024-07-31,7.51
2024-08-01,6.99
2024-08-02,7.08
2024-08-05,6.57
2024-08-06,6.91
2024-08-07,6.99
2024-08-08,6.91
2024-08-09,7.42
2024-08-12,7.25
2024-08-13,6.99
2024-08-14,7.08
2024-08-15,6.82
2024-08-16,7.42
2024-08-19,7.42
2024-08-20,7.42
2024-08-21,7.51
2024-08-22,7.42
2024-08-23,7.51
2024-08-26,7.51
2024-08-27,7.42
2024-08-28,7.42
2024-08-29,7.42
2024-08-30,7.34
2024-09-04,7.25
2024-09-05,7.16
2024-09-06,7.16
2024-09-09,7.16
2024-09-10,6.99
2024-09-11,6.91
2024-09-12,6.99
2024-09-13,7.08
2024-09-16,7.08
2024-09-17,7.08
2024-09-18,7.25
2024-09-19,7.76
2024-09-20,7.68
2024-09-23,7.51
2024-09-24,7.76
2024-09-25,7.85
2024-09-26,7.85
2024-09-27,7.76
2024-09-30,7.76
2024-10-01,8.02
2024-10-02,8.19
2024-10-03,8.27
2024-10-04,8.27
2024-10-07,8.27
2024-10-08,8.19
2024-10-09,8.1
2024-10-10,8.02
2024-10-11,8.1
2024-10-14,7.85
2024-10-15,8.1
2024-10-16,8.02
2024-10-17,8.1
2024-10-18,8.1
2024-10-21,8.02
2024-10-22,8.02
2024-10-23,7.93
2024-10-24,7.93
2024-10-25,7.93
2024-10-28,7.93
2024-10-29,7.85
2024-10-30,7.93
2024-10-31,7.85
2024-11-01,7.68
2024-11-04,7.85
2024-11-05,7.68
2024-11-06,7.76
2024-11-07,7.85
2024-11-08,7.76
2024-11-11,7.76
2024-11-12,7.76
2024-11-13,7.93
2024-11-14,7.85
2024-11-15,7.59
2024-11-18,7.76
2024-11-19,7.76
2024-11-20,7.85
2024-11-21,7.85
2024-11-22,7.76
2024-11-25,7.85
2024-11-26,7.85
2024-11-27,7.85
2024-11-28,7.93
2024-11-29,7.85
2024-12-02,7.93
2024-12-03,8.78
2024-12-04,8.7
2024-12-05,9.13
2024-12-06,8.87
2024-12-09,8.87
2024-12-10,8.78
2024-12-11,8.87
2024-12-12,9.04
2024-12-13,8.96
2024-12-16,8.87
2024-12-17,9.04
2024-12-18,9.13
2024-12-19,8.87
2024-12-20,8.87
2024-12-23,9.47
2024-12-24,9.38
2024-12-25,9.38
2024-12-26,9.55
2024-12-27,9.38
2024-12-30,9.3
2024-12-31,9.38
2025-01-02,9.13
2025-01-03,9.04
2025-01-06,8.78
2025-01-07,9.04
2025-01-08,9.04
2025-01-09,9.04
2025-01-10,9.04
2025-01-13,8.96
2025-01-14,8.96
2025-01-15,9.04
2025-01-16,9.38
2025-01-17,9.72
2025-01-20,9.64
2025-01-21,9.47
2025-01-22,9.55
2025-01-23,9.64
2025-01-24,9.81
2025-02-03,10.06
2025-02-04,9.89
2025-02-05,9.81
2025-02-06,9.89
2025-02-07,9.98
2025-02-10,10.06
2025-02-11,10.15
2025-02-12,10.06
2025-02-13,9.72
2025-02-14,9.81
2025-02-17,9.98
2025-02-18,9.98
2025-02-19,10.24
2025-02-20,10.58
2025-02-21,10.32
2025-02-24,10.83
2025-02-25,10.75
2025-02-26,10.92
2025-02-27,10.75
2025-02-28,10.58
2025-03-03,9.89
2025-03-04,9.72
2025-03-05,9.72
2025-03-06,10.06
2025-03-07,10.15
2025-03-10,10.06
2025-03-11,10.15
2025-03-12,10.06
2025-03-13,9.98
2025-03-14,9.81
2025-03-17,9.98
2025-03-18,9.98
2025-03-19,9.98
2025-03-20,9.98
2025-03-21,9.98
2025-03-24,10.06
2025-03-25,10.06
2025-03-26,9.98
2025-03-27,10.06
2025-03-28,9.81
2025-03-31,9.72
2025-04-01,9.89
2025-04-02,9.98
2025-04-03,8.87
2025-04-04,8.87
2025-04-08,8.53
2025-04-09,8.19
2025-04-10,9.47
2025-04-11,9.38
2025-04-14,9.38
2025-04-15,9.3
2025-04-16,9.13
2025-04-17,9.3
2025-04-18,9.21
2025-04-21,9.04
2025-04-22,8.53
2025-04-23,8.87
2025-04-24,9.04
2025-04-25,9.13
2025-04-28,9.38
2025-04-29,9.72
2025-05-05,9.98
2025-05-06,9.89
2025-05-07,9.81
2025-05-08,9.98
2025-05-09,10.15
2025-05-12,10.15
2025-05-13,10.24
2025-05-14,10.15
2025-05-15,10.06
2025-05-16,10.15
2025-05-19,10.15
2025-05-20,10.58
2025-05-21,10.66
2025-05-22,10.49
2025-05-23,10.49
2025-05-26,10.49
2025-05-27,10.4
2025-05-28,10.32
2025-05-29,10.5
2025-05-30,10.31
2025-06-02,10.4
2025-06-03,10.69
2025-06-04,10.69
2025-06-05,10.6
2025-06-06,10.4
2025-06-09,10.4
2025-06-10,10.4
2025-06-11,10.4
2025-06-12,10.5
2025-06-13,10.31
2025-06-16,10.5
2025-06-17,10.88
2025-06-18,10.69
2025-06-19,10.69
2025-06-20,10.69
2025-06-23,10.6
2025-06-24,10.6
2025-06-25,10.69
2025-06-26,10.5
2025-06-27,10.5
2025-06-30,10.5
2025-07-01,10.5
2025-07-02,10.88
2025-07-03,10.78
2025-07-04,10.78
2025-07-07,11.26
2025-07-08,11.45
2025-07-09,11.35
2025-07-10,11.16
2025-07-11,11.26
2025-07-14,11.45
2025-07-15,11.92
2025-07-16,12.11
2025-07-17,12.01
2025-07-18,12.3
2025-07-21,12.2
2025-07-22,12.68
2025-07-23,12.49
2025-07-24,12.3
2025-07-25,12.68
2025-07-28,13.72
2025-07-29,12.58
2025-07-30,12.58
2025-07-31,12.68
2025-08-01,12.58
2025-08-04,12.68
2025-08-05,12.68
2025-08-06,12.96
2025-08-07,12.77
2025-08-08,12.58
2025-08-11,12.68
2025-08-12,12.68
2025-08-13,13.05
2025-08-14,13.43
2025-08-15,12.96
2025-08-18,13.15
2025-08-19,13.24
2025-08-20,12.96
2025-08-21,13.62
2025-08-22,14.1
2025-08-25,13.53
2025-08-26,13.81
2025-08-27,13.72
2025-08-28,14.47
2025-08-29,14.38
2025-09-03,14.1
2025-09-04,14.1
2025-09-05,14.0
2025-09-08,13.15
2025-09-09,13.34
2025-09-10,13.15
2025-09-11,13.15
2025-09-12,13.05
2025-09-15,13.24
2025-09-16,13.05
2025-09-17,13.05
2025-09-18,12.86
2025-09-19,12.68
2025-09-22,12.68
2025-09-23,12.49
2025-09-24,12.96
2025-09-25,12.77
2025-09-26,12.68
2025-09-29,12.68
2025-09-30,12.68
2025-10-01,13.05
2025-10-02,12.96
2025-10-03,13.05
2025-10-06,13.53
2025-10-07,13.43
2025-10-08,13.34
2025-10-09,13.24
2025-10-10,13.43
