time,close
2024-03-11,43.24
2024-03-12,43.99
2024-03-13,46.09
2024-03-14,45.04
2024-03-15,45.79
2024-03-18,43.54
2024-03-19,43.17
2024-03-20,44.14
2024-03-21,44.29
2024-03-22,46.92
2024-03-25,46.02
2024-03-26,46.54
2024-03-27,46.62
2024-03-28,48.05
2024-03-29,47.44
2024-04-01,47.6
2024-04-02,47.67
2024-04-03,48.05
2024-04-04,48.42
2024-04-05,46.84
2024-04-08,44.37
2024-04-09,45.72
2024-04-10,45.04
2024-04-11,45.79
2024-04-12,47.14
2024-04-15,43.92
2024-04-16,42.79
2024-04-17,40.16
2024-04-19,37.39
2024-04-22,39.56
2024-04-23,38.06
2024-04-24,39.56
2024-04-25,38.89
2024-04-26,38.44
2024-05-02,37.99
2024-05-03,38.29
2024-05-06,40.91
2024-05-07,41.74
2024-05-08,41.74
2024-05-09,40.99
2024-05-10,41.66
2024-05-13,41.59
2024-05-14,41.82
2024-05-15,43.02
2024-05-16,43.24
2024-05-17,43.69
2024-05-20,43.54
2024-05-21,44.14
2024-05-22,44.74
2024-05-23,44.97
2024-05-24,42.87
2024-05-27,43.09
2024-05-28,43.92
2024-05-29,43.77
2024-05-30,43.32
2024-05-31,43.54
2024-06-03,44.59
2024-06-04,44.44
2024-06-05,44.44
2024-06-06,43.84
2024-06-07,43.77
2024-06-10,44.07
2024-06-11,45.34
2024-06-12,45.64
2024-06-13,45.19
2024-06-14,43.54
2024-06-17,43.02
2024-06-18,43.17
2024-06-19,43.09
2024-06-20,42.64
2024-06-21,42.26
2024-06-24,39.34
2024-06-25,39.71
2024-06-26,39.49
2024-06-27,39.04
2024-06-28,38.14
2024-07-01,39.04
2024-07-02,39.41
2024-07-03,39.56
2024-07-04,39.71
2024-07-05,39.26
2024-07-08,39.34
2024-07-09,40.86
2024-07-10,40.16
2024-07-11,40.37
2024-07-12,40.0
2024-07-15,39.87
2024-07-16,39.79
2024-07-17,38.22
2024-07-18,39.21
2024-07-19,38.26
2024-07-22,36.36
2024-07-23,33.85
2024-07-24,34.67
2024-07-25,35.5
2024-07-26,35.38
2024-07-29,35.75
2024-07-30,35.21
2024-07-31,35.5
2024-08-01,33.27
2024-08-02,35.58
2024-08-05,35.75
2024-08-06,38.22
2024-08-07,38.8
2024-08-08,37.81
2024-08-09,40.08
2024-08-12,40.04
2024-08-13,39.54
2024-08-14,38.47
2024-08-15,38.68
2024-08-16,41.36
2024-08-19,41.15
2024-08-20,41.11
2024-08-21,40.95
2024-08-22,41.36
2024-08-23,41.61
2024-08-26,41.15
2024-08-27,40.86
2024-08-28,40.29
2024-08-29,40.49
2024-08-30,40.58
2024-09-04,40.66
2024-09-05,40.29
2024-09-06,40.12
2024-09-09,39.46
2024-09-10,38.43
2024-09-11,38.8
2024-09-12,38.8
2024-09-13,39.17
2024-09-16,38.55
2024-09-17,39.38
2024-09-18,39.96
2024-09-19,40.41
2024-09-20,39.96
2024-09-23,40.33
2024-09-24,40.62
2024-09-25,41.07
2024-09-26,40.78
2024-09-27,40.62
2024-09-30,41.03
2024-10-01,42.93
2024-10-02,42.6
2024-10-03,42.02
2024-10-04,42.35
2024-10-07,43.09
2024-10-08,41.77
2024-10-09,42.35
2024-10-10,41.86
2024-10-11,42.1
2024-10-14,42.19
2024-10-15,41.86
2024-10-16,42.1
2024-10-17,42.6
2024-10-18,42.27
2024-10-21,41.03
2024-10-22,40.04
2024-10-23,40.12
2024-10-24,39.26
2024-10-25,38.8
2024-10-28,39.46
2024-10-29,39.63
2024-10-30,39.26
2024-10-31,39.46
2024-11-01,38.88
2024-11-04,39.46
2024-11-05,39.34
2024-11-06,39.96
2024-11-07,39.54
2024-11-08,39.83
2024-11-11,39.63
2024-11-12,39.38
2024-11-13,39.38
2024-11-14,36.7
2024-11-15,35.75
2024-11-18,36.86
2024-11-19,35.91
2024-11-20,36.82
2024-11-21,36.78
2024-11-22,36.2
2024-11-25,36.2
2024-11-26,36.49
2024-11-27,36.24
2024-11-28,36.2
2024-11-29,37.15
2024-12-02,37.03
2024-12-03,36.32
2024-12-04,35.54
2024-12-05,38.02
2024-12-06,38.18
2024-12-09,37.98
2024-12-10,38.22
2024-12-11,39.21
2024-12-12,39.26
2024-12-13,39.38
2024-12-16,39.79
2024-12-17,39.79
2024-12-18,39.63
2024-12-19,39.46
2024-12-20,39.63
2024-12-23,39.79
2024-12-24,39.63
