time,close
2024-03-11,41.53
2024-03-12,41.58
2024-03-13,42.15
2024-03-14,41.82
2024-03-15,41.29
2024-03-18,40.23
2024-03-19,40.23
2024-03-20,40.47
2024-03-21,41.0
2024-03-22,40.71
2024-03-25,41.0
2024-03-26,41.1
2024-03-27,41.48
2024-03-28,41.48
2024-03-29,40.95
2024-04-01,40.62
2024-04-02,40.62
2024-04-03,40.52
2024-04-04,40.33
2024-04-05,39.95
2024-04-08,39.8
2024-04-09,39.8
2024-04-10,39.8
2024-04-11,39.71
2024-04-12,40.14
2024-04-15,38.03
2024-04-16,37.7
2024-04-17,36.98
2024-04-19,36.88
2024-04-22,37.94
2024-04-23,37.6
2024-04-24,37.94
2024-04-25,37.65
2024-04-26,37.79
2024-05-02,38.41
2024-05-03,38.32
2024-05-06,38.85
2024-05-07,39.66
2024-05-08,39.37
2024-05-09,39.23
2024-05-10,38.99
2024-05-13,38.75
2024-05-14,38.7
2024-05-15,38.85
2024-05-16,39.09
2024-05-17,39.13
2024-05-20,40.57
2024-05-21,40.38
2024-05-22,39.95
2024-05-23,42.73
2024-05-24,42.73
2024-05-27,44.45
2024-05-28,45.02
2024-05-29,43.68
2024-05-30,43.11
2024-05-31,42.97
2024-06-03,43.44
2024-06-04,43.92
2024-06-05,45.26
2024-06-06,44.55
2024-06-07,44.45
2024-06-10,44.35
2024-06-11,43.73
2024-06-12,44.26
2024-06-13,43.83
2024-06-14,42.63
2024-06-17,42.44
2024-06-18,43.49
2024-06-19,43.88
2024-06-20,43.35
2024-06-21,43.25
2024-06-24,42.63
2024-06-25,42.92
2024-06-26,42.87
2024-06-27,44.07
2024-06-28,44.07
2024-07-01,44.45
2024-07-02,45.6
2024-07-03,45.02
2024-07-04,44.88
2024-07-05,44.45
2024-07-08,44.35
2024-07-09,45.5
2024-07-10,44.64
2024-07-11,44.16
2024-07-12,43.59
2024-07-15,44.11
2024-07-16,44.55
2024-07-17,44.45
2024-07-18,45.02
2024-07-19,43.83
2024-07-22,42.87
2024-07-23,41.67
2024-07-24,40.67
2024-07-25,41.38
2024-07-26,41.38
2024-07-29,41.53
2024-07-30,41.19
2024-07-31,41.77
2024-08-01,41.0
2024-08-02,41.67
2024-08-05,40.14
2024-08-06,40.57
2024-08-07,40.52
2024-08-08,40.81
2024-08-09,41.48
2024-08-12,41.48
2024-08-13,41.0
2024-08-14,41.48
2024-08-15,40.95
2024-08-16,42.1
2024-08-19,42.63
2024-08-20,42.63
2024-08-21,42.82
2024-08-22,42.92
2024-08-23,44.35
2024-08-26,43.88
2024-08-27,43.68
2024-08-28,43.3
2024-08-29,43.44
2024-08-30,43.59
2024-09-04,42.82
2024-09-05,42.82
2024-09-06,42.92
2024-09-09,42.15
2024-09-10,41.48
2024-09-11,41.29
2024-09-12,41.05
2024-09-13,40.95
2024-09-16,40.91
2024-09-17,41.05
2024-09-18,41.05
2024-09-19,41.1
2024-09-20,41.29
2024-09-23,41.96
2024-09-24,41.82
2024-09-25,41.53
2024-09-26,41.48
2024-09-27,41.48
2024-09-30,41.05
2024-10-01,41.58
2024-10-02,41.38
2024-10-03,41.1
2024-10-04,41.05
2024-10-07,41.15
2024-10-08,41.15
2024-10-09,41.43
2024-10-10,42.06
2024-10-11,42.25
2024-10-14,42.15
2024-10-15,41.86
2024-10-16,41.96
2024-10-17,42.15
2024-10-18,42.15
2024-10-21,41.91
2024-10-22,41.38
2024-10-23,41.48
2024-10-24,41.62
2024-10-25,41.53
2024-10-28,41.38
2024-10-29,41.43
2024-10-30,41.15
2024-10-31,41.19
2024-11-01,41.77
2024-11-04,41.96
2024-11-05,42.15
2024-11-06,42.29
2024-11-07,42.06
2024-11-08,43.25
2024-11-11,43.83
2024-11-12,43.3
2024-11-13,43.3
2024-11-14,42.49
2024-11-15,42.53
2024-11-18,41.96
2024-11-19,42.65
2024-11-20,42.74
2024-11-21,43.33
2024-11-22,43.33
2024-11-25,43.38
2024-11-26,43.38
2024-11-27,43.58
2024-11-28,43.53
2024-11-29,46.57
2024-12-02,48.04
2024-12-03,51.08
2024-12-04,50.98
2024-12-05,50.88
2024-12-06,50.98
2024-12-09,50.68
2024-12-10,51.57
2024-12-11,51.17
2024-12-12,51.86
2024-12-13,52.15
2024-12-16,51.27
2024-12-17,51.08
2024-12-18,51.17
2024-12-19,51.37
2024-12-20,50.19
2024-12-23,52.06
2024-12-24,51.76
2024-12-25,52.55
2024-12-26,51.57
2024-12-27,51.27
2024-12-30,50.98
2024-12-31,49.7
2025-01-02,50.49
2025-01-03,48.77
2025-01-06,47.55
2025-01-07,47.84
2025-01-08,48.43
2025-01-09,48.04
2025-01-10,48.53
2025-01-13,48.53
2025-01-14,49.8
2025-01-15,50.19
2025-01-16,50.19
2025-01-17,51.17
2025-01-20,51.17
2025-01-21,50.98
2025-01-22,49.7
2025-01-23,49.7
2025-01-24,49.8
2025-02-03,49.7
2025-02-04,50.39
2025-02-05,50.29
2025-02-06,50.19
2025-02-07,51.08
2025-02-10,51.86
2025-02-11,51.66
2025-02-12,53.33
2025-02-13,53.33
2025-02-14,53.33
2025-02-17,52.55
2025-02-18,56.17
2025-02-19,55.39
2025-02-20,55.78
2025-02-21,56.86
2025-02-24,57.55
2025-02-25,56.08
2025-02-26,56.66
2025-02-27,56.66
2025-02-28,55.49
2025-03-03,55.78
2025-03-04,55.49
2025-03-05,55.49
2025-03-06,56.57
2025-03-07,55.59
2025-03-10,55.1
2025-03-11,53.82
2025-03-12,53.92
2025-03-13,53.04
2025-03-14,52.55
2025-03-17,51.96
2025-03-18,52.25
2025-03-19,52.35
2025-03-20,51.96
2025-03-21,51.47
2025-03-24,51.17
2025-03-25,51.37
2025-03-26,51.17
2025-03-27,52.15
2025-03-28,52.45
2025-03-31,52.25
2025-04-01,51.66
2025-04-02,51.08
2025-04-03,47.55
2025-04-04,44.26
2025-04-08,41.17
2025-04-09,38.33
2025-04-10,40.98
2025-04-11,43.14
2025-04-14,43.72
2025-04-15,43.14
2025-04-16,43.18
2025-04-17,44.46
2025-04-18,44.12
2025-04-21,43.14
