time,close
2024-03-11,61.1
2024-03-12,62.51
2024-03-13,66.83
2024-03-14,67.98
2024-03-15,67.89
2024-03-18,63.21
2024-03-19,62.07
2024-03-20,63.48
2024-03-21,63.39
2024-03-22,63.21
2024-03-25,64.01
2024-03-26,64.71
2024-03-27,64.89
2024-03-28,64.18
2024-03-29,64.45
2024-04-01,63.21
2024-04-02,63.48
2024-04-03,62.42
2024-04-04,62.15
2024-04-05,62.15
2024-04-08,61.71
2024-04-09,63.12
2024-04-10,62.07
2024-04-11,61.45
2024-04-12,62.6
2024-04-15,58.27
2024-04-16,58.27
2024-04-17,56.5
2024-04-19,53.86
2024-04-22,55.53
2024-04-23,55.53
2024-04-24,57.74
2024-04-25,57.48
2024-04-26,58.53
2024-05-02,58.71
2024-05-03,58.27
2024-05-06,59.33
2024-05-07,60.65
2024-05-08,60.39
2024-05-09,60.12
2024-05-10,60.21
2024-05-13,59.15
2024-05-14,59.5
2024-05-15,60.21
2024-05-16,60.04
2024-05-17,62.42
2024-05-20,62.42
2024-05-21,64.36
2024-05-22,63.39
2024-05-23,64.45
2024-05-24,63.12
2024-05-27,62.95
2024-05-28,66.39
2024-05-29,65.16
2024-05-30,63.92
2024-05-31,64.01
2024-06-03,64.54
2024-06-04,64.45
2024-06-05,63.83
2024-06-06,63.83
2024-06-07,64.1
2024-06-10,65.69
2024-06-11,65.51
2024-06-12,65.33
2024-06-13,64.8
2024-06-14,64.1
2024-06-17,63.57
2024-06-18,64.89
2024-06-19,67.36
2024-06-20,67.54
2024-06-21,67.28
2024-06-24,64.45
2024-06-25,64.1
2024-06-26,64.54
2024-06-27,64.18
2024-06-28,61.89
2024-07-01,62.86
2024-07-02,63.74
2024-07-03,63.74
2024-07-04,63.57
2024-07-05,63.39
2024-07-08,64.18
2024-07-09,65.6
2024-07-10,64.45
2024-07-11,64.63
2024-07-12,64.98
2024-07-15,64.54
2024-07-16,65.16
2024-07-17,63.21
2024-07-18,63.21
2024-07-19,61.71
2024-07-22,58.98
2024-07-23,57.83
2024-07-24,58.71
2024-07-25,58.71
2024-07-26,59.33
2024-07-29,59.5
2024-07-30,59.33
2024-07-31,57.39
2024-08-01,56.94
2024-08-02,56.24
2024-08-05,52.35
2024-08-06,53.06
2024-08-07,53.24
2024-08-08,53.41
2024-08-09,54.12
2024-08-12,54.47
2024-08-13,54.12
2024-08-14,54.3
2024-08-15,53.86
2024-08-16,56.06
2024-08-19,56.68
2024-08-20,57.74
2024-08-21,57.21
2024-08-22,56.33
2024-08-23,56.24
2024-08-26,56.77
2024-08-27,56.68
2024-08-28,56.24
2024-08-29,56.33
2024-08-30,56.06
2024-09-04,56.24
2024-09-05,55.71
2024-09-06,55.27
2024-09-09,54.56
2024-09-10,53.86
2024-09-11,54.74
2024-09-12,55.0
2024-09-13,54.38
2024-09-16,52.09
2024-09-17,53.24
2024-09-18,53.5
2024-09-19,54.3
2024-09-20,54.47
