time,close
2024-03-11,23.08
2024-03-12,23.32
2024-03-13,23.76
2024-03-14,23.28
2024-03-15,23.49
2024-03-18,22.51
2024-03-19,22.51
2024-03-20,23.22
2024-03-21,23.59
2024-03-22,24.13
2024-03-25,23.45
2024-03-26,23.79
2024-03-27,23.99
2024-03-28,24.16
2024-03-29,24.03
2024-04-01,23.65
2024-04-02,23.65
2024-04-03,23.01
2024-04-04,22.67
2024-04-05,22.44
2024-04-08,22.64
2024-04-09,23.15
2024-04-10,22.74
2024-04-11,22.78
2024-04-12,24.26
2024-04-15,22.61
2024-04-16,23.01
2024-04-17,22.1
2024-04-19,21.36
2024-04-22,21.83
2024-04-23,21.29
2024-04-24,22.27
2024-04-25,22.3
2024-04-26,22.17
2024-05-02,21.86
2024-05-03,21.9
2024-05-06,22.44
2024-05-07,22.17
2024-05-08,22.03
2024-05-09,22.24
2024-05-10,22.2
2024-05-13,21.83
2024-05-14,21.83
2024-05-15,21.86
2024-05-16,22.44
2024-05-17,22.37
2024-05-20,22.54
2024-05-21,22.74
2024-05-22,22.3
2024-05-23,22.47
2024-05-24,21.96
2024-05-27,21.9
2024-05-28,21.76
2024-05-29,21.39
2024-05-30,21.49
2024-05-31,21.56
2024-06-03,22.03
2024-06-04,22.17
2024-06-05,21.9
2024-06-06,22.03
2024-06-07,22.17
2024-06-10,22.64
2024-06-11,22.44
2024-06-12,22.64
2024-06-13,22.91
2024-06-14,22.17
2024-06-17,22.13
2024-06-18,21.86
2024-06-19,21.96
2024-06-20,21.76
2024-06-21,21.76
2024-06-24,21.39
2024-06-25,21.36
2024-06-26,21.15
2024-06-27,21.15
2024-06-28,20.95
2024-07-01,21.63
2024-07-02,21.83
2024-07-03,21.86
2024-07-04,21.83
2024-07-05,22.1
2024-07-08,22.03
2024-07-09,22.1
2024-07-10,21.9
2024-07-11,21.76
2024-07-12,21.63
2024-07-15,21.7
2024-07-16,21.96
2024-07-17,22.3
2024-07-18,22.61
2024-07-19,22.57
2024-07-22,22.74
2024-07-23,21.9
2024-07-24,21.76
2024-07-25,21.32
2024-07-26,21.66
2024-07-29,21.7
2024-07-30,21.63
2024-07-31,21.63
2024-08-01,21.26
2024-08-02,21.32
2024-08-05,20.38
2024-08-06,20.65
2024-08-07,20.41
2024-08-08,20.41
2024-08-09,21.29
2024-08-12,21.42
2024-08-13,21.53
2024-08-14,21.49
2024-08-15,21.53
2024-08-16,21.96
2024-08-19,22.07
2024-08-20,22.44
2024-08-21,23.11
2024-08-22,23.38
2024-08-23,23.62
2024-08-26,23.38
2024-08-27,23.55
2024-08-28,23.59
2024-08-29,23.65
2024-08-30,23.69
2024-09-04,23.86
2024-09-05,23.65
2024-09-06,23.99
2024-09-09,23.96
2024-09-10,23.62
2024-09-11,23.62
2024-09-12,23.65
2024-09-13,23.59
2024-09-16,23.42
2024-09-17,23.62
2024-09-18,24.13
2024-09-19,24.33
2024-09-20,24.33
2024-09-23,24.26
2024-09-24,24.36
2024-09-25,24.33
2024-09-26,24.6
2024-09-27,25.01
2024-09-30,24.97
2024-10-01,24.67
2024-10-02,24.33
2024-10-03,24.46
2024-10-04,24.06
2024-10-07,24.2
2024-10-08,24.16
2024-10-09,24.4
2024-10-10,24.43
2024-10-11,24.5
2024-10-14,24.36
2024-10-15,24.43
2024-10-16,24.53
2024-10-17,24.7
2024-10-18,24.5
2024-10-21,23.99
2024-10-22,23.65
2024-10-23,23.69
2024-10-24,23.55
2024-10-25,23.38
2024-10-28,23.45
2024-10-29,23.62
2024-10-30,23.49
2024-10-31,24.13
2024-11-01,24.06
2024-11-04,24.13
2024-11-05,23.69
2024-11-06,24.26
2024-11-07,24.06
2024-11-08,23.65
2024-11-11,23.62
2024-11-12,23.32
2024-11-13,23.22
2024-11-14,22.71
2024-11-15,22.37
2024-11-18,22.51
2024-11-19,22.54
2024-11-20,22.98
2024-11-21,23.65
2024-11-22,23.65
2024-11-25,23.72
2024-11-26,23.86
2024-11-27,23.76
2024-11-28,23.92
2024-11-29,24.16
2024-12-02,24.23
2024-12-03,24.26
2024-12-04,23.86
2024-12-05,24.6
2024-12-06,24.5
2024-12-09,24.63
2024-12-10,24.57
2024-12-11,24.57
2024-12-12,24.53
2024-12-13,24.57
2024-12-16,24.5
2024-12-17,24.5
2024-12-18,24.5
2024-12-19,24.46
2024-12-20,24.43
2024-12-23,24.5
2024-12-24,24.46
2024-12-25,25.82
2024-12-26,25.82
2024-12-27,26.22
2024-12-30,26.29
2024-12-31,25.55
2025-01-02,25.75
2025-01-03,25.14
2025-01-06,25.14
2025-01-07,25.31
2025-01-08,25.55
2025-01-09,25.28
2025-01-10,25.34
2025-01-13,25.48
2025-01-14,24.97
2025-01-15,24.84
2025-01-16,24.87
2025-01-17,25.14
2025-01-20,25.21
2025-01-21,25.21
2025-01-22,25.21
2025-01-23,25.75
2025-01-24,25.68
2025-02-03,25.72
2025-02-04,26.63
2025-02-05,26.59
2025-02-06,26.7
2025-02-07,27.57
2025-02-10,27.24
2025-02-11,27.51
2025-02-12,27.37
2025-02-13,27.61
2025-02-14,27.4
2025-02-17,27.14
2025-02-18,27.24
2025-02-19,27.37
2025-02-20,27.61
2025-02-21,28.05
2025-02-24,28.32
2025-02-25,28.28
2025-02-26,27.95
2025-02-27,28.05
2025-02-28,28.05
2025-03-03,27.88
2025-03-04,28.12
2025-03-05,27.84
2025-03-06,28.15
2025-03-07,28.66
2025-03-10,28.69
2025-03-11,28.79
2025-03-12,28.82
2025-03-13,28.59
2025-03-14,28.59
2025-03-17,28.79
2025-03-18,28.38
2025-03-19,28.08
2025-03-20,28.12
2025-03-21,28.15
2025-03-24,28.25
2025-03-25,28.59
2025-03-26,28.22
2025-03-27,28.12
2025-03-28,27.95
2025-03-31,28.01
2025-04-01,28.28
2025-04-02,28.35
2025-04-03,26.39
2025-04-04,26.16
2025-04-08,24.33
2025-04-09,22.84
2025-04-10,24.43
2025-04-11,25.95
2025-04-14,25.88
2025-04-15,25.51
2025-04-16,25.14
2025-04-17,25.18
2025-04-18,25.31
2025-04-21,25.18
2025-04-22,25.07
2025-04-23,25.21
2025-04-24,25.28
2025-04-25,25.11
2025-04-28,24.9
2025-04-29,25.14
2025-05-05,25.24
2025-05-06,25.41
2025-05-07,25.31
2025-05-08,25.38
2025-05-09,25.31
2025-05-12,25.58
2025-05-13,26.63
2025-05-14,26.76
2025-05-15,26.86
2025-05-16,26.36
2025-05-19,26.42
2025-05-20,26.7
2025-05-21,26.66
2025-05-22,26.26
2025-05-23,26.22
2025-05-26,26.53
2025-05-27,26.76
2025-05-28,26.73
2025-05-29,26.29
2025-05-30,25.88
2025-06-02,25.95
2025-06-03,26.05
2025-06-04,26.02
2025-06-05,26.05
2025-06-06,25.82
2025-06-09,25.68
2025-06-10,25.58
2025-06-11,25.68
2025-06-12,26.02
2025-06-13,26.97
2025-06-16,27.24
2025-06-17,27.27
2025-06-18,27.14
2025-06-19,27.51
2025-06-20,27.91
2025-06-23,27.95
2025-06-24,28.08
2025-06-25,28.18
2025-06-26,28.32
2025-06-27,28.35
2025-06-30,28.32
2025-07-01,28.32
2025-07-02,28.32
2025-07-03,28.72
2025-07-04,28.86
2025-07-07,30.01
2025-07-08,30.01
2025-07-09,30.41
2025-07-10,30.41
2025-07-11,30.14
2025-07-14,29.94
2025-07-15,29.84
2025-07-16,30.38
2025-07-17,30.41
2025-07-18,30.45
2025-07-21,30.55
2025-07-22,30.82
2025-07-23,30.85
2025-07-24,30.89
2025-07-25,30.82
2025-07-28,30.82
2025-07-29,29.6
2025-07-30,31.22
2025-07-31,31.02
2025-08-01,29.94
2025-08-04,30.85
2025-08-05,31.43
2025-08-06,32.1
2025-08-07,32.34
2025-08-08,32.24
2025-08-11,32.1
2025-08-12,32.44
2025-08-13,33.52
2025-08-14,33.93
2025-08-15,33.12
2025-08-18,32.78
2025-08-19,33.52
2025-08-20,34.2
2025-08-21,35.01
2025-08-22,34.4
2025-08-25,33.18
2025-08-26,34.6
2025-08-27,34.54
2025-08-28,34.87
2025-08-29,34.67
2025-09-03,34.2
2025-09-04,34.47
2025-09-05,33.99
2025-09-08,33.45
2025-09-09,33.52
2025-09-10,34.13
2025-09-11,34.2
2025-09-12,34.06
2025-09-15,34.87
2025-09-16,35.48
2025-09-17,34.74
2025-09-18,34.6
2025-09-19,34.6
2025-09-22,33.32
2025-09-23,33.79
2025-09-24,34.13
2025-09-25,33.99
2025-09-26,34.26
2025-09-29,34.47
2025-09-30,34.33
2025-10-01,34.81
2025-10-02,34.81
2025-10-03,34.33
2025-10-06,35.41
2025-10-07,34.87
2025-10-08,35.75
2025-10-09,37.17
2025-10-10,37.31
2025-10-13,37.85
2025-10-14,37.03
2025-10-15,37.3
2025-10-16,36.62
2025-10-17,35.53
2025-10-20,33.29
2025-10-21,34.0
2025-10-22,34.38
2025-10-23,33.83
2025-10-24,33.9
2025-10-27,33.08
2025-10-28,33.35
2025-10-29,33.8
2025-10-30,33.49
2025-10-31,33.35
2025-11-03,33.01
2025-11-04,34.0
2025-11-05,34.92
2025-11-06,34.78
2025-11-07,33.35
2025-11-10,32.67
2025-11-11,33.01
2025-11-12,33.49
2025-11-13,33.25
2025-11-14,33.05
2025-11-17,33.25
2025-11-18,33.63
2025-11-19,33.59
2025-11-20,33.42
2025-11-21,33.42
2025-11-24,33.22
2025-11-25,32.78
2025-11-26,33.29
2025-11-27,33.25
2025-11-28,33.35
2025-12-01,32.95
2025-12-02,33.39
2025-12-03,35.4
2025-12-04,35.4
2025-12-05,35.06
2025-12-08,34.78
2025-12-09,34.1
2025-12-10,34.38
2025-12-11,34.1
2025-12-12,33.7
2025-12-15,33.83
2025-12-16,34.72
2025-12-17,34.17
2025-12-18,33.83
2025-12-19,33.93
2025-12-22,34.62
2025-12-23,34.47
2025-12-24,34.76
2025-12-25,34.47
2025-12-26,34.67
2025-12-29,34.76
2025-12-30,35.11
2025-12-31,35.21
2026-01-05,34.96
2026-01-06,35.65
2026-01-07,36.88
2026-01-08,37.62
2026-01-09,40.13
2026-01-12,40.87
2026-01-13,40.67
2026-01-14,40.82
2026-01-15,39.39
2026-01-16,39.0
2026-01-19,39.39
2026-01-20,39.05
2026-01-21,39.59
2026-01-22,39.3
2026-01-23,38.41
2026-01-26,37.62
2026-01-27,37.67
2026-01-28,37.82
2026-01-29,37.72
2026-01-30,38.16
2026-02-02,38.75
2026-02-03,39.1
2026-02-04,39.0
2026-02-05,38.02
2026-02-06,36.83
2026-02-09,36.54
2026-02-10,36.54
2026-02-11,37.33
2026-02-12,37.42
2026-02-13,38.02
2026-02-23,38.11
2026-02-24,37.62
2026-02-25,37.92
2026-02-26,37.92
2026-02-27,37.67
2026-03-02,36.29
2026-03-03,35.36
2026-03-04,35.85
2026-03-05,35.65
2026-03-06,35.11
2026-03-09,32.7
2026-03-10,34.52
2026-03-11,34.57
2026-03-12,33.78
2026-03-13,33.48
2026-03-16,33.63
2026-03-17,33.88
2026-03-18,34.47
2026-03-19,34.12
2026-03-20,33.09
2026-03-23,32.01
2026-03-24,33.04
2026-03-25,33.53
2026-03-26,33.29
2026-03-27,34.27
2026-03-30,33.53
2026-03-31,34.08
2026-04-01,34.22
2026-04-02,33.78
2026-04-03,33.29
2026-04-06,33.19
2026-04-07,33.19
2026-04-08,34.96
2026-04-09,34.47
2026-04-10,34.47
2026-04-13,34.27
2026-04-14,34.37
2026-04-15,34.52
2026-04-16,34.08
2026-04-17,34.32
2026-04-20,34.57
2026-04-21,34.32
2026-04-22,34.37
2026-04-23,34.96
2026-04-24,34.47
2026-04-28,34.27
2026-04-29,34.42
2026-05-04,34.81
2026-05-05,34.76
2026-05-06,35.01
2026-05-07,35.26
2026-05-08,35.65
2026-05-11,35.06
2026-05-12,34.72
2026-05-13,35.01
2026-05-14,35.4
2026-05-15,35.26
2026-05-18,35.75
2026-05-19,35.26
2026-05-20,34.67
2026-05-21,34.42
2026-05-22,34.27
2026-05-25,34.27
2026-05-26,34.72
2026-05-27,34.81
2026-05-28,34.32
2026-05-29,34.27
2026-06-01,34.03
2026-06-02,33.34
2026-06-03,33.44
2026-06-04,33.58
2026-06-05,33.39
2026-06-08,32.75
2026-06-09,32.89
2026-06-10,32.99
2026-06-11,32.84
2026-06-12,32.89
2026-06-15,33.19
2026-06-16,33.19
2026-06-17,33.78
2026-06-18,33.44
2026-06-19,33.24
2026-06-22,33.34
2026-06-23,33.48
2026-06-24,33.39
2026-06-25,32.99
2026-06-26,33.09
2026-06-29,33.39
2026-06-30,33.44
2026-07-01,33.88
2026-07-02,33.73
2026-07-03,33.63
2026-07-06,33.63
2026-07-07,33.73
2026-07-08,33.98
2026-07-09,33.53
2026-07-10,33.19
2026-07-13,32.11
2026-07-14,32.11
2026-07-15,31.66
2026-07-16,31.81
2026-07-17,31.52
2026-07-20,30.33
2026-07-21,30.43
2026-07-22,29.25
2026-07-23,29.05
2026-07-24,29.0
2026-07-27,28.75
2026-07-28,29.0
2026-07-29,29.35
2026-07-30,30.45
2026-07-31,30.8
2026-08-03,31.8
2026-08-04,31.85
2026-08-05,31.85
2026-08-06,31.35
2026-08-07,32.5
2026-08-10,32.8
2026-08-11,32.3
2026-08-12,32.2
2026-08-13,32.15
2026-08-14,31.45
2026-08-17,31.5
2026-08-18,31.55
2026-08-19,31.0
2026-08-20,31.4
2026-08-21,32.15
2026-08-24,31.8
