time,close
2024-03-11,20.17
2024-03-12,20.23
2024-03-13,21.09
2024-03-14,20.83
2024-03-15,20.76
2024-03-18,20.17
2024-03-19,20.17
2024-03-20,20.43
2024-03-21,20.79
2024-03-22,20.79
2024-03-25,20.2
2024-03-26,20.76
2024-03-27,20.89
2024-03-28,21.22
2024-03-29,21.35
2024-04-01,21.09
2024-04-02,21.25
2024-04-03,21.06
2024-04-04,21.35
2024-04-05,20.13
2024-04-08,20.1
2024-04-09,20.23
2024-04-10,20.3
2024-04-11,20.43
2024-04-12,20.36
2024-04-15,18.95
2024-04-16,18.06
2024-04-17,18.22
2024-04-19,17.14
2024-04-22,18.32
2024-04-23,17.79
2024-04-24,18.45
2024-04-25,18.26
2024-04-26,18.45
2024-05-02,18.68
2024-05-03,18.39
2024-05-06,19.01
2024-05-07,19.44
2024-05-08,19.31
2024-05-09,19.05
2024-05-10,20.23
2024-05-13,20.56
2024-05-14,20.4
2024-05-15,20.33
2024-05-16,20.69
2024-05-17,22.01
2024-05-20,22.77
2024-05-21,23.1
2024-05-22,22.64
2024-05-23,23.5
2024-05-24,22.94
2024-05-27,22.97
2024-05-28,23.33
2024-05-29,23.13
2024-05-30,23.59
2024-05-31,23.43
2024-06-03,23.46
2024-06-04,23.66
2024-06-05,23.2
2024-06-06,22.97
2024-06-07,23.3
2024-06-10,23.72
2024-06-11,23.5
2024-06-12,23.56
2024-06-13,23.92
2024-06-14,23.2
2024-06-17,22.8
2024-06-18,23.26
2024-06-19,23.66
2024-06-20,23.92
2024-06-21,24.25
2024-06-24,22.97
2024-06-25,22.87
2024-06-26,23.72
2024-06-27,23.2
2024-06-28,22.41
2024-07-01,22.74
2024-07-02,22.8
2024-07-03,22.7
2024-07-04,22.47
2024-07-05,23.23
2024-07-08,23.33
2024-07-09,24.06
2024-07-10,23.72
2024-07-11,22.77
2024-07-12,22.41
2024-07-15,23.14
2024-07-16,22.98
2024-07-17,21.91
2024-07-18,22.14
2024-07-19,21.56
2024-07-22,20.53
2024-07-23,19.11
2024-07-24,20.3
2024-07-25,20.38
2024-07-26,21.53
2024-07-29,21.45
2024-07-30,19.96
2024-07-31,19.65
2024-08-01,20.11
2024-08-02,21.49
2024-08-05,20.68
2024-08-06,21.37
2024-08-07,21.18
2024-08-08,20.68
2024-08-09,20.91
2024-08-12,21.22
2024-08-13,21.22
2024-08-14,20.72
2024-08-15,20.57
2024-08-16,20.99
2024-08-19,21.79
2024-08-20,21.79
2024-08-21,21.72
2024-08-22,21.41
2024-08-23,21.49
2024-08-26,21.1
2024-08-27,21.53
2024-08-28,21.79
2024-08-29,22.06
2024-08-30,21.79
2024-09-04,21.37
2024-09-05,21.56
2024-09-06,21.37
2024-09-09,22.18
2024-09-10,22.68
2024-09-11,22.33
2024-09-12,22.41
2024-09-13,22.56
2024-09-16,22.41
2024-09-17,22.75
2024-09-18,22.56
2024-09-19,22.98
2024-09-20,23.14
2024-09-23,22.75
2024-09-24,22.79
2024-09-25,22.79
2024-09-26,22.6
2024-09-27,22.22
2024-09-30,22.22
2024-10-01,22.6
2024-10-02,22.68
2024-10-03,22.22
2024-10-04,22.1
2024-10-07,22.29
2024-10-08,22.45
2024-10-09,23.14
2024-10-10,23.14
2024-10-11,23.21
2024-10-14,23.67
2024-10-15,23.29
2024-10-16,22.94
2024-10-17,22.48
2024-10-18,22.6
2024-10-21,22.29
2024-10-22,21.76
2024-10-23,22.1
2024-10-24,21.45
2024-10-25,21.22
2024-10-28,21.53
2024-10-29,21.53
2024-10-30,21.22
2024-10-31,21.45
2024-11-01,21.3
2024-11-04,21.07
2024-11-05,21.1
2024-11-06,21.41
2024-11-07,21.45
2024-11-08,21.1
2024-11-11,21.22
2024-11-12,21.56
2024-11-13,21.37
2024-11-14,20.49
2024-11-15,19.99
2024-11-18,20.19
2024-11-19,19.84
2024-11-20,20.07
2024-11-21,20.34
2024-11-22,20.11
2024-11-25,20.22
2024-11-26,20.34
2024-11-27,20.38
2024-11-28,20.3
2024-11-29,20.61
2024-12-02,20.76
2024-12-03,20.45
2024-12-04,20.07
2024-12-05,20.8
2024-12-06,20.84
2024-12-09,20.91
2024-12-10,20.88
2024-12-11,20.84
2024-12-12,20.84
2024-12-13,20.49
2024-12-16,20.53
2024-12-17,20.84
2024-12-18,21.95
2024-12-19,21.72
2024-12-20,21.76
2024-12-23,22.06
2024-12-24,22.14
2024-12-25,21.91
2024-12-26,21.83
2024-12-27,21.87
2024-12-30,21.53
2024-12-31,21.26
2025-01-02,21.68
2025-01-03,21.26
2025-01-06,20.3
2025-01-07,20.49
2025-01-08,20.64
2025-01-09,20.38
2025-01-10,20.34
2025-01-13,20.72
2025-01-14,20.38
2025-01-15,20.34
2025-01-16,20.42
2025-01-17,20.42
2025-01-20,20.38
2025-01-21,20.03
2025-01-22,19.5
2025-01-23,19.65
2025-01-24,19.46
2025-02-03,19.73
2025-02-04,20.3
2025-02-05,20.19
2025-02-06,20.11
2025-02-07,20.11
2025-02-10,20.07
2025-02-11,20.68
2025-02-12,20.49
2025-02-13,20.68
2025-02-14,21.03
2025-02-17,20.95
2025-02-18,20.84
2025-02-19,21.3
2025-02-20,21.34
2025-02-21,21.41
2025-02-24,21.76
2025-02-25,21.68
2025-02-26,21.99
2025-02-27,22.56
2025-02-28,22.68
2025-03-03,23.29
2025-03-04,23.36
2025-03-05,23.33
2025-03-06,23.75
2025-03-07,23.48
2025-03-10,23.1
2025-03-11,23.6
2025-03-12,23.1
2025-03-13,23.25
2025-03-14,22.48
2025-03-17,22.52
2025-03-18,22.52
2025-03-19,22.64
2025-03-20,22.52
2025-03-21,22.02
2025-03-24,22.98
2025-03-25,22.9
2025-03-26,22.52
2025-03-27,22.68
2025-03-28,22.83
2025-03-31,22.79
2025-04-01,22.71
2025-04-02,22.45
2025-04-03,20.88
2025-04-04,19.42
2025-04-08,18.08
2025-04-09,16.82
2025-04-10,17.96
2025-04-11,19.19
2025-04-14,20.19
2025-04-15,19.84
2025-04-16,19.88
2025-04-17,20.07
2025-04-18,20.53
2025-04-21,20.88
2025-04-22,20.72
2025-04-23,21.56
2025-04-24,21.41
2025-04-25,20.84
2025-04-28,20.84
2025-04-29,21.03
2025-05-05,21.53
2025-05-06,21.1
2025-05-07,21.1
2025-05-08,21.14
2025-05-09,21.45
2025-05-12,21.91
2025-05-13,22.1
2025-05-14,22.25
2025-05-15,22.25
2025-05-16,21.83
2025-05-19,20.91
2025-05-20,21.22
2025-05-21,21.37
2025-05-22,21.14
2025-05-23,21.37
2025-05-26,21.83
2025-05-27,21.83
2025-05-28,21.68
2025-05-29,21.6
2025-05-30,20.99
2025-06-02,21.03
2025-06-03,21.26
2025-06-04,22.71
2025-06-05,22.52
2025-06-06,22.83
2025-06-09,23.17
2025-06-10,22.83
2025-06-11,23.52
2025-06-12,23.44
2025-06-13,23.25
2025-06-16,23.56
2025-06-17,23.33
2025-06-18,23.33
2025-06-19,22.94
2025-06-20,23.44
2025-06-23,24.4
2025-06-24,24.36
2025-06-25,24.21
2025-06-26,24.44
2025-06-27,24.51
2025-06-30,26.05
2025-07-01,26.58
2025-07-02,26.51
2025-07-03,26.28
2025-07-04,26.51
2025-07-07,26.62
2025-07-08,26.62
2025-07-09,26.05
2025-07-10,25.7
2025-07-11,25.82
2025-07-14,26.12
2025-07-15,25.74
2025-07-16,25.74
2025-07-17,26.05
2025-07-18,25.82
2025-07-21,25.2
2025-07-22,25.93
2025-07-23,26.47
2025-07-24,26.28
2025-07-25,27.46
2025-07-28,27.54
2025-07-29,25.62
2025-07-30,26.16
2025-07-31,25.74
2025-08-01,26.2
2025-08-04,26.43
2025-08-05,25.93
2025-08-06,26.31
2025-08-07,26.67
2025-08-08,27.28
2025-08-11,27.33
2025-08-12,27.55
2025-08-13,27.28
2025-08-14,27.55
2025-08-15,26.76
2025-08-18,25.96
2025-08-19,25.83
2025-08-20,25.04
2025-08-21,24.2
2025-08-22,24.24
2025-08-25,23.14
2025-08-26,24.2
2025-08-27,24.07
2025-08-28,24.33
2025-08-29,24.46
2025-09-03,24.86
2025-09-04,24.68
2025-09-05,24.46
2025-09-08,23.71
2025-09-09,25.08
2025-09-10,25.92
2025-09-11,25.92
2025-09-12,25.7
2025-09-15,25.83
2025-09-16,25.56
2025-09-17,24.86
2025-09-18,24.6
2025-09-19,24.55
2025-09-22,23.98
2025-09-23,23.98
2025-09-24,24.29
2025-09-25,24.42
2025-09-26,23.98
2025-09-29,24.51
2025-09-30,24.02
2025-10-01,24.15
2025-10-02,23.76
2025-10-03,23.71
2025-10-06,24.33
2025-10-07,23.98
2025-10-08,24.24
2025-10-09,24.51
2025-10-10,24.38
2025-10-13,24.2
2025-10-14,23.98
2025-10-15,23.8
2025-10-16,23.8
2025-10-17,23.71
2025-10-20,22.08
2025-10-21,22.66
2025-10-22,22.57
2025-10-23,22.66
2025-10-24,22.52
2025-10-27,22.52
2025-10-28,22.74
2025-10-29,23.58
2025-10-30,23.27
2025-10-31,23.4
2025-11-03,22.74
2025-11-04,23.23
2025-11-05,22.74
2025-11-06,22.7
2025-11-07,22.13
2025-11-10,22.17
2025-11-11,22.17
2025-11-12,22.39
2025-11-13,22.96
2025-11-14,23.05
2025-11-17,23.32
2025-11-18,23.4
2025-11-19,23.98
2025-11-20,23.71
2025-11-21,23.8
2025-11-24,23.98
2025-11-25,23.36
2025-11-26,23.93
2025-11-27,23.54
2025-11-28,23.49
2025-12-01,24.24
2025-12-02,24.29
2025-12-03,24.33
2025-12-04,24.15
2025-12-05,24.64
2025-12-08,24.33
2025-12-09,24.07
2025-12-10,23.63
2025-12-11,24.07
2025-12-12,23.45
2025-12-15,24.42
2025-12-16,24.64
2025-12-17,25.26
2025-12-18,25.21
2025-12-19,24.6
2025-12-22,24.86
2025-12-23,24.68
2025-12-24,25.04
2025-12-25,24.51
