time,close
2024-03-11,89.16
2024-03-12,90.13
2024-03-13,91.43
2024-03-14,90.78
2024-03-15,89.97
2024-03-18,95.32
2024-03-19,95.64
2024-03-20,94.51
2024-03-21,94.59
2024-03-22,94.18
2024-03-25,94.26
2024-03-26,94.67
2024-03-27,94.26
2024-03-28,94.26
2024-03-29,94.35
2024-04-01,94.35
2024-04-02,94.02
2024-04-03,93.62
2024-04-04,93.29
2024-04-05,93.54
2024-04-08,93.21
2024-04-09,92.81
2024-04-10,93.13
2024-04-11,92.81
2024-04-12,94.02
2024-04-15,92.81
2024-04-16,92.89
2024-04-17,92.72
2024-04-19,90.21
2024-04-22,90.13
2024-04-23,90.62
2024-04-24,91.59
2024-04-25,92.16
2024-04-26,92.48
2024-05-02,92.24
2024-05-03,92.0
2024-05-06,88.35
2024-05-07,91.59
2024-05-08,91.27
2024-05-09,92.08
2024-05-10,92.56
2024-05-13,94.59
2024-05-14,94.51
2024-05-15,94.35
2024-05-16,93.7
2024-05-17,93.7
2024-05-20,93.78
2024-05-21,93.94
2024-05-22,93.86
2024-05-23,94.1
2024-05-24,95.16
2024-05-27,95.16
2024-05-28,95.32
2024-05-29,97.1
2024-05-30,100.1
2024-05-31,100.02
2024-06-03,98.32
2024-06-04,98.88
2024-06-05,98.24
2024-06-06,98.4
2024-06-07,98.48
2024-06-10,99.7
2024-06-11,98.52
2024-06-12,97.68
2024-06-13,96.76
2024-06-14,97.18
2024-06-17,96.68
2024-06-18,97.52
2024-06-19,97.1
2024-06-20,97.18
2024-06-21,96.76
2024-06-24,95.34
2024-06-25,95.09
2024-06-26,94.67
2024-06-27,94.92
2024-06-28,94.92
2024-07-01,94.92
2024-07-02,95.0
2024-07-03,95.09
2024-07-04,95.59
2024-07-05,94.75
2024-07-08,93.75
2024-07-09,93.58
2024-07-10,92.49
2024-07-11,92.99
2024-07-12,93.41
2024-07-15,94.42
2024-07-16,100.95
2024-07-17,98.69
2024-07-18,96.34
2024-07-19,95.09
2024-07-22,93.16
2024-07-23,92.99
2024-07-24,93.66
2024-07-25,93.75
2024-07-26,93.83
2024-07-29,94.17
2024-07-30,94.25
2024-07-31,95.34
2024-08-01,94.67
2024-08-02,94.5
2024-08-05,93.08
2024-08-06,93.24
2024-08-07,92.99
2024-08-08,92.91
2024-08-09,93.25
2024-08-12,92.91
2024-08-13,92.73
2024-08-14,91.44
2024-08-15,91.26
2024-08-16,91.7
2024-08-19,91.78
2024-08-20,92.21
2024-08-21,92.47
2024-08-22,92.65
2024-08-23,92.47
2024-08-26,92.04
2024-08-27,91.96
2024-08-28,92.56
2024-08-29,92.73
2024-08-30,93.25
2024-09-04,93.94
2024-09-05,92.99
2024-09-06,93.17
2024-09-09,92.65
2024-09-10,92.56
2024-09-11,92.39
2024-09-12,92.65
2024-09-13,92.21
2024-09-16,92.21
2024-09-17,92.82
2024-09-18,93.08
2024-09-19,93.08
2024-09-20,93.34
2024-09-23,92.99
2024-09-24,93.17
2024-09-25,92.99
2024-09-26,92.99
2024-09-27,92.82
2024-09-30,92.65
2024-10-01,92.91
2024-10-02,92.56
2024-10-03,92.56
2024-10-04,92.13
2024-10-07,91.7
2024-10-08,91.87
2024-10-09,92.56
2024-10-10,92.99
2024-10-11,92.82
2024-10-14,92.21
2024-10-15,92.3
2024-10-16,92.21
2024-10-17,92.04
2024-10-18,92.3
2024-10-21,91.52
2024-10-22,91.26
2024-10-23,90.83
2024-10-24,90.83
2024-10-25,90.4
2024-10-28,90.4
2024-10-29,91.35
2024-10-30,90.66
2024-10-31,90.48
2024-11-01,90.14
2024-11-04,89.96
2024-11-05,89.79
2024-11-06,88.58
2024-11-07,88.93
2024-11-08,89.01
2024-11-11,88.93
2024-11-12,88.5
2024-11-13,88.75
2024-11-14,88.84
2024-11-15,86.33
2024-11-18,86.24
2024-11-19,86.24
2024-11-20,86.24
2024-11-21,86.16
2024-11-22,86.5
2024-11-25,86.07
2024-11-26,86.59
2024-11-27,86.42
2024-11-28,86.94
2024-11-29,87.37
2024-12-02,87.89
2024-12-03,89.62
2024-12-04,88.84
2024-12-05,88.84
2024-12-06,88.06
2024-12-09,88.24
2024-12-10,90.4
2024-12-11,93.42
2024-12-12,92.99
2024-12-13,92.99
2024-12-16,92.56
2024-12-17,92.99
2024-12-18,96.71
2024-12-19,95.93
2024-12-20,95.24
2024-12-23,96.11
2024-12-24,96.11
2024-12-25,95.03
2024-12-26,94.94
2024-12-27,93.32
2024-12-30,92.52
2024-12-31,93.24
2025-01-02,93.06
2025-01-03,92.7
2025-01-06,92.7
2025-01-07,92.52
2025-01-08,92.61
2025-01-09,91.89
2025-01-10,91.98
2025-01-13,92.07
2025-01-14,91.98
2025-01-15,91.89
2025-01-16,92.07
2025-01-17,92.16
2025-01-20,92.7
2025-01-21,91.08
2025-01-22,91.26
2025-01-23,91.08
