time,close
2024-03-11,17.66
2024-03-12,17.44
2024-03-13,18.08
2024-03-14,17.88
2024-03-15,17.88
2024-03-18,17.07
2024-03-19,17.1
2024-03-20,17.27
2024-03-21,17.44
2024-03-22,17.44
2024-03-25,17.3
2024-03-26,17.69
2024-03-27,17.61
2024-03-28,17.81
2024-03-29,17.59
2024-04-01,17.47
2024-04-02,17.59
2024-04-03,17.93
2024-04-04,17.76
2024-04-05,17.39
2024-04-08,17.05
2024-04-09,17.27
2024-04-10,17.05
2024-04-11,16.93
2024-04-12,17.05
2024-04-15,15.92
2024-04-16,16.09
2024-04-17,15.97
2024-04-19,15.33
2024-04-22,15.53
2024-04-23,15.38
2024-04-24,15.7
2024-04-25,15.35
2024-04-26,15.53
2024-05-02,15.99
2024-05-03,15.9
2024-05-06,16.34
2024-05-07,16.48
2024-05-08,16.75
2024-05-09,16.66
2024-05-10,16.66
2024-05-13,16.41
2024-05-14,16.56
2024-05-15,17.05
2024-05-16,17.2
2024-05-17,17.25
2024-05-20,17.22
2024-05-21,17.61
2024-05-22,17.69
2024-05-23,18.18
2024-05-24,17.47
2024-05-27,17.79
2024-05-28,17.79
2024-05-29,17.88
2024-05-30,17.69
2024-05-31,17.69
2024-06-03,18.92
2024-06-04,18.96
2024-06-05,19.09
2024-06-06,18.92
2024-06-07,19.14
2024-06-10,19.06
2024-06-11,19.16
2024-06-12,19.09
2024-06-13,19.06
2024-06-14,18.08
2024-06-17,18.33
2024-06-18,18.38
2024-06-19,18.55
2024-06-20,18.33
2024-06-21,18.35
2024-06-24,17.52
2024-06-25,17.88
2024-06-26,18.08
2024-06-27,18.18
2024-06-28,17.74
2024-07-01,17.79
2024-07-02,17.88
2024-07-03,18.2
2024-07-04,18.18
2024-07-05,18.4
2024-07-08,19.09
2024-07-09,18.92
2024-07-10,18.65
2024-07-11,18.35
2024-07-12,18.4
2024-07-15,18.45
2024-07-16,18.2
2024-07-17,17.3
2024-07-18,17.64
2024-07-19,17.44
2024-07-22,17.1
2024-07-23,16.98
2024-07-24,17.1
2024-07-25,17.2
2024-07-26,17.34
2024-07-29,17.66
2024-07-30,17.42
2024-07-31,17.34
2024-08-01,16.93
2024-08-02,17.2
2024-08-05,16.07
2024-08-06,16.53
2024-08-07,17.1
2024-08-08,17.07
2024-08-09,17.57
2024-08-12,17.69
2024-08-13,17.59
2024-08-14,17.74
2024-08-15,17.69
2024-08-16,18.23
2024-08-19,18.77
2024-08-20,18.77
2024-08-21,18.77
2024-08-22,18.46
2024-08-23,18.51
2024-08-26,18.1
2024-08-27,18.15
2024-08-28,17.99
2024-08-29,18.02
2024-08-30,18.07
2024-09-04,18.2
2024-09-05,18.02
2024-09-06,18.64
2024-09-09,18.38
2024-09-10,18.12
2024-09-11,18.1
2024-09-12,18.25
2024-09-13,18.41
2024-09-16,18.51
2024-09-17,18.56
2024-09-18,18.43
2024-09-19,18.46
2024-09-20,18.41
2024-09-23,18.46
2024-09-24,18.46
2024-09-25,18.72
2024-09-26,18.66
2024-09-27,18.66
2024-09-30,18.46
2024-10-01,18.43
2024-10-02,18.48
2024-10-03,18.23
2024-10-04,18.2
2024-10-07,18.15
2024-10-08,18.04
2024-10-09,18.3
2024-10-10,18.1
2024-10-11,18.25
2024-10-14,18.15
2024-10-15,17.96
2024-10-16,17.71
2024-10-17,17.89
2024-10-18,17.84
2024-10-21,17.68
2024-10-22,17.68
2024-10-23,17.65
2024-10-24,17.65
2024-10-25,17.65
2024-10-28,17.73
2024-10-29,18.12
2024-10-30,17.94
2024-10-31,17.91
2024-11-01,17.58
2024-11-04,17.34
2024-11-05,17.34
2024-11-06,17.6
2024-11-07,17.47
2024-11-08,17.37
2024-11-11,17.5
2024-11-12,17.55
2024-11-13,17.65
2024-11-14,17.71
2024-11-15,17.47
2024-11-18,17.5
2024-11-19,17.37
2024-11-20,17.52
2024-11-21,18.07
2024-11-22,18.41
2024-11-25,18.35
2024-11-26,18.85
2024-11-27,18.41
2024-11-28,18.25
2024-11-29,18.33
2024-12-02,18.48
2024-12-03,18.59
2024-12-04,18.56
2024-12-05,18.82
2024-12-06,18.92
2024-12-09,18.74
2024-12-10,18.61
2024-12-11,18.48
2024-12-12,18.38
2024-12-13,18.3
2024-12-16,18.28
2024-12-17,18.2
2024-12-18,18.28
2024-12-19,18.25
2024-12-20,18.2
2024-12-23,18.33
2024-12-24,18.43
2024-12-25,18.35
2024-12-26,18.25
2024-12-27,18.46
2024-12-30,18.38
2024-12-31,18.15
2025-01-02,18.35
2025-01-03,18.43
2025-01-06,18.15
2025-01-07,17.84
2025-01-08,17.91
2025-01-09,17.71
2025-01-10,17.37
2025-01-13,17.68
2025-01-14,17.63
2025-01-15,17.63
2025-01-16,17.68
2025-01-17,17.78
2025-01-20,17.78
2025-01-21,17.63
2025-01-22,17.37
2025-01-23,17.84
2025-01-24,17.94
2025-02-03,18.12
2025-02-04,18.2
2025-02-05,18.25
2025-02-06,18.35
2025-02-07,18.1
2025-02-10,17.84
2025-02-11,17.99
2025-02-12,18.04
2025-02-13,18.9
2025-02-14,18.74
2025-02-17,18.82
2025-02-18,18.74
2025-02-19,19.03
2025-02-20,19.29
2025-02-21,19.29
2025-02-24,19.08
2025-02-25,19.24
2025-02-26,19.26
2025-02-27,19.16
2025-02-28,19.03
2025-03-03,19.11
2025-03-04,19.11
2025-03-05,18.82
2025-03-06,18.9
2025-03-07,19.11
2025-03-10,19.03
2025-03-11,19.05
2025-03-12,18.92
2025-03-13,18.48
2025-03-14,18.48
2025-03-17,18.51
2025-03-18,18.51
2025-03-19,18.51
2025-03-20,18.46
2025-03-21,18.38
2025-03-24,18.25
2025-03-25,18.28
2025-03-26,18.35
2025-03-27,18.28
2025-03-28,18.33
2025-03-31,18.02
2025-04-01,18.23
2025-04-02,18.3
2025-04-03,17.03
2025-04-04,16.44
2025-04-08,15.3
2025-04-09,14.44
2025-04-10,15.42
2025-04-11,16.49
2025-04-14,17.37
2025-04-15,16.98
2025-04-16,16.82
2025-04-17,16.82
2025-04-18,17.06
2025-04-21,17.11
2025-04-22,16.59
2025-04-23,16.8
2025-04-24,16.85
2025-04-25,16.85
2025-04-28,17.06
2025-04-29,16.95
2025-05-05,17.68
2025-05-06,17.37
2025-05-07,17.58
2025-05-08,17.73
2025-05-09,17.58
2025-05-12,17.58
2025-05-13,17.58
2025-05-14,17.71
2025-05-15,17.76
2025-05-16,17.55
2025-05-19,17.42
2025-05-20,17.5
2025-05-21,17.32
2025-05-22,17.32
2025-05-23,17.42
2025-05-26,17.78
2025-05-27,17.6
2025-05-28,17.63
2025-05-29,17.47
2025-05-30,17.29
2025-06-02,17.34
2025-06-03,17.71
2025-06-04,17.58
2025-06-05,17.52
2025-06-06,17.42
2025-06-09,17.52
2025-06-10,18.07
2025-06-11,17.99
2025-06-12,18.2
2025-06-13,18.46
2025-06-16,18.85
2025-06-17,19.88
2025-06-18,19.86
2025-06-19,20.07
2025-06-20,19.88
2025-06-23,19.75
2025-06-24,19.75
2025-06-25,19.44
2025-06-26,19.7
2025-06-27,19.6
2025-06-30,19.96
2025-07-01,19.91
2025-07-02,20.12
2025-07-03,19.96
2025-07-04,19.93
2025-07-07,20.12
2025-07-08,20.17
2025-07-09,20.07
2025-07-10,20.07
2025-07-11,20.04
2025-07-14,20.22
2025-07-15,20.52
2025-07-16,20.65
2025-07-17,20.81
2025-07-18,20.68
2025-07-21,21.43
2025-07-22,21.78
2025-07-23,22.54
2025-07-24,22.14
2025-07-25,22.27
2025-07-28,22.4
2025-07-29,21.35
2025-07-30,22.38
2025-07-31,22.11
2025-08-01,22.35
2025-08-04,22.59
2025-08-05,22.27
2025-08-06,23.27
2025-08-07,24.86
2025-08-08,26.59
2025-08-11,26.36
2025-08-12,26.97
2025-08-13,26.82
2025-08-14,26.45
2025-08-15,26.31
2025-08-18,26.87
2025-08-19,26.45
2025-08-20,25.75
2025-08-21,25.56
2025-08-22,24.62
2025-08-25,24.34
2025-08-26,25.05
2025-08-27,25.05
2025-08-28,24.95
2025-08-29,25.0
2025-09-03,24.95
2025-09-04,25.23
2025-09-05,25.56
2025-09-08,24.81
2025-09-09,24.72
2025-09-10,24.67
2025-09-11,24.58
2025-09-12,24.95
2025-09-15,25.66
2025-09-16,25.75
2025-09-17,25.19
2025-09-18,24.86
2025-09-19,24.16
2025-09-22,24.2
2025-09-23,24.34
2025-09-24,24.53
2025-09-25,24.95
2025-09-26,24.58
2025-09-29,24.34
2025-09-30,23.5
2025-10-01,23.41
2025-10-02,22.33
2025-10-03,22.52
2025-10-06,23.03
2025-10-07,22.52
2025-10-08,22.56
2025-10-09,22.56
2025-10-10,22.89
2025-10-13,22.66
2025-10-14,22.42
2025-10-15,21.91
2025-10-16,22.33
2025-10-17,21.68
2025-10-20,20.74
2025-10-21,21.72
2025-10-22,22.0
2025-10-23,21.82
2025-10-24,21.54
2025-10-27,22.1
2025-10-28,22.19
2025-10-29,22.42
2025-10-30,22.47
2025-10-31,22.47
2025-11-03,21.72
2025-11-04,22.19
2025-11-05,23.31
2025-11-06,22.89
2025-11-07,22.14
2025-11-10,21.82
2025-11-11,21.72
2025-11-12,22.1
2025-11-13,22.42
2025-11-14,22.33
2025-11-17,22.8
2025-11-18,22.61
2025-11-19,22.89
2025-11-20,22.7
2025-11-21,22.1
2025-11-24,21.68
2025-11-25,21.63
2025-11-26,21.96
2025-11-27,21.82
2025-11-28,21.63
2025-12-01,21.63
2025-12-02,21.54
2025-12-03,21.82
2025-12-04,22.05
2025-12-05,21.72
2025-12-08,21.68
2025-12-09,21.25
2025-12-10,21.21
2025-12-11,21.16
2025-12-12,20.6
2025-12-15,20.55
2025-12-16,20.93
2025-12-17,20.83
2025-12-18,20.83
2025-12-19,21.07
2025-12-22,21.11
2025-12-23,20.79
2025-12-24,20.93
2025-12-25,20.74
2025-12-26,20.69
2025-12-29,21.25
2025-12-30,20.97
2025-12-31,20.83
2026-01-05,21.07
2026-01-06,21.4
2026-01-07,21.96
2026-01-08,22.0
2026-01-09,22.24
2026-01-12,22.75
2026-01-13,22.85
2026-01-14,23.31
2026-01-15,22.75
2026-01-16,22.56
2026-01-19,22.66
2026-01-20,22.75
2026-01-21,23.08
2026-01-22,24.2
2026-01-23,22.99
2026-01-26,21.54
2026-01-27,21.82
2026-01-28,22.1
2026-01-29,22.38
2026-01-30,22.42
2026-02-02,22.89
2026-02-03,23.13
2026-02-04,23.41
2026-02-05,23.41
2026-02-06,23.13
2026-02-09,23.74
2026-02-10,23.5
2026-02-11,23.64
2026-02-12,23.41
2026-02-13,23.41
2026-02-23,23.78
2026-02-24,25.19
2026-02-25,25.09
2026-02-26,24.81
2026-02-27,25.84
2026-03-02,27.62
2026-03-03,29.35
2026-03-04,28.65
2026-03-05,28.56
2026-03-06,29.17
2026-03-09,28.04
2026-03-10,29.31
2026-03-11,29.78
2026-03-12,31.83
2026-03-13,31.08
2026-03-16,28.93
2026-03-17,26.92
2026-03-18,28.79
2026-03-19,28.79
2026-03-20,27.01
2026-03-23,26.87
2026-03-24,26.97
2026-03-25,27.53
2026-03-26,29.12
2026-03-27,28.84
2026-03-30,28.88
2026-03-31,27.95
2026-04-01,27.06
2026-04-02,27.62
2026-04-03,26.97
2026-04-06,25.84
2026-04-07,26.17
2026-04-08,27.06
2026-04-09,26.68
2026-04-10,27.25
2026-04-13,27.43
2026-04-14,26.87
2026-04-15,26.54
2026-04-16,26.82
2026-04-17,27.06
2026-04-20,26.78
2026-04-21,26.4
2026-04-22,26.22
2026-04-23,25.28
2026-04-24,24.76
2026-04-28,24.02
2026-04-29,24.81
2026-05-04,24.39
2026-05-05,24.86
2026-05-06,24.86
2026-05-07,24.34
2026-05-08,24.2
2026-05-11,24.72
2026-05-12,24.95
2026-05-13,25.56
2026-05-14,25.19
2026-05-15,25.28
2026-05-18,26.36
2026-05-19,25.23
2026-05-20,25.14
2026-05-21,24.62
2026-05-22,24.76
2026-05-25,24.44
2026-05-26,24.53
2026-05-27,24.48
2026-05-28,24.2
2026-05-29,24.25
2026-06-01,24.02
2026-06-02,23.55
2026-06-03,23.55
2026-06-04,23.64
2026-06-05,23.5
2026-06-08,22.94
2026-06-09,22.47
2026-06-10,22.56
2026-06-11,22.85
2026-06-12,22.66
2026-06-15,22.14
2026-06-16,22.24
2026-06-17,22.14
2026-06-18,22.19
2026-06-19,22.0
2026-06-22,21.96
2026-06-23,21.54
2026-06-24,21.58
2026-06-25,21.25
2026-06-26,21.21
2026-06-29,21.54
2026-06-30,21.54
2026-07-01,21.63
2026-07-02,21.44
2026-07-03,21.4
2026-07-06,20.97
2026-07-07,21.21
2026-07-08,22.66
2026-07-09,22.28
2026-07-10,21.91
2026-07-13,21.91
2026-07-14,22.85
2026-07-15,22.1
2026-07-16,22.24
2026-07-17,22.0
2026-07-20,21.49
2026-07-21,21.16
2026-07-22,20.65
2026-07-23,21.25
2026-07-24,21.16
2026-07-27,20.83
2026-07-28,21.21
2026-07-29,21.54
2026-07-30,21.96
2026-07-31,22.05
2026-08-03,22.2
2026-08-04,22.2
2026-08-05,21.8
2026-08-06,21.5
2026-08-07,21.85
2026-08-10,22.4
2026-08-11,22.45
2026-08-12,22.3
2026-08-13,21.9
2026-08-14,21.55
2026-08-17,21.5
2026-08-18,21.7
2026-08-19,21.6
2026-08-20,21.8
2026-08-21,22.2
2026-08-24,22.3
