time,close
2024-03-11,18.63
2024-03-12,19.93
2024-03-13,20.26
2024-03-14,19.38
2024-03-15,19.93
2024-03-18,19.55
2024-03-19,19.97
2024-03-20,19.8
2024-03-21,19.72
2024-03-22,19.59
2024-03-25,19.26
2024-03-26,19.09
2024-03-27,19.72
2024-03-28,19.47
2024-03-29,19.76
2024-04-01,20.18
2024-04-02,20.22
2024-04-03,20.3
2024-04-04,19.89
2024-04-05,19.34
2024-04-08,18.59
2024-04-09,19.09
2024-04-10,18.88
2024-04-11,19.01
2024-04-12,19.05
2024-04-15,17.88
2024-04-16,17.55
2024-04-17,17.71
2024-04-19,17.55
2024-04-22,17.71
2024-04-23,16.71
2024-04-24,17.88
2024-04-25,17.88
2024-04-26,18.34
2024-05-02,18.21
2024-05-03,18.05
2024-05-06,18.38
2024-05-07,19.26
2024-05-08,20.05
2024-05-09,19.8
2024-05-10,21.18
2024-05-13,21.47
2024-05-14,22.73
2024-05-15,22.64
2024-05-16,22.39
2024-05-17,22.39
2024-05-20,22.64
2024-05-21,23.02
2024-05-22,22.81
2024-05-23,23.9
2024-05-24,22.94
2024-05-27,23.06
2024-05-28,23.39
2024-05-29,22.98
2024-05-30,23.31
2024-05-31,23.23
2024-06-03,23.73
2024-06-04,23.77
2024-06-05,23.39
2024-06-06,22.98
2024-06-07,22.81
2024-06-10,22.73
2024-06-11,23.69
2024-06-12,23.56
2024-06-13,23.98
2024-06-14,24.4
2024-06-17,23.73
2024-06-18,23.23
2024-06-19,23.73
2024-06-20,23.48
2024-06-21,24.27
2024-06-24,22.73
2024-06-25,22.1
2024-06-26,21.56
2024-06-27,21.56
2024-06-28,20.18
2024-07-01,20.6
2024-07-02,20.72
2024-07-03,20.72
2024-07-04,21.31
2024-07-05,20.97
2024-07-08,20.72
2024-07-09,21.39
2024-07-10,21.56
2024-07-11,21.72
2024-07-12,21.47
2024-07-15,21.18
2024-07-16,20.89
2024-07-17,19.43
2024-07-18,20.14
