time,close
2024-03-11,12.31
2024-03-12,12.52
2024-03-13,12.14
2024-03-14,12.14
2024-03-15,12.18
2024-03-18,12.22
2024-03-19,12.31
2024-03-20,12.22
2024-03-21,12.27
2024-03-22,12.27
2024-03-25,12.27
2024-03-26,12.35
2024-03-27,12.35
2024-03-28,12.78
2024-03-29,13.84
2024-04-01,13.29
2024-04-02,13.63
2024-04-03,13.63
2024-04-04,12.44
2024-04-05,13.63
2024-04-08,13.5
2024-04-09,13.5
2024-04-10,13.5
2024-04-11,13.03
2024-04-12,13.2
2024-04-15,12.99
2024-04-16,13.16
2024-04-19,12.39
2024-04-22,12.27
2024-04-23,12.35
2024-04-24,12.1
2024-04-25,12.18
2024-04-26,12.35
2024-05-02,12.65
2024-05-03,12.69
2024-05-06,13.42
2024-05-07,13.33
2024-05-08,13.29
2024-05-09,12.99
2024-05-10,12.86
2024-05-13,13.08
2024-05-14,12.95
2024-05-15,13.16
2024-05-16,13.29
2024-05-17,13.08
2024-05-20,13.03
2024-05-21,13.03
2024-05-22,13.12
2024-05-23,13.2
2024-05-24,13.16
2024-05-27,13.46
2024-05-28,13.42
2024-05-29,13.63
2024-05-30,13.54
2024-05-31,13.42
2024-06-03,13.8
2024-06-04,13.84
2024-06-05,13.63
2024-06-06,13.93
2024-06-07,13.63
2024-06-10,13.62
2024-06-11,14.05
2024-06-12,14.05
2024-06-13,14.26
2024-06-14,14.18
2024-06-17,14.14
2024-06-18,15.09
2024-06-19,15.91
2024-06-20,16.43
2024-06-21,16.12
2024-06-24,16.6
2024-06-25,16.43
2024-06-26,16.86
2024-06-27,17.07
2024-06-28,15.82
2024-07-01,15.91
2024-07-02,16.56
2024-07-03,17.72
2024-07-04,18.07
2024-07-05,18.37
2024-07-08,16.94
2024-07-09,17.72
2024-07-10,16.86
2024-07-11,16.94
2024-07-12,16.99
2024-07-15,16.86
2024-07-16,17.25
2024-07-17,17.9
2024-07-18,18.59
2024-08-14,16.43
2024-08-15,15.99
2024-08-16,16.14
2024-08-19,15.52
2024-08-20,15.17
2024-08-21,15.63
2024-08-22,15.65
2024-08-23,15.41
2024-08-26,14.74
2024-08-27,14.26
2024-08-28,14.07
2024-08-29,14.31
2024-08-30,14.26
2024-09-04,14.24
2024-09-05,14.24
2024-09-06,14.31
2024-09-09,14.31
2024-09-10,14.24
2024-09-11,14.24
2024-09-12,14.18
2024-09-13,14.0
2024-09-16,14.2
2024-09-17,14.24
2024-09-18,14.05
2024-09-19,14.18
2024-09-20,14.22
2024-09-23,14.26
2024-09-24,14.22
2024-09-25,14.26
2024-09-26,14.29
2024-09-27,14.33
2024-09-30,14.26
2024-10-01,14.22
2024-10-02,14.09
2024-10-03,14.09
2024-10-04,14.18
2024-10-07,14.05
2024-10-08,14.05
2024-10-09,14.09
2024-10-10,14.09
2024-10-11,14.26
2024-10-14,14.22
2024-10-15,14.65
2024-10-16,14.7
2024-10-17,14.7
2024-10-18,14.78
2024-10-21,14.83
2024-10-22,14.48
2024-10-23,14.63
2024-10-24,14.48
2024-10-25,14.48
2024-10-28,13.88
2024-10-29,14.65
2024-10-30,14.61
2024-10-31,14.65
2024-11-01,14.65
2024-11-04,14.65
2024-11-05,14.57
2024-11-06,14.57
2024-11-07,14.57
2024-11-08,14.48
2024-11-11,14.26
2024-11-12,14.52
2024-11-13,14.26
2024-11-14,14.26
2024-11-15,14.29
2024-11-18,14.26
2024-11-19,14.18
2024-11-20,14.05
2024-11-21,14.26
2024-11-22,14.24
2024-11-25,14.24
2024-11-26,14.29
2024-11-27,14.24
2024-11-29,14.26
2024-12-02,13.83
2024-12-03,13.81
2024-12-04,13.79
2024-12-05,13.83
2024-12-06,13.83
2024-12-09,13.83
2024-12-10,13.64
2024-12-11,13.57
2024-12-12,12.66
2024-12-13,12.71
2024-12-16,12.71
2024-12-17,12.84
2024-12-18,12.97
2024-12-19,13.79
2024-12-20,14.18
2024-12-23,13.96
2024-12-24,14.94
2024-12-25,15.04
2024-12-26,14.98
2024-12-27,14.93
2024-12-30,14.69
2024-12-31,15.27
2025-01-02,14.82
2025-01-03,14.44
2025-01-06,13.8
2025-01-07,13.49
2025-01-08,13.73
2025-01-09,13.51
2025-01-10,13.8
2025-01-13,13.78
2025-01-14,13.78
2025-01-15,14.04
2025-01-16,14.13
2025-01-17,14.38
2025-01-20,14.38
2025-01-21,14.6
2025-01-22,14.73
2025-01-23,14.73
2025-01-24,15.76
2025-02-03,16.85
2025-02-04,18.0
2025-02-05,19.14
2025-02-06,20.03
2025-02-07,19.67
2025-02-10,19.67
2025-02-11,19.61
2025-02-12,20.96
2025-02-13,22.19
2025-02-14,21.94
2025-02-17,23.46
2025-02-18,24.93
2025-02-19,23.99
2025-02-20,23.64
2025-02-21,24.3
2025-02-24,25.99
2025-02-25,27.51
2025-02-26,27.55
2025-02-27,26.62
2025-02-28,27.55
2025-03-03,27.37
2025-03-04,27.51
2025-03-05,27.51
2025-03-06,29.42
2025-03-07,30.22
2025-03-10,30.22
2025-03-11,31.16
2025-03-12,31.6
2025-03-13,30.27
2025-03-14,30.94
2025-03-17,31.51
2025-03-18,30.85
2025-03-19,29.42
2025-03-20,30.04
2025-03-21,29.69
2025-03-24,30.49
2025-03-25,31.82
2025-03-26,32.05
2025-03-27,30.94
2025-03-28,31.07
2025-03-31,31.11
2025-04-01,31.51
2025-04-02,31.82
2025-04-03,29.6
2025-04-04,31.56
2025-04-08,29.38
2025-04-09,27.33
2025-04-10,29.2
2025-04-11,31.2
2025-04-14,33.38
2025-04-15,35.7
2025-04-16,35.43
2025-04-17,37.88
2025-04-18,39.61
2025-04-21,38.5
2025-04-22,38.72
2025-04-23,38.04
2025-04-24,38.5
2025-04-25,41.09
2025-04-28,43.77
2025-04-29,43.17
2025-05-05,43.39
2025-05-06,43.12
2025-05-07,42.79
2025-05-08,43.99
2025-05-09,44.04
2025-05-12,44.92
2025-05-13,46.45
2025-05-14,47.43
2025-05-15,47.65
2025-05-16,50.98
2025-05-19,54.54
2025-05-20,54.04
2025-05-21,54.04
2025-05-22,51.91
2025-05-23,55.52
2025-05-26,57.65
2025-05-27,60.11
2025-05-28,56.83
2025-05-29,55.63
2025-05-30,53.39
2025-06-02,53.55
2025-06-03,53.82
2025-06-04,53.28
2025-06-05,52.73
2025-06-06,53.22
2025-06-09,49.78
2025-06-10,53.22
2025-06-11,54.43
2025-06-12,53.72
2025-06-13,51.31
2025-06-16,54.64
2025-06-17,53.22
2025-06-18,52.46
2025-06-19,53.01
2025-06-20,53.82
2025-06-23,54.54
2025-06-24,54.1
2025-06-25,52.73
2025-06-26,53.28
2025-06-27,52.08
2025-06-30,53.22
2025-07-01,53.55
2025-07-02,53.01
2025-07-03,53.06
2025-07-04,52.73
2025-07-07,52.46
2025-07-08,52.02
2025-07-09,51.09
2025-07-10,51.91
2025-07-11,51.58
2025-07-14,54.1
2025-07-15,57.87
2025-07-16,61.91
2025-07-17,66.23
2025-07-18,68.53
2025-07-21,63.94
2025-07-22,66.72
2025-07-23,64.32
2025-07-24,65.46
2025-07-25,67.21
2025-07-28,70.22
2025-07-29,65.52
2025-07-30,68.31
2025-07-31,69.4
2025-08-01,66.67
2025-08-04,65.36
2025-08-05,65.03
2025-08-06,65.57
2025-08-07,63.66
2025-08-08,68.09
2025-08-11,72.68
2025-08-12,70.49
2025-08-13,69.95
2025-08-14,67.98
2025-08-15,69.34
2025-08-18,69.67
2025-08-19,67.92
2025-08-20,72.63
2025-08-21,70.05
2025-08-22,68.82
2025-08-25,64.84
2025-08-26,65.96
2025-08-27,65.52
2025-08-28,65.52
2025-08-29,64.96
2025-09-03,64.68
2025-09-04,64.96
2025-09-05,63.39
2025-09-08,59.13
2025-09-09,58.12
2025-09-10,58.01
2025-09-11,58.24
2025-09-12,59.64
2025-09-15,63.72
2025-09-16,63.78
2025-09-17,62.72
2025-09-18,61.04
2025-09-19,65.29
2025-09-22,62.16
2025-09-23,60.81
2025-09-24,60.76
2025-09-25,61.71
2025-09-26,62.16
2025-09-29,66.47
2025-09-30,71.12
2025-10-01,71.68
2025-10-02,69.27
2025-10-03,66.75
2025-10-06,66.64
2025-10-07,65.8
