time,close
2024-03-11,60.5
2024-03-12,61.13
2024-03-13,62.84
2024-03-14,62.84
2024-03-15,62.37
2024-03-18,60.74
2024-03-19,60.04
2024-03-20,60.82
2024-03-21,61.13
2024-03-22,61.28
2024-03-25,60.89
2024-03-26,61.52
2024-03-27,62.37
2024-03-28,62.37
2024-03-29,62.14
2024-04-01,61.98
2024-04-02,62.53
2024-04-03,62.76
2024-04-04,62.22
2024-04-05,60.82
2024-04-08,60.42
2024-04-09,61.28
2024-04-10,61.59
2024-04-11,61.83
2024-04-12,63.7
2024-04-15,61.05
2024-04-16,61.13
2024-04-17,62.76
2024-04-19,62.37
2024-04-22,62.22
2024-04-23,61.59
2024-04-24,63.39
2024-04-25,63.47
2024-04-26,65.65
2024-05-02,65.65
2024-05-03,66.66
2024-05-06,65.65
2024-05-07,66.04
2024-05-08,66.19
2024-05-09,65.73
2024-05-10,65.18
2024-05-13,64.01
2024-05-14,64.17
2024-05-15,64.71
2024-05-16,65.81
2024-05-17,66.12
2024-05-20,65.42
2024-05-21,66.51
2024-05-22,65.49
2024-05-23,66.66
2024-05-24,65.1
2024-05-27,64.64
2024-05-28,64.87
2024-05-29,64.4
2024-05-30,64.64
2024-05-31,65.34
2024-06-03,64.95
2024-06-04,65.88
2024-06-05,65.49
2024-06-06,65.49
2024-06-07,65.03
2024-06-10,67.75
2024-06-11,67.05
2024-06-12,66.82
2024-06-13,66.27
2024-06-14,64.71
2024-06-17,65.34
2024-06-18,65.18
2024-06-19,65.1
2024-06-20,64.87
2024-06-21,65.03
2024-06-24,63.93
2024-06-25,64.71
2024-06-26,65.49
2024-06-27,65.03
2024-06-28,64.71
2024-07-01,63.93
2024-07-02,63.54
2024-07-03,64.09
2024-07-04,63.93
2024-07-05,65.18
2024-07-08,65.49
2024-07-09,66.27
2024-07-10,65.57
2024-07-11,65.26
2024-07-12,65.49
2024-07-15,65.09
2024-07-16,65.09
2024-07-17,64.85
2024-07-18,63.97
2024-07-19,63.09
2024-07-22,62.45
2024-07-23,61.33
2024-07-24,62.37
2024-07-25,62.21
2024-07-26,63.25
2024-07-29,63.25
2024-07-30,63.25
2024-07-31,64.05
2024-08-01,63.17
2024-08-02,64.85
2024-08-05,60.53
2024-08-06,61.65
2024-08-07,61.09
2024-08-08,61.25
2024-08-09,61.73
2024-08-12,63.25
2024-08-13,62.93
2024-08-14,63.09
2024-08-15,63.41
2024-08-16,63.89
2024-08-19,66.29
2024-08-20,66.29
2024-08-21,66.77
2024-08-22,66.37
2024-08-23,65.89
2024-08-26,64.93
2024-08-27,64.29
2024-08-28,64.21
2024-08-29,64.21
2024-08-30,64.45
2024-09-04,63.25
2024-09-05,63.09
2024-09-06,62.45
2024-09-09,61.89
2024-09-10,61.89
2024-09-11,61.73
2024-09-12,62.05
2024-09-13,61.81
2024-09-16,61.17
2024-09-17,61.49
2024-09-18,62.29
2024-09-19,62.61
2024-09-20,62.77
2024-09-23,63.25
2024-09-24,63.25
2024-09-25,63.25
2024-09-26,63.17
2024-09-27,62.85
2024-09-30,62.45
2024-10-01,61.97
2024-10-02,62.29
2024-10-03,61.97
2024-10-04,61.49
2024-10-07,61.17
2024-10-08,60.29
2024-10-09,60.45
2024-10-10,61.33
2024-10-11,61.49
2024-10-14,60.93
2024-10-15,60.53
2024-10-16,60.13
2024-10-17,58.53
2024-10-18,57.49
2024-10-21,57.09
2024-10-22,59.06
2024-10-23,59.06
2024-10-24,59.06
2024-10-25,58.97
2024-10-28,58.78
2024-10-29,61.13
2024-10-30,61.22
2024-10-31,61.41
2024-11-01,60.38
2024-11-04,60.47
2024-11-05,60.1
2024-11-06,60.66
2024-11-07,61.13
2024-11-08,60.75
2024-11-11,61.88
2024-11-12,61.98
2024-11-13,61.88
2024-11-14,62.64
2024-11-15,61.88
2024-11-18,60.75
2024-11-19,60.0
2024-11-20,59.91
2024-11-21,61.13
2024-11-22,60.28
2024-11-25,60.19
2024-11-26,61.04
2024-11-27,60.47
2024-11-28,60.85
2024-11-29,60.85
2024-12-02,60.47
2024-12-03,60.19
2024-12-04,60.85
2024-12-05,62.07
2024-12-06,63.39
2024-12-09,63.29
2024-12-10,62.92
2024-12-11,61.98
2024-12-12,62.45
2024-12-13,61.98
2024-12-16,61.88
2024-12-17,61.6
2024-12-18,61.51
2024-12-19,61.22
2024-12-20,61.13
2024-12-23,61.13
2024-12-24,61.79
2024-12-25,62.82
2024-12-26,62.82
2024-12-27,62.54
2024-12-30,62.07
2024-12-31,61.32
2025-01-02,62.26
2025-01-03,61.88
2025-01-06,60.28
2025-01-07,58.97
2025-01-08,59.72
2025-01-09,59.72
2025-01-10,58.31
2025-01-13,58.12
2025-01-14,56.43
2025-01-15,56.62
