time,close
2024-03-11,15.07
2024-03-14,16.92
2024-03-15,17.08
2024-03-18,17.08
2024-03-19,19.78
2024-03-20,17.77
2024-03-21,19.94
2024-03-22,19.24
2024-03-25,15.84
2024-03-26,18.55
2024-03-27,16.77
2024-03-28,16.31
2024-03-29,16.46
2024-04-01,18.01
2024-04-02,18.78
2024-04-03,16.07
2024-04-04,17.85
2024-04-05,14.84
2024-04-08,16.92
2024-04-09,14.84
2024-04-10,15.22
2024-04-11,15.84
2024-04-12,14.14
2024-04-15,14.68
2024-04-16,16.15
2024-04-17,16.15
2024-05-02,16.69
2024-05-03,17.31
2024-05-06,17.31
2024-05-07,17.0
2024-05-08,18.78
2024-05-10,18.78
2024-05-13,19.01
2024-05-17,16.23
2024-05-20,17.39
2024-05-21,17.31
2024-05-23,16.77
2024-05-28,16.46
2024-05-29,14.3
2024-05-31,14.68
2024-06-03,16.0
2024-06-04,17.31
2024-06-05,17.0
2024-06-07,16.54
2024-06-10,15.61
2024-06-12,16.07
2024-06-13,16.69
2024-06-14,17.39
2024-06-17,17.85
2024-06-18,17.7
2024-06-19,16.85
2024-06-20,17.85
2024-06-21,17.85
2024-06-24,18.16
2024-06-25,18.32
2024-06-26,18.16
2024-06-27,18.62
2024-06-28,18.35
2024-07-01,16.92
2024-07-02,18.1
2024-07-03,19.36
2024-07-04,17.68
2024-07-05,17.34
2024-07-08,17.34
2024-07-09,17.84
2024-07-10,17.34
2024-07-11,17.51
2024-07-15,17.59
2024-07-16,18.35
2024-07-17,16.84
2024-07-18,17.09
2024-07-19,16.84
2024-07-22,18.1
2024-07-23,16.41
2024-07-25,16.84
2024-07-26,16.84
2024-07-29,17.0
2024-07-30,16.92
2024-07-31,17.26
2024-08-01,17.0
2024-08-02,17.09
2024-08-05,17.0
2024-08-08,17.26
2024-08-12,17.17
2024-08-13,16.92
2024-08-14,19.28
2024-08-15,17.26
2024-08-16,18.86
2024-08-19,18.27
2024-08-20,18.1
2024-08-21,17.68
2024-08-22,17.68
2024-08-26,17.51
2024-08-27,17.68
2024-08-28,17.59
2024-08-29,17.68
2024-08-30,18.43
2024-09-04,17.93
2024-09-05,19.02
2024-09-06,18.18
2024-09-09,19.28
2024-09-10,19.28
2024-09-11,19.11
2024-09-12,19.28
2024-09-13,19.28
2024-09-17,18.52
2024-09-19,18.77
