time,close
2024-03-11,26.79
2024-03-12,27.68
2024-03-13,28.03
2024-03-14,28.54
2024-03-15,28.03
2024-03-18,26.76
2024-03-19,26.76
2024-03-20,27.2
2024-03-21,27.33
2024-03-22,27.27
2024-03-25,26.92
2024-03-26,27.11
2024-03-27,27.62
2024-03-28,27.62
2024-03-29,27.2
2024-04-01,27.08
2024-04-02,27.52
2024-04-03,27.39
2024-04-04,27.01
2024-04-05,26.32
2024-04-08,25.94
2024-04-09,26.28
2024-04-10,26.09
2024-04-11,26.0
2024-04-12,26.41
2024-04-15,24.57
2024-04-16,24.26
2024-04-17,24.32
2024-04-19,24.13
2024-04-22,25.08
2024-04-23,25.14
2024-04-24,25.87
2024-04-25,25.87
2024-04-26,26.13
2024-05-02,25.71
2024-05-03,25.43
2024-05-06,26.95
2024-05-07,26.89
2024-05-08,26.98
2024-05-09,27.24
2024-05-10,26.82
2024-05-13,26.38
2024-05-14,26.16
2024-05-15,26.54
2024-05-16,26.57
2024-05-17,27.33
2024-05-20,27.9
2024-05-21,28.0
2024-05-22,27.36
2024-05-23,27.04
2024-05-24,26.22
2024-05-27,26.48
2024-05-28,26.63
2024-05-29,26.82
2024-05-30,26.79
2024-05-31,27.04
2024-06-03,27.14
2024-06-04,27.2
2024-06-05,26.82
2024-06-06,27.04
2024-06-07,28.06
2024-06-10,29.99
2024-06-11,30.79
2024-06-12,30.85
2024-06-13,31.07
2024-06-14,30.44
2024-06-17,31.83
2024-06-18,31.26
2024-06-19,31.42
2024-06-20,30.85
2024-06-21,31.65
2024-06-24,30.16
2024-06-25,32.24
2024-06-26,32.82
2024-06-27,32.38
2024-06-28,33.0
2024-07-01,33.11
2024-07-02,32.82
2024-07-03,32.46
2024-07-04,32.71
2024-07-05,33.33
2024-07-08,33.73
2024-07-09,33.4
2024-07-10,32.75
2024-07-11,32.46
2024-07-12,32.71
2024-07-15,32.93
2024-07-16,32.34
2024-07-17,31.0
2024-07-18,32.05
2024-07-19,31.36
2024-07-22,30.67
2024-07-23,30.63
2024-07-24,30.85
2024-07-25,31.36
2024-07-26,31.43
2024-07-29,31.62
2024-07-30,31.62
2024-07-31,30.96
2024-08-01,28.81
2024-08-02,28.81
2024-08-05,27.57
2024-08-06,28.37
2024-08-07,28.81
2024-08-08,28.84
2024-08-09,29.28
2024-08-12,29.83
2024-08-13,29.65
2024-08-14,29.32
2024-08-15,29.17
2024-08-16,30.27
2024-08-19,30.6
2024-08-20,30.63
2024-08-21,30.41
2024-08-22,30.56
2024-08-23,30.52
2024-08-26,30.49
2024-08-27,30.08
2024-08-28,29.98
2024-08-29,29.94
2024-08-30,30.08
2024-09-04,29.98
2024-09-05,29.61
2024-09-06,29.03
2024-09-09,28.95
2024-09-10,28.88
2024-09-11,28.44
2024-09-12,28.44
2024-09-13,28.63
2024-09-16,28.44
2024-09-17,28.66
2024-09-18,28.88
2024-09-19,29.1
2024-09-20,29.25
2024-09-23,29.32
2024-09-24,29.5
2024-09-25,29.72
2024-09-26,30.16
2024-09-27,29.98
2024-09-30,29.65
2024-10-01,30.08
2024-10-02,30.12
2024-10-03,29.76
2024-10-04,29.21
2024-10-07,29.46
2024-10-08,30.23
2024-10-09,30.7
2024-10-10,30.6
2024-10-11,31.58
2024-10-14,31.29
2024-10-15,30.85
2024-10-16,31.03
2024-10-17,31.32
2024-10-18,30.81
2024-10-21,30.27
2024-10-22,30.45
2024-10-23,30.7
2024-10-24,30.23
2024-10-25,30.67
2024-10-28,31.51
2024-10-29,31.69
2024-10-30,31.91
2024-10-31,32.02
2024-11-01,31.36
2024-11-04,31.69
2024-11-05,31.98
2024-11-06,32.46
2024-11-07,33.51
2024-11-08,33.4
2024-11-11,34.17
2024-11-12,34.06
2024-11-13,33.62
2024-11-14,35.01
2024-11-15,34.64
2024-11-18,34.42
2024-11-19,32.09
2024-11-20,33.33
2024-11-21,33.84
2024-11-22,33.84
2024-11-25,34.32
2024-11-26,34.64
2024-11-27,34.68
2024-11-28,34.75
2024-11-29,35.04
2024-12-02,35.23
2024-12-03,34.9
2024-12-04,36.47
2024-12-05,36.47
2024-12-06,36.32
2024-12-09,36.21
2024-12-10,36.17
2024-12-11,36.98
2024-12-12,36.39
2024-12-13,36.03
2024-12-16,36.06
2024-12-17,36.14
2024-12-18,35.99
2024-12-19,35.37
2024-12-20,35.96
2024-12-23,36.54
2024-12-24,37.05
2024-12-25,36.39
2024-12-26,35.77
2024-12-27,35.74
2024-12-30,35.85
2024-12-31,36.1
2025-01-02,36.06
2025-01-03,35.48
2025-01-06,35.52
2025-01-07,35.3
2025-01-08,36.1
2025-01-09,36.1
2025-01-10,36.1
2025-01-13,36.06
2025-01-14,36.1
2025-01-15,37.2
2025-01-16,37.41
2025-01-17,38.0
2025-01-20,37.2
2025-01-21,37.05
2025-01-22,36.1
2025-01-23,36.68
2025-01-24,36.25
2025-02-03,37.49
2025-02-04,37.78
2025-02-05,39.6
2025-02-06,39.46
2025-02-07,39.38
2025-02-10,38.0
2025-02-11,38.65
2025-02-12,38.65
2025-02-13,39.53
2025-02-14,39.38
2025-02-17,38.87
2025-02-18,38.44
2025-02-19,39.24
2025-02-20,39.16
2025-02-21,38.8
2025-02-24,38.22
2025-02-25,38.65
2025-02-26,38.58
2025-02-27,38.65
2025-02-28,38.8
2025-03-03,38.07
2025-03-04,38.0
2025-03-05,37.2
2025-03-06,36.98
2025-03-07,37.05
2025-03-10,37.49
2025-03-11,37.05
2025-03-12,37.05
2025-03-13,35.59
2025-03-14,34.97
2025-03-17,35.15
2025-03-18,35.48
2025-03-19,35.15
2025-03-20,36.39
2025-03-21,37.05
2025-03-24,36.98
2025-03-25,37.85
2025-03-26,38.29
2025-03-27,38.29
2025-03-28,38.51
2025-03-31,38.51
2025-04-01,38.58
2025-04-02,38.95
2025-04-03,36.25
2025-04-04,37.92
2025-04-08,35.3
2025-04-09,32.86
2025-04-10,35.15
2025-04-11,37.2
2025-04-14,39.38
2025-04-15,42.01
2025-04-16,42.23
2025-04-17,42.52
2025-04-18,43.32
2025-04-21,43.25
2025-04-22,44.05
2025-04-23,43.69
2025-04-24,43.47
2025-04-25,44.12
2025-04-28,44.2
2025-04-29,46.82
2025-05-05,48.14
2025-05-06,46.31
2025-05-07,48.5
2025-05-08,49.16
2025-05-09,48.72
2025-05-12,49.59
2025-05-13,49.74
2025-05-14,48.57
2025-05-15,47.48
2025-05-16,48.21
2025-05-19,48.06
2025-05-20,51.42
2025-05-21,54.99
2025-05-22,55.5
2025-05-23,57.62
2025-05-26,57.54
2025-05-27,61.56
2025-05-28,58.71
2025-05-29,58.64
2025-05-30,56.89
2025-06-02,55.43
2025-06-03,56.89
2025-06-04,55.5
2025-06-05,53.68
2025-06-06,55.43
2025-06-09,51.56
2025-06-10,51.42
2025-06-11,50.18
2025-06-12,50.69
2025-06-13,50.98
2025-06-16,51.71
2025-06-17,50.69
2025-06-18,51.05
2025-06-19,50.03
2025-06-20,51.05
2025-06-23,50.76
2025-06-24,49.67
2025-06-25,48.5
2025-06-26,48.94
2025-06-27,48.21
2025-06-30,49.23
2025-07-01,48.43
2025-07-02,48.94
2025-07-03,50.83
2025-07-04,50.32
2025-07-07,49.67
2025-07-08,50.91
2025-07-09,50.4
2025-07-10,51.2
2025-07-11,50.54
2025-07-14,50.47
2025-07-15,49.52
2025-07-16,49.52
2025-07-17,49.88
2025-07-18,51.05
2025-07-21,50.69
2025-07-22,53.17
2025-07-23,52.29
2025-07-24,52.73
2025-07-25,54.19
2025-07-28,55.43
2025-07-29,51.78
2025-07-30,53.6
2025-07-31,54.7
2025-08-01,58.49
2025-08-04,58.49
2025-08-05,55.57
2025-08-06,55.43
2025-08-07,56.39
2025-08-08,55.91
2025-08-11,56.58
2025-08-12,60.52
2025-08-13,60.71
2025-08-14,60.33
2025-08-15,59.46
2025-08-18,61.86
2025-08-19,60.81
2025-08-20,57.93
2025-08-21,57.16
2025-08-22,54.08
2025-08-25,51.39
2025-08-26,54.76
2025-08-27,55.62
2025-08-28,55.04
2025-08-29,53.99
2025-09-03,55.24
2025-09-04,55.91
2025-09-05,56.39
2025-09-08,55.52
2025-09-09,54.95
2025-09-10,55.52
2025-09-11,54.56
2025-09-12,54.56
2025-09-15,56.29
2025-09-16,55.24
2025-09-17,55.43
2025-09-18,54.56
2025-09-19,53.8
2025-09-22,51.39
2025-09-23,51.59
2025-09-24,52.35
2025-09-25,53.12
2025-09-26,52.84
2025-09-29,52.35
2025-09-30,51.68
2025-10-01,51.49
2025-10-02,51.49
2025-10-03,51.87
2025-10-06,54.56
2025-10-07,53.12
2025-10-08,52.74
2025-10-09,52.74
2025-10-10,52.55
2025-10-13,52.55
2025-10-14,52.93
2025-10-15,53.7
2025-10-16,53.6
2025-10-17,53.41
2025-10-20,51.3
2025-10-21,52.35
2025-10-22,52.84
2025-10-23,56.39
2025-10-24,56.1
2025-10-27,53.8
2025-10-28,57.54
2025-10-29,59.56
2025-10-30,60.23
2025-10-31,58.98
2025-11-03,60.14
2025-11-04,59.56
2025-11-05,58.5
2025-11-06,60.14
2025-11-07,58.41
2025-11-10,59.27
2025-11-11,58.89
2025-11-12,60.33
2025-11-13,63.4
2025-11-14,62.44
2025-11-17,63.4
2025-11-18,64.84
2025-11-19,63.69
2025-11-20,63.4
2025-11-21,62.06
2025-11-24,59.27
2025-11-25,57.93
2025-11-26,59.37
2025-11-27,57.93
2025-11-28,58.5
2025-12-01,58.41
2025-12-02,58.6
2025-12-03,58.89
2025-12-04,59.08
2025-12-05,57.54
2025-12-08,56.87
2025-12-09,57.25
2025-12-10,56.96
2025-12-11,56.29
2025-12-12,53.8
2025-12-15,54.18
2025-12-16,55.72
2025-12-17,55.91
2025-12-18,55.72
2025-12-19,55.24
2025-12-22,57.45
2025-12-23,58.12
2025-12-24,58.6
2025-12-25,57.64
2025-12-26,57.16
2025-12-29,57.83
2025-12-30,56.77
2025-12-31,56.39
2026-01-05,55.52
2026-01-06,55.52
2026-01-07,56.77
2026-01-08,55.33
2026-01-09,54.76
2026-01-12,54.76
2026-01-13,56.0
2026-01-14,55.24
2026-01-15,55.33
2026-01-16,55.33
2026-01-19,55.24
2026-01-20,59.08
2026-01-21,57.45
2026-01-22,56.68
2026-01-23,55.43
2026-01-26,54.08
2026-01-27,54.56
2026-01-28,53.7
2026-01-29,53.99
2026-01-30,54.28
2026-02-02,56.1
2026-02-03,57.06
2026-02-04,56.96
2026-02-05,55.43
2026-02-06,55.33
2026-02-09,54.37
2026-02-10,54.18
2026-02-11,55.52
2026-02-12,55.72
2026-02-13,56.2
2026-02-23,57.64
2026-02-24,60.14
2026-02-25,60.04
2026-02-26,58.98
2026-02-27,60.33
2026-03-02,64.46
2026-03-03,68.2
2026-03-04,64.36
2026-03-05,61.1
2026-03-06,60.52
2026-03-09,56.29
2026-03-10,54.08
2026-03-11,57.83
2026-03-12,56.0
2026-03-13,54.47
2026-03-16,53.8
2026-03-17,54.18
2026-03-18,55.24
2026-03-19,53.8
2026-03-20,51.3
2026-03-23,47.74
2026-03-24,49.95
2026-03-25,51.59
2026-03-26,52.35
2026-03-27,53.7
2026-03-30,53.8
2026-03-31,54.47
2026-04-01,54.37
2026-04-02,52.45
2026-04-03,52.45
2026-04-06,53.6
2026-04-07,52.35
2026-04-08,54.18
2026-04-09,53.32
2026-04-10,53.41
2026-04-13,52.55
2026-04-14,52.84
2026-04-15,52.26
2026-04-16,51.97
2026-04-17,52.26
2026-04-20,51.97
2026-04-21,51.3
2026-04-22,53.8
2026-04-23,54.56
2026-04-24,53.89
2026-04-28,52.55
2026-04-29,52.93
2026-05-04,53.32
2026-05-05,54.47
2026-05-06,54.76
2026-05-07,54.37
2026-05-08,54.28
2026-05-11,54.18
2026-05-12,55.43
2026-05-13,55.62
2026-05-14,55.04
2026-05-15,55.24
2026-05-18,55.14
2026-05-19,53.32
2026-05-20,53.51
2026-05-21,52.93
2026-05-22,52.35
2026-05-25,52.26
2026-05-26,51.97
2026-05-27,52.55
2026-05-28,51.87
2026-05-29,52.26
2026-06-01,51.78
2026-06-02,51.3
2026-06-03,51.01
2026-06-04,52.84
2026-06-05,51.97
2026-06-08,51.78
2026-06-09,51.59
2026-06-10,51.2
2026-06-11,51.59
2026-06-12,51.2
2026-06-15,52.35
2026-06-16,52.55
2026-06-17,53.32
2026-06-18,52.16
2026-06-19,51.87
2026-06-22,51.39
2026-06-23,50.91
2026-06-24,50.82
2026-06-25,50.43
2026-06-26,50.82
2026-06-29,49.95
2026-06-30,50.14
2026-07-01,49.47
2026-07-02,49.47
2026-07-03,49.86
2026-07-06,49.28
2026-07-07,49.76
2026-07-08,49.86
2026-07-09,48.13
2026-07-10,49.47
2026-07-13,48.8
2026-07-14,48.8
2026-07-15,47.6
2026-07-16,47.0
2026-07-17,46.2
2026-07-20,44.9
2026-07-21,44.9
2026-07-22,44.85
2026-07-23,45.0
2026-07-24,45.0
2026-07-27,44.0
2026-07-28,43.9
2026-07-29,43.95
2026-07-30,45.2
2026-07-31,45.25
2026-08-03,46.05
2026-08-04,46.05
2026-08-05,45.2
2026-08-06,46.5
2026-08-07,46.2
2026-08-10,46.4
2026-08-11,46.1
2026-08-12,46.35
2026-08-13,45.8
2026-08-14,45.9
2026-08-17,45.8
2026-08-18,46.7
2026-08-19,47.6
2026-08-20,47.5
2026-08-21,48.4
