time,close
2024-03-11,11.49
2024-03-12,11.45
2024-03-13,11.65
2024-03-14,12.08
2024-03-15,12.12
2024-03-18,11.8
2024-03-19,11.84
2024-03-20,11.96
2024-03-21,12.32
2024-03-22,12.28
2024-03-25,12.28
2024-03-26,12.32
2024-03-27,12.32
2024-03-28,12.36
2024-03-29,12.16
2024-04-01,12.2
2024-04-02,12.28
2024-04-03,12.32
2024-04-04,12.32
2024-04-05,12.16
2024-04-08,12.08
2024-04-09,12.28
2024-04-10,12.16
2024-04-11,12.12
2024-04-12,12.2
2024-04-15,12.28
2024-04-16,11.96
2024-04-17,12.2
2024-04-19,12.08
2024-04-22,12.16
2024-04-23,11.96
2024-04-24,12.16
2024-04-25,12.12
2024-04-26,12.2
2024-05-02,12.68
2024-05-03,12.4
2024-05-06,12.64
2024-05-07,12.72
2024-05-08,13.2
2024-05-09,13.15
2024-05-10,13.29
2024-05-13,13.29
2024-05-14,13.29
2024-05-15,14.18
2024-05-16,14.55
2024-05-17,14.74
2024-05-20,14.74
2024-05-21,15.21
2024-05-22,14.69
2024-05-23,14.55
2024-05-24,13.9
2024-05-27,14.27
2024-05-28,14.93
2024-05-29,14.27
2024-05-30,14.83
2024-05-31,14.88
2024-06-03,14.65
2024-06-04,14.74
2024-06-05,14.74
2024-06-06,15.11
2024-06-07,15.11
2024-06-10,14.83
2024-06-11,14.46
2024-06-12,14.65
2024-06-13,14.41
2024-06-14,14.13
2024-06-17,14.23
2024-06-18,14.46
2024-06-19,14.27
2024-06-20,14.46
2024-06-21,14.51
2024-06-24,14.09
2024-06-25,14.27
2024-06-26,14.88
2024-06-27,15.44
2024-06-28,15.07
2024-07-01,15.39
2024-07-02,15.39
2024-07-03,15.07
2024-07-04,15.11
2024-07-05,15.39
2024-07-08,15.21
2024-07-09,15.35
2024-07-10,16.42
2024-07-11,16.14
2024-07-12,16.05
2024-07-15,16.23
2024-07-16,15.91
2024-07-17,14.83
2024-07-18,15.39
2024-07-19,14.93
2024-07-22,14.51
2024-07-23,14.04
2024-07-24,14.41
2024-07-25,14.41
2024-07-26,14.37
2024-07-29,14.51
2024-07-30,14.88
2024-07-31,14.6
2024-08-01,14.27
2024-08-02,14.93
2024-08-05,14.41
2024-08-06,14.46
2024-08-07,14.74
2024-08-08,14.37
2024-08-09,14.6
2024-08-12,15.11
2024-08-13,15.11
2024-08-14,14.74
2024-08-15,14.41
2024-08-16,14.93
2024-08-19,15.95
2024-08-20,16.19
2024-08-21,16.0
2024-08-22,16.42
2024-08-23,16.47
2024-08-26,15.91
2024-08-27,15.58
2024-08-28,15.49
2024-08-29,15.72
2024-08-30,15.58
2024-09-04,16.65
2024-09-05,16.19
2024-09-06,16.05
2024-09-09,15.77
2024-09-10,15.86
2024-09-11,15.86
2024-09-12,15.67
2024-09-13,15.81
2024-09-16,15.53
2024-09-17,15.86
2024-09-18,15.86
2024-09-19,15.77
2024-09-20,15.67
2024-09-23,15.53
2024-09-24,15.53
2024-09-25,15.86
2024-09-26,15.77
2024-09-27,15.58
2024-09-30,15.72
2024-10-01,15.67
2024-10-02,15.58
2024-10-03,15.67
2024-10-04,15.39
2024-10-07,15.3
2024-10-08,15.21
2024-10-09,15.21
2024-10-10,15.16
2024-10-11,15.25
2024-10-14,15.21
2024-10-15,15.07
2024-10-16,15.25
2024-10-17,15.21
2024-10-18,15.3
2024-10-21,15.63
2024-10-22,15.81
2024-10-23,15.67
2024-10-24,15.39
2024-10-25,15.63
2024-10-28,15.63
2024-10-29,15.91
2024-10-30,15.95
2024-10-31,16.09
2024-11-01,16.05
2024-11-04,15.67
2024-11-05,15.81
