time,close
2024-03-11,20.52
2024-03-12,20.44
2024-03-13,21.21
2024-03-14,21.64
2024-03-15,21.64
2024-03-18,20.99
2024-03-19,20.95
2024-03-20,21.13
2024-03-21,21.35
2024-03-22,21.21
2024-03-25,20.92
2024-03-26,21.17
2024-03-27,21.61
2024-03-28,21.39
2024-03-29,21.24
2024-04-01,21.42
2024-04-02,21.75
2024-04-03,21.57
2024-04-04,21.42
2024-04-05,20.7
2024-04-08,20.48
2024-04-09,20.7
2024-04-10,20.74
2024-04-11,20.7
2024-04-12,20.77
2024-04-15,19.39
2024-04-16,19.25
2024-04-17,18.88
2024-04-19,18.3
2024-04-22,18.74
2024-04-23,18.56
2024-04-24,19.17
2024-04-25,19.25
2024-04-26,19.36
2024-05-02,19.61
2024-05-03,19.36
2024-05-06,19.61
2024-05-07,19.54
2024-05-08,19.9
2024-05-09,19.61
2024-05-10,19.5
2024-05-13,19.64
2024-05-14,19.64
2024-05-15,19.86
2024-05-16,19.9
2024-05-17,21.28
2024-05-20,22.73
2024-05-21,23.42
2024-05-22,23.93
2024-05-23,24.55
2024-05-24,23.53
2024-05-27,23.68
2024-05-28,25.31
2024-05-29,24.69
2024-05-30,24.84
2024-05-31,24.58
2024-06-03,24.51
2024-06-04,24.66
2024-06-05,24.84
2024-06-06,25.02
2024-06-07,24.76
2024-06-10,25.2
2024-06-11,25.2
2024-06-12,25.24
2024-06-13,25.2
2024-06-14,23.57
2024-06-17,23.78
2024-06-18,23.17
2024-06-19,23.28
2024-06-20,24.18
2024-06-21,23.82
2024-06-24,22.32
2024-06-25,22.97
2024-06-26,23.25
2024-06-27,23.13
2024-06-28,22.85
2024-07-01,23.46
2024-07-02,23.7
2024-07-03,23.42
2024-07-04,23.66
2024-07-05,23.94
2024-07-08,24.84
2024-07-09,24.76
2024-07-10,25.89
2024-07-11,25.81
2024-07-12,25.48
2024-07-15,26.3
2024-07-16,25.73
2024-07-17,24.51
2024-07-18,25.73
2024-07-19,25.16
2024-07-22,23.42
2024-07-23,22.08
2024-07-24,22.81
2024-07-25,23.13
2024-07-26,23.38
2024-07-29,23.13
2024-07-30,22.97
2024-07-31,22.77
2024-08-01,21.67
2024-08-02,22.28
2024-08-05,20.74
2024-08-06,21.06
2024-08-07,21.51
2024-08-08,20.9
2024-08-09,21.39
2024-08-12,22.0
2024-08-13,21.59
2024-08-14,21.26
2024-08-15,21.3
2024-08-16,22.77
2024-08-19,22.77
2024-08-20,23.38
2024-08-21,23.09
2024-08-22,23.29
2024-08-23,23.33
2024-08-26,23.21
2024-08-27,22.93
2024-08-28,22.93
2024-08-29,22.85
2024-08-30,22.89
2024-09-04,22.93
2024-09-05,22.64
2024-09-06,23.33
2024-09-09,23.21
2024-09-10,22.81
2024-09-11,22.52
2024-09-12,22.48
2024-09-13,22.4
2024-09-16,22.36
2024-09-17,22.89
2024-09-18,22.73
2024-09-19,23.33
2024-09-20,23.29
2024-09-23,22.97
2024-09-24,23.38
2024-09-25,23.74
2024-09-26,23.42
2024-09-27,22.89
2024-09-30,22.68
2024-10-01,22.89
2024-10-02,22.68
2024-10-03,22.16
2024-10-04,22.2
2024-10-07,22.24
2024-10-08,22.44
2024-10-09,22.6
2024-10-10,22.36
2024-10-11,22.64
2024-10-14,22.48
2024-10-15,22.36
2024-10-16,22.36
2024-10-17,22.68
2024-10-18,22.32
2024-10-21,21.71
2024-10-22,21.55
2024-10-23,21.87
2024-10-24,21.63
2024-10-25,21.59
2024-10-28,21.67
2024-10-29,21.55
2024-10-30,21.63
2024-10-31,21.63
2024-11-01,22.16
2024-11-04,22.28
2024-11-05,22.44
2024-11-06,22.56
2024-11-07,22.89
2024-11-08,22.81
2024-11-11,23.09
2024-11-12,22.73
2024-11-13,23.38
2024-11-14,22.6
2024-11-15,22.16
2024-11-18,22.28
2024-11-19,22.08
2024-11-20,22.77
2024-11-21,22.93
2024-11-22,22.93
2024-11-25,23.17
2024-11-26,23.17
2024-11-27,23.7
2024-11-28,23.46
2024-11-29,23.29
2024-12-02,23.21
2024-12-03,23.25
2024-12-04,23.42
2024-12-05,24.71
2024-12-06,24.51
2024-12-09,25.2
2024-12-10,24.88
2024-12-11,25.04
2024-12-12,24.67
2024-12-13,24.59
2024-12-16,24.51
2024-12-17,24.59
2024-12-18,24.76
2024-12-19,24.47
2024-12-20,24.51
2024-12-23,25.0
2024-12-24,24.35
2024-12-25,24.27
2024-12-26,24.19
2024-12-27,23.58
2024-12-30,23.54
2024-12-31,23.13
2025-01-02,23.58
2025-01-03,23.25
2025-01-06,22.44
2025-01-07,22.36
2025-01-08,22.64
2025-01-09,22.4
2025-01-10,21.87
2025-01-13,22.16
2025-01-14,21.91
2025-01-15,22.28
2025-01-16,22.0
2025-01-17,22.4
2025-01-20,22.32
2025-01-21,22.04
2025-01-22,21.43
2025-01-23,21.75
2025-01-24,21.55
2025-02-03,21.67
2025-02-04,22.12
2025-02-05,22.16
2025-02-06,22.24
2025-02-07,22.16
2025-02-10,21.67
2025-02-11,21.83
2025-02-12,21.71
2025-02-13,21.91
2025-02-14,22.36
2025-02-17,22.48
2025-02-18,22.28
2025-02-19,22.6
2025-02-20,22.6
2025-02-21,22.48
2025-02-24,22.73
2025-02-25,22.68
2025-02-26,22.64
2025-02-27,22.97
2025-02-28,22.85
2025-03-03,22.81
2025-03-04,22.6
2025-03-05,22.28
2025-03-06,22.48
2025-03-07,22.48
2025-03-10,22.48
2025-03-11,22.32
2025-03-12,22.68
2025-03-13,22.68
2025-03-14,22.48
2025-03-17,22.56
2025-03-18,22.73
2025-03-19,22.52
2025-03-20,22.24
2025-03-21,22.0
2025-03-24,21.79
2025-03-25,21.83
2025-03-26,21.87
2025-03-27,21.75
2025-03-28,21.39
2025-03-31,21.39
2025-04-01,21.51
