time,close
2024-03-11,10.6
2024-03-12,10.72
2024-03-13,10.8
2024-03-14,10.64
2024-03-15,10.52
2024-03-18,10.4
2024-03-19,10.52
2024-03-20,10.6
2024-03-21,10.56
2024-03-22,10.56
2024-03-25,10.56
2024-03-26,10.56
2024-03-27,10.52
2024-03-28,10.6
2024-03-29,10.64
2024-04-01,11.35
2024-04-02,11.54
2024-04-03,11.19
2024-04-04,11.82
2024-04-05,12.61
2024-04-08,12.77
2024-04-09,12.65
2024-04-10,13.08
2024-04-11,13.08
2024-04-12,13.95
2024-04-15,13.16
2024-04-16,13.0
2024-04-17,12.57
2024-04-19,12.37
2024-04-22,13.04
2024-04-23,13.24
2024-04-24,13.44
2024-04-25,13.63
2024-04-26,13.59
2024-05-02,13.63
2024-05-03,14.58
2024-05-06,15.56
2024-05-07,16.11
2024-05-08,15.52
2024-05-09,16.39
2024-05-10,16.0
2024-05-13,16.23
2024-05-14,17.18
2024-05-15,17.18
2024-05-16,17.18
2024-05-17,16.94
2024-05-20,17.34
2024-05-21,17.3
2024-05-22,17.81
2024-05-23,18.68
2024-05-24,19.07
2024-05-27,19.82
2024-05-28,21.2
2024-05-29,22.3
2024-05-30,21.83
2024-05-31,21.91
2024-06-03,22.93
2024-06-04,23.29
2024-06-05,22.93
2024-06-06,21.99
2024-06-07,22.85
2024-06-10,22.81
2024-06-11,22.38
2024-06-12,22.46
2024-06-13,22.77
2024-06-14,24.11
2024-06-17,24.74
2024-06-18,25.61
2024-06-19,27.38
2024-06-20,27.93
2024-06-21,27.7
2024-06-24,25.77
2024-06-25,26.79
2024-06-26,27.03
2024-06-27,27.07
2024-06-28,26.16
2024-07-01,27.19
2024-07-02,27.42
2024-07-03,27.03
2024-07-04,26.95
2024-07-05,28.64
2024-07-08,28.05
2024-07-09,27.23
2024-07-10,26.95
2024-07-11,27.26
2024-07-12,27.15
2024-07-15,26.48
2024-07-16,24.62
2024-07-17,22.93
2024-07-18,22.14
2024-07-19,20.61
2024-07-22,19.19
2024-07-23,17.85
2024-07-24,17.1
2024-07-25,15.92
2024-07-26,16.47
2024-07-29,17.61
2024-07-30,17.97
2024-07-31,16.74
2024-08-01,16.27
2024-08-02,17.38
2024-08-05,16.19
2024-08-06,17.26
2024-08-07,16.9
2024-08-08,15.72
2024-08-09,15.01
2024-08-12,16.04
2024-08-13,16.43
2024-08-14,16.27
2024-08-15,16.0
2024-08-16,16.86
2024-08-19,16.63
2024-08-20,17.45
2024-08-21,17.34
2024-08-22,17.38
2024-08-23,17.22
2024-08-26,16.63
2024-08-27,16.39
2024-08-28,16.78
2024-08-29,16.86
2024-08-30,17.41
2024-09-04,16.94
2024-09-05,16.94
2024-09-06,16.78
2024-09-09,16.35
2024-09-10,16.04
2024-09-11,16.39
2024-09-12,16.35
2024-09-13,16.47
2024-09-16,16.27
2024-09-17,16.47
2024-09-18,17.26
2024-09-19,17.18
2024-09-20,17.14
2024-09-23,16.71
2024-09-24,16.78
2024-09-25,17.1
2024-09-26,16.74
2024-09-27,16.9
2024-09-30,16.59
2024-10-01,16.71
2024-10-02,16.51
2024-10-03,16.15
2024-10-04,16.04
2024-10-07,16.04
2024-10-08,16.08
2024-10-09,16.59
2024-10-10,16.67
2024-10-11,16.55
2024-10-14,16.51
2024-10-15,16.23
2024-10-16,16.19
2024-10-17,16.23
2024-10-18,16.31
2024-10-21,16.35
2024-10-22,16.31
2024-10-23,16.23
2024-10-24,16.15
2024-10-25,16.0
2024-10-28,16.23
2024-10-29,17.34
2024-10-30,17.61
2024-10-31,18.32
2024-11-01,17.73
2024-11-04,17.02
2024-11-05,17.97
2024-11-06,17.77
2024-11-07,18.32
2024-11-08,19.54
2024-11-11,20.37
2024-11-12,19.9
2024-11-13,20.49
2024-11-14,20.68
2024-11-15,20.17
2024-11-18,20.17
2024-11-19,19.5
2024-11-20,20.13
2024-11-21,20.92
2024-11-22,21.63
2024-11-25,22.14
2024-11-26,21.55
2024-11-27,21.55
2024-11-28,21.59
2024-11-29,21.99
2024-12-02,22.1
2024-12-03,21.71
2024-12-04,21.28
2024-12-05,20.61
2024-12-06,20.65
2024-12-09,21.43
2024-12-10,21.83
2024-12-11,21.51
2024-12-12,21.12
2024-12-13,20.88
2024-12-16,21.55
2024-12-17,21.32
2024-12-18,21.59
2024-12-19,21.59
2024-12-20,23.09
2024-12-23,23.99
2024-12-24,23.48
2024-12-25,22.58
2024-12-26,22.85
2024-12-27,22.85
2024-12-30,22.46
2024-12-31,22.58
2025-01-02,23.01
2025-01-03,22.38
2025-01-06,21.43
2025-01-07,21.47
2025-01-08,21.91
2025-01-09,21.67
2025-01-10,21.12
2025-01-13,20.49
2025-01-14,19.9
2025-01-15,20.68
2025-01-16,20.84
2025-01-17,21.32
2025-01-20,21.12
2025-01-21,20.76
2025-01-22,21.28
2025-01-23,21.35
2025-01-24,21.16
2025-02-03,21.75
2025-02-04,21.83
2025-02-05,21.63
2025-02-06,21.67
2025-02-07,21.67
2025-02-10,21.0
2025-02-11,21.71
2025-02-12,21.55
2025-02-13,21.47
2025-02-14,22.97
