time,close
2024-03-11,39.0
2024-03-12,39.81
2024-03-13,40.62
2024-03-14,40.83
2024-03-15,40.49
2024-03-18,39.2
2024-03-19,38.93
2024-03-20,39.61
2024-03-21,40.02
2024-03-22,40.29
2024-03-25,39.27
2024-03-26,39.61
2024-03-27,39.81
2024-03-28,39.81
2024-03-29,39.95
2024-04-01,39.61
2024-04-02,40.62
2024-04-03,39.68
2024-04-04,39.27
2024-04-05,39.27
2024-04-08,39.2
2024-04-09,39.34
2024-04-10,38.93
2024-04-11,38.93
2024-04-12,39.54
2024-04-15,37.38
2024-04-16,36.9
2024-04-17,36.9
2024-04-19,35.07
2024-04-22,36.09
2024-04-23,35.82
2024-04-24,36.83
2024-04-25,37.38
2024-04-26,38.05
2024-05-02,39.95
2024-05-03,40.08
2024-05-06,41.64
2024-05-07,41.98
2024-05-08,41.64
2024-05-09,42.39
2024-05-10,42.05
2024-05-13,42.05
2024-05-14,42.79
2024-05-15,42.93
2024-05-16,43.0
2024-05-17,42.45
2024-05-20,42.45
2024-05-21,42.18
2024-05-22,43.06
2024-05-23,43.33
2024-05-24,43.0
2024-05-27,42.72
2024-05-28,43.47
2024-05-29,43.47
2024-05-30,43.2
2024-05-31,43.2
2024-06-03,44.04
2024-06-04,44.04
2024-06-05,43.97
2024-06-06,43.62
2024-06-07,43.48
2024-06-10,44.04
2024-06-11,43.97
2024-06-12,44.26
2024-06-13,44.96
2024-06-14,44.04
2024-06-17,43.69
2024-06-18,43.83
2024-06-19,43.97
2024-06-20,43.9
2024-06-21,43.62
2024-06-24,43.27
2024-06-25,43.2
2024-06-26,42.7
2024-06-27,42.7
2024-06-28,42.07
2024-07-01,42.35
2024-07-02,42.92
2024-07-03,43.06
2024-07-04,42.99
2024-07-05,42.99
2024-07-08,43.69
2024-07-09,44.04
2024-07-10,43.62
2024-07-11,43.41
2024-07-12,43.13
2024-07-15,42.28
2024-07-16,42.35
2024-07-17,41.22
2024-07-18,42.28
2024-07-19,41.93
2024-07-22,41.86
