time,close
2024-03-11,11.08
2024-03-12,11.05
2024-03-13,11.49
2024-03-14,12.27
2024-03-15,12.12
2024-03-18,11.64
2024-03-19,11.42
2024-03-20,11.57
2024-03-21,11.72
2024-03-22,11.64
2024-03-25,11.53
2024-03-26,11.75
2024-03-27,11.72
2024-03-28,11.9
2024-03-29,11.72
2024-04-01,11.9
2024-04-02,11.83
2024-04-03,11.75
2024-04-04,11.49
2024-04-05,11.05
2024-04-08,10.82
2024-04-09,10.97
2024-04-10,10.97
2024-04-11,10.82
2024-04-12,10.9
2024-04-15,10.16
2024-04-16,10.38
2024-04-17,10.05
2024-04-19,10.05
2024-04-22,10.05
2024-04-23,10.16
2024-04-24,10.49
2024-04-25,10.31
2024-04-26,10.23
2024-05-02,10.16
2024-05-03,10.05
2024-05-06,10.34
2024-05-07,10.34
2024-05-08,10.57
2024-05-09,10.38
2024-05-10,10.42
2024-05-13,10.23
2024-05-14,10.27
2024-05-15,10.34
2024-05-16,10.53
2024-05-17,10.75
2024-05-20,11.2
2024-05-21,11.2
2024-05-22,11.12
2024-05-23,11.12
2024-05-24,10.82
2024-05-27,10.86
2024-05-28,11.08
2024-05-29,10.97
2024-05-30,10.94
2024-05-31,10.94
2024-06-03,11.68
2024-06-04,11.53
2024-06-05,11.79
2024-06-06,12.08
2024-06-07,12.08
2024-06-10,12.01
2024-06-11,11.49
2024-06-12,11.83
2024-06-13,11.72
2024-06-14,11.12
2024-06-17,11.08
2024-06-18,11.16
2024-06-19,11.12
2024-06-20,11.27
2024-06-21,11.27
2024-06-24,10.75
2024-06-25,10.9
2024-06-26,11.2
2024-06-27,11.08
2024-06-28,10.79
2024-07-01,10.97
2024-07-02,11.2
2024-07-03,11.27
2024-07-04,11.2
2024-07-05,11.16
2024-07-08,11.31
2024-07-09,11.57
2024-07-10,11.42
2024-07-11,11.6
2024-07-12,11.64
2024-07-15,11.86
2024-07-16,11.64
2024-07-17,10.86
2024-07-18,11.08
2024-07-19,10.94
2024-07-22,10.9
2024-07-23,10.71
2024-07-24,11.01
2024-07-25,11.08
2024-07-26,11.34
2024-07-29,11.31
2024-07-30,11.08
2024-07-31,10.94
2024-08-01,10.23
2024-08-02,10.53
2024-08-05,9.9
2024-08-06,10.31
2024-08-07,10.27
2024-08-08,10.12
2024-08-09,10.34
2024-08-12,10.34
2024-08-13,10.31
2024-08-14,10.31
2024-08-15,10.34
2024-08-16,10.71
2024-08-19,10.68
2024-08-20,10.82
2024-08-21,10.71
2024-08-22,10.68
2024-08-23,10.57
2024-08-26,10.68
2024-08-27,10.53
2024-08-28,10.49
2024-08-29,10.34
2024-08-30,10.34
2024-09-04,10.38
2024-09-05,10.27
2024-09-06,10.31
2024-09-09,10.23
2024-09-10,10.2
2024-09-11,10.2
2024-09-12,10.31
2024-09-13,10.27
2024-09-16,10.27
2024-09-17,10.45
2024-09-18,10.34
2024-09-19,10.49
2024-09-20,10.42
2024-09-23,10.42
2024-09-24,10.45
2024-09-25,10.57
2024-09-26,10.68
2024-09-27,10.68
2024-09-30,10.68
2024-10-01,10.72
2024-10-02,10.6
2024-10-03,10.41
2024-10-04,10.33
2024-10-07,10.37
2024-10-08,10.49
2024-10-09,10.49
2024-10-10,10.68
2024-10-11,10.68
2024-10-14,10.92
2024-10-15,10.76
2024-10-16,10.72
2024-10-17,10.68
2024-10-18,10.6
2024-10-21,10.49
2024-10-22,10.37
2024-10-23,10.45
2024-10-24,10.33
2024-10-25,10.45
2024-10-28,10.37
2024-10-29,10.41
2024-10-30,10.37
2024-10-31,10.37
2024-11-01,10.37
2024-11-04,10.33
2024-11-05,10.25
2024-11-06,10.57
2024-11-07,10.45
2024-11-08,10.29
2024-11-11,10.37
2024-11-12,10.37
2024-11-13,10.37
2024-11-14,10.37
2024-11-15,10.29
2024-11-18,10.33
2024-11-19,10.29
2024-11-20,10.29
2024-11-21,10.33
2024-11-22,10.37
2024-11-25,10.57
2024-11-26,10.49
2024-11-27,10.49
2024-11-28,10.45
2024-11-29,10.45
2024-12-02,10.53
