time,close
2024-03-11,28.75
2024-03-12,28.49
2024-03-13,29.02
2024-03-14,29.19
2024-03-15,29.19
2024-03-18,28.88
2024-03-19,29.58
2024-03-20,29.94
2024-03-21,30.33
2024-03-22,30.37
2024-03-25,29.76
2024-03-26,29.54
2024-03-27,29.8
2024-03-28,29.8
2024-03-29,30.11
2024-04-01,29.58
2024-04-02,29.58
2024-04-03,29.58
2024-04-04,29.54
2024-04-05,29.5
2024-04-08,29.72
2024-04-09,29.8
2024-04-10,29.72
2024-04-11,29.63
2024-04-12,30.81
2024-04-15,30.42
2024-04-16,30.37
2024-04-17,31.12
2024-04-19,30.37
2024-04-22,28.75
2024-04-23,28.45
2024-04-24,28.66
2024-04-25,28.53
2024-04-26,28.27
2024-05-02,28.53
2024-05-03,28.53
2024-05-06,28.58
2024-05-07,29.19
2024-05-08,29.19
2024-05-09,29.28
2024-05-10,29.15
2024-05-13,29.15
2024-05-14,28.84
2024-05-15,29.06
2024-05-16,29.37
2024-05-17,29.19
2024-05-20,29.1
2024-05-21,29.19
2024-05-22,29.06
2024-05-23,30.59
2024-05-24,29.58
2024-05-27,29.63
2024-05-28,29.63
2024-05-29,29.98
2024-05-30,29.8
2024-05-31,29.85
2024-06-03,30.2
2024-06-04,30.2
2024-06-05,29.98
2024-06-06,30.37
2024-06-07,30.16
2024-06-10,30.55
2024-06-11,30.99
2024-06-12,30.99
2024-06-13,31.38
2024-06-14,30.86
2024-06-17,30.68
2024-06-18,30.72
2024-06-19,31.51
2024-06-20,32.61
2024-06-21,32.0
2024-06-24,32.0
2024-06-25,32.52
2024-06-26,33.05
2024-06-27,32.87
2024-06-28,33.0
2024-07-01,32.7
2024-07-02,32.92
2024-07-03,32.92
2024-07-04,32.92
2024-07-05,32.87
2024-07-08,33.62
2024-07-09,35.33
2024-07-10,35.72
2024-07-11,38.16
2024-07-12,39.82
2024-07-15,42.6
2024-07-16,45.58
2024-07-17,42.41
2024-07-18,41.48
2024-07-19,39.72
2024-07-22,39.53
2024-07-23,40.11
2024-07-24,40.06
2024-07-25,39.58
2024-07-26,41.63
2024-07-29,41.97
2024-07-30,40.5
2024-07-31,39.97
2024-08-01,38.8
2024-08-02,39.77
