time,close
2024-03-11,12.46
2024-03-12,12.69
2024-03-13,12.8
2024-03-14,12.61
2024-03-15,12.46
2024-03-18,12.09
2024-03-19,12.16
2024-03-20,12.8
2024-03-21,12.69
2024-03-22,12.65
2024-03-25,12.46
2024-03-26,12.69
2024-03-27,12.61
2024-03-28,12.73
2024-03-29,13.22
2024-04-01,13.03
2024-04-02,13.06
2024-04-03,12.99
2024-04-04,12.84
2024-04-05,12.88
2024-04-08,13.06
2024-04-09,13.97
2024-04-10,14.12
2024-04-11,13.78
2024-04-12,14.72
2024-04-15,14.08
2024-04-16,14.65
2024-04-17,15.14
2024-04-19,15.14
2024-04-22,15.29
2024-04-23,15.44
2024-04-24,15.85
2024-04-25,15.66
2024-04-26,15.74
2024-05-02,15.44
2024-05-03,15.21
2024-05-06,15.29
2024-05-07,15.36
2024-05-08,15.29
2024-05-09,15.06
2024-05-10,15.14
2024-05-13,14.98
2024-05-14,15.14
2024-05-15,15.51
2024-05-16,16.57
2024-05-17,17.47
2024-05-20,17.32
2024-05-21,17.17
2024-05-22,17.51
2024-05-23,17.55
2024-05-24,17.7
2024-05-27,17.66
2024-05-28,18.86
2024-05-29,19.58
2024-05-30,19.62
2024-05-31,19.43
2024-06-03,19.43
2024-06-04,19.43
2024-06-05,19.39
2024-06-06,19.65
2024-06-07,19.69
2024-06-10,19.77
2024-06-11,19.35
2024-06-12,19.65
2024-06-13,20.03
2024-06-14,20.71
2024-06-17,20.48
2024-06-18,20.41
2024-06-19,20.37
2024-06-20,20.37
2024-06-21,21.69
2024-06-24,21.27
2024-06-25,21.35
2024-06-26,21.65
2024-06-27,21.57
2024-06-28,21.24
2024-07-01,21.01
2024-07-02,22.29
2024-07-03,22.74
2024-07-04,23.61
2024-07-05,24.25
2024-07-08,24.28
2024-07-09,24.06
2024-07-10,23.49
2024-07-11,23.53
2024-07-12,23.53
2024-07-15,23.64
2024-07-16,23.8
2024-07-17,24.1
2024-07-18,24.02
2024-07-19,24.25
2024-07-22,23.91
2024-07-23,23.91
2024-07-24,23.49
2024-07-25,22.89
2024-07-26,22.14
2024-07-29,22.44
2024-07-30,22.21
2024-07-31,21.95
2024-08-01,21.84
2024-08-02,21.46
2024-08-05,20.41
2024-08-06,20.97
2024-08-07,21.27
2024-08-08,21.35
2024-08-09,21.38
2024-08-12,21.54
2024-08-13,21.69
2024-08-14,21.69
2024-08-15,22.14
2024-08-16,23.23
2024-08-19,23.72
2024-08-20,23.49
2024-08-21,23.76
2024-08-22,23.87
2024-08-23,23.72
2024-08-26,23.72
2024-08-27,23.57
2024-08-28,23.64
2024-08-29,23.72
2024-08-30,23.64
2024-09-04,23.23
2024-09-05,23.19
2024-09-06,23.38
2024-09-09,23.19
2024-09-10,23.3
2024-09-11,23.19
2024-09-12,23.12
2024-09-13,22.93
2024-09-16,22.74
2024-09-17,23.12
2024-09-18,23.04
2024-09-19,23.12
2024-09-20,23.49
2024-09-23,23.64
2024-09-24,23.87
2024-09-25,23.94
2024-09-26,24.17
2024-09-27,24.25
2024-09-30,24.06
2024-10-01,23.87
2024-10-02,23.68
2024-10-03,23.61
2024-10-04,23.72
2024-10-07,23.91
2024-10-08,25.08
2024-10-09,25.3
2024-10-10,25.08
2024-10-11,24.74
2024-10-14,24.44
2024-10-15,24.25
2024-10-16,23.91
2024-10-17,24.17
2024-10-18,24.36
2024-10-21,24.25
2024-10-22,23.87
2024-10-23,23.98
2024-10-24,23.94
2024-10-25,24.17
2024-10-28,24.25
2024-10-29,24.32
2024-10-30,24.51
2024-10-31,24.81
2024-11-01,24.7
2024-11-04,24.36
2024-11-05,24.4
2024-11-06,24.51
2024-11-07,24.55
2024-11-08,24.25
2024-11-11,23.91
2024-11-12,23.87
2024-11-13,23.94
2024-11-14,23.64
2024-11-15,23.68
2024-11-18,23.68
2024-11-19,23.57
2024-11-20,23.76
2024-11-21,23.87
2024-11-22,23.98
2024-11-25,23.98
2024-11-26,24.02
2024-11-27,24.32
2024-11-28,24.1
2024-11-29,24.28
2024-12-02,25.04
2024-12-03,25.56
2024-12-04,25.19
2024-12-05,25.38
2024-12-06,25.79
2024-12-09,25.72
2024-12-10,25.64
2024-12-11,25.3
2024-12-12,24.92
2024-12-13,24.96
2024-12-16,24.96
2024-12-17,25.04
2024-12-18,25.38
2024-12-19,25.15
2024-12-20,25.15
2024-12-23,25.23
2024-12-24,25.26
2024-12-25,25.79
2024-12-26,25.53
2024-12-27,27.29
2024-12-30,27.77
2024-12-31,27.51
2025-01-02,27.51
2025-01-03,26.76
2025-01-06,26.67
2025-01-07,27.02
2025-01-08,27.2
2025-01-09,26.94
2025-01-10,26.58
2025-01-13,27.02
2025-01-14,27.16
2025-01-15,27.29
2025-01-16,27.68
2025-01-17,28.08
2025-01-20,27.86
2025-01-21,28.04
2025-01-22,29.4
2025-01-23,31.07
2025-01-24,31.56
2025-02-03,30.9
2025-02-04,30.9
2025-02-05,31.6
2025-02-06,32.13
2025-02-07,32.13
2025-02-10,32.17
2025-02-11,32.57
2025-02-12,32.88
2025-02-13,33.18
2025-02-14,33.01
2025-02-17,32.79
2025-02-18,32.22
2025-02-19,32.3
2025-02-20,31.95
2025-02-21,32.04
2025-02-24,32.39
2025-02-25,32.44
2025-02-26,32.48
2025-02-27,32.35
2025-02-28,31.82
2025-03-03,31.6
2025-03-04,31.25
2025-03-05,31.51
2025-03-06,31.29
2025-03-07,31.16
2025-03-10,30.63
2025-03-11,30.5
2025-03-12,31.07
2025-03-13,31.07
2025-03-14,30.76
2025-03-17,30.54
2025-03-18,31.16
2025-03-19,31.64
2025-03-20,31.29
2025-03-21,30.63
2025-03-24,30.06
2025-03-25,29.93
2025-03-26,29.44
2025-03-27,29.05
2025-03-28,29.44
2025-03-31,29.27
2025-04-01,29.4
2025-04-02,29.14
2025-04-03,27.11
2025-04-04,29.0
2025-04-08,27.46
2025-04-09,27.73
2025-04-10,29.66
2025-04-11,30.1
2025-04-14,29.8
2025-04-15,29.18
2025-04-16,28.74
2025-04-17,29.58
2025-04-18,29.84
2025-04-21,29.09
2025-04-22,29.27
2025-04-23,29.31
2025-04-24,29.05
2025-04-25,28.43
2025-04-28,28.87
2025-04-29,28.65
2025-05-05,28.3
2025-05-06,27.95
2025-05-07,28.34
2025-05-08,29.09
2025-05-09,30.37
2025-05-12,30.63
2025-05-13,30.59
2025-05-14,31.42
2025-05-15,32.61
2025-05-16,32.13
2025-05-19,30.9
2025-05-20,31.14
2025-05-21,30.76
2025-05-22,30.14
2025-05-23,30.19
2025-05-26,30.71
2025-05-27,30.43
2025-05-28,30.19
2025-05-29,30.24
2025-05-30,30.05
2025-06-02,30.24
2025-06-03,30.24
2025-06-04,30.0
2025-06-05,30.05
2025-06-06,29.48
2025-06-09,29.53
2025-06-10,29.72
2025-06-11,29.72
2025-06-12,29.91
2025-06-13,29.86
2025-06-16,29.91
2025-06-17,30.57
2025-06-18,30.19
2025-06-19,30.62
2025-06-20,30.14
2025-06-23,29.86
2025-06-24,30.05
2025-06-25,30.05
2025-06-26,30.05
2025-06-27,30.19
2025-06-30,30.48
2025-07-01,30.38
2025-07-02,30.57
2025-07-03,30.71
2025-07-04,30.95
2025-07-07,31.66
2025-07-08,31.84
2025-07-09,31.32
2025-07-10,31.47
2025-07-11,31.18
2025-07-14,31.04
2025-07-15,31.66
2025-07-16,31.94
2025-07-17,31.8
2025-07-18,32.7
2025-07-21,33.55
2025-07-22,33.92
2025-07-23,33.31
2025-07-24,33.55
2025-07-25,33.31
2025-07-28,34.54
2025-07-29,32.41
2025-07-30,32.32
2025-07-31,32.32
2025-08-01,32.6
2025-08-04,32.79
2025-08-05,33.36
2025-08-06,34.11
2025-08-07,33.83
2025-08-08,33.45
2025-08-11,33.83
2025-08-12,35.96
2025-08-13,37.04
2025-08-14,37.99
2025-08-15,36.85
2025-08-18,37.89
2025-08-19,40.44
2025-08-20,43.23
2025-08-21,45.74
2025-08-22,44.41
2025-08-25,42.52
2025-08-26,43.0
2025-08-27,41.39
2025-08-28,42.38
2025-08-29,42.52
2025-09-03,42.24
2025-09-04,43.14
2025-09-05,42.0
2025-09-08,40.44
2025-09-09,39.97
2025-09-10,39.64
2025-09-11,41.58
2025-09-12,41.67
2025-09-15,42.1
2025-09-16,42.43
2025-09-17,42.81
2025-09-18,42.9
2025-09-19,43.94
2025-09-22,43.94
2025-09-23,43.99
2025-09-24,44.84
2025-09-25,45.31
2025-09-26,45.4
2025-09-29,45.17
2025-09-30,46.78
2025-10-01,48.19
2025-10-02,48.76
2025-10-03,49.61
2025-10-06,48.95
2025-10-07,49.7
2025-10-08,49.14
2025-10-09,48.38
2025-10-10,48.76
2025-10-13,49.61
2025-10-14,48.66
2025-10-15,48.76
2025-10-16,48.48
2025-10-17,46.78
2025-10-20,44.88
2025-10-21,46.3
2025-10-22,47.15
2025-10-23,48.48
2025-10-24,49.33
2025-10-27,49.04
2025-10-28,49.89
2025-10-29,50.93
2025-10-30,49.14
2025-10-31,47.91
2025-11-03,47.91
2025-11-04,48.85
2025-11-05,48.66
2025-11-06,48.66
2025-11-07,46.59
2025-11-10,45.64
2025-11-11,44.88
2025-11-12,45.97
2025-11-13,46.21
2025-11-14,47.15
2025-11-17,47.44
2025-11-18,46.82
2025-11-19,46.78
2025-11-20,46.59
2025-11-21,45.88
2025-11-24,45.88
2025-11-25,46.3
2025-11-26,46.87
2025-11-27,46.59
2025-11-28,45.92
2025-12-01,45.26
2025-12-02,44.88
2025-12-03,45.92
2025-12-04,46.78
2025-12-05,45.45
2025-12-08,43.75
2025-12-09,41.58
2025-12-10,41.77
2025-12-11,42.05
2025-12-12,41.77
2025-12-15,40.44
2025-12-16,42.0
2025-12-17,41.58
2025-12-18,41.39
2025-12-19,41.1
2025-12-22,41.58
2025-12-23,39.5
2025-12-24,40.44
2025-12-25,39.69
2025-12-26,39.22
2025-12-29,39.5
2025-12-30,39.59
2025-12-31,39.5
2026-01-05,38.27
2026-01-06,39.4
2026-01-07,39.78
2026-01-08,39.69
2026-01-09,38.93
2026-01-12,40.07
2026-01-13,39.59
2026-01-14,39.4
2026-01-15,39.22
2026-01-16,39.45
2026-01-19,39.26
2026-01-20,40.02
2026-01-21,40.59
2026-01-22,40.92
2026-01-23,40.07
2026-01-26,39.59
2026-01-27,39.69
2026-01-28,39.69
2026-01-29,39.4
2026-01-30,39.36
2026-02-02,39.69
2026-02-03,39.26
2026-02-04,39.88
2026-02-05,38.74
2026-02-06,39.59
2026-02-09,39.55
2026-02-10,39.5
2026-02-11,39.74
2026-02-12,39.55
2026-02-13,39.74
2026-02-23,40.21
2026-02-24,40.26
2026-02-25,39.97
2026-02-26,40.78
2026-02-27,40.68
2026-03-02,39.59
2026-03-03,40.07
2026-03-04,40.73
2026-03-05,40.49
2026-03-06,39.92
2026-03-09,38.13
2026-03-10,38.36
2026-03-11,39.4
2026-03-12,38.84
2026-03-13,39.22
2026-03-16,39.69
2026-03-17,40.96
2026-03-18,41.25
2026-03-19,41.48
2026-03-20,38.84
2026-03-23,38.88
2026-03-24,39.59
2026-03-25,39.5
2026-03-26,39.5
2026-03-27,39.5
2026-03-30,39.64
2026-03-31,39.59
2026-04-01,40.07
2026-04-02,39.5
2026-04-03,40.73
2026-04-06,43.56
2026-04-07,45.36
2026-04-08,44.88
2026-04-09,45.36
2026-04-10,46.59
2026-04-13,45.31
2026-04-14,45.36
2026-04-15,45.07
2026-04-16,44.7
2026-04-17,43.47
2026-04-20,43.47
2026-04-21,44.46
2026-04-22,44.41
2026-04-23,43.94
2026-04-24,43.75
2026-04-28,43.09
2026-04-29,44.7
2026-05-04,44.41
2026-05-05,45.45
2026-05-06,46.68
2026-05-07,48.38
2026-05-08,48.95
2026-05-11,49.89
2026-05-12,51.5
2026-05-13,51.5
2026-05-14,52.1
2026-05-15,51.5
2026-05-18,52.3
2026-05-19,51.6
2026-05-20,52.3
2026-05-21,53.2
2026-05-22,53.2
2026-05-25,54.0
2026-05-26,54.1
2026-05-27,54.0
2026-05-28,53.0
2026-05-29,52.0
2026-06-01,51.8
2026-06-02,50.9
2026-06-03,48.0
2026-06-04,46.45
2026-06-05,45.65
2026-06-08,46.3
2026-06-09,46.4
2026-06-10,46.6
2026-06-11,46.05
2026-06-12,45.5
2026-06-15,46.2
2026-06-16,46.45
2026-06-17,46.9
2026-06-18,47.05
2026-06-19,48.0
2026-06-22,49.2
2026-06-23,52.6
2026-06-24,55.5
2026-06-25,56.0
2026-06-26,53.0
2026-06-29,54.7
2026-06-30,53.5
2026-07-01,53.1
2026-07-02,52.1
2026-07-03,51.0
2026-07-06,51.3
2026-07-07,53.8
2026-07-08,53.1
2026-07-09,52.4
2026-07-10,53.4
2026-07-13,51.6
2026-07-14,51.5
2026-07-15,51.5
2026-07-16,52.0
2026-07-17,52.9
2026-07-20,53.5
2026-07-21,54.6
2026-07-22,54.4
2026-07-23,53.3
2026-07-24,52.4
2026-07-27,54.0
2026-07-28,53.5
2026-07-29,52.6
2026-07-30,52.6
2026-07-31,51.8
2026-08-03,53.0
2026-08-04,53.8
2026-08-05,53.0
2026-08-06,52.0
2026-08-07,52.9
2026-08-10,52.3
2026-08-11,53.7
2026-08-12,53.8
2026-08-13,53.8
2026-08-14,52.4
2026-08-17,50.9
2026-08-18,50.0
2026-08-19,50.7
2026-08-20,50.0
2026-08-21,50.0
2026-08-24,49.1
