time,close
2024-03-11,26.7
2024-03-12,26.8
2024-03-13,27.4
2024-03-14,27.6
2024-03-15,27.1
2024-03-18,26.2
2024-03-19,26.3
2024-03-20,26.2
2024-03-21,26.3
2024-03-22,26.7
2024-03-25,26.3
2024-03-26,26.7
2024-03-27,26.5
2024-03-28,26.9
2024-03-29,26.7
2024-04-01,26.3
2024-04-02,25.8
2024-04-03,25.5
2024-04-04,25.6
2024-04-05,25.2
2024-04-08,24.4
2024-04-09,24.3
2024-04-10,24.3
2024-04-11,24.2
2024-04-12,24.3
2024-04-15,23.4
2024-04-16,23.1
2024-04-17,22.3
2024-04-19,21.7
2024-04-22,22.8
2024-04-23,23.2
2024-04-24,24.4
2024-04-25,24.4
2024-04-26,24.0
2024-05-02,22.5
2024-05-03,22.8
2024-05-06,22.7
2024-05-07,22.9
2024-05-08,22.6
2024-05-09,22.8
2024-05-10,22.4
2024-05-13,21.9
2024-05-14,21.6
2024-05-15,21.1
2024-05-16,21.5
2024-05-17,21.9
2024-05-20,21.6
2024-05-21,21.6
2024-05-22,22.9
2024-05-23,22.8
2024-05-24,22.1
2024-05-27,22.5
2024-05-28,22.5
2024-05-29,21.8
2024-05-30,22.9
2024-05-31,23.6
2024-06-03,23.3
2024-06-04,23.0
2024-06-05,23.0
2024-06-06,23.0
2024-06-07,23.0
2024-06-10,23.3
2024-06-11,22.6
2024-06-12,23.0
2024-06-13,22.9
2024-06-14,22.5
2024-06-17,22.2
2024-06-18,22.3
2024-06-19,22.1
2024-06-20,22.3
2024-06-21,22.9
2024-06-24,22.3
2024-06-25,22.6
2024-06-26,22.2
2024-06-27,22.5
2024-06-28,22.1
2024-07-01,22.1
2024-07-02,22.2
2024-07-03,21.8
2024-07-04,21.8
2024-07-05,21.8
2024-07-08,21.6
2024-07-09,21.7
2024-07-10,21.6
2024-07-11,21.4
2024-07-12,21.3
2024-07-15,21.2
2024-07-16,21.3
2024-07-17,20.5
2024-07-18,21.0
2024-07-19,20.7
2024-07-22,20.3
2024-07-23,19.5
2024-07-24,19.1
2024-07-25,19.1
2024-07-26,18.4
2024-07-29,16.2
2024-07-30,16.6
2024-07-31,16.3
2024-08-01,15.6
2024-08-02,15.2
2024-08-05,14.3
2024-08-06,14.8
2024-08-07,15.5
2024-08-08,15.5
2024-08-09,15.6
2024-08-12,15.5
2024-08-13,15.5
2024-08-14,15.4
2024-08-15,15.1
2024-08-16,15.3
2024-08-19,16.5
2024-08-20,17.6
2024-08-21,17.5
2024-08-22,17.2
2024-08-23,17.3
2024-08-26,17.1
2024-08-27,17.2
2024-08-28,17.2
2024-08-29,16.9
2024-08-30,16.5
2024-09-04,15.6
2024-09-05,15.0
2024-09-06,15.2
2024-09-09,14.9
2024-09-10,15.7
2024-09-11,15.5
2024-09-12,15.5
2024-09-13,15.4
2024-09-16,14.7
2024-09-17,14.7
2024-09-18,14.6
2024-09-19,14.4
2024-09-20,14.1
2024-09-23,13.9
2024-09-24,13.5
2024-09-25,13.6
2024-09-26,13.9
2024-09-27,13.7
2024-09-30,13.8
2024-10-01,13.9
2024-10-02,14.0
2024-10-03,14.0
2024-10-04,14.0
2024-10-07,13.6
2024-10-08,12.1
2024-10-09,11.5
2024-10-10,9.9
2024-10-11,9.3
2024-10-14,9.4
2024-10-15,9.9
2024-10-16,9.5
2024-10-17,9.5
2024-10-18,9.7
2024-10-21,9.4
2024-10-22,8.1
2024-10-23,8.2
2024-10-25,7.5
2024-11-01,7.8
2024-11-08,8.0
2024-11-15,7.7
2024-11-22,7.7
2024-11-29,7.8
2024-12-06,7.9
2024-12-13,7.7
2024-12-20,7.5
2024-12-27,7.6
2025-01-03,7.5
2025-01-10,7.2
2025-01-17,7.2
2025-01-24,7.2
2025-02-07,7.6
2025-02-14,7.7
2025-02-21,8.0
2025-02-28,7.7
2025-03-07,7.7
2025-03-14,7.4
2025-03-21,7.0
2025-03-28,6.9
2025-04-04,6.0
2025-04-11,6.0
2025-04-18,6.0
2025-04-25,6.0
2025-05-09,6.1
2025-05-16,6.4
2025-05-23,6.5
2025-05-30,7.4
2025-06-06,8.3
2025-06-13,8.4
2025-06-20,7.6
2025-06-27,7.1
2025-07-04,7.3
2025-07-11,8.3
2025-07-18,8.5
2025-07-25,8.7
2025-08-01,7.9
2025-08-08,8.3
2025-08-15,8.3
2025-08-22,7.8
2025-08-29,7.8
2025-09-05,7.7
2025-09-12,7.5
2025-09-19,7.4
2025-09-26,6.9
2025-10-03,6.8
2025-10-10,6.9
2025-10-17,6.4
2025-10-24,6.3
2025-10-31,6.6
2025-11-07,6.8
2025-11-14,7.0
2025-11-21,6.9
2025-11-28,7.0
2025-12-05,6.9
2025-12-12,7.0
2025-12-19,6.8
2025-12-26,7.0
2026-01-09,6.8
2026-01-16,7.0
2026-01-23,6.8
2026-01-30,6.9
2026-02-06,6.7
2026-02-13,6.6
2026-02-27,6.9
2026-03-06,6.6
2026-03-13,6.6
2026-03-20,6.4
2026-03-27,6.4
2026-04-03,6.2
2026-04-10,6.5
2026-04-17,6.5
2026-04-24,6.3
2026-05-08,6.1
2026-05-15,5.9
2026-05-22,5.4
2026-05-29,5.6
2026-06-05,5.6
2026-06-12,5.5
2026-06-19,5.3
