time,close
2024-03-11,28.5
2024-03-12,27.9
2024-03-13,28.0
2024-03-14,28.0
2024-03-15,28.0
2024-03-18,27.4
2024-03-19,27.4
2024-03-20,27.8
2024-03-21,27.5
2024-03-22,27.5
2024-03-25,27.2
2024-03-26,27.3
2024-03-27,27.4
2024-03-28,27.5
2024-03-29,27.5
2024-04-01,27.8
2024-04-02,27.5
2024-04-03,27.5
2024-04-04,27.5
2024-04-08,27.4
2024-04-09,27.5
2024-04-10,27.5
2024-04-11,27.0
2024-04-12,28.0
2024-04-15,27.0
2024-04-16,25.4
2024-04-17,27.0
2024-04-19,28.0
2024-04-22,27.1
2024-04-24,27.4
2024-04-25,26.5
2024-04-26,26.6
2024-05-02,26.1
2024-05-03,26.3
2024-05-06,26.3
2024-05-07,26.3
2024-05-08,26.3
2024-05-09,26.5
2024-05-10,26.5
2024-05-13,26.1
2024-05-14,26.6
2024-05-15,26.5
2024-05-16,26.7
2024-05-17,28.8
2024-05-20,33.2
2024-05-21,36.0
2024-05-22,38.8
2024-05-23,37.6
2024-05-24,33.5
2024-05-27,33.0
2024-05-28,34.9
2024-05-29,34.5
2024-05-30,32.8
2024-05-31,33.4
2024-06-03,33.6
2024-06-04,33.1
2024-06-05,33.0
2024-06-06,35.5
2024-06-07,36.5
2024-06-10,36.7
2024-06-11,34.7
2024-06-12,34.8
2024-06-13,35.7
2024-06-14,33.2
2024-06-17,33.1
2024-06-18,32.6
2024-06-19,32.4
2024-06-20,32.7
2024-06-21,31.5
2024-06-24,29.7
2024-06-25,29.7
2024-06-26,29.8
2024-06-27,29.4
2024-06-28,28.3
2024-07-01,27.8
2024-07-02,28.3
2024-07-03,28.3
2024-07-04,29.1
2024-07-05,29.0
2024-07-08,28.8
2024-07-09,28.1
2024-07-10,27.7
2024-07-11,27.8
2024-07-12,27.1
2024-07-15,26.9
2024-07-16,27.9
2024-07-17,27.9
2024-07-18,27.7
2024-07-19,28.4
2024-07-22,27.9
2024-07-23,26.8
2024-07-24,26.7
2024-07-25,28.0
2024-07-26,27.3
2024-07-29,26.8
2024-07-30,26.9
2024-07-31,26.8
2024-08-01,26.0
2024-08-02,26.2
2024-08-05,24.7
2024-08-06,24.9
2024-08-07,24.9
2024-08-08,26.7
2024-08-09,26.8
2024-08-12,26.9
2024-08-13,26.5
2024-08-14,26.2
2024-08-15,26.0
2024-08-16,26.4
2024-08-19,26.5
2024-08-20,26.6
2024-08-21,26.4
2024-08-22,27.3
2024-08-23,27.5
2024-08-26,26.5
2024-08-27,26.3
2024-08-28,26.6
2024-08-29,26.1
2024-08-30,25.8
2024-09-04,25.5
2024-09-05,25.4
2024-09-06,25.5
2024-09-09,25.3
2024-09-10,26.9
2024-09-11,26.0
2024-09-12,26.3
2024-09-13,26.2
2024-09-16,25.8
2024-09-17,25.9
2024-09-18,25.7
2024-09-19,25.7
2024-09-20,25.7
2024-09-23,25.6
2024-09-24,26.0
2024-09-25,26.5
2024-09-26,25.9
2024-09-27,25.6
2024-09-30,25.6
2024-10-01,25.8
2024-10-02,25.5
2024-10-03,25.2
2024-10-04,24.9
2024-10-07,24.9
2024-10-08,24.5
2024-10-09,24.7
2024-10-10,24.9
2024-10-11,25.1
2024-10-14,24.8
2024-10-15,25.4
2024-10-16,24.9
2024-10-17,25.1
2024-10-18,24.5
2024-10-21,25.0
2024-10-22,25.0
2024-10-23,25.0
2024-10-24,25.3
2024-10-25,26.0
2024-10-28,26.7
2024-10-29,25.6
2024-10-30,25.7
2024-10-31,25.7
2024-11-01,25.7
2024-11-04,25.4
2024-11-05,25.1
2024-11-06,25.2
2024-11-07,25.5
2024-11-08,25.2
2024-11-11,25.0
2024-11-12,24.9
2024-11-13,25.0
2024-11-14,24.7
2024-11-15,24.4
2024-11-18,23.2
2024-11-19,24.0
2024-11-20,24.0
2024-11-21,23.7
2024-11-22,23.7
2024-11-25,23.8
2024-11-26,23.4
2024-11-27,23.5
2024-11-28,23.3
2024-11-29,23.4
2024-12-02,23.7
2024-12-03,23.5
2024-12-04,23.0
2024-12-05,23.5
2024-12-06,23.4
2024-12-09,23.0
2024-12-10,22.8
2024-12-11,23.0
2024-12-12,22.8
2024-12-13,23.1
2024-12-16,23.0
2024-12-17,23.2
2024-12-18,22.9
2024-12-19,23.0
2024-12-20,23.3
2024-12-23,23.0
2024-12-24,23.0
2024-12-25,23.2
2024-12-26,23.4
2024-12-27,24.4
2024-12-30,24.8
2024-12-31,23.7
2025-01-02,24.1
2025-01-03,23.5
2025-01-06,23.7
2025-01-07,23.6
2025-01-08,23.4
2025-01-09,23.5
2025-01-10,23.0
2025-01-13,23.3
2025-01-14,23.5
2025-01-15,23.5
2025-01-16,23.4
2025-01-17,23.6
2025-01-20,23.6
2025-01-21,25.0
2025-01-22,25.5
2025-01-23,25.7
2025-01-24,27.0
2025-02-03,28.1
2025-02-04,28.1
2025-02-05,27.6
2025-02-06,30.6
2025-02-07,34.1
2025-02-10,32.7
2025-02-11,30.1
2025-02-12,32.0
2025-02-13,33.3
2025-02-14,35.5
2025-02-17,34.3
2025-02-18,33.8
2025-02-19,34.6
2025-02-20,33.6
2025-02-21,33.6
2025-02-24,35.9
2025-02-25,35.6
2025-02-26,34.3
2025-02-27,34.6
2025-02-28,32.7
2025-03-03,31.8
2025-03-04,31.4
2025-03-05,31.4
2025-03-06,32.3
2025-03-07,32.0
2025-03-10,30.9
2025-03-11,30.6
2025-03-12,30.1
2025-03-13,30.6
2025-03-14,29.8
2025-03-17,29.7
2025-03-18,29.5
2025-03-19,29.1
2025-03-20,29.1
2025-03-21,29.1
2025-03-24,29.0
2025-03-25,29.0
2025-03-26,28.9
2025-03-27,28.8
2025-03-28,30.2
2025-03-31,30.4
2025-04-01,30.6
2025-04-02,30.3
2025-04-03,26.1
2025-04-04,26.0
2025-04-08,23.6
2025-04-09,23.7
2025-04-10,27.4
2025-04-11,27.4
2025-04-14,28.1
2025-04-15,28.0
2025-04-16,27.5
2025-04-17,27.8
2025-04-18,27.6
2025-04-21,27.1
2025-04-22,26.5
2025-04-23,27.7
2025-04-24,27.4
2025-04-25,27.7
2025-04-28,28.0
2025-04-29,27.7
2025-05-05,27.5
2025-05-06,27.5
2025-05-07,27.5
2025-05-08,27.4
2025-05-09,27.6
2025-05-12,28.8
2025-05-13,29.9
2025-05-14,30.3
2025-05-15,29.7
2025-05-16,29.1
2025-05-19,27.7
2025-05-20,28.6
2025-05-21,28.5
2025-05-22,28.1
2025-05-23,28.1
2025-05-26,28.0
2025-05-27,28.4
2025-05-28,28.8
2025-05-29,28.6
2025-05-30,29.2
2025-06-02,31.2
2025-06-03,33.0
2025-06-04,34.7
2025-06-05,33.8
2025-06-06,32.6
2025-06-09,34.8
2025-06-10,33.8
2025-06-11,34.0
2025-06-12,35.2
2025-06-13,35.0
2025-06-16,34.9
2025-06-17,35.6
2025-06-18,36.6
2025-06-19,35.1
2025-06-20,34.6
2025-06-23,34.7
2025-06-24,34.5
2025-06-25,34.6
2025-06-26,34.1
2025-06-27,35.4
2025-06-30,35.0
2025-07-01,34.3
2025-07-02,33.9
2025-07-03,33.2
2025-07-04,33.7
2025-07-07,33.0
2025-07-08,32.9
2025-07-09,33.5
2025-07-10,33.1
2025-07-11,32.8
2025-07-14,33.3
2025-07-15,32.9
2025-07-16,32.9
2025-07-17,33.6
2025-07-18,34.4
2025-07-21,33.9
2025-07-22,33.8
2025-07-23,34.1
2025-07-24,33.6
2025-07-25,34.1
2025-07-28,35.4
2025-07-29,35.0
2025-07-30,35.3
2025-07-31,35.0
2025-08-01,34.7
2025-08-04,39.7
2025-08-05,40.4
2025-08-06,41.7
2025-08-07,43.6
2025-08-08,45.5
2025-08-11,43.6
2025-08-12,43.7
2025-08-13,43.5
2025-08-14,43.3
2025-08-15,42.2
2025-08-18,42.0
2025-08-19,42.0
2025-08-20,40.2
2025-08-21,38.0
2025-08-22,36.8
2025-08-25,37.5
2025-08-26,38.9
2025-08-27,38.5
2025-08-28,38.8
2025-08-29,38.7
2025-09-03,39.3
2025-09-04,39.2
2025-09-05,37.9
2025-09-08,37.2
2025-09-09,38.0
2025-09-10,38.4
2025-09-11,37.6
2025-09-12,39.0
2025-09-15,39.7
2025-09-16,38.9
2025-09-17,38.6
2025-09-18,38.5
2025-09-19,38.6
2025-09-22,38.6
2025-09-23,38.3
2025-09-24,38.6
2025-09-25,38.3
2025-09-26,39.5
2025-09-29,38.9
2025-09-30,38.5
2025-10-01,38.3
2025-10-02,37.4
2025-10-03,36.1
2025-10-06,36.9
2025-10-07,36.6
2025-10-08,37.0
2025-10-09,37.5
2025-10-10,38.2
2025-10-13,39.5
2025-10-14,38.5
2025-10-15,37.7
2025-10-16,38.8
2025-10-17,38.1
2025-10-20,34.7
2025-10-21,34.1
2025-10-22,34.3
2025-10-23,34.1
2025-10-24,34.0
2025-10-27,33.7
2025-10-28,34.4
2025-10-29,34.8
2025-10-30,34.9
2025-10-31,34.9
2025-11-03,34.1
2025-11-04,34.4
2025-11-05,35.1
2025-11-06,34.7
2025-11-07,33.9
2025-11-10,33.8
2025-11-11,33.7
2025-11-12,34.2
2025-11-13,34.0
2025-11-14,33.9
2025-11-17,34.2
2025-11-18,34.1
2025-11-19,34.2
2025-11-20,33.8
2025-11-21,34.4
2025-11-24,36.2
2025-11-25,36.3
2025-11-26,36.7
2025-11-27,36.9
2025-11-28,37.0
2025-12-01,38.1
2025-12-02,38.0
2025-12-03,38.1
2025-12-04,37.7
2025-12-05,37.1
2025-12-08,36.7
2025-12-09,36.5
2025-12-10,36.1
2025-12-11,36.1
2025-12-12,35.6
2025-12-15,35.2
2025-12-16,35.5
2025-12-17,37.0
2025-12-18,37.2
2025-12-19,36.3
2025-12-22,36.4
2025-12-23,36.4
2025-12-24,36.3
2025-12-25,36.4
2025-12-26,36.0
2025-12-29,35.7
2025-12-30,35.5
2025-12-31,35.7
2026-01-05,35.2
2026-01-06,35.2
2026-01-07,35.4
2026-01-08,35.8
2026-01-09,35.4
2026-01-12,35.7
2026-01-13,36.6
2026-01-14,37.3
2026-01-15,37.3
2026-01-16,36.8
2026-01-19,36.6
2026-01-20,36.9
2026-01-21,36.5
2026-01-22,38.8
2026-01-23,37.9
2026-01-26,36.3
2026-01-27,36.5
2026-01-28,38.2
2026-01-29,41.9
2026-01-30,41.7
2026-02-02,39.8
2026-02-03,40.0
2026-02-04,41.1
2026-02-05,39.8
2026-02-06,37.7
2026-02-09,37.8
2026-02-10,36.3
2026-02-11,37.0
2026-02-12,37.0
2026-02-13,37.3
2026-02-23,37.6
2026-02-24,38.0
2026-02-25,38.0
2026-02-26,37.5
2026-02-27,36.6
2026-03-02,36.6
2026-03-03,36.0
2026-03-04,35.3
2026-03-05,35.2
2026-03-06,33.5
2026-03-09,29.8
2026-03-10,31.5
2026-03-11,32.9
2026-03-12,33.0
2026-03-13,32.6
2026-03-16,32.9
2026-03-17,33.5
2026-03-18,33.3
2026-03-19,32.7
2026-03-20,32.0
2026-03-23,30.3
2026-03-24,30.8
2026-03-25,31.8
2026-03-26,31.6
2026-03-27,32.0
2026-03-30,32.6
2026-03-31,32.6
2026-04-01,33.0
2026-04-02,32.6
2026-04-03,32.3
2026-04-06,31.3
2026-04-07,31.3
2026-04-08,32.0
2026-04-09,31.5
2026-04-10,31.6
2026-04-13,31.7
2026-04-14,32.4
2026-04-15,32.2
2026-04-16,32.2
2026-04-17,32.5
2026-04-20,32.0
2026-04-21,32.2
2026-04-22,32.0
2026-04-23,31.8
2026-04-24,31.6
2026-04-28,31.4
2026-04-29,31.6
2026-05-04,31.3
2026-05-05,31.5
2026-05-06,32.4
2026-05-07,32.3
2026-05-08,32.3
2026-05-11,31.9
2026-05-12,31.8
2026-05-13,31.7
2026-05-14,31.8
2026-05-15,31.6
2026-05-18,31.5
2026-05-19,31.3
2026-05-20,31.3
2026-05-21,30.9
2026-05-22,30.8
2026-05-25,31.1
2026-05-26,30.9
2026-05-27,31.2
2026-05-28,30.8
2026-05-29,30.9
2026-06-01,30.5
2026-06-02,30.7
2026-06-03,30.7
2026-06-04,30.9
2026-06-05,30.5
2026-06-08,30.3
2026-06-09,29.8
2026-06-10,30.0
2026-06-11,29.8
2026-06-12,29.6
2026-06-15,29.8
2026-06-16,30.1
2026-06-17,29.7
2026-06-18,30.0
2026-06-19,29.9
2026-06-22,29.7
2026-06-23,29.7
2026-06-24,29.6
2026-06-25,29.7
2026-06-26,29.2
2026-06-29,29.7
2026-06-30,29.6
2026-07-01,30.0
2026-07-02,29.8
2026-07-03,29.5
2026-07-06,29.2
2026-07-07,29.2
2026-07-08,28.9
2026-07-09,28.7
2026-07-10,28.5
2026-07-13,28.0
2026-07-14,28.9
2026-07-15,28.6
2026-07-16,28.4
2026-07-17,27.6
2026-07-20,27.2
2026-07-21,27.5
2026-07-22,27.0
2026-07-23,27.2
2026-07-24,26.5
2026-07-27,26.5
2026-07-28,27.2
2026-07-29,28.3
2026-07-30,29.1
2026-07-31,28.6
2026-08-03,28.7
2026-08-04,28.5
2026-08-05,28.1
2026-08-06,27.6
2026-08-07,27.9
2026-08-10,28.2
2026-08-11,28.2
2026-08-12,28.1
2026-08-13,28.6
2026-08-14,28.1
2026-08-17,28.2
