time,close
2024-03-11,77.5
2024-03-12,78.7
2024-03-13,80.9
2024-03-14,78.9
2024-03-15,78.5
2024-03-18,77.9
2024-03-19,77.4
2024-03-20,77.3
2024-03-21,78.0
2024-03-22,78.5
2024-03-25,75.5
2024-03-26,74.0
2024-03-27,75.4
2024-03-28,76.0
2024-03-29,74.2
2024-04-01,73.4
2024-04-02,74.5
2024-04-03,73.4
2024-04-04,73.4
2024-04-05,71.9
2024-04-08,71.9
2024-04-09,73.5
2024-04-10,72.5
2024-04-11,71.8
2024-04-12,71.9
2024-04-15,66.9
2024-04-16,66.1
2024-04-17,66.8
2024-04-19,66.5
2024-04-22,66.9
2024-04-23,64.7
2024-04-24,66.9
2024-04-25,68.1
2024-04-26,67.2
2024-05-02,68.0
2024-05-03,69.8
2024-05-06,71.1
2024-05-07,71.2
2024-05-08,72.3
2024-05-09,71.4
2024-05-10,70.8
2024-05-13,70.8
2024-05-14,70.6
2024-05-15,72.2
2024-05-16,72.4
2024-05-17,75.5
2024-05-20,76.4
2024-05-21,75.8
2024-05-22,73.9
2024-05-23,75.8
2024-05-24,73.5
2024-05-27,73.5
2024-05-28,75.5
2024-05-29,75.0
2024-05-30,77.2
2024-05-31,76.6
2024-06-03,77.7
2024-06-04,77.5
2024-06-05,78.1
2024-06-06,78.1
2024-06-07,77.6
2024-06-10,77.1
2024-06-11,75.8
2024-06-12,77.8
2024-06-13,78.6
2024-06-14,78.0
2024-06-17,76.2
2024-06-18,76.2
2024-06-19,75.6
2024-06-20,75.8
2024-06-21,76.2
2024-06-24,73.7
2024-06-25,73.9
2024-06-26,74.0
2024-06-27,74.5
2024-06-28,74.7
2024-07-01,76.0
2024-07-02,76.3
2024-07-03,76.5
2024-07-04,76.8
2024-07-05,76.7
2024-07-08,76.2
2024-07-09,76.5
2024-07-10,76.8
2024-07-11,75.8
2024-07-12,74.8
2024-07-15,74.5
2024-07-16,74.0
2024-07-17,71.8
2024-07-18,71.2
2024-07-19,71.0
2024-07-22,72.2
2024-07-23,71.0
