time,close
2024-03-11,44.68
2024-03-12,45.02
2024-03-13,46.76
2024-03-14,45.5
2024-03-15,45.6
2024-03-18,44.2
2024-03-19,43.82
2024-03-20,46.23
2024-03-21,46.71
2024-03-22,47.28
2024-03-25,46.52
2024-03-26,46.85
2024-03-27,48.83
2024-03-28,49.12
2024-03-29,49.21
2024-04-01,49.5
2024-04-02,49.69
2024-04-03,48.34
2024-04-04,48.83
2024-04-05,49.12
2024-04-08,48.15
2024-04-09,50.85
2024-04-10,50.08
2024-04-11,50.37
2024-04-12,50.08
2024-04-15,48.06
2024-04-16,48.06
2024-04-17,47.57
2024-04-19,46.42
2024-04-22,46.8
2024-04-23,47.96
2024-04-24,50.37
2024-04-25,51.81
2024-04-26,52.87
2024-05-02,53.54
2024-05-03,53.64
2024-05-06,56.14
2024-05-07,57.11
2024-05-08,56.92
2024-05-09,56.72
2024-05-10,56.72
2024-05-13,56.14
2024-05-14,57.88
2024-05-15,58.55
2024-05-16,57.69
2024-05-17,57.4
2024-05-20,57.78
2024-05-21,58.26
2024-05-22,58.74
2024-05-23,59.71
2024-05-24,58.26
2024-05-27,57.78
2024-05-28,59.23
2024-05-29,58.26
2024-05-30,60.48
2024-05-31,61.25
2024-06-03,61.64
2024-06-04,61.44
2024-06-05,59.71
2024-06-06,59.61
2024-06-07,59.8
2024-06-10,60.67
2024-06-11,60.0
2024-06-12,61.06
2024-06-13,61.64
2024-06-14,60.67
2024-06-17,59.71
2024-06-18,59.9
2024-06-19,60.96
2024-06-20,61.15
2024-06-21,61.15
2024-06-24,59.71
2024-06-25,59.71
2024-06-26,60.29
2024-06-27,61.06
2024-06-28,60.57
2024-07-01,63.87
2024-07-02,64.07
2024-07-03,63.58
2024-07-04,63.19
2024-07-05,63.68
2024-07-08,65.04
2024-07-09,64.84
2024-07-10,63.29
2024-07-11,62.9
2024-07-12,62.9
2024-07-15,62.42
2024-07-16,62.22
2024-07-17,61.64
2024-07-18,63.1
2024-07-19,63.68
2024-07-22,63.39
2024-07-23,60.67
2024-07-24,59.6
2024-07-25,59.21
2024-07-26,59.21
2024-07-29,60.18
2024-07-30,61.15
2024-07-31,61.93
2024-08-01,60.28
2024-08-02,61.06
2024-08-05,59.8
2024-08-06,60.47
2024-08-07,60.47
2024-08-08,60.57
2024-08-09,63.68
2024-08-12,64.65
2024-08-13,64.74
2024-08-14,64.65
2024-08-15,63.97
2024-08-16,66.98
2024-08-19,66.98
2024-08-20,67.46
2024-08-21,67.76
2024-08-22,67.95
2024-08-23,67.95
2024-08-26,67.76
2024-08-27,67.76
2024-08-28,67.37
2024-08-29,67.08
2024-08-30,67.76
2024-09-04,67.08
2024-09-05,65.91
2024-09-06,66.01
2024-09-09,65.52
2024-09-10,65.81
2024-09-11,65.81
2024-09-12,65.52
2024-09-13,65.23
2024-09-16,64.16
2024-09-17,64.84
2024-09-18,66.2
2024-09-19,66.2
2024-09-20,66.01
2024-09-23,65.33
2024-09-24,66.1
2024-09-25,66.69
2024-09-26,66.3
2024-09-27,65.52
2024-09-30,66.1
2024-10-01,65.81
2024-10-02,65.42
2024-10-03,64.36
2024-10-04,64.45
2024-10-07,64.36
2024-10-08,63.29
2024-10-09,62.32
2024-10-10,63.1
2024-10-11,62.61
2024-10-14,61.74
2024-10-15,62.51
2024-10-16,63.58
2024-10-17,63.87
2024-10-18,63.78
2024-10-21,63.87
2024-10-22,64.36
2024-10-23,63.78
2024-10-24,63.48
2024-10-25,63.58
2024-10-28,63.58
2024-10-29,64.55
2024-10-30,64.07
2024-10-31,64.55
2024-11-01,64.07
2024-11-04,63.19
2024-11-05,63.68
2024-11-06,63.68
2024-11-07,63.48
2024-11-08,63.1
2024-11-11,61.15
2024-11-12,59.02
2024-11-13,60.09
2024-11-14,59.5
2024-11-15,58.14
2024-11-18,57.17
2024-11-19,55.82
2024-11-20,55.14
2024-11-21,56.98
2024-11-22,57.27
2024-11-25,57.27
2024-11-26,58.24
2024-11-27,58.44
2024-11-28,58.24
2024-11-29,58.73
2024-12-02,58.63
2024-12-03,58.05
2024-12-04,56.4
2024-12-05,59.21
2024-12-06,59.31
2024-12-09,59.31
2024-12-10,59.02
2024-12-11,58.24
2024-12-12,58.24
2024-12-13,59.21
2024-12-16,59.21
2024-12-17,58.53
2024-12-18,58.44
2024-12-19,58.05
2024-12-20,58.82
2024-12-23,59.21
2024-12-24,59.5
