time,close
2024-03-11,25.92
2024-03-12,25.92
2024-03-13,26.09
2024-03-14,26.15
2024-03-15,25.75
2024-03-18,24.72
2024-03-19,24.6
2024-03-20,24.83
2024-03-21,24.78
2024-03-22,24.83
2024-03-25,24.43
2024-03-26,24.83
2024-03-27,24.78
2024-03-28,24.72
2024-03-29,24.55
2024-04-01,24.38
2024-04-02,24.32
2024-04-03,24.72
2024-04-04,25.0
2024-04-05,24.38
2024-04-08,23.86
2024-04-09,23.98
2024-04-10,23.75
2024-04-11,23.64
2024-04-12,23.98
2024-04-15,23.12
2024-04-16,22.66
2024-04-17,22.32
2024-04-19,21.75
2024-04-22,21.98
2024-04-23,22.38
2024-04-24,22.78
2024-04-25,22.84
2024-04-26,23.29
2024-05-02,23.58
2024-05-03,23.81
2024-05-06,23.86
2024-05-07,24.15
2024-05-08,24.09
2024-05-09,23.98
2024-05-10,24.09
2024-05-13,24.15
2024-05-14,24.15
2024-05-15,24.26
2024-05-16,24.38
2024-05-17,24.43
2024-05-20,26.83
2024-05-21,27.97
2024-05-22,30.77
2024-05-23,33.8
2024-05-24,35.74
2024-05-27,33.4
2024-05-28,33.4
2024-05-29,33.63
2024-05-30,31.13
2024-05-31,32.23
2024-06-03,32.52
2024-06-04,32.12
2024-06-05,35.25
2024-06-06,34.84
2024-06-07,33.86
2024-06-10,34.26
2024-06-11,33.57
2024-06-12,34.38
2024-06-13,36.3
2024-06-14,37.11
2024-06-17,35.54
2024-06-18,35.89
2024-06-19,35.77
2024-06-20,36.53
2024-06-21,36.12
2024-06-24,32.87
2024-06-25,33.97
2024-06-26,33.97
2024-06-27,34.21
2024-06-28,33.22
2024-07-01,33.74
2024-07-02,33.74
2024-07-03,33.45
2024-07-04,33.68
2024-07-05,35.37
2024-07-08,36.52
2024-07-09,36.01
2024-07-10,36.9
2024-07-11,36.96
2024-07-12,36.52
2024-07-15,36.13
2024-07-16,35.75
2024-07-17,34.92
2024-07-18,36.07
2024-07-19,34.54
2024-07-22,34.98
2024-07-23,34.67
2024-07-24,36.58
2024-07-25,38.94
2024-07-26,39.26
2024-07-29,38.37
2024-07-30,39.9
2024-07-31,39.2
2024-08-01,36.01
2024-08-02,37.48
2024-08-05,35.24
2024-08-06,36.39
2024-08-07,38.88
2024-08-08,38.3
