time,close
2024-03-11,17.27
2024-03-12,17.34
2024-03-13,17.75
2024-03-14,17.45
2024-03-15,18.0
2024-03-18,17.53
2024-03-19,17.2
2024-03-20,17.45
2024-03-21,17.53
2024-03-22,17.57
2024-03-25,17.49
2024-03-26,17.42
2024-03-27,17.57
2024-03-28,18.33
2024-03-29,18.15
2024-04-01,18.18
2024-04-02,18.37
2024-04-03,17.82
2024-04-04,17.97
2024-04-05,17.45
2024-04-08,17.45
2024-04-09,17.53
2024-04-10,17.34
2024-04-11,17.05
2024-04-12,17.27
2024-04-15,16.07
2024-04-16,15.78
2024-04-17,15.74
2024-04-19,14.94
2024-04-22,15.45
2024-04-23,15.04
2024-04-24,15.56
2024-04-25,15.56
2024-04-26,15.56
2024-05-02,15.92
2024-05-03,15.96
2024-05-06,16.32
2024-05-07,16.29
2024-05-08,16.36
2024-05-09,16.36
2024-05-10,16.36
2024-05-13,17.02
2024-05-14,17.02
2024-05-15,16.94
2024-05-16,17.02
2024-05-17,17.24
2024-05-20,17.2
2024-05-21,17.09
2024-05-22,17.16
2024-05-23,17.16
2024-05-24,17.42
2024-05-27,17.45
2024-05-28,17.42
2024-05-29,17.38
2024-05-30,17.09
2024-05-31,17.13
2024-06-03,17.53
2024-06-04,17.49
2024-06-05,17.57
2024-06-06,17.86
2024-06-07,17.64
2024-06-10,17.45
2024-06-11,17.31
2024-06-12,17.49
2024-06-13,17.45
2024-06-14,16.94
2024-06-17,17.16
2024-06-18,17.93
2024-06-19,17.93
2024-06-20,18.4
2024-06-21,18.48
2024-06-24,17.53
2024-06-25,17.64
2024-06-26,17.94
2024-06-27,18.35
2024-06-28,17.9
2024-07-01,17.75
2024-07-02,17.71
2024-07-03,17.9
2024-07-04,17.9
2024-07-05,17.94
2024-07-08,17.97
2024-07-09,18.57
2024-07-10,18.57
2024-07-11,18.94
2024-07-12,18.68
2024-07-15,18.64
2024-07-16,18.79
2024-07-17,17.94
2024-07-18,18.12
2024-07-19,17.56
2024-07-22,17.23
2024-07-23,16.56
2024-07-24,16.78
2024-07-25,16.56
2024-07-26,17.23
2024-07-29,17.3
2024-07-30,17.12
2024-07-31,17.04
2024-08-01,16.44
2024-08-02,16.7
2024-08-05,15.66
2024-08-06,16.15
2024-08-07,16.37
2024-08-08,16.33
2024-08-09,16.52
2024-08-12,16.63
2024-08-13,16.7
2024-08-14,16.78
2024-08-15,16.74
2024-08-16,17.12
2024-08-19,17.15
2024-08-20,17.26
2024-08-21,17.26
2024-08-22,17.23
2024-08-23,17.15
2024-08-26,17.15
2024-08-27,16.97
2024-08-28,17.0
2024-08-29,16.89
2024-08-30,17.04
2024-09-04,16.97
2024-09-05,17.0
2024-09-06,16.89
2024-09-09,16.74
2024-09-10,17.19
2024-09-11,17.53
2024-09-12,17.53
2024-09-13,17.56
2024-09-16,17.49
2024-09-17,17.56
2024-09-18,17.53
2024-09-19,17.64
2024-09-20,17.64
2024-09-23,17.75
2024-09-24,17.71
2024-09-25,17.97
2024-09-26,17.71
2024-09-27,17.6
2024-09-30,17.6
2024-10-01,17.64
2024-10-02,17.41
2024-10-03,17.19
2024-10-04,17.23
2024-10-07,17.49
2024-10-08,17.79
2024-10-09,17.82
2024-10-10,18.27
2024-10-11,18.2
2024-10-14,18.23
2024-10-15,18.35
2024-10-16,18.38
2024-10-17,18.46
2024-10-18,18.27
2024-10-21,17.71
2024-10-22,17.71
2024-10-23,17.68
2024-10-24,17.53
2024-10-25,17.6
2024-10-28,17.75
2024-10-29,18.05
2024-10-30,18.23
2024-10-31,18.23
2024-11-01,18.27
2024-11-04,18.01
2024-11-05,17.9
2024-11-06,18.12
2024-11-07,17.86
2024-11-08,17.9
2024-11-11,17.68
2024-11-12,17.6
2024-11-13,17.38
2024-11-14,16.93
2024-11-15,16.78
2024-11-18,16.85
2024-11-19,16.63
2024-11-20,16.67
2024-11-21,16.74
2024-11-22,16.93
2024-11-25,16.7
2024-11-26,16.85
2024-11-27,16.97
2024-11-28,16.85
2024-11-29,16.97
2024-12-02,16.89
2024-12-03,16.85
2024-12-04,16.74
2024-12-05,17.04
2024-12-06,16.93
2024-12-09,16.78
2024-12-10,17.26
2024-12-11,17.15
2024-12-12,17.0
2024-12-13,17.12
2024-12-16,17.0
2024-12-17,17.08
2024-12-18,17.68
2024-12-19,17.53
