time,close
2024-03-11,22.91
2024-03-12,22.95
2024-03-13,23.54
2024-03-14,23.49
2024-03-15,23.49
2024-03-18,24.33
2024-03-19,24.0
2024-03-20,24.04
2024-03-21,25.71
2024-03-22,26.34
2024-03-25,26.3
2024-03-26,26.76
2024-03-27,26.84
2024-03-28,26.84
2024-03-29,26.63
2024-04-01,27.47
2024-04-02,27.55
2024-04-03,26.96
2024-04-04,27.17
2024-04-05,26.92
2024-04-08,26.63
2024-04-09,26.92
2024-04-10,26.42
2024-04-11,26.42
2024-04-12,26.71
2024-04-15,24.87
2024-04-16,24.37
2024-04-17,23.41
2024-04-19,21.91
2024-04-22,22.28
2024-04-23,21.15
2024-04-24,22.62
2024-04-25,22.32
2024-04-26,22.11
2024-05-02,21.95
2024-05-03,22.53
2024-05-06,23.33
2024-05-07,23.08
2024-05-08,22.7
2024-05-09,22.45
2024-05-10,23.33
2024-05-13,23.61
2024-05-14,23.42
2024-05-15,23.61
2024-05-16,23.88
2024-05-17,24.12
2024-05-20,23.88
2024-05-21,23.61
2024-05-22,24.53
2024-05-23,24.58
2024-05-24,24.02
2024-05-27,23.56
2024-05-28,23.7
2024-05-29,23.51
2024-05-30,23.14
2024-05-31,23.33
2024-06-03,24.07
2024-06-04,23.88
2024-06-05,23.88
2024-06-06,23.84
2024-06-07,23.7
2024-06-10,23.61
2024-06-11,23.47
2024-06-12,23.88
2024-06-13,24.35
2024-06-14,23.7
2024-06-17,23.14
2024-06-18,23.05
2024-06-19,22.73
2024-06-20,22.63
2024-06-21,22.31
2024-06-24,22.4
2024-06-25,22.4
2024-06-26,22.22
2024-06-27,22.5
2024-06-28,21.94
2024-07-01,22.22
2024-07-02,22.68
2024-07-03,22.45
2024-07-04,22.31
2024-07-05,21.99
2024-07-08,21.34
2024-07-09,21.57
2024-07-10,21.38
2024-07-11,21.89
2024-07-12,21.62
2024-07-15,21.43
2024-07-16,20.74
2024-07-17,19.39
2024-07-18,19.53
2024-07-19,18.75
2024-07-22,18.61
2024-07-23,18.01
2024-07-24,18.7
2024-07-25,18.56
2024-07-26,18.38
2024-07-29,18.1
2024-07-30,17.59
2024-07-31,17.59
2024-08-01,16.39
2024-08-02,16.66
2024-08-05,15.74
2024-08-06,16.2
2024-08-07,16.48
2024-08-08,16.02
2024-08-09,16.39
2024-08-12,16.2
2024-08-13,16.8
2024-08-14,16.57
2024-08-15,16.29
2024-08-16,17.4
2024-08-19,17.73
2024-08-20,18.93
2024-08-21,19.44
2024-08-22,19.81
2024-08-23,20.0
2024-08-26,20.27
2024-08-27,20.13
2024-08-28,20.27
2024-08-29,19.86
2024-08-30,19.95
2024-09-04,20.74
2024-09-05,20.23
2024-09-06,20.0
2024-09-09,20.09
2024-09-10,19.35
2024-09-11,19.58
2024-09-12,19.58
2024-09-13,19.9
2024-09-16,19.16
2024-09-17,20.13
2024-09-18,20.13
2024-09-19,20.74
2024-09-20,20.55
2024-09-23,20.55
2024-09-24,20.88
2024-09-25,21.43
2024-09-26,21.11
2024-09-27,21.11
2024-09-30,20.83
2024-10-01,20.78
2024-10-02,19.63
2024-10-03,19.07
2024-10-04,19.26
2024-10-07,19.49
2024-10-08,19.49
2024-10-09,19.58
2024-10-10,19.26
2024-10-11,19.67
2024-10-14,19.35
2024-10-15,18.61
2024-10-16,18.24
2024-10-17,19.49
2024-10-18,19.35
2024-10-21,19.07
2024-10-22,19.35
2024-10-23,20.0
2024-10-24,19.76
2024-10-25,20.04
2024-10-28,20.0
2024-10-29,19.58
2024-10-30,19.67
2024-10-31,19.49
2024-11-01,19.35
2024-11-04,19.39
2024-11-05,19.58
2024-11-06,19.72
2024-11-07,20.09
2024-11-08,19.76
2024-11-11,19.3
2024-11-12,19.16
2024-11-13,19.53
2024-11-14,18.98
2024-11-15,18.47
2024-11-18,18.75
2024-11-19,18.61
2024-11-20,19.35
2024-11-21,19.49
2024-11-22,19.21
2024-11-25,19.39
2024-11-26,19.72
2024-11-27,19.72
2024-11-28,19.58
2024-11-29,19.63
2024-12-02,19.3
2024-12-03,19.16
2024-12-04,18.89
2024-12-05,20.18
2024-12-06,20.37
2024-12-09,20.55
2024-12-10,20.37
2024-12-11,20.23
2024-12-12,20.04
2024-12-13,19.9
2024-12-16,19.9
2024-12-17,19.72
2024-12-18,20.0
2024-12-19,19.49
2024-12-20,19.44
2024-12-23,19.26
2024-12-24,18.7
2024-12-25,18.93
2024-12-26,19.21
2024-12-27,19.07
2024-12-30,19.44
2024-12-31,19.16
2025-01-02,19.16
2025-01-03,18.93
2025-01-06,18.14
2025-01-07,17.45
2025-01-08,17.87
2025-01-09,17.59
2025-01-10,16.71
2025-01-13,17.36
2025-01-14,17.03
2025-01-15,17.4
2025-01-16,17.22
2025-01-17,17.45
2025-01-20,17.4
2025-01-21,17.03
2025-01-22,16.99
2025-01-23,17.22
2025-01-24,17.68
2025-02-03,17.31
2025-02-04,17.64
2025-02-05,18.28
2025-02-06,18.33
2025-02-07,18.01
2025-02-10,17.4
2025-02-11,17.5
2025-02-12,17.36
2025-02-13,17.54
2025-02-14,17.68
2025-02-17,17.68
2025-02-18,17.77
2025-02-19,18.1
2025-02-20,17.96
2025-02-21,17.73
2025-02-24,17.91
2025-02-25,18.01
2025-02-26,17.77
2025-02-27,18.33
2025-02-28,18.42
2025-03-03,18.61
2025-03-04,18.61
2025-03-05,18.1
2025-03-06,18.51
2025-03-07,18.79
2025-03-10,18.89
2025-03-11,19.07
2025-03-12,18.98
2025-03-13,18.33
2025-03-14,18.7
2025-03-17,19.26
2025-03-18,18.98
2025-03-19,19.02
2025-03-20,18.7
2025-03-21,18.79
2025-03-24,18.51
2025-03-25,18.61
2025-03-26,18.33
2025-03-27,18.14
2025-03-28,17.87
2025-03-31,17.91
2025-04-01,18.01
2025-04-02,18.05
2025-04-03,16.8
2025-04-04,16.06
2025-04-08,14.95
2025-04-09,13.93
2025-04-10,14.9
2025-04-11,15.74
2025-04-14,15.88
2025-04-15,15.27
2025-04-16,15.27
2025-04-17,15.32
2025-04-18,15.18
2025-04-21,15.18
2025-04-22,14.16
2025-04-23,14.44
2025-04-24,14.72
2025-04-25,14.53
2025-04-28,14.53
2025-04-29,14.26
2025-05-05,14.49
2025-05-06,14.95
2025-05-07,15.37
2025-05-08,15.37
2025-05-09,15.41
2025-05-12,15.32
2025-05-13,15.27
2025-05-14,15.55
2025-05-15,15.55
2025-05-16,15.27
2025-05-19,15.46
2025-05-20,15.41
2025-05-21,15.51
2025-05-22,15.18
2025-05-23,14.9
2025-05-26,15.27
2025-05-27,16.29
2025-05-28,16.02
2025-05-29,16.25
2025-05-30,15.83
2025-06-02,16.89
2025-06-03,16.99
2025-06-04,17.08
2025-06-05,16.89
2025-06-06,16.48
2025-06-09,16.39
2025-06-10,16.43
2025-06-11,16.06
2025-06-12,16.11
2025-06-13,15.51
2025-06-16,15.92
2025-06-17,16.62
2025-06-18,16.57
2025-06-19,16.52
2025-06-20,16.66
2025-06-23,16.57
2025-06-24,16.57
2025-06-25,16.39
2025-06-26,16.34
2025-06-27,16.34
2025-06-30,16.71
2025-07-01,16.29
2025-07-02,16.43
2025-07-03,16.52
2025-07-04,16.99
2025-07-07,17.54
2025-07-08,17.45
2025-07-09,17.59
2025-07-10,17.68
2025-07-11,17.36
2025-07-14,18.19
2025-07-15,17.96
2025-07-16,18.56
2025-07-17,19.35
2025-07-18,19.02
2025-07-21,18.51
2025-07-22,18.89
2025-07-23,18.7
2025-07-24,18.7
2025-07-25,19.21
2025-07-28,20.55
2025-07-29,19.12
2025-07-30,19.21
2025-07-31,19.16
2025-08-01,18.7
2025-08-04,19.2
2025-08-05,19.0
2025-08-06,19.5
2025-08-07,19.95
2025-08-08,21.3
2025-08-11,22.7
2025-08-12,23.9
2025-08-13,24.2
2025-08-14,24.55
2025-08-15,24.0
2025-08-18,25.65
2025-08-19,25.7
2025-08-20,24.5
2025-08-21,23.75
2025-08-22,24.0
2025-08-25,23.2
2025-08-26,24.4
2025-08-27,24.55
2025-08-28,24.4
2025-08-29,24.55
2025-09-03,26.25
2025-09-04,26.0
2025-09-05,25.1
2025-09-08,23.4
2025-09-09,23.65
2025-09-10,23.4
2025-09-11,23.4
2025-09-12,23.65
2025-09-15,23.85
2025-09-16,23.6
2025-09-17,23.3
2025-09-18,23.45
2025-09-19,23.5
2025-09-22,24.0
2025-09-23,23.65
2025-09-24,24.95
2025-09-25,24.8
2025-09-26,24.55
2025-09-29,23.9
2025-09-30,23.45
2025-10-01,23.65
2025-10-02,22.9
2025-10-03,21.6
2025-10-06,23.1
2025-10-07,22.75
2025-10-08,22.7
2025-10-09,23.3
2025-10-10,23.65
2025-10-13,24.65
2025-10-14,24.9
2025-10-15,25.5
2025-10-16,26.3
2025-10-17,26.0
2025-10-20,24.2
2025-10-21,23.3
2025-10-22,24.25
2025-10-23,23.6
2025-10-24,23.65
2025-10-27,22.05
2025-10-28,23.0
2025-10-29,23.0
2025-10-30,23.4
2025-10-31,22.55
2025-11-03,21.4
2025-11-04,22.85
2025-11-05,22.45
2025-11-06,22.0
2025-11-07,21.15
2025-11-10,20.8
2025-11-11,21.2
2025-11-12,22.2
2025-11-13,22.0
2025-11-14,22.2
2025-11-17,23.05
2025-11-18,23.0
2025-11-19,22.8
2025-11-20,22.8
2025-11-21,22.6
2025-11-24,22.3
2025-11-25,21.8
2025-11-26,22.6
2025-11-27,22.5
2025-11-28,22.5
2025-12-01,21.9
2025-12-02,22.0
2025-12-03,22.15
2025-12-04,22.6
2025-12-05,22.2
2025-12-08,22.05
2025-12-09,21.85
2025-12-10,21.4
2025-12-11,21.15
2025-12-12,19.7
2025-12-15,19.0
2025-12-16,19.5
2025-12-17,19.2
2025-12-18,19.05
2025-12-19,19.3
2025-12-22,20.5
2025-12-23,20.15
2025-12-24,20.05
2025-12-25,19.5
2025-12-26,19.35
2025-12-29,19.6
2025-12-30,19.4
2025-12-31,18.8
2026-01-05,18.7
2026-01-06,18.65
2026-01-07,18.8
2026-01-08,18.5
2026-01-09,17.25
2026-01-12,17.9
2026-01-13,18.0
2026-01-14,17.75
2026-01-15,17.85
2026-01-16,17.5
2026-01-19,17.8
2026-01-20,17.5
2026-01-21,17.4
2026-01-22,18.2
2026-01-23,17.8
2026-01-26,17.35
2026-01-27,17.3
2026-01-28,17.45
2026-01-29,17.3
2026-01-30,17.7
2026-02-02,18.0
2026-02-03,17.7
2026-02-04,17.75
2026-02-05,17.45
2026-02-06,17.0
2026-02-09,17.3
2026-02-10,17.3
2026-02-11,17.9
2026-02-12,17.7
2026-02-13,17.4
2026-02-23,17.5
2026-02-24,17.3
2026-02-25,17.0
2026-02-26,16.9
2026-02-27,16.4
2026-03-02,15.6
2026-03-03,15.6
2026-03-04,15.6
2026-03-05,15.65
2026-03-06,15.6
2026-03-09,14.55
2026-03-10,14.6
2026-03-11,15.3
2026-03-12,15.25
2026-03-13,15.45
2026-03-16,15.6
2026-03-17,15.25
2026-03-18,15.25
2026-03-19,15.4
2026-03-20,15.15
2026-03-23,14.5
2026-03-24,15.15
