time,close
2024-03-11,17.6
2024-03-12,18.32
2024-03-13,18.76
2024-03-14,19.23
2024-03-15,19.98
2024-03-18,19.17
2024-03-19,19.03
2024-03-20,19.61
2024-03-21,19.64
2024-03-22,19.61
2024-03-25,19.23
2024-03-26,19.3
2024-03-27,19.61
2024-03-28,19.64
2024-03-29,19.71
2024-04-01,19.4
2024-04-02,19.51
2024-04-03,19.13
2024-04-04,18.49
2024-04-05,18.49
2024-04-08,18.55
2024-04-09,19.1
2024-04-10,18.76
2024-04-11,18.62
2024-04-12,18.89
2024-04-15,17.6
2024-04-16,17.33
2024-04-17,16.65
2024-04-19,15.84
2024-04-22,16.21
2024-04-23,15.63
2024-04-24,16.41
2024-04-25,16.28
2024-04-26,16.58
2024-05-02,16.82
2024-05-03,16.55
2024-05-06,16.86
2024-05-07,17.06
2024-05-08,17.06
2024-05-09,16.79
2024-05-10,17.13
2024-05-13,17.02
2024-05-14,16.92
2024-05-15,17.02
2024-05-16,17.06
2024-05-17,17.33
2024-05-20,17.33
2024-05-21,17.4
2024-05-22,17.4
2024-05-23,17.7
2024-05-24,18.93
2024-05-27,19.13
2024-05-28,19.23
2024-05-29,20.56
2024-05-30,21.04
2024-05-31,20.52
2024-06-03,20.46
2024-06-04,20.66
2024-06-05,20.12
2024-06-06,20.25
2024-06-07,20.52
2024-06-10,20.52
2024-06-11,21.07
2024-06-12,20.93
2024-06-13,20.63
2024-06-14,19.3
2024-06-17,19.03
2024-06-18,19.2
2024-06-19,19.44
2024-06-20,19.47
2024-06-21,19.68
2024-06-24,18.32
2024-06-25,18.32
2024-06-26,18.55
2024-06-27,18.69
2024-06-28,18.35
2024-07-01,18.89
2024-07-02,18.86
2024-07-03,18.79
2024-07-04,18.79
2024-07-05,18.79
2024-07-08,19.2
2024-07-09,19.71
2024-07-10,19.4
2024-07-11,19.2
2024-07-12,19.27
2024-07-15,20.05
2024-07-16,19.85
2024-07-17,18.83
2024-07-18,19.71
2024-07-19,19.95
2024-07-22,18.96
2024-07-23,17.64
2024-07-24,17.67
2024-07-25,17.43
2024-07-26,17.94
2024-07-29,18.08
2024-07-30,17.94
2024-07-31,17.84
2024-08-01,16.99
2024-08-02,17.6
2024-08-05,16.41
2024-08-06,16.86
2024-08-07,17.33
2024-08-08,17.54
2024-08-09,17.81
2024-08-12,17.91
2024-08-13,17.88
2024-08-14,17.74
2024-08-15,17.43
2024-08-16,18.32
2024-08-19,18.59
2024-08-20,18.83
2024-08-21,19.44
2024-08-22,19.17
2024-08-23,19.27
2024-08-26,18.93
2024-08-27,18.93
2024-08-28,19.1
2024-08-29,19.17
2024-08-30,18.96
2024-09-04,18.76
2024-09-05,18.69
2024-09-06,19.06
2024-09-09,18.83
2024-09-10,18.76
2024-09-11,18.42
2024-09-12,18.01
2024-09-13,18.01
2024-09-16,17.6
2024-09-17,17.7
2024-09-18,17.7
2024-09-19,17.88
2024-09-20,17.98
2024-09-23,18.01
2024-09-24,18.01
2024-09-25,18.18
2024-09-26,18.11
2024-09-27,18.01
2024-09-30,18.32
2024-10-01,18.25
2024-10-02,17.77
2024-10-03,17.57
2024-10-04,17.64
2024-10-07,17.6
2024-10-08,17.74
2024-10-09,17.7
2024-10-10,17.84
2024-10-11,18.55
2024-10-14,18.49
2024-10-15,17.98
2024-10-16,19.23
2024-10-17,19.1
2024-10-18,18.86
2024-10-21,18.89
2024-10-22,18.69
2024-10-23,18.69
2024-10-24,17.84
2024-10-25,17.91
2024-10-28,17.98
2024-10-29,18.15
2024-10-30,18.15
2024-10-31,18.15
2024-11-01,17.77
