time,close
2024-03-11,20.76
2024-03-12,21.14
2024-03-13,20.85
2024-03-14,21.04
2024-03-15,21.14
2024-03-18,20.76
2024-03-19,21.04
2024-03-20,21.14
2024-03-21,21.04
2024-03-22,21.51
2024-03-25,21.23
2024-03-26,21.51
2024-03-27,21.51
2024-03-28,21.42
2024-03-29,21.51
2024-04-01,21.23
2024-04-02,21.32
2024-04-03,21.14
2024-04-04,21.04
2024-04-05,20.76
2024-04-08,20.76
2024-04-09,20.66
2024-04-10,20.66
2024-04-11,20.38
2024-04-12,21.61
2024-04-15,20.29
2024-04-16,20.1
2024-04-17,19.91
2024-04-19,19.72
2024-04-22,20.1
2024-04-23,19.34
2024-04-24,19.72
2024-04-25,20.57
2024-04-26,20.57
2024-05-02,20.48
2024-05-03,21.04
2024-05-06,21.04
2024-05-07,20.38
2024-05-08,20.48
2024-05-09,20.76
2024-05-10,20.38
2024-05-13,20.57
2024-05-14,20.66
2024-05-15,20.66
2024-05-16,20.76
2024-05-17,20.85
2024-05-20,20.76
2024-05-21,21.32
2024-05-22,21.23
2024-05-23,21.51
2024-05-24,20.85
2024-05-27,20.76
2024-05-28,20.85
2024-05-29,21.23
2024-05-30,20.95
2024-05-31,20.66
2024-06-03,20.95
2024-06-04,20.95
2024-06-05,21.23
2024-06-06,23.21
2024-06-07,24.98
2024-06-10,26.52
2024-06-11,25.37
2024-06-12,25.37
2024-06-13,25.56
2024-06-14,24.98
2024-06-17,27.1
2024-06-18,28.06
2024-06-19,27.96
2024-06-20,28.83
2024-06-21,30.36
2024-06-24,27.77
2024-06-25,27.96
2024-06-26,29.02
2024-06-27,29.4
2024-06-28,28.92
2024-07-01,27.19
2024-07-02,27.0
2024-07-03,27.39
2024-07-04,28.35
2024-07-05,28.35
2024-07-08,28.44
2024-07-09,27.87
2024-07-10,28.25
2024-07-11,28.15
2024-07-12,28.83
2024-07-15,28.35
2024-07-16,27.39
2024-07-17,25.85
2024-07-18,25.94
2024-07-19,25.37
2024-07-22,25.27
2024-07-23,24.98
2024-07-24,25.56
2024-07-25,26.04
2024-07-26,26.33
2024-07-29,25.94
2024-07-30,25.75
2024-07-31,25.56
2024-08-01,24.79
2024-08-02,25.08
2024-08-05,24.02
2024-08-06,24.31
2024-08-07,24.41
2024-08-08,24.7
2024-08-09,24.6
2024-08-12,25.08
2024-08-13,24.98
2024-08-14,24.22
2024-08-15,24.79
2024-08-16,25.66
2024-08-19,26.9
2024-08-20,26.62
2024-08-21,26.71
2024-08-22,27.67
2024-08-23,27.19
2024-08-26,26.71
2024-08-27,27.58
2024-08-28,27.48
2024-08-29,26.9
2024-08-30,26.62
2024-09-04,26.42
2024-09-05,26.33
2024-09-06,26.52
2024-09-09,26.04
2024-09-10,25.85
2024-09-11,25.56
2024-09-12,25.75
2024-09-13,25.66
2024-09-16,25.27
2024-09-17,25.46
2024-09-18,25.46
2024-09-19,25.46
2024-09-20,25.27
2024-09-23,25.37
2024-09-24,25.85
2024-09-25,25.37
2024-09-26,25.85
2024-09-27,25.66
2024-09-30,25.66
2024-10-01,25.66
2024-10-02,25.18
2024-10-03,25.08
2024-10-04,24.89
2024-10-07,25.37
2024-10-08,25.27
2024-10-09,24.98
2024-10-10,24.89
2024-10-11,25.37
2024-10-14,25.46
2024-10-15,25.27
2024-10-16,25.18
2024-10-17,25.18
2024-10-18,25.94
2024-10-21,25.85
2024-10-22,25.66
2024-10-23,25.94
2024-10-24,26.23
2024-10-25,26.9
2024-10-28,27.1
2024-10-29,27.39
2024-10-30,27.96
2024-10-31,27.29
2024-11-01,27.1
2024-11-04,26.81
2024-11-05,26.9
2024-11-06,26.9
2024-11-07,27.87
2024-11-08,28.64
2024-11-11,30.75
2024-11-12,30.27
2024-11-13,32.09
2024-11-14,31.13
2024-11-15,31.13
2024-11-18,35.07
2024-11-19,34.11
2024-11-20,33.73
2024-11-21,34.11
2024-11-22,34.11
2024-11-25,34.11
2024-11-26,32.29
2024-11-27,32.48
2024-11-28,33.44
2024-11-29,33.92
2024-12-02,33.15
2024-12-03,35.07
2024-12-04,34.59
2024-12-05,34.5
2024-12-06,34.4
2024-12-09,35.17
2024-12-10,34.4
2024-12-11,34.69
2024-12-12,37.19
2024-12-13,37.19
2024-12-16,36.9
2024-12-17,35.94
2024-12-18,37.38
2024-12-19,38.44
2024-12-20,39.59
2024-12-23,40.84
2024-12-24,39.97
2024-12-25,40.17
2024-12-26,39.78
2024-12-27,38.63
2024-12-30,40.07
2024-12-31,40.17
2025-01-02,41.22
2025-01-03,39.68
2025-01-06,39.4
2025-01-07,40.26
2025-01-08,41.22
2025-01-09,40.94
2025-01-10,40.45
2025-01-13,39.68
2025-01-14,39.97
2025-01-15,40.74
2025-01-16,43.05
2025-01-17,44.2
2025-01-20,44.97
2025-01-21,46.6
2025-01-22,47.37
2025-01-23,47.08
2025-01-24,48.14
2025-02-03,47.47
2025-02-04,48.43
2025-02-05,50.74
2025-02-06,52.46
2025-02-07,51.89
2025-02-10,47.47
2025-02-11,48.72
2025-02-12,47.85
2025-02-13,48.04
2025-02-14,46.99
2025-02-17,41.9
2025-02-18,43.53
2025-02-19,44.39
2025-02-20,43.34
2025-02-21,44.2
2025-02-24,43.62
2025-02-25,42.66
2025-02-26,42.86
2025-02-27,41.13
2025-02-28,41.13
2025-03-03,40.26
2025-03-04,39.68
2025-03-05,41.99
2025-03-06,42.47
2025-03-07,41.9
2025-03-10,41.32
2025-03-11,41.7
2025-03-12,43.24
2025-03-13,43.24
2025-03-14,41.8
2025-03-17,41.32
2025-03-18,41.32
2025-03-19,41.99
2025-03-20,43.05
2025-03-21,43.24
2025-03-24,42.86
2025-03-25,41.99
2025-03-26,43.14
2025-03-27,42.86
2025-03-28,41.9
2025-03-31,42.28
2025-04-01,40.94
2025-04-02,40.55
2025-04-03,34.88
2025-04-04,33.63
2025-04-08,26.81
2025-04-09,25.18
2025-04-10,28.83
2025-04-11,31.61
2025-04-14,32.58
2025-04-15,32.09
2025-04-16,31.61
2025-04-17,31.81
2025-04-18,32.38
2025-04-21,31.71
2025-04-22,30.56
2025-04-23,31.9
2025-04-24,31.81
2025-04-25,32.09
2025-04-28,31.61
2025-04-29,33.15
2025-05-05,34.98
2025-05-06,34.4
2025-05-07,34.3
2025-05-08,34.21
2025-05-09,34.11
2025-05-12,35.55
2025-05-13,34.59
2025-05-14,36.9
2025-05-15,36.9
2025-05-16,35.94
2025-05-19,34.98
2025-05-20,36.13
2025-05-21,35.55
2025-05-22,35.36
2025-05-23,35.26
2025-05-26,36.23
2025-05-27,37.86
2025-05-28,36.99
2025-05-29,36.71
2025-05-30,35.84
2025-06-02,36.61
2025-06-03,36.42
2025-06-04,36.13
2025-06-05,35.75
2025-06-06,35.75
2025-06-09,35.07
2025-06-10,34.88
2025-06-11,35.26
2025-06-12,35.75
2025-06-13,36.42
2025-06-16,37.28
2025-06-17,36.61
2025-06-18,36.13
2025-06-19,35.65
2025-06-20,35.84
2025-06-23,35.46
2025-06-24,35.46
2025-06-25,35.26
2025-06-26,35.36
2025-06-27,35.65
2025-06-30,36.13
2025-07-01,35.94
2025-07-02,36.8
2025-07-03,36.8
2025-07-04,36.51
2025-07-07,36.32
2025-07-08,36.71
2025-07-09,36.99
2025-07-10,38.24
2025-07-11,38.82
2025-07-14,38.15
2025-07-15,37.48
2025-07-16,37.96
2025-07-17,37.76
2025-07-18,38.44
2025-07-21,38.63
2025-07-22,39.68
2025-07-23,39.4
2025-07-24,39.4
2025-07-25,39.2
2025-07-28,39.2
2025-07-29,36.61
2025-07-30,36.42
2025-07-31,35.84
2025-08-01,36.9
2025-08-04,36.32
2025-08-05,36.03
2025-08-06,36.32
2025-08-07,36.32
2025-08-08,36.13
2025-08-11,35.94
2025-08-12,36.9
2025-08-13,37.48
2025-08-14,37.09
2025-08-15,35.84
2025-08-18,35.94
2025-08-19,35.84
2025-08-20,35.17
2025-08-21,34.88
2025-08-22,34.3
2025-08-25,34.02
2025-08-26,34.59
2025-08-27,34.88
2025-08-28,34.98
2025-08-29,34.78
2025-09-03,34.88
2025-09-04,34.78
2025-09-05,34.59
2025-09-08,34.02
2025-09-09,33.54
2025-09-10,33.54
2025-09-11,33.15
2025-09-12,33.44
2025-09-15,34.4
2025-09-16,34.3
2025-09-17,34.21
2025-09-18,34.3
2025-09-19,33.92
2025-09-22,33.34
2025-09-23,33.82
2025-09-24,33.82
2025-09-25,34.11
2025-09-26,34.3
2025-09-29,34.3
2025-09-30,33.82
2025-10-01,33.91
2025-10-02,33.52
2025-10-03,33.62
2025-10-06,33.91
2025-10-07,33.52
2025-10-08,33.82
2025-10-09,33.42
2025-10-10,33.33
2025-10-13,32.64
2025-10-14,32.25
2025-10-15,31.86
2025-10-16,31.18
2025-10-17,30.79
2025-10-20,29.81
2025-10-21,30.1
2025-10-22,30.0
2025-10-23,30.3
2025-10-24,30.59
2025-10-27,30.4
2025-10-28,30.59
2025-10-29,31.57
2025-10-30,33.82
2025-10-31,33.52
2025-11-03,33.52
2025-11-04,33.72
2025-11-05,33.42
2025-11-06,33.23
2025-11-07,32.84
2025-11-10,32.94
2025-11-11,33.03
2025-11-12,33.62
2025-11-13,34.11
2025-11-14,34.21
2025-11-17,34.11
2025-11-18,33.72
2025-11-19,33.91
2025-11-20,33.91
2025-11-21,33.82
2025-11-24,33.72
2025-11-25,34.21
2025-11-26,34.4
2025-11-27,34.3
2025-11-28,34.3
2025-12-01,33.91
2025-12-02,33.33
2025-12-03,32.35
2025-12-04,32.54
2025-12-05,32.45
2025-12-08,32.25
2025-12-09,31.76
2025-12-10,31.76
2025-12-11,31.08
2025-12-12,31.18
2025-12-15,31.08
2025-12-16,30.98
2025-12-17,31.08
2025-12-18,30.79
2025-12-19,30.88
2025-12-22,30.79
2025-12-23,31.37
2025-12-24,30.49
2025-12-25,30.2
2025-12-26,29.91
2025-12-29,30.1
2025-12-30,30.3
