time,close
2024-03-11,5.3
2024-03-12,5.28
2024-03-13,5.35
2024-03-14,5.27
2024-03-15,5.31
2024-03-18,5.2
2024-03-19,5.29
2024-03-20,5.29
2024-03-21,5.3
2024-03-22,5.32
2024-03-25,5.29
2024-03-26,5.29
2024-03-27,5.3
2024-03-28,5.28
2024-03-29,5.06
2024-04-01,4.92
2024-04-02,5.02
2024-04-03,4.67
2024-04-04,4.35
2024-04-05,4.05
2024-04-08,3.77
2024-04-09,4.03
2024-04-10,4.03
2024-04-11,3.75
2024-04-12,3.49
2024-04-15,3.25
2024-04-16,3.03
2024-04-17,2.94
2024-04-19,3.1
2024-04-22,2.96
2024-04-23,2.85
2024-04-24,2.77
2024-04-25,2.84
2024-04-26,2.76
2024-05-02,2.66
2024-05-03,2.64
2024-05-06,2.73
2024-05-07,2.82
2024-05-08,2.82
2024-05-09,2.81
2024-05-24,3.9
2024-05-31,3.4
2024-06-07,3.1
2024-06-14,3.2
2024-06-21,3.1
2024-06-28,3.0
2024-07-05,2.9
2024-07-12,2.8
2024-07-19,2.7
2024-07-26,2.6
2024-08-02,2.5
2024-08-09,2.7
2024-08-16,3.0
2024-08-23,2.9
2024-08-30,2.7
2024-09-06,2.7
2024-09-13,2.9
2024-09-20,3.0
2024-09-27,2.9
2024-10-04,2.8
2024-10-11,2.9
2024-10-18,2.8
2024-10-25,2.7
2024-11-01,2.6
2024-11-08,2.7
2024-11-15,2.6
2024-11-22,2.5
2024-11-29,2.5
2024-12-06,2.4
2024-12-13,2.4
2024-12-20,2.2
2024-12-27,2.2
2025-01-03,2.2
2025-01-10,2.1
2025-01-17,2.2
2025-01-24,2.2
2025-02-07,2.2
2025-02-14,2.2
2025-02-21,2.1
2025-02-28,2.4
2025-03-07,2.2
2025-03-14,2.1
2025-03-21,2.1
2025-03-28,2.0
2025-04-04,1.7
2025-04-11,1.6
2025-04-18,1.5
2025-04-25,1.5
2025-05-09,1.5
2025-05-16,1.6
2025-05-23,1.5
2025-05-30,1.4
2025-06-06,1.6
2025-06-13,1.6
2025-06-20,1.6
2025-06-27,1.6
2025-07-04,1.6
2025-07-11,1.7
2025-07-18,1.9
2025-07-25,2.1
2025-08-01,2.3
2025-08-08,2.6
2025-08-15,2.4
2025-08-22,2.2
2025-08-29,2.1
2025-09-05,2.3
2025-09-12,2.3
2025-09-19,2.0
2025-09-26,1.9
2025-10-03,1.7
2025-10-10,2.0
2025-10-17,2.0
2025-10-24,2.0
2025-10-31,2.0
2025-11-07,2.3
2025-11-14,2.6
2025-11-21,2.9
2025-11-28,3.3
2025-12-05,3.7
2025-12-12,4.2
2025-12-19,4.8
2025-12-26,5.5
2026-01-09,6.0
2026-01-16,6.9
2026-01-23,7.9
2026-01-30,7.4
2026-02-06,6.9
2026-02-13,5.9
2026-02-27,5.1
2026-03-06,4.7
2026-03-13,4.1
2026-03-20,4.1
2026-03-27,4.0
2026-04-03,4.0
2026-04-10,4.1
2026-04-17,4.2
2026-04-24,4.0
2026-05-08,3.7
2026-05-15,4.3
2026-05-22,4.8
2026-05-29,4.8
2026-06-05,4.3
2026-06-12,4.8
2026-06-19,4.3
2026-06-26,4.2
2026-07-03,3.9
2026-07-10,3.5
2026-07-17,3.2
2026-07-24,2.9
2026-07-31,3.2
2026-08-07,3.5
2026-08-14,3.2
2026-08-21,3.2
