time,close
2024-03-11,16.5
2024-03-12,16.5
2024-03-13,16.77
2024-03-14,17.92
2024-03-15,18.08
2024-03-18,18.02
2024-03-19,17.71
2024-03-20,17.95
2024-03-21,18.08
2024-03-22,17.83
2024-03-25,17.74
2024-03-26,17.99
2024-03-27,18.08
2024-03-28,17.86
2024-03-29,17.8
2024-04-01,17.71
2024-04-02,18.52
2024-04-03,18.05
2024-04-04,17.83
2024-04-05,17.58
2024-04-08,17.4
2024-04-09,17.55
2024-04-10,17.24
2024-04-11,17.34
2024-04-12,17.62
2024-04-15,16.39
2024-04-16,17.14
2024-04-17,16.86
2024-04-19,16.52
2024-04-22,16.66
2024-04-23,16.66
2024-04-24,17.07
2024-04-25,16.8
2024-04-26,16.97
2024-05-02,17.48
2024-05-03,17.34
2024-05-06,17.82
2024-05-07,17.96
2024-05-08,19.19
2024-05-09,19.77
2024-05-10,20.31
2024-05-13,20.18
2024-05-14,20.14
2024-05-15,20.01
2024-05-16,20.08
2024-05-17,20.24
2024-05-20,19.9
2024-05-21,20.35
2024-05-22,19.8
2024-05-23,19.94
2024-05-24,20.01
2024-05-27,20.79
2024-05-28,20.79
2024-05-29,20.59
2024-05-30,21.1
2024-05-31,20.62
2024-06-03,20.83
2024-06-04,20.93
2024-06-05,20.62
2024-06-06,20.69
2024-06-07,20.89
2024-06-10,22.06
2024-06-11,21.51
2024-06-12,21.37
2024-06-13,21.44
2024-06-14,20.69
2024-06-17,20.59
2024-06-18,20.79
2024-06-19,20.69
2024-06-20,20.18
2024-06-21,20.42
2024-06-24,19.39
2024-06-25,19.87
2024-06-26,20.08
2024-06-27,19.87
2024-06-28,19.53
2024-07-01,20.14
2024-07-02,20.24
2024-07-03,20.42
2024-07-04,20.66
2024-07-05,20.55
2024-07-08,20.96
2024-07-09,20.83
2024-07-10,20.89
2024-07-11,20.62
2024-07-12,20.35
2024-07-15,20.96
2024-07-16,20.69
2024-07-17,19.73
2024-07-18,20.04
2024-07-19,19.46
2024-07-22,18.71
2024-07-23,18.54
2024-07-24,18.81
2024-07-25,18.85
2024-07-26,19.43
2024-07-29,19.43
2024-07-30,19.8
2024-07-31,19.43
2024-08-01,18.91
2024-08-02,19.29
2024-08-05,18.09
2024-08-06,18.71
2024-08-07,18.71
2024-08-08,19.08
2024-08-09,19.19
2024-08-12,19.32
2024-08-13,19.12
