time,close
2024-03-11,38.91
2024-03-12,38.91
2024-03-13,39.91
2024-03-14,40.35
2024-03-15,40.16
2024-03-18,38.72
2024-03-19,38.78
2024-03-20,38.97
2024-03-21,39.47
2024-03-22,40.23
2024-03-25,39.85
2024-03-26,40.23
2024-03-27,40.1
2024-03-28,40.1
2024-03-29,40.04
2024-04-01,39.72
2024-04-02,40.23
2024-04-03,39.98
2024-04-04,39.47
2024-04-05,39.29
2024-04-08,39.22
2024-04-09,39.41
2024-04-10,39.29
2024-04-11,39.47
2024-04-12,40.05
2024-04-15,38.84
2024-04-16,38.52
2024-04-17,38.26
2024-04-19,36.99
2024-04-22,37.56
2024-04-23,37.24
2024-04-24,38.45
2024-04-25,38.26
2024-04-26,39.28
2024-05-02,40.94
2024-05-03,42.02
2024-05-06,41.64
2024-05-07,41.45
2024-05-08,42.34
2024-05-09,42.09
2024-05-10,42.09
2024-05-13,42.73
2024-05-14,42.47
2024-05-15,42.47
2024-05-16,43.75
2024-05-17,43.36
2024-05-20,43.04
2024-05-21,43.41
2024-05-22,43.41
2024-05-23,45.1
2024-05-24,44.58
2024-05-27,45.61
2024-05-28,46.42
2024-05-29,45.46
2024-05-30,45.46
2024-05-31,45.68
2024-06-03,46.2
2024-06-04,45.83
2024-06-05,45.9
2024-06-06,45.46
2024-06-07,45.46
2024-06-10,45.61
2024-06-11,45.46
2024-06-12,46.56
2024-06-13,46.93
2024-06-14,45.1
2024-06-17,45.17
2024-06-18,46.56
2024-06-19,46.71
2024-06-20,48.18
2024-06-21,47.3
2024-06-24,46.64
2024-06-25,47.0
2024-06-26,46.93
2024-06-27,46.93
2024-06-28,45.9
2024-07-01,46.56
2024-07-02,46.34
2024-07-03,46.93
2024-07-04,47.88
2024-07-05,47.81
2024-07-08,48.76
2024-07-09,50.96
2024-07-10,52.21
2024-07-11,52.43
2024-07-12,52.14
2024-07-15,52.8
2024-07-16,54.19
2024-07-17,52.94
2024-07-18,52.8
2024-07-19,51.55
2024-07-22,50.23
2024-07-23,50.08
2024-07-24,50.6
2024-07-25,51.7
2024-07-26,52.06
2024-07-29,52.43
2024-07-30,51.7
2024-07-31,51.04
2024-08-01,49.79
2024-08-02,51.55
2024-08-05,47.96
2024-08-06,48.91
2024-08-07,48.25
2024-08-08,48.62
2024-08-09,49.13
2024-08-12,50.52
2024-08-13,49.72
2024-08-14,50.6
2024-08-15,49.5
2024-08-16,51.26
2024-08-19,51.55
2024-08-20,51.26
2024-08-21,51.4
2024-08-22,51.11
2024-08-23,51.77
