time,close
2025-10-30,16.93
2025-10-31,19.38
2025-11-03,22.2
2025-11-04,25.48
2025-11-05,29.21
2025-11-06,33.67
2025-11-07,33.67
2025-11-10,33.67
2025-11-11,28.48
2025-11-12,32.3
2025-11-13,30.94
2025-11-14,28.3
2025-11-17,31.58
2025-11-18,30.85
2025-11-19,31.21
2025-11-21,25.66
2025-11-24,29.12
2025-11-25,33.67
2025-11-26,30.03
2025-11-27,29.12
2025-12-05,30.03
2025-12-08,26.48
2025-12-09,26.57
2025-12-10,28.12
2025-12-11,27.12
2025-12-15,26.94
2025-12-17,26.84
2025-12-18,25.02
2025-12-19,26.3
2025-12-22,25.75
2025-12-23,25.57
2025-12-25,24.93
2025-12-29,26.84
2026-01-05,28.03
2026-01-06,32.21
2026-01-07,33.67
2026-01-08,38.95
2026-01-13,36.4
2026-01-14,38.67
2026-01-15,36.76
2026-01-20,31.3
2026-01-23,31.3
2026-01-26,31.12
2026-01-29,35.76
2026-02-26,30.48
2026-02-27,30.48
2026-03-03,30.94
2026-03-04,30.94
2026-03-06,30.03
2026-03-16,31.85
2026-03-17,32.12
2026-03-19,30.48
2026-03-20,31.85
2026-03-24,32.76
2026-03-27,36.22
2026-03-30,36.4
2026-04-03,34.58
2026-04-10,35.49
2026-05-04,34.12
2026-05-05,35.03
2026-05-18,30.94
2026-05-19,35.58
2026-05-20,35.31
2026-05-26,35.94
2026-05-29,34.03
2026-06-02,37.04
2026-06-17,31.85
2026-06-18,36.4
2026-06-23,36.4
2026-08-06,45.0
2026-08-11,45.5
2026-08-12,45.7
2026-08-14,45.8
2026-08-17,45.7
2026-08-18,45.2
2026-08-19,45.3
2026-08-20,45.3
