time,close
2024-03-11,46.73
2024-03-12,46.57
2024-03-13,46.97
2024-03-14,46.26
2024-03-15,45.71
2024-03-18,44.68
2024-03-19,44.84
2024-03-20,44.84
2024-03-21,45.08
2024-03-22,45.16
2024-03-25,44.92
2024-03-26,44.84
2024-03-27,45.31
2024-03-28,45.08
2024-03-29,44.68
2024-04-01,44.76
2024-04-02,44.45
2024-04-03,44.13
2024-04-04,44.52
2024-04-05,44.21
2024-04-08,43.58
2024-04-09,43.34
2024-04-10,43.58
2024-04-11,43.66
2024-04-12,44.13
2024-04-15,43.34
2024-04-16,43.19
2024-04-17,42.56
2024-04-19,41.37
2024-04-22,41.92
2024-04-23,41.77
2024-04-24,42.24
2024-04-25,42.87
2024-04-26,42.87
2024-05-02,44.6
2024-05-03,44.68
2024-05-06,44.92
2024-05-07,45.47
2024-05-08,46.42
2024-05-09,45.39
2024-05-10,45.39
2024-05-13,44.84
2024-05-14,45.0
2024-05-15,45.39
2024-05-16,45.31
2024-05-17,45.79
2024-05-20,45.55
2024-05-21,45.71
2024-05-22,45.31
2024-05-23,46.89
2024-05-24,45.71
2024-05-27,46.1
2024-05-28,48.07
2024-05-29,47.68
2024-05-30,46.73
2024-05-31,45.94
2024-06-03,46.81
2024-06-04,48.39
2024-06-05,51.7
2024-06-06,51.62
2024-06-07,53.51
2024-06-10,53.35
2024-06-11,53.27
2024-06-12,52.8
2024-06-13,51.7
2024-06-14,49.96
2024-06-17,50.12
2024-06-18,50.12
2024-06-19,48.86
2024-06-20,48.94
2024-06-21,48.47
2024-06-24,48.47
2024-06-25,47.76
2024-06-26,47.28
2024-06-27,47.76
2024-06-28,47.28
2024-07-01,47.99
2024-07-02,48.23
2024-07-03,48.47
2024-07-04,48.07
2024-07-05,47.26
2024-07-08,45.95
2024-07-09,46.69
2024-07-10,45.95
2024-07-11,45.87
2024-07-12,45.63
2024-07-15,45.46
2024-07-16,45.46
2024-07-17,44.0
2024-07-18,44.24
2024-07-19,44.98
2024-07-22,45.38
2024-07-23,44.57
2024-07-24,44.49
2024-07-25,44.0
2024-07-26,44.81
2024-07-29,44.73
2024-07-30,44.65
2024-07-31,45.14
2024-08-01,44.81
2024-08-02,44.89
2024-08-05,42.37
2024-08-06,43.43
2024-08-07,43.1
2024-08-08,43.02
2024-08-09,43.67
2024-08-12,44.0
2024-08-13,44.24
2024-08-14,45.38
2024-08-15,45.38
2024-08-16,45.87
2024-08-19,47.09
2024-08-20,47.26
2024-08-21,46.77
2024-08-22,46.44
2024-08-23,46.36
2024-08-26,46.2
2024-08-27,46.44
2024-08-28,46.77
2024-08-29,46.77
2024-08-30,46.85
2024-09-04,46.6
2024-09-05,46.44
2024-09-06,46.2
2024-09-09,45.79
2024-09-10,45.06
2024-09-11,45.14
2024-09-12,45.14
2024-09-13,45.71
2024-09-16,45.46
2024-09-17,46.04
2024-09-18,45.71
2024-09-19,46.04
2024-09-20,46.77
2024-09-23,46.77
2024-09-24,46.85
2024-09-25,46.77
2024-09-26,47.34
2024-09-27,47.66
2024-09-30,47.09
2024-10-01,47.09
2024-10-02,46.36
2024-10-03,46.28
2024-10-04,46.12
2024-10-07,46.2
2024-10-08,45.87
2024-10-09,45.95
2024-10-10,47.01
2024-10-11,46.85
2024-10-14,46.6
2024-10-15,46.52
2024-10-16,47.09
2024-10-17,46.69
2024-10-18,46.77
2024-10-21,46.12
2024-10-22,45.63
2024-10-23,45.63
2024-10-24,45.55
2024-10-25,45.22
2024-10-28,45.22
2024-10-29,45.14
2024-10-30,44.98
2024-10-31,44.98
2024-11-01,45.06
2024-11-04,45.22
2024-11-05,45.22
2024-11-06,45.46
2024-11-07,45.3
2024-11-08,44.98
2024-11-11,45.06
2024-11-12,46.12
2024-11-13,46.28
2024-11-14,45.71
2024-11-15,45.22
2024-11-18,45.22
2024-11-19,44.81
2024-11-20,45.22
2024-11-21,45.06
2024-11-22,45.14
2024-11-25,45.22
2024-11-26,45.71
2024-11-27,45.71
2024-11-28,45.22
2024-11-29,45.71
2024-12-02,45.79
2024-12-03,45.79
2024-12-04,46.77
2024-12-05,46.85
2024-12-06,47.01
2024-12-09,46.85
2024-12-10,47.34
2024-12-11,46.93
2024-12-12,46.85
2024-12-13,46.77
2024-12-16,46.69
2024-12-17,46.69
2024-12-18,46.77
2024-12-19,46.36
2024-12-20,46.04
2024-12-23,46.6
2024-12-24,46.6
2024-12-25,46.77
2024-12-26,47.02
2024-12-27,47.11
2024-12-30,47.36
2024-12-31,46.85
2025-01-02,46.94
2025-01-03,46.43
2025-01-06,45.25
2025-01-07,45.33
2025-01-08,45.33
2025-01-09,45.25
2025-01-10,45.25
2025-01-13,45.67
2025-01-14,46.01
2025-01-15,46.43
2025-01-16,45.59
2025-01-17,45.08
2025-01-20,45.67
2025-01-21,45.25
2025-01-22,45.33
2025-01-23,45.59
2025-01-24,45.42
2025-02-03,44.49
2025-02-04,44.49
2025-02-05,44.83
2025-02-06,44.49
2025-02-07,44.24
2025-02-10,44.07
2025-02-11,43.56
2025-02-12,43.81
2025-02-13,43.64
2025-02-14,43.56
2025-02-17,43.14
2025-02-18,43.22
2025-02-19,43.31
2025-02-20,43.39
2025-02-21,43.73
2025-02-24,44.24
2025-02-25,44.24
2025-02-26,44.07
2025-02-27,44.07
2025-02-28,43.48
2025-03-03,43.64
2025-03-04,43.9
2025-03-05,43.73
2025-03-06,43.39
2025-03-07,43.22
2025-03-10,43.39
2025-03-11,43.22
2025-03-12,43.14
2025-03-13,43.14
2025-03-14,43.56
2025-03-17,43.56
2025-03-18,43.14
2025-03-19,42.88
2025-03-20,42.72
2025-03-21,42.46
2025-03-24,42.12
2025-03-25,41.83
2025-03-26,41.83
2025-03-27,41.83
2025-03-28,41.62
2025-03-31,41.28
2025-04-01,41.66
2025-04-02,41.62
2025-04-03,38.71
2025-04-04,36.6
2025-04-08,35.96
2025-04-09,37.23
2025-04-10,39.8
2025-04-11,41.36
2025-04-14,41.79
2025-04-15,41.11
2025-04-16,40.18
2025-04-17,39.68
2025-04-18,39.97
2025-04-21,39.76
2025-04-22,39.34
2025-04-23,41.03
2025-04-24,41.53
2025-04-25,41.79
2025-04-28,43.22
2025-04-29,40.6
2025-05-05,40.44
2025-05-06,40.39
2025-05-07,40.56
2025-05-08,40.98
2025-05-09,41.36
2025-05-12,41.74
2025-05-13,41.58
2025-05-14,41.79
2025-05-15,42.46
2025-05-16,42.63
2025-05-19,41.96
2025-05-20,42.04
2025-05-21,41.87
2025-05-22,41.91
2025-05-23,41.74
2025-05-26,41.74
2025-05-27,41.74
2025-05-28,41.74
2025-05-29,41.58
2025-05-30,41.15
2025-06-02,41.49
2025-06-03,41.79
2025-06-04,42.29
2025-06-05,41.79
2025-06-06,41.41
2025-06-09,41.24
2025-06-10,41.24
2025-06-11,41.36
2025-06-12,41.74
2025-06-13,41.45
2025-06-16,41.83
2025-06-17,42.17
2025-06-18,41.79
2025-06-19,41.74
2025-06-20,41.79
2025-06-23,41.58
2025-06-24,41.91
2025-06-25,42.46
2025-06-26,42.63
2025-06-27,42.72
2025-06-30,42.18
2025-07-01,41.77
2025-07-02,41.64
2025-07-03,41.5
2025-07-04,41.64
2025-07-07,41.64
2025-07-08,42.04
2025-07-09,42.76
2025-07-10,43.16
2025-07-11,43.21
2025-07-14,43.08
2025-07-15,43.12
2025-07-16,43.08
2025-07-17,43.43
2025-07-18,43.25
2025-07-21,42.81
2025-07-22,42.9
2025-07-23,43.61
2025-07-24,43.97
2025-07-25,44.06
2025-07-28,44.24
2025-07-29,42.49
2025-07-30,42.72
2025-07-31,42.76
2025-08-01,43.03
2025-08-04,43.16
2025-08-05,42.63
2025-08-06,42.9
2025-08-07,42.81
2025-08-08,42.94
2025-08-11,43.25
2025-08-12,43.34
2025-08-13,43.03
2025-08-14,42.98
2025-08-15,42.63
2025-08-18,42.31
2025-08-19,42.31
2025-08-20,41.95
2025-08-21,41.82
2025-08-22,41.1
2025-08-25,40.92
2025-08-26,41.19
2025-08-27,41.28
2025-08-28,41.77
2025-08-29,41.77
2025-09-03,41.59
2025-09-04,42.27
2025-09-05,42.45
2025-09-08,42.0
2025-09-09,41.55
2025-09-10,41.5
2025-09-11,41.64
2025-09-12,41.86
2025-09-15,41.91
2025-09-16,42.9
2025-09-17,42.45
2025-09-18,42.0
2025-09-19,41.28
2025-09-22,41.01
2025-09-23,41.1
2025-09-24,41.37
2025-09-25,41.15
2025-09-26,40.97
2025-09-29,40.83
2025-09-30,40.56
2025-10-01,40.65
2025-10-02,40.74
2025-10-03,40.88
2025-10-06,41.42
2025-10-07,41.28
2025-10-08,41.24
2025-10-09,40.92
2025-10-10,41.15
2025-10-13,41.24
2025-10-14,40.74
2025-10-15,40.61
2025-10-16,40.56
2025-10-17,40.61
2025-10-20,39.48
2025-10-21,39.89
2025-10-22,40.2
2025-10-23,40.79
2025-10-24,40.52
2025-10-27,40.79
2025-10-28,40.79
2025-10-29,41.06
2025-10-30,41.01
2025-10-31,41.15
2025-11-03,41.55
2025-11-04,41.5
2025-11-05,41.46
2025-11-06,41.42
2025-11-07,41.37
2025-11-10,41.28
2025-11-11,42.0
2025-11-12,42.13
2025-11-13,42.54
2025-11-14,42.27
2025-11-17,42.4
2025-11-18,42.36
2025-11-19,42.18
2025-11-20,42.22
2025-11-21,41.91
2025-11-24,41.42
2025-11-25,41.55
2025-11-26,41.73
2025-11-27,41.64
2025-11-28,41.64
2025-12-01,43.97
2025-12-02,47.02
2025-12-03,46.58
2025-12-04,45.68
2025-12-05,44.69
2025-12-08,47.74
2025-12-09,47.83
2025-12-10,46.22
2025-12-11,46.93
2025-12-12,44.87
2025-12-15,45.32
2025-12-16,46.4
2025-12-17,44.96
2025-12-18,45.05
2025-12-19,44.6
2025-12-22,44.51
2025-12-23,44.42
2025-12-24,43.79
2025-12-25,43.25
2025-12-26,43.75
2025-12-29,43.79
2025-12-30,44.51
2025-12-31,43.97
2026-01-05,43.16
2026-01-06,42.67
2026-01-07,43.52
2026-01-08,43.34
2026-01-09,43.93
2026-01-12,43.97
2026-01-13,46.97
2026-01-14,50.24
2026-01-15,49.31
2026-01-16,49.12
2026-01-19,47.81
2026-01-20,48.93
2026-01-21,47.34
2026-01-22,47.34
2026-01-23,46.13
2026-01-26,45.38
2026-01-27,46.36
2026-01-28,45.8
2026-01-29,47.06
2026-01-30,46.69
2026-02-02,46.69
2026-02-03,48.75
2026-02-04,48.37
2026-02-05,46.88
2026-02-06,45.61
2026-02-09,46.27
2026-02-10,45.24
2026-02-11,45.56
2026-02-12,45.66
2026-02-13,45.38
2026-02-23,45.7
2026-02-24,45.66
2026-02-25,46.03
2026-02-26,45.94
2026-02-27,45.28
2026-03-02,44.16
2026-03-03,43.04
2026-03-04,43.04
2026-03-05,42.71
2026-03-06,42.66
2026-03-09,39.72
2026-03-10,41.87
2026-03-11,41.92
2026-03-12,40.93
2026-03-13,41.54
2026-03-16,41.64
2026-03-17,41.5
2026-03-18,41.59
2026-03-19,41.5
2026-03-20,39.86
2026-03-23,40.14
2026-03-24,42.2
2026-03-25,41.87
2026-03-26,40.93
2026-03-27,41.31
2026-03-30,41.31
2026-03-31,41.45
2026-04-01,41.64
2026-04-02,41.35
2026-04-03,41.26
2026-04-06,41.54
2026-04-07,41.21
2026-04-08,42.48
2026-04-09,42.2
2026-04-10,42.85
2026-04-13,42.52
2026-04-14,42.24
2026-04-15,43.18
2026-04-16,42.8
2026-04-17,42.57
2026-04-20,42.57
2026-04-21,42.24
2026-04-22,42.15
2026-04-23,45.1
2026-04-24,43.97
2026-04-28,45.38
2026-04-29,44.44
2026-05-04,44.3
2026-05-05,44.02
2026-05-06,44.72
2026-05-07,43.65
2026-05-08,43.27
2026-05-11,44.54
2026-05-12,43.97
2026-05-13,43.55
2026-05-14,43.97
2026-05-15,45.42
2026-05-18,45.28
2026-05-19,45.38
2026-05-20,44.63
2026-05-21,44.91
2026-05-22,45.0
2026-05-25,44.82
2026-05-26,44.16
2026-05-27,44.68
2026-05-28,44.16
2026-05-29,43.93
2026-06-01,44.16
2026-06-02,43.97
2026-06-03,44.44
2026-06-04,44.72
2026-06-05,44.72
2026-06-08,43.97
2026-06-09,44.12
2026-06-10,44.49
2026-06-11,45.47
2026-06-12,45.47
2026-06-15,45.38
2026-06-16,45.94
2026-06-17,45.66
2026-06-18,45.1
2026-06-19,45.05
2026-06-22,45.1
2026-06-23,44.72
2026-06-24,44.72
2026-06-25,45.47
2026-06-26,45.56
2026-06-29,44.91
2026-06-30,45.38
2026-07-01,45.24
2026-07-02,45.47
2026-07-03,44.82
2026-07-06,44.12
2026-07-07,44.21
2026-07-08,44.16
2026-07-09,44.12
2026-07-10,44.12
2026-07-13,43.18
2026-07-14,43.79
2026-07-15,43.08
2026-07-16,43.37
2026-07-17,43.88
2026-07-20,44.26
2026-07-21,43.97
2026-07-22,43.93
2026-07-23,43.97
2026-07-24,43.51
2026-07-27,43.6
2026-07-28,43.15
2026-07-29,43.0
2026-07-30,43.4
2026-07-31,43.55
2026-08-03,44.8
2026-08-04,45.1
2026-08-05,44.4
2026-08-06,43.7
2026-08-07,44.75
2026-08-10,46.5
2026-08-11,45.65
2026-08-12,46.3
2026-08-13,45.85
2026-08-14,45.3
2026-08-17,45.75
2026-08-18,46.3
2026-08-19,45.9
2026-08-20,46.8
2026-08-21,46.8
2026-08-24,46.1
