time,close
2024-03-11,28.9
2024-03-12,28.86
2024-03-13,29.17
2024-03-14,29.44
2024-03-15,29.32
2024-03-18,30.48
2024-03-19,30.52
2024-03-20,29.36
2024-03-21,29.32
2024-03-22,28.55
2024-03-25,28.59
2024-03-26,28.55
2024-03-27,28.24
2024-03-28,28.36
2024-03-29,28.2
2024-04-01,27.62
2024-04-02,28.28
2024-04-03,28.16
2024-04-04,28.09
2024-04-05,27.66
2024-04-08,27.43
2024-04-09,27.43
2024-04-10,27.39
2024-04-11,26.19
2024-04-12,27.04
2024-04-15,26.85
2024-04-16,26.93
2024-04-17,26.81
2024-04-19,26.5
2024-04-22,25.88
2024-04-23,26.12
2024-04-24,27.2
2024-04-25,26.85
2024-04-26,26.85
2024-05-02,26.66
2024-05-03,26.31
2024-05-06,26.46
2024-05-07,26.08
2024-05-08,25.5
2024-05-09,25.65
2024-05-10,25.81
2024-05-13,24.73
2024-05-14,25.46
2024-05-15,25.38
2024-05-16,25.34
2024-05-17,25.3
2024-05-20,25.42
2024-05-21,25.73
2024-05-22,25.73
2024-05-23,25.42
2024-05-24,25.3
2024-05-27,25.3
2024-05-28,25.19
2024-05-29,25.11
2024-05-30,25.07
2024-05-31,24.22
2024-06-03,24.92
2024-06-04,24.84
2024-06-05,24.26
2024-06-06,24.11
2024-06-07,24.26
2024-06-10,24.26
2024-06-11,23.76
2024-06-12,23.91
2024-06-13,23.84
2024-06-14,23.72
2024-06-17,23.53
2024-06-18,23.72
2024-06-19,23.95
2024-06-20,24.07
2024-06-21,24.26
2024-06-24,23.49
2024-06-25,24.11
2024-06-26,23.99
2024-06-27,24.42
2024-06-28,24.34
2024-07-01,23.61
2024-07-02,24.07
2024-07-03,24.07
2024-07-04,24.18
2024-07-05,24.34
2024-07-08,24.42
2024-07-09,24.34
2024-07-10,24.18
2024-07-11,24.42
2024-07-12,24.96
2024-07-15,26.39
2024-07-16,26.39
2024-07-17,24.57
2024-07-18,25.54
2024-07-19,25.65
2024-07-22,25.27
2024-07-23,24.42
2024-07-24,24.84
2024-07-25,24.38
2024-07-26,25.0
2024-07-29,25.58
2024-07-30,25.11
2024-07-31,24.53
2024-08-01,24.46
2024-08-02,24.65
2024-08-05,23.76
2024-08-06,24.42
2024-08-07,24.49
2024-08-08,24.49
2024-08-09,24.34
2024-08-12,24.46
2024-08-13,24.53
2024-08-14,24.69
2024-08-15,24.42
2024-08-16,24.69
2024-08-19,24.57
2024-08-20,25.23
2024-08-21,25.07
2024-08-22,25.3
2024-08-23,25.61
2024-08-26,25.03
2024-08-27,25.27
2024-08-28,25.03
2024-08-29,25.85
2024-08-30,27.12
2024-09-04,27.24
2024-09-05,27.16
2024-09-06,27.04
2024-09-09,26.81
2024-09-10,26.5
2024-09-11,26.23
2024-09-12,26.19
2024-09-13,26.27
2024-09-16,26.19
2024-09-17,26.27
2024-09-18,26.04
2024-09-19,26.04
2024-09-20,26.08
2024-09-23,26.08
2024-09-24,26.08
2024-09-25,26.08
2024-09-26,26.08
2024-09-27,26.54
2024-09-30,26.73
2024-10-01,26.39
2024-10-02,26.08
2024-10-03,25.92
2024-10-04,25.61
2024-10-07,25.61
2024-10-08,25.58
2024-10-09,25.5
2024-10-10,25.5
2024-10-11,25.88
2024-10-14,25.88
2024-10-15,25.5
2024-10-16,25.61
2024-10-17,25.42
2024-10-18,25.42
2024-10-21,25.73
2024-10-22,25.23
2024-10-23,25.11
2024-10-24,25.19
2024-10-25,25.3
2024-10-28,24.92
2024-10-29,24.84
2024-10-30,25.03
2024-10-31,24.76
2024-11-01,24.8
2024-11-04,24.61
2024-11-05,24.53
2024-11-06,24.34
2024-11-07,24.53
2024-11-08,23.91
2024-11-11,23.8
2024-11-12,23.95
2024-11-13,23.88
2024-11-14,23.88
2024-11-15,23.91
2024-11-18,23.57
2024-11-19,23.57
2024-11-20,24.22
2024-11-21,24.15
2024-11-22,23.95
2024-11-25,23.41
2024-11-26,24.07
2024-11-27,23.95
2024-11-28,23.53
2024-11-29,23.57
2024-12-02,23.49
2024-12-03,23.91
2024-12-04,23.57
2024-12-05,23.91
2024-12-06,24.03
2024-12-09,24.73
2024-12-10,24.34
2024-12-11,25.73
2024-12-12,25.69
2024-12-13,25.61
2024-12-16,24.73
2024-12-17,24.76
2024-12-18,24.84
2024-12-19,24.73
2024-12-20,26.04
2024-12-23,26.04
2024-12-24,26.31
2024-12-25,26.97
2024-12-26,27.04
2024-12-27,26.85
2024-12-30,28.01
2024-12-31,28.59
2025-01-02,28.01
2025-01-03,27.51
2025-01-06,28.2
2025-01-07,29.28
2025-01-08,30.52
2025-01-09,31.91
2025-01-10,32.8
2025-01-13,33.96
2025-01-14,35.74
2025-01-15,36.7
2025-01-16,35.12
2025-01-17,33.11
2025-01-20,31.33
2025-01-21,31.49
2025-01-22,33.11
2025-01-23,34.15
2025-01-24,33.61
2025-02-03,34.38
2025-02-04,33.96
2025-02-05,34.77
2025-02-06,34.85
2025-02-07,35.54
2025-02-10,35.04
2025-02-11,35.97
2025-02-12,35.77
2025-02-13,35.89
2025-02-14,35.7
2025-02-17,38.17
2025-02-18,39.33
2025-02-19,38.44
2025-02-20,38.4
2025-02-21,38.25
2025-02-24,38.56
2025-02-25,38.17
2025-02-26,37.9
2025-02-27,38.79
2025-02-28,38.63
2025-03-03,39.91
2025-03-04,40.18
2025-03-05,41.72
2025-03-06,41.72
2025-03-07,41.69
2025-03-10,39.06
2025-03-11,39.02
2025-03-12,38.67
2025-03-13,38.87
2025-03-14,38.63
2025-03-17,39.41
2025-03-18,39.02
2025-03-19,38.59
2025-03-20,38.63
2025-03-21,39.02
2025-03-24,38.67
2025-03-25,39.37
2025-03-26,40.99
2025-03-27,41.07
2025-03-28,40.18
2025-03-31,40.53
2025-04-01,40.95
2025-04-02,40.41
2025-04-03,37.59
2025-04-04,35.85
2025-04-08,33.38
2025-04-09,31.06
2025-04-10,33.22
2025-04-11,34.38
2025-04-14,35.58
2025-04-15,34.38
2025-04-16,34.11
2025-04-17,34.31
2025-04-18,34.0
2025-04-21,33.92
2025-04-22,32.72
2025-04-23,33.88
2025-04-24,33.19
2025-04-25,33.53
2025-04-28,33.03
2025-04-29,33.61
2025-05-05,33.73
2025-05-06,34.96
2025-05-07,34.23
2025-05-08,35.39
2025-05-09,35.2
2025-05-12,35.16
2025-05-13,35.16
2025-05-14,35.7
2025-05-15,35.0
2025-05-16,35.31
2025-05-19,35.23
2025-05-20,35.7
2025-05-21,35.16
2025-05-22,34.65
2025-05-23,35.39
2025-05-26,34.35
2025-05-27,35.31
2025-05-28,35.16
2025-05-29,35.16
2025-05-30,33.46
2025-06-02,34.58
2025-06-03,34.58
2025-06-04,34.42
2025-06-05,34.38
2025-06-06,34.15
2025-06-09,34.04
2025-06-10,34.15
2025-06-11,34.35
2025-06-12,35.47
2025-06-13,35.43
2025-06-16,35.43
2025-06-17,35.93
2025-06-18,35.97
2025-06-19,36.32
2025-06-20,38.79
2025-06-23,38.44
2025-06-24,37.55
2025-06-25,37.01
2025-06-26,36.62
2025-06-27,37.47
2025-06-30,38.25
2025-07-01,38.25
2025-07-02,37.67
2025-07-03,37.32
2025-07-04,37.17
2025-07-07,38.13
2025-07-08,38.36
2025-07-09,39.02
2025-07-10,40.95
2025-07-11,41.3
2025-07-14,41.3
2025-07-15,41.92
2025-07-16,42.07
2025-07-17,41.34
2025-07-18,44.2
2025-07-21,47.29
2025-07-22,50.57
2025-07-23,54.09
2025-07-24,57.87
2025-07-25,61.89
2025-07-28,66.22
2025-07-29,62.2
2025-07-30,66.5
2025-07-31,71.1
2025-08-01,76.0
2025-08-04,75.0
2025-08-05,70.0
2025-08-06,70.0
2025-08-07,71.0
2025-08-08,70.4
2025-08-11,71.3
2025-08-12,72.0
2025-08-13,72.0
2025-08-14,71.7
2025-08-15,69.3
2025-08-18,68.0
2025-08-19,65.5
2025-08-20,62.6
2025-08-21,61.7
2025-08-22,64.9
2025-08-25,63.0
2025-08-26,62.6
2025-08-27,65.8
2025-08-28,65.2
2025-08-29,65.9
2025-09-03,66.2
2025-09-04,66.3
2025-09-05,70.9
2025-09-08,73.8
2025-09-09,72.0
2025-09-10,71.0
2025-09-11,71.1
2025-09-12,76.0
2025-09-15,81.3
2025-09-16,78.1
2025-09-17,77.7
2025-09-18,78.9
2025-09-19,76.0
2025-09-22,73.0
2025-09-23,72.2
2025-09-24,71.0
2025-09-25,72.6
2025-09-26,71.0
2025-09-29,71.0
2025-09-30,67.3
2025-10-01,67.9
2025-10-02,68.6
2025-10-03,67.3
2025-10-06,67.8
2025-10-07,67.0
2025-10-08,67.0
2025-10-09,67.5
2025-10-10,67.4
2025-10-13,68.0
2025-10-14,66.3
2025-10-15,66.2
2025-10-16,70.8
2025-10-17,69.4
2025-10-20,64.6
2025-10-21,66.8
2025-10-22,66.1
2025-10-23,65.6
2025-10-24,64.2
2025-10-27,61.8
2025-10-28,64.1
2025-10-29,62.9
2025-10-30,62.7
2025-10-31,62.6
2025-11-03,60.8
2025-11-04,60.3
2025-11-05,60.3
2025-11-06,60.2
2025-11-07,60.5
2025-11-10,60.3
2025-11-11,60.5
2025-11-12,60.9
2025-11-13,60.9
2025-11-14,60.7
2025-11-17,61.5
2025-11-18,61.1
2025-11-19,60.3
2025-11-20,60.3
2025-11-21,60.0
2025-11-24,60.1
2025-11-25,58.7
2025-11-26,58.3
2025-11-27,58.3
2025-11-28,58.3
2025-12-01,58.3
2025-12-02,58.3
2025-12-03,57.9
2025-12-04,58.2
2025-12-05,58.7
2025-12-08,59.3
2025-12-09,58.7
2025-12-10,57.9
2025-12-11,57.5
2025-12-12,55.5
2025-12-15,57.5
2025-12-16,58.8
2025-12-17,56.7
2025-12-18,58.1
2025-12-19,58.1
2025-12-22,58.7
2025-12-23,58.6
2025-12-24,58.6
2025-12-25,58.0
2025-12-26,58.0
2025-12-29,58.4
2025-12-30,61.0
2025-12-31,61.8
2026-01-05,60.0
2026-01-06,60.9
2026-01-07,60.9
2026-01-08,59.8
2026-01-09,57.2
2026-01-12,57.5
2026-01-13,57.3
2026-01-14,57.2
2026-01-15,57.5
2026-01-16,57.5
2026-01-19,57.4
2026-01-20,57.0
2026-01-21,57.5
2026-01-22,57.9
2026-01-23,57.6
2026-01-26,56.9
2026-01-27,54.0
2026-01-28,53.8
2026-01-29,53.6
2026-01-30,52.0
2026-02-02,52.0
2026-02-03,51.6
2026-02-04,50.0
2026-02-05,50.4
2026-02-06,49.9
2026-02-09,48.7
2026-02-10,47.9
2026-02-11,48.6
2026-02-12,48.7
2026-02-13,49.5
2026-02-23,52.0
2026-02-24,52.0
2026-02-25,51.8
2026-02-26,51.8
2026-02-27,51.7
2026-03-02,51.7
2026-03-03,51.7
2026-03-04,51.8
2026-03-05,51.7
2026-03-06,50.9
2026-03-09,47.5
2026-03-10,48.0
2026-03-11,48.95
2026-03-12,47.8
2026-03-13,48.5
2026-03-16,49.0
2026-03-17,49.0
2026-03-18,49.6
2026-03-19,49.6
2026-03-20,49.2
2026-03-23,48.4
2026-03-24,48.2
2026-03-25,48.6
2026-03-26,49.0
2026-03-27,49.55
2026-03-30,49.95
2026-03-31,48.95
2026-04-01,49.0
2026-04-02,49.5
2026-04-03,48.35
2026-04-06,48.15
2026-04-07,49.0
2026-04-08,49.3
2026-04-09,52.7
2026-04-10,53.9
2026-04-13,53.3
2026-04-14,52.5
2026-04-15,53.0
2026-04-16,53.1
2026-04-17,53.0
2026-04-20,53.3
2026-04-21,54.9
2026-04-22,58.7
2026-04-23,61.7
2026-04-24,59.0
2026-04-28,56.5
2026-04-29,57.7
2026-05-04,58.2
2026-05-05,58.1
2026-05-06,57.8
2026-05-07,57.4
2026-05-08,56.7
2026-05-11,57.0
2026-05-12,56.8
2026-05-13,56.8
2026-05-14,55.8
2026-05-15,56.0
2026-05-18,55.2
2026-05-19,54.3
2026-05-20,55.3
2026-05-21,55.0
2026-05-22,54.0
2026-05-25,53.0
2026-05-26,53.0
2026-05-27,53.0
2026-05-28,51.1
2026-05-29,51.9
2026-06-01,51.1
2026-06-02,51.0
2026-06-03,51.0
2026-06-04,49.1
2026-06-05,49.95
2026-06-08,48.95
2026-06-09,49.0
2026-06-10,49.15
2026-06-11,49.0
2026-06-12,49.0
2026-06-15,48.9
2026-06-16,49.0
2026-06-17,49.0
2026-06-18,49.25
2026-06-19,49.4
2026-06-22,47.8
2026-06-23,48.0
2026-06-24,48.0
2026-06-25,48.0
2026-06-26,48.0
2026-06-29,48.0
2026-06-30,48.0
2026-07-01,47.5
2026-07-02,47.8
2026-07-03,48.0
2026-07-06,47.8
2026-07-07,47.8
2026-07-08,48.0
2026-07-09,47.8
2026-07-10,47.8
2026-07-13,47.8
2026-07-14,48.5
2026-07-15,48.3
2026-07-16,48.0
2026-07-17,47.5
2026-07-20,47.5
2026-07-21,47.4
2026-07-22,47.2
2026-07-23,47.4
2026-07-24,47.2
2026-07-27,47.2
2026-07-28,47.2
2026-07-29,47.2
2026-07-30,47.3
2026-07-31,47.15
2026-08-03,47.15
2026-08-04,47.15
2026-08-05,47.1
2026-08-06,47.1
2026-08-07,47.2
2026-08-10,47.4
2026-08-11,47.35
2026-08-12,47.35
2026-08-13,47.35
2026-08-14,47.3
2026-08-17,47.3
2026-08-18,47.4
2026-08-19,47.4
2026-08-20,47.2
2026-08-21,47.5
2026-08-24,47.9
