time,close
2024-03-11,20.2
2024-03-12,20.17
2024-03-13,21.08
2024-03-14,21.03
2024-03-15,21.0
2024-03-18,20.36
2024-03-19,20.08
2024-03-20,20.67
2024-03-21,20.92
2024-03-22,21.0
2024-03-25,20.84
2024-03-26,21.11
2024-03-27,21.39
2024-03-28,21.75
2024-03-29,21.39
2024-04-01,21.56
2024-04-02,21.61
2024-04-03,21.14
2024-04-04,20.92
2024-04-05,20.45
2024-04-08,20.39
2024-04-09,20.84
2024-04-10,20.53
2024-04-11,20.64
2024-04-12,20.86
2024-04-15,19.42
2024-04-16,19.56
2024-04-17,19.11
2024-04-19,18.45
2024-04-22,19.5
2024-04-23,19.17
2024-04-24,19.81
2024-04-25,19.64
2024-04-26,19.56
2024-05-02,19.28
2024-05-03,19.25
2024-05-06,19.81
2024-05-07,19.75
2024-05-08,19.81
2024-05-09,19.56
2024-05-10,19.7
2024-05-13,19.78
2024-05-14,19.72
2024-05-15,19.97
2024-05-16,20.06
2024-05-17,20.22
2024-05-20,20.36
2024-05-21,20.45
2024-05-22,20.25
2024-05-23,20.39
2024-05-24,19.58
2024-05-27,19.5
2024-05-28,19.78
2024-05-29,19.56
2024-05-30,19.36
2024-05-31,19.28
2024-06-03,19.67
2024-06-04,19.67
2024-06-05,19.67
2024-06-06,19.67
2024-06-07,19.7
2024-06-10,19.64
2024-06-11,19.89
2024-06-12,20.34
2024-06-13,20.28
2024-06-14,20.06
2024-06-17,19.95
2024-06-18,20.06
2024-06-19,20.11
2024-06-20,19.95
2024-06-21,19.72
2024-06-24,19.22
2024-06-25,19.2
2024-06-26,19.11
2024-06-27,19.06
2024-06-28,18.86
2024-07-01,18.84
2024-07-02,19.08
2024-07-03,19.14
2024-07-04,19.11
2024-07-05,19.25
2024-07-08,19.2
2024-07-09,19.25
2024-07-10,19.08
2024-07-11,19.34
2024-07-12,19.14
2024-07-15,19.06
2024-07-16,19.11
2024-07-17,18.97
2024-07-18,19.08
2024-07-19,19.34
2024-07-22,19.25
2024-07-23,18.81
2024-07-24,18.28
2024-07-25,17.72
2024-07-26,17.84
2024-07-29,17.89
2024-07-30,17.75
2024-07-31,17.67
2024-08-01,16.84
2024-08-02,17.36
2024-08-05,16.45
2024-08-06,17.0
2024-08-07,17.0
2024-08-08,16.67
2024-08-09,17.39
2024-08-12,17.78
2024-08-13,17.61
2024-08-14,17.45
2024-08-15,17.17
2024-08-16,18.17
2024-08-19,18.0
2024-08-20,18.14
2024-08-21,18.36
2024-08-22,18.39
2024-08-23,18.67
2024-08-26,18.86
2024-08-27,18.56
2024-08-28,18.92
2024-08-29,18.86
2024-08-30,18.72
2024-09-04,18.42
2024-09-05,18.39
2024-09-06,18.56
2024-09-09,18.28
2024-09-10,18.0
2024-09-11,18.06
2024-09-12,17.92
2024-09-13,17.95
2024-09-16,17.84
2024-09-17,18.17
2024-09-18,18.56
2024-09-19,18.67
2024-09-20,18.67
2024-09-23,18.92
2024-09-24,18.92
2024-09-25,19.52
2024-09-26,19.56
2024-09-27,19.63
2024-09-30,19.84
2024-10-01,19.77
2024-10-02,19.63
2024-10-03,19.59
2024-10-04,19.42
2024-10-07,19.63
2024-10-08,19.49
2024-10-09,19.42
2024-10-10,19.59
2024-10-11,19.52
2024-10-14,19.66
2024-10-15,19.38
2024-10-16,19.27
2024-10-17,19.52
2024-10-18,19.45
2024-10-21,19.13
2024-10-22,18.99
2024-10-23,19.13
2024-10-24,19.06
2024-10-25,18.99
2024-10-28,19.06
2024-10-29,18.99
2024-10-30,18.74
2024-10-31,18.92
2024-11-01,18.63
2024-11-04,18.67
2024-11-05,18.6
2024-11-06,18.81
2024-11-07,18.74
2024-11-08,18.56
2024-11-11,18.28
2024-11-12,18.28
2024-11-13,18.1
2024-11-14,17.57
2024-11-15,17.03
2024-11-18,17.28
2024-11-19,16.96
2024-11-20,17.28
2024-11-21,17.5
2024-11-22,17.32
2024-11-25,17.42
2024-11-26,17.5
2024-11-27,17.28
2024-11-28,17.28
2024-11-29,17.46
2024-12-02,17.39
2024-12-03,17.28
2024-12-04,17.1
2024-12-05,18.28
2024-12-06,18.74
2024-12-09,18.63
2024-12-10,18.67
2024-12-11,18.6
2024-12-12,18.49
2024-12-13,18.35
2024-12-16,18.56
2024-12-17,18.49
2024-12-18,18.63
2024-12-19,18.63
2024-12-20,18.67
2024-12-23,18.38
2024-12-24,18.45
2024-12-25,18.88
2024-12-26,18.74
2024-12-27,18.92
2024-12-30,18.81
2024-12-31,18.53
2025-01-02,18.45
2025-01-03,18.03
2025-01-06,17.71
2025-01-07,17.46
2025-01-08,17.57
2025-01-09,17.35
2025-01-10,16.86
2025-01-13,17.18
2025-01-14,17.03
2025-01-15,17.18
2025-01-16,17.35
2025-01-17,17.46
2025-01-20,17.42
2025-01-21,17.39
2025-01-22,17.35
2025-01-23,17.89
2025-01-24,17.96
2025-02-03,17.64
2025-02-04,17.99
2025-02-05,17.82
2025-02-06,17.82
2025-02-07,17.78
2025-02-10,17.71
2025-02-11,17.57
2025-02-12,17.6
2025-02-13,17.64
2025-02-14,17.71
2025-02-17,17.78
2025-02-18,17.89
2025-02-19,18.03
2025-02-20,17.96
2025-02-21,18.03
2025-02-24,18.38
2025-02-25,18.38
2025-02-26,18.38
2025-02-27,18.56
2025-02-28,18.7
2025-03-03,18.92
2025-03-04,18.74
2025-03-05,18.56
2025-03-06,19.13
2025-03-07,19.13
2025-03-10,18.95
2025-03-11,18.99
2025-03-12,18.99
2025-03-13,19.17
2025-03-14,19.17
2025-03-17,19.2
2025-03-18,19.06
2025-03-19,18.88
2025-03-20,18.88
2025-03-21,18.92
2025-03-24,19.31
2025-03-25,19.13
2025-03-26,18.85
2025-03-27,18.7
2025-03-28,18.74
2025-03-31,18.49
2025-04-01,18.53
2025-04-02,18.81
2025-04-03,17.5
2025-04-04,16.89
2025-04-08,15.72
2025-04-09,14.65
2025-04-10,15.65
2025-04-11,16.68
2025-04-14,17.14
2025-04-15,16.57
2025-04-16,16.36
2025-04-17,16.43
2025-04-18,16.61
2025-04-21,16.29
2025-04-22,15.82
2025-04-23,16.18
2025-04-24,16.36
2025-04-25,16.22
2025-04-28,16.39
2025-04-29,16.32
2025-05-05,16.43
2025-05-06,16.46
2025-05-07,16.25
2025-05-08,16.43
2025-05-09,16.32
2025-05-12,16.5
2025-05-13,16.64
2025-05-14,17.0
2025-05-15,17.0
2025-05-16,16.86
