time,close
2024-03-11,19.71
2024-03-12,19.24
2024-03-13,19.43
2024-03-14,20.74
2024-03-15,21.62
2024-03-18,21.5
2024-03-19,20.9
2024-03-20,20.78
2024-03-21,20.9
2024-03-22,20.78
2024-03-25,20.56
2024-03-26,21.18
2024-03-27,21.31
2024-03-28,21.34
2024-03-29,21.24
2024-04-01,21.28
2024-04-02,21.56
2024-04-03,21.94
2024-04-04,21.0
2024-04-05,19.74
2024-04-08,19.74
2024-04-09,19.74
2024-04-10,19.68
2024-04-11,19.43
2024-04-12,19.71
2024-04-15,18.33
2024-04-16,18.08
2024-04-17,18.05
2024-04-19,17.99
2024-04-22,17.99
2024-04-23,17.61
2024-04-24,18.11
2024-04-25,18.08
2024-04-26,17.74
2024-05-02,18.02
2024-05-03,18.24
2024-05-06,18.39
2024-05-07,18.42
2024-05-08,19.71
2024-05-09,19.4
2024-05-10,18.86
2024-05-13,18.8
2024-05-14,18.64
2024-05-15,19.3
2024-05-16,19.02
2024-05-17,18.8
2024-05-20,18.61
2024-05-21,19.46
2024-05-22,19.43
2024-05-23,19.33
2024-05-24,18.71
2024-05-27,18.64
2024-05-28,18.86
2024-05-29,18.58
2024-05-30,18.17
2024-05-31,18.64
2024-06-03,19.02
2024-06-04,18.93
2024-06-05,18.86
2024-06-06,18.74
2024-06-07,18.8
2024-06-10,19.02
2024-06-11,20.34
2024-06-12,20.68
2024-06-13,20.62
2024-06-14,19.93
2024-06-17,19.74
2024-06-18,19.93
2024-06-19,20.27
2024-06-20,19.93
2024-06-21,19.55
2024-06-24,18.71
2024-06-25,18.8
2024-06-26,18.93
2024-06-27,18.83
2024-06-28,18.33
2024-07-01,18.8
2024-07-02,18.8
2024-07-03,18.96
2024-07-04,19.02
2024-07-05,19.99
2024-07-08,21.28
2024-07-09,21.06
2024-07-10,21.12
2024-07-11,21.12
2024-07-12,21.53
2024-07-15,22.0
2024-07-16,21.75
2024-07-17,20.68
2024-07-18,21.56
2024-07-19,21.72
2024-07-22,20.21
2024-07-23,18.8
2024-07-24,17.48
2024-07-25,17.55
2024-07-26,17.14
2024-07-29,17.05
2024-07-30,17.08
2024-07-31,16.36
2024-08-01,15.95
2024-08-02,16.26
2024-08-05,15.17
2024-08-06,15.35
2024-08-07,14.82
