time,close
2024-03-11,18.69
2024-03-12,19.06
2024-03-13,19.43
2024-03-14,19.16
2024-03-15,19.16
2024-03-18,18.55
2024-03-19,18.65
2024-03-20,19.57
2024-03-21,20.87
2024-03-22,20.77
2024-03-25,20.73
2024-03-26,21.26
2024-03-27,21.08
2024-03-28,22.21
2024-03-29,22.0
2024-04-01,21.95
2024-04-02,22.05
2024-04-03,21.65
2024-04-04,21.28
2024-04-05,20.91
2024-04-08,21.05
2024-04-09,21.19
2024-04-10,21.12
2024-04-11,20.87
2024-04-12,21.93
2024-04-15,20.54
2024-04-16,21.05
2024-04-17,20.75
2024-04-19,20.59
2024-04-22,20.94
2024-04-23,21.38
2024-04-24,21.74
2024-04-25,21.35
2024-04-26,21.56
2024-05-02,21.68
2024-05-03,22.3
2024-05-06,22.37
2024-05-07,22.16
2024-05-08,22.3
2024-05-09,22.42
2024-05-10,22.44
2024-05-13,22.39
2024-05-14,22.16
2024-05-15,22.25
2024-05-16,23.09
2024-05-17,23.02
2024-05-20,23.0
2024-05-21,22.52
2024-05-22,22.14
2024-05-23,22.18
2024-05-24,22.14
2024-05-27,22.18
2024-05-28,22.37
2024-05-29,22.18
2024-05-30,22.33
2024-05-31,22.42
2024-06-03,22.49
2024-06-04,22.71
2024-06-05,22.66
2024-06-06,22.9
2024-06-07,23.42
2024-06-10,23.33
2024-06-11,23.54
2024-06-12,23.57
2024-06-13,23.57
2024-06-14,23.42
2024-06-17,23.19
2024-06-18,23.28
2024-06-19,23.04
2024-06-20,23.66
2024-06-21,23.38
2024-06-24,22.85
2024-06-25,22.9
2024-06-26,22.9
2024-06-27,22.38
2024-06-28,22.28
2024-07-01,21.61
2024-07-02,21.85
2024-07-03,22.42
2024-07-04,22.42
2024-07-05,22.42
2024-07-08,22.38
2024-07-09,22.28
2024-07-10,22.09
2024-07-11,21.75
2024-07-12,21.75
2024-07-15,21.61
2024-07-16,21.66
2024-07-17,22.61
2024-07-18,22.61
2024-07-19,22.33
2024-07-22,22.56
2024-07-23,21.99
2024-07-24,21.94
2024-07-25,21.71
2024-07-26,21.71
2024-07-29,21.71
2024-07-30,21.9
2024-07-31,22.18
2024-08-01,21.94
2024-08-02,22.42
2024-08-05,21.28
2024-08-06,21.28
2024-08-07,20.8
2024-08-08,19.89
2024-08-09,20.13
