time,close
2025-10-21,40.38
2025-10-22,39.63
2025-10-23,39.51
2025-10-24,38.73
2025-10-27,37.65
2025-10-28,36.21
2025-10-29,37.16
2025-10-30,37.53
2025-10-31,37.32
2025-11-03,35.8
2025-11-04,37.9
2025-11-05,37.08
2025-11-06,36.13
2025-11-07,35.72
2025-11-10,35.76
2025-11-11,35.67
2025-11-12,35.63
2025-11-13,35.3
2025-11-14,36.38
2025-11-17,37.2
2025-11-18,37.45
2025-11-19,37.12
2025-11-20,37.12
2025-11-21,37.08
2025-11-24,37.7
2025-11-25,37.61
2025-11-26,38.35
2025-11-27,38.89
2025-11-28,38.77
2025-12-01,38.07
2025-12-02,38.56
2025-12-03,38.52
2025-12-04,38.89
2025-12-05,38.35
2025-12-08,38.27
2025-12-09,37.61
2025-12-10,37.94
2025-12-11,36.95
2025-12-12,36.17
2025-12-15,38.56
2025-12-16,38.89
2025-12-17,39.14
2025-12-18,38.68
2025-12-19,39.34
2025-12-22,39.1
2025-12-23,38.52
2025-12-24,38.56
2025-12-25,38.31
2025-12-26,38.31
2025-12-29,37.94
2025-12-30,38.31
2025-12-31,38.77
2026-01-05,37.78
2026-01-06,39.22
2026-01-07,40.25
2026-01-08,41.74
2026-01-09,42.07
2026-01-12,44.21
2026-01-13,44.05
2026-01-14,43.55
2026-01-15,42.31
2026-01-16,42.89
2026-01-19,42.89
2026-01-20,42.73
2026-01-21,43.3
2026-01-22,43.47
2026-01-23,45.86
2026-01-26,45.86
2026-01-27,45.37
2026-01-28,45.2
2026-01-29,45.37
2026-01-30,46.6
2026-02-02,45.94
2026-02-03,46.03
2026-02-04,46.03
2026-02-05,46.03
2026-02-06,45.28
2026-02-09,45.53
2026-02-10,44.95
2026-02-11,46.03
2026-02-12,46.19
2026-02-13,48.0
2026-02-23,50.73
2026-02-24,51.88
2026-02-25,51.14
2026-02-26,51.96
2026-02-27,52.38
2026-03-02,51.47
2026-03-03,50.97
2026-03-04,51.14
2026-03-05,49.49
2026-03-06,46.03
2026-03-09,42.81
2026-03-10,43.55
2026-03-11,45.86
2026-03-12,43.8
2026-03-13,40.79
2026-03-16,41.82
2026-03-17,44.71
2026-03-18,43.39
2026-03-19,43.22
2026-03-20,40.29
2026-03-23,41.9
2026-03-24,41.74
2026-03-25,43.72
2026-03-26,43.14
2026-03-27,43.39
2026-03-30,43.22
2026-03-31,42.23
2026-04-01,42.81
2026-04-02,42.07
2026-04-03,41.41
2026-04-06,40.42
2026-04-07,40.0
2026-04-08,42.75
2026-04-09,43.08
2026-04-10,43.0
2026-04-13,42.92
2026-04-14,43.75
2026-04-15,43.33
2026-04-16,42.5
2026-04-17,43.0
2026-04-20,42.92
2026-04-21,42.5
2026-04-22,42.33
2026-04-23,42.0
2026-04-24,41.92
2026-04-28,42.58
2026-04-29,42.17
2026-05-04,41.46
2026-05-05,41.58
2026-05-06,42.67
2026-05-07,42.92
2026-05-08,42.42
2026-05-11,41.92
2026-05-12,42.0
2026-05-13,41.62
2026-05-14,42.5
2026-05-15,42.67
2026-05-18,42.08
2026-05-19,42.33
2026-05-20,41.83
2026-05-21,41.83
2026-05-22,42.5
2026-05-25,43.4
2026-05-26,43.35
2026-05-27,43.0
2026-05-28,41.8
2026-05-29,42.0
2026-06-01,41.5
2026-06-02,40.3
2026-06-03,40.3
2026-06-04,40.3
2026-06-05,39.8
2026-06-08,39.0
2026-06-09,38.5
2026-06-10,38.4
2026-06-11,38.4
2026-06-12,38.1
2026-06-15,40.75
2026-06-16,43.5
2026-06-17,43.0
2026-06-18,42.05
2026-06-19,42.95
2026-06-22,43.15
2026-06-23,43.4
2026-06-24,44.3
2026-06-25,45.0
2026-06-26,45.0
2026-06-29,44.4
2026-06-30,44.4
2026-07-01,44.85
2026-07-02,45.0
2026-07-03,45.0
2026-07-06,43.5
2026-07-07,44.75
2026-07-08,44.3
2026-07-09,43.65
2026-07-10,42.2
2026-07-13,41.75
2026-07-14,41.95
2026-07-15,42.8
2026-07-16,43.5
2026-07-17,43.1
2026-07-20,41.8
2026-07-21,41.4
2026-07-22,40.55
2026-07-23,41.1
2026-07-24,39.2
2026-07-27,37.5
2026-07-28,38.1
2026-07-29,38.65
2026-07-30,40.6
2026-07-31,41.0
2026-08-03,40.9
2026-08-04,40.65
2026-08-05,39.6
2026-08-06,39.4
2026-08-07,39.3
2026-08-10,40.0
2026-08-11,40.8
2026-08-12,40.5
2026-08-13,40.0
2026-08-14,39.15
2026-08-17,39.2
2026-08-18,39.8
2026-08-19,39.45
2026-08-20,39.5
2026-08-21,41.0
2026-08-24,40.8
