time,close
2024-03-11,33.2
2024-03-12,33.34
2024-03-13,34.97
2024-03-14,34.97
2024-03-15,36.82
2024-03-18,36.11
2024-03-19,35.54
2024-03-20,35.47
2024-03-21,35.4
2024-03-22,35.44
2024-03-25,35.47
2024-03-26,35.76
2024-03-27,35.54
2024-03-28,35.54
2024-03-29,35.54
2024-04-01,34.97
2024-04-02,34.83
2024-04-03,35.19
2024-04-04,35.33
2024-04-05,35.97
2024-04-08,35.83
2024-04-09,35.61
2024-04-10,35.9
2024-04-11,35.68
2024-04-12,35.83
2024-04-15,34.26
2024-04-16,33.37
2024-04-17,33.8
2024-04-19,33.76
2024-04-22,33.98
2024-04-23,33.98
2024-04-24,34.3
2024-04-25,34.76
2024-04-26,35.4
2024-05-02,35.04
2024-05-03,34.83
2024-05-06,34.83
2024-05-07,35.4
2024-05-08,35.54
2024-05-09,35.44
2024-05-10,35.4
2024-05-13,35.12
2024-05-14,34.97
2024-05-15,35.26
2024-05-16,35.83
2024-05-17,36.04
2024-05-20,36.47
2024-05-21,36.32
2024-05-22,36.32
2024-05-23,36.32
2024-05-24,36.11
2024-05-27,36.4
2024-05-28,37.11
2024-05-29,37.18
2024-05-30,36.68
2024-05-31,37.32
2024-06-03,37.25
2024-06-04,37.46
2024-06-05,37.6
2024-06-06,37.82
2024-06-07,37.89
2024-06-10,37.53
2024-06-11,37.39
2024-06-12,37.82
2024-06-13,37.89
2024-06-14,37.67
2024-06-17,37.39
2024-06-18,37.53
2024-06-19,37.39
2024-06-20,37.46
2024-06-21,37.39
2024-06-24,36.82
2024-06-25,35.54
2024-06-26,37.11
2024-06-27,36.96
2024-06-28,36.96
2024-07-01,37.18
2024-07-02,39.52
2024-07-03,39.45
2024-07-04,39.59
2024-07-05,38.81
2024-07-08,39.1
2024-07-09,38.74
2024-07-10,38.95
2024-07-11,38.6
2024-07-12,38.31
2024-07-15,38.95
2024-07-16,39.24
2024-07-17,39.45
2024-07-18,39.31
2024-07-19,39.1
2024-07-22,38.88
2024-07-23,38.38
2024-07-24,38.31
2024-07-25,38.24
2024-07-26,38.24
2024-07-29,37.75
2024-07-30,37.82
2024-07-31,38.6
2024-08-01,38.38
2024-08-02,38.17
2024-08-05,35.51
2024-08-06,36.25
2024-08-07,36.54
2024-08-08,36.61
2024-08-09,36.61
2024-08-12,36.61
2024-08-13,36.61
2024-08-14,36.61
2024-08-15,36.54
2024-08-16,37.6
2024-08-19,39.02
2024-08-20,38.95
2024-08-21,40.09
2024-08-22,39.45
2024-08-23,40.45
2024-08-26,38.74
2024-08-27,39.88
2024-08-28,39.81
2024-08-29,39.08
2024-08-30,38.14
2024-09-04,38.36
2024-09-05,38.36
2024-09-06,38.94
2024-09-09,38.5
2024-09-10,38.29
2024-09-11,37.78
2024-09-12,38.14
2024-09-13,38.07
2024-09-16,38.14
2024-09-17,38.36
2024-09-18,38.58
2024-09-19,38.22
2024-09-20,39.01
2024-09-23,38.72
2024-09-24,39.08
2024-09-25,39.81
2024-09-26,39.88
2024-09-27,39.66
2024-09-30,39.59
2024-10-01,39.08
2024-10-02,38.94
2024-10-03,38.5
2024-10-04,37.78
2024-10-07,37.42
2024-10-08,37.56
2024-10-09,38.14
2024-10-10,38.5
2024-10-11,38.22
2024-10-14,37.71
2024-10-15,38.58
2024-10-16,38.29
2024-10-17,38.58
2024-10-18,38.36
2024-10-21,38.79
2024-10-22,38.72
2024-10-23,38.65
2024-10-24,38.14
2024-10-25,38.07
2024-10-28,38.5
2024-10-29,39.52
2024-10-30,39.88
2024-10-31,40.24
2024-11-01,40.1
2024-11-04,39.95
2024-11-05,42.56
2024-11-06,44.87
2024-11-07,45.6
2024-11-08,46.32
2024-11-11,46.32
2024-11-12,46.9
2024-11-13,46.68
2024-11-14,45.71
2024-11-15,46.44
2024-11-18,48.71
2024-11-19,46.68
2024-11-20,46.44
2024-11-21,47.57
2024-11-22,49.92
