time,close
2024-03-11,16.99
2024-03-12,16.99
2024-03-13,17.31
2024-03-14,17.42
2024-03-15,17.42
2024-03-18,17.88
2024-03-19,17.88
2024-03-20,17.84
2024-03-21,18.13
2024-03-22,18.2
2024-03-25,17.99
2024-03-26,18.16
2024-03-27,18.13
2024-03-28,18.09
2024-03-29,18.09
2024-04-01,18.16
2024-04-02,18.31
2024-04-03,18.34
2024-04-04,18.02
2024-04-05,17.6
2024-04-08,17.45
2024-04-09,17.67
2024-04-10,17.35
2024-04-11,17.31
2024-04-12,17.45
2024-04-15,16.25
2024-04-16,15.57
2024-04-17,15.33
2024-04-19,14.9
2024-04-22,15.04
2024-04-23,14.79
2024-04-24,15.36
2024-04-25,15.4
2024-04-26,15.72
2024-05-02,16.32
2024-05-03,16.14
2024-05-06,16.25
2024-05-07,16.25
2024-05-08,16.21
2024-05-09,16.18
2024-05-10,15.89
2024-05-13,15.79
2024-05-14,15.79
2024-05-15,15.93
2024-05-16,15.96
2024-05-17,16.14
2024-05-20,16.5
2024-05-21,16.39
2024-05-22,16.14
2024-05-23,16.43
2024-05-24,16.04
2024-05-27,16.0
2024-05-28,16.21
2024-05-29,16.36
2024-05-30,16.6
2024-05-31,16.32
2024-06-03,16.5
2024-06-04,16.57
2024-06-05,16.36
2024-06-06,16.43
2024-06-07,16.43
2024-06-10,16.39
2024-06-11,16.14
2024-06-12,16.32
2024-06-13,16.36
2024-06-14,16.36
2024-06-17,15.96
2024-06-18,15.88
2024-06-19,15.56
2024-06-20,15.44
2024-06-21,15.2
2024-06-24,15.08
2024-06-25,15.12
2024-06-26,15.08
2024-06-27,14.93
2024-06-28,14.49
2024-07-01,14.81
2024-07-02,14.93
2024-07-03,14.96
2024-07-04,14.85
2024-07-05,14.81
2024-07-08,14.73
2024-07-09,15.48
2024-07-10,15.28
2024-07-11,15.28
2024-07-12,15.12
2024-07-15,15.0
2024-07-16,15.0
2024-07-17,14.61
2024-07-18,14.77
2024-07-19,14.77
2024-07-22,14.61
2024-07-23,14.29
2024-07-24,14.37
2024-07-25,14.37
2024-07-26,14.53
2024-07-29,14.49
2024-07-30,14.37
2024-07-31,14.37
2024-08-01,14.05
2024-08-02,13.97
2024-08-05,13.02
2024-08-06,13.38
2024-08-07,13.34
2024-08-08,14.09
2024-08-09,14.37
2024-08-12,14.77
2024-08-13,14.69
2024-08-14,14.61
2024-08-15,14.69
2024-08-16,15.12
2024-08-19,15.0
2024-08-20,15.24
2024-08-21,15.36
2024-08-22,15.08
2024-08-23,15.08
2024-08-26,14.96
2024-08-27,15.2
2024-08-28,15.2
2024-08-29,15.0
2024-08-30,14.93
2024-09-04,15.32
2024-09-05,15.04
2024-09-06,15.08
2024-09-09,14.93
2024-09-10,14.81
2024-09-11,14.61
2024-09-12,14.29
2024-09-13,14.37
2024-09-16,14.45
2024-09-17,14.93
2024-09-18,14.57
2024-09-19,14.69
2024-09-20,14.81
2024-09-23,14.81
2024-09-24,14.96
2024-09-25,14.96
2024-09-26,15.04
2024-09-27,14.85
2024-09-30,14.89
2024-10-01,15.32
2024-10-02,15.16
2024-10-03,14.85
2024-10-04,14.61
2024-10-07,14.53
2024-10-08,14.53
2024-10-09,14.77
2024-10-10,14.61
2024-10-11,14.65
2024-10-14,14.73
2024-10-15,14.53
2024-10-16,14.45
2024-10-17,14.65
2024-10-18,14.45
2024-10-21,14.37
2024-10-22,14.21
2024-10-23,14.25
2024-10-24,14.25
2024-10-25,14.05
2024-10-28,14.13
2024-10-29,14.09
2024-10-30,14.09
2024-10-31,14.09
2024-11-01,13.89
2024-11-04,13.62
2024-11-05,13.58
