time,close
2024-03-11,26.16
2024-03-12,26.52
2024-03-13,28.33
2024-03-14,28.66
2024-03-15,29.48
2024-03-18,28.38
2024-03-19,27.83
2024-03-20,29.21
2024-03-21,29.64
2024-03-22,29.48
2024-03-25,28.55
2024-03-26,29.21
2024-03-27,28.99
2024-03-28,29.48
2024-03-29,29.54
2024-04-01,29.43
2024-04-02,29.43
2024-04-03,28.6
2024-04-04,28.55
2024-04-05,27.28
2024-04-08,27.28
2024-04-09,28.33
2024-04-10,27.89
2024-04-11,28.0
2024-04-12,28.6
2024-04-15,26.63
2024-04-16,26.24
2024-04-17,24.76
2024-04-19,24.7
2024-04-22,25.94
2024-04-23,25.01
2024-04-24,26.08
2024-04-25,25.8
2024-04-26,25.8
2024-05-02,25.44
2024-05-03,25.64
2024-05-06,26.63
2024-05-07,26.35
2024-05-08,26.63
2024-05-09,26.35
2024-05-10,26.21
2024-05-13,26.3
2024-05-14,26.16
2024-05-15,26.65
2024-05-16,26.76
2024-05-17,27.01
2024-05-20,27.56
2024-05-21,27.89
2024-05-22,27.45
2024-05-23,27.45
2024-05-24,26.32
2024-05-27,26.1
2024-05-28,26.79
2024-05-29,26.68
2024-05-30,26.19
2024-05-31,26.08
2024-06-03,26.63
2024-06-04,26.96
2024-06-05,26.76
2024-06-06,26.52
2024-06-07,26.54
2024-06-10,26.68
2024-06-11,28.0
2024-06-12,28.11
2024-06-13,27.83
2024-06-14,26.9
2024-06-17,26.71
2024-06-18,26.68
2024-06-19,26.93
2024-06-20,26.74
2024-06-21,26.46
2024-06-24,24.98
2024-06-25,25.64
2024-06-26,25.42
2024-06-27,25.23
2024-06-28,25.31
2024-07-01,25.88
2024-07-02,25.88
2024-07-03,25.91
2024-07-04,25.97
2024-07-05,25.86
2024-07-08,25.91
2024-07-09,26.35
2024-07-10,25.91
2024-07-11,26.35
2024-07-12,26.3
2024-07-15,26.38
2024-07-16,26.3
2024-07-17,25.75
2024-07-18,26.16
2024-07-19,26.08
2024-07-22,25.99
2024-07-23,25.25
2024-07-24,24.6
2024-07-25,24.48
2024-07-26,24.73
2024-07-29,24.81
2024-07-30,24.43
2024-07-31,24.43
2024-08-01,23.11
2024-08-02,23.83
2024-08-05,22.4
2024-08-06,23.61
2024-08-07,23.94
2024-08-08,23.8
2024-08-09,24.87
2024-08-12,25.2
2024-08-13,25.14
2024-08-14,24.87
2024-08-15,24.56
2024-08-16,25.89
2024-08-19,25.62
2024-08-20,25.76
2024-08-21,26.09
2024-08-22,26.23
2024-08-23,26.31
2024-08-26,26.86
2024-08-27,26.61
2024-08-28,26.42
2024-08-29,25.64
2024-08-30,25.73
2024-09-04,25.42
2024-09-05,24.92
2024-09-06,25.2
2024-09-09,24.84
2024-09-10,24.48
2024-09-11,24.26
2024-09-12,24.04
2024-09-13,24.04
2024-09-16,23.4
2024-09-17,24.58
2024-09-18,24.84
2024-09-19,24.91
2024-09-20,24.84
2024-09-23,24.62
2024-09-24,24.84
2024-09-25,25.63
2024-09-26,26.02
2024-09-27,25.84
2024-09-30,26.42
2024-10-01,26.28
2024-10-02,26.2
2024-10-03,26.31
2024-10-04,26.1
2024-10-07,27.07
2024-10-08,26.85
2024-10-09,26.92
2024-10-10,26.2
2024-10-11,26.53
2024-10-14,26.42
2024-10-15,25.92
2024-10-16,25.74
2024-10-17,26.42
2024-10-18,25.99
2024-10-21,25.63
2024-10-22,25.52
2024-10-23,25.45
2024-10-24,24.84
2024-10-25,24.84
2024-10-28,24.94
2024-10-29,24.94
2024-10-30,24.73
2024-10-31,24.94
2024-11-01,24.4
2024-11-04,24.76
2024-11-05,24.55
2024-11-06,25.16
2024-11-07,24.94
2024-11-08,24.84
2024-11-11,24.94
2024-11-12,25.02
2024-11-13,24.91
2024-11-14,23.72
2024-11-15,23.25
2024-11-18,23.76
2024-11-19,23.22
2024-11-20,23.54
2024-11-21,23.9
2024-11-22,23.76
2024-11-25,24.12
2024-11-26,24.15
2024-11-27,24.01
2024-11-28,23.79
2024-11-29,23.83
2024-12-02,23.86
2024-12-03,23.76
2024-12-04,23.4
2024-12-05,25.02
2024-12-06,25.05
2024-12-09,25.09
2024-12-10,24.91
2024-12-11,24.84
2024-12-12,24.8
2024-12-13,24.62
2024-12-16,24.91
2024-12-17,24.76
2024-12-18,24.8
2024-12-19,24.76
2024-12-20,24.58
2024-12-23,24.69
2024-12-24,24.26
2024-12-25,24.55
2024-12-26,24.33
2024-12-27,24.3
2024-12-30,24.19
2024-12-31,23.9
2025-01-02,24.19
2025-01-03,23.61
2025-01-06,23.25
2025-01-07,22.89
2025-01-08,23.14
2025-01-09,22.89
2025-01-10,22.68
2025-01-13,23.14
2025-01-14,22.93
2025-01-15,23.07
2025-01-16,23.32
2025-01-17,23.36
2025-01-20,23.22
2025-01-21,23.58
2025-01-22,23.54
2025-01-23,24.84
2025-01-24,24.76
2025-02-03,24.98
2025-02-04,25.05
2025-02-05,24.98
2025-02-06,24.87
2025-02-07,24.94
2025-02-10,25.09
2025-02-11,25.09
2025-02-12,25.09
2025-02-13,25.31
2025-02-14,25.63
2025-02-17,25.78
2025-02-18,26.03
2025-02-19,26.32
2025-02-20,26.32
2025-02-21,26.28
2025-02-24,26.65
2025-02-25,26.68
2025-02-26,26.54
2025-02-27,26.68
2025-02-28,26.43
2025-03-03,27.05
2025-03-04,27.16
2025-03-05,26.9
2025-03-06,27.92
2025-03-07,28.24
2025-03-10,28.46
2025-03-11,28.6
2025-03-12,28.46
2025-03-13,28.17
2025-03-14,28.21
2025-03-17,28.6
2025-03-18,28.35
2025-03-19,28.1
2025-03-20,28.42
2025-03-21,28.35
2025-03-24,28.6
2025-03-25,28.32
2025-03-26,27.84
2025-03-27,27.77
2025-03-28,27.63
2025-03-31,27.77
2025-04-01,28.28
2025-04-02,28.28
2025-04-03,26.32
2025-04-04,26.83
2025-04-08,24.98
2025-04-09,23.24
2025-04-10,24.84
2025-04-11,26.32
2025-04-14,27.05
2025-04-15,26.47
2025-04-16,26.68
2025-04-17,27.26
2025-04-18,26.86
2025-04-21,25.89
2025-04-22,25.96
2025-04-23,26.32
2025-04-24,26.65
2025-04-25,26.36
2025-04-28,26.65
2025-04-29,26.83
2025-05-05,26.83
2025-05-06,26.83
2025-05-07,26.39
2025-05-08,26.72
2025-05-09,26.36
2025-05-12,26.43
2025-05-13,26.72
2025-05-14,27.34
2025-05-15,27.48
2025-05-16,27.23
2025-05-19,26.61
2025-05-20,26.79
2025-05-21,26.83
2025-05-22,26.47
2025-05-23,26.28
2025-05-26,26.83
2025-05-27,26.83
2025-05-28,26.5
2025-05-29,26.21
2025-05-30,26.1
2025-06-02,26.32
2025-06-03,26.97
2025-06-04,26.58
2025-06-05,26.72
2025-06-06,26.03
2025-06-09,25.52
2025-06-10,25.7
2025-06-11,25.7
2025-06-12,26.21
2025-06-13,25.63
2025-06-16,26.03
2025-06-17,26.14
2025-06-18,25.92
2025-06-19,25.81
2025-06-20,25.96
2025-06-23,25.52
2025-06-24,25.96
2025-06-25,26.0
2025-06-26,25.74
2025-06-27,25.7
2025-06-30,25.92
2025-07-01,25.67
2025-07-02,26.47
2025-07-03,26.68
2025-07-04,26.61
2025-07-07,26.9
2025-07-08,27.23
2025-07-09,27.74
2025-07-10,27.84
2025-07-11,29.76
2025-07-14,30.2
2025-07-15,29.66
2025-07-16,30.24
2025-07-17,29.95
2025-07-18,30.24
2025-07-21,29.48
2025-07-22,30.27
2025-07-23,30.16
2025-07-24,30.09
2025-07-25,31.22
2025-07-28,32.59
2025-07-29,30.34
2025-07-30,30.38
2025-07-31,31.22
2025-08-01,32.23
2025-08-04,32.38
2025-08-05,33.21
2025-08-06,33.79
2025-08-07,33.72
2025-08-08,32.99
2025-08-11,33.28
2025-08-12,32.99
2025-08-13,34.08
2025-08-14,33.79
2025-08-15,32.85
2025-08-18,32.27
2025-08-19,33.28
2025-08-20,33.5
2025-08-21,33.35
2025-08-22,31.4
2025-08-25,31.03
2025-08-26,32.56
2025-08-27,32.41
2025-08-28,33.54
2025-08-29,34.99
2025-09-03,34.66
2025-09-04,34.95
2025-09-05,33.35
2025-09-08,31.22
2025-09-09,32.56
2025-09-10,31.83
2025-09-11,32.27
2025-09-12,32.12
2025-09-15,32.74
2025-09-16,31.98
2025-09-17,31.32
2025-09-18,31.36
2025-09-19,30.89
2025-09-22,30.09
2025-09-23,30.38
2025-09-24,31.65
2025-09-25,31.87
2025-09-26,31.18
2025-09-29,31.54
2025-09-30,31.51
2025-10-01,31.07
2025-10-02,30.53
2025-10-03,30.16
2025-10-06,32.27
2025-10-07,31.58
2025-10-08,31.76
2025-10-09,31.18
2025-10-10,31.58
2025-10-13,31.9
2025-10-14,31.18
2025-10-15,31.0
2025-10-16,30.92
2025-10-17,30.42
2025-10-20,28.32
2025-10-21,27.34
2025-10-22,27.19
2025-10-23,26.68
2025-10-24,27.12
2025-10-27,27.12
2025-10-28,27.7
2025-10-29,27.44
2025-10-30,26.9
2025-10-31,26.9
2025-11-03,26.1
2025-11-04,27.92
2025-11-05,27.08
2025-11-06,26.68
2025-11-07,26.1
2025-11-10,25.96
2025-11-11,26.61
2025-11-12,26.54
2025-11-13,26.21
2025-11-14,25.92
2025-11-17,26.25
2025-11-18,26.39
2025-11-19,25.96
2025-11-20,25.42
2025-11-21,24.91
2025-11-24,24.8
2025-11-25,24.15
2025-11-26,24.94
2025-11-27,24.54
2025-11-28,24.47
2025-12-01,24.22
2025-12-02,24.65
2025-12-03,25.12
2025-12-04,25.42
2025-12-05,24.98
2025-12-08,24.54
2025-12-09,24.73
2025-12-10,24.87
2025-12-11,24.8
2025-12-12,23.71
2025-12-15,24.18
2025-12-16,24.8
2025-12-17,24.8
2025-12-18,24.8
2025-12-19,25.2
2025-12-22,25.52
2025-12-23,24.87
2025-12-24,25.85
2025-12-25,24.94
2025-12-26,25.81
2025-12-29,25.6
2025-12-30,25.67
2025-12-31,25.6
2026-01-05,24.62
2026-01-06,24.65
2026-01-07,25.12
2026-01-08,25.01
2026-01-09,24.68
2026-01-12,26.38
2026-01-13,26.23
2026-01-14,26.12
2026-01-15,25.64
2026-01-16,25.53
2026-01-19,25.6
2026-01-20,26.01
2026-01-21,25.75
2026-01-22,25.86
2026-01-23,26.41
2026-01-26,27.07
2026-01-27,27.22
2026-01-28,26.6
2026-01-29,26.6
2026-01-30,26.96
2026-02-02,26.49
2026-02-03,26.71
2026-02-04,27.04
2026-02-05,26.56
2026-02-06,25.2
2026-02-09,25.34
2026-02-10,25.57
2026-02-11,26.16
2026-02-12,26.41
2026-02-13,26.85
2026-02-23,27.18
2026-02-24,27.22
2026-02-25,26.85
2026-02-26,27.33
2026-02-27,28.32
2026-03-02,28.32
2026-03-03,28.1
2026-03-04,30.05
2026-03-05,29.8
2026-03-06,27.96
2026-03-09,26.01
2026-03-10,26.26
2026-03-11,27.37
2026-03-12,26.93
2026-03-13,27.18
2026-03-16,27.18
2026-03-17,27.4
2026-03-18,26.49
2026-03-19,25.79
2026-03-20,26.26
2026-03-23,24.46
2026-03-24,25.01
2026-03-25,25.75
2026-03-26,26.4
2026-03-27,26.7
2026-03-30,26.15
2026-03-31,26.7
2026-04-01,27.35
2026-04-02,26.95
2026-04-03,26.5
2026-04-06,26.3
2026-04-07,27.2
2026-04-08,29.0
2026-04-09,28.0
2026-04-10,27.9
2026-04-13,28.1
2026-04-14,27.95
2026-04-15,27.7
2026-04-16,27.6
2026-04-17,27.3
2026-04-20,27.4
2026-04-21,26.8
2026-04-22,26.55
2026-04-23,27.15
2026-04-24,27.0
2026-04-28,26.25
2026-04-29,26.2
2026-05-04,26.15
2026-05-05,25.6
2026-05-06,26.5
2026-05-07,25.9
2026-05-08,25.95
2026-05-11,25.7
2026-05-12,25.5
2026-05-13,25.7
2026-05-14,25.95
2026-05-15,25.6
2026-05-18,25.75
2026-05-19,25.6
2026-05-20,24.95
2026-05-21,24.6
2026-05-22,25.0
2026-05-25,24.75
2026-05-26,25.1
2026-05-27,25.1
2026-05-28,25.0
2026-05-29,24.65
2026-06-01,24.7
2026-06-02,24.35
2026-06-03,24.5
2026-06-04,24.35
2026-06-05,24.15
2026-06-08,23.4
2026-06-09,23.4
2026-06-10,23.5
2026-06-11,23.4
2026-06-12,23.6
2026-06-15,24.45
2026-06-16,24.85
2026-06-17,24.65
2026-06-18,24.5
2026-06-19,24.6
2026-06-22,25.0
2026-06-23,24.5
