time,close
2025-12-16,31.76
2025-12-17,32.76
2025-12-18,32.88
2025-12-19,32.88
2025-12-22,32.44
2025-12-23,31.57
2025-12-24,31.26
2025-12-25,30.63
2025-12-26,30.38
2025-12-29,31.07
2025-12-30,31.19
2025-12-31,31.32
2026-01-05,30.41
2026-01-06,30.38
2026-01-07,30.32
2026-01-08,30.13
2026-01-09,28.76
2026-01-12,29.48
2026-01-13,29.69
2026-01-14,28.94
2026-01-15,29.16
2026-01-16,29.04
2026-01-19,30.01
2026-01-20,29.94
2026-01-21,29.38
2026-01-22,29.41
2026-01-23,29.69
2026-01-26,29.07
2026-01-27,29.19
2026-01-28,28.91
2026-01-29,28.82
2026-01-30,28.69
2026-02-02,28.26
2026-02-03,28.6
2026-02-04,28.26
2026-02-05,27.91
2026-02-06,26.76
2026-02-09,26.69
2026-02-10,28.54
2026-02-11,28.69
2026-02-12,28.98
2026-02-13,28.94
2026-02-23,30.57
2026-02-24,30.69
2026-02-25,30.32
2026-02-26,30.16
2026-02-27,31.07
2026-03-02,30.38
2026-03-03,30.51
2026-03-04,31.88
2026-03-05,32.07
2026-03-06,30.48
2026-03-09,28.35
2026-03-10,30.3
2026-03-11,30.5
2026-03-12,30.4
2026-03-13,31.25
2026-03-16,33.4
2026-03-17,35.7
2026-03-18,35.0
2026-03-19,34.5
2026-03-20,35.7
2026-03-23,35.15
2026-03-24,35.65
2026-03-25,35.5
2026-03-26,35.0
2026-03-27,34.85
2026-03-30,34.0
2026-03-31,33.75
2026-04-01,35.0
2026-04-02,36.8
2026-04-03,37.0
2026-04-06,36.8
2026-04-07,36.85
2026-04-08,37.9
2026-04-09,37.3
2026-04-10,37.0
2026-04-13,37.1
2026-04-14,36.7
2026-04-15,36.1
2026-04-16,34.35
2026-04-17,34.4
2026-04-20,34.55
2026-04-21,34.0
2026-04-22,33.65
2026-04-23,33.8
2026-04-24,34.8
2026-04-28,34.7
2026-04-29,34.5
2026-05-04,34.15
2026-05-05,34.0
2026-05-06,34.8
2026-05-07,34.7
2026-05-08,34.7
2026-05-11,34.3
2026-05-12,34.15
2026-05-13,34.0
2026-05-14,33.2
2026-05-15,33.45
2026-05-18,33.45
2026-05-19,33.0
2026-05-20,33.5
2026-05-21,33.5
2026-05-22,33.5
2026-05-25,33.35
2026-05-26,33.7
2026-05-27,33.55
2026-05-28,33.0
2026-05-29,33.0
2026-06-01,32.7
2026-06-02,32.2
2026-06-03,32.2
2026-06-04,32.2
2026-06-05,32.35
2026-06-08,32.7
2026-06-09,33.4
2026-06-10,33.35
2026-06-11,33.0
2026-06-12,33.4
2026-06-15,34.35
2026-06-16,34.65
2026-06-17,34.1
2026-06-18,33.55
2026-06-19,33.8
2026-06-22,33.3
2026-06-23,33.4
2026-06-24,33.2
2026-06-25,32.95
2026-06-26,33.5
2026-06-29,33.4
2026-06-30,33.1
2026-07-01,33.35
2026-07-02,33.3
2026-07-03,34.2
2026-07-06,33.5
2026-07-07,33.8
2026-07-08,33.5
2026-07-09,32.75
2026-07-10,32.75
2026-07-13,32.0
2026-07-14,32.1
2026-07-15,32.0
2026-07-16,32.0
2026-07-17,31.25
2026-07-20,29.7
2026-07-21,29.9
2026-07-22,29.5
2026-07-23,30.4
2026-07-24,29.65
2026-07-27,28.35
2026-07-28,28.6
2026-07-29,29.15
2026-07-30,31.15
2026-07-31,31.0
2026-08-03,31.35
2026-08-04,31.35
2026-08-05,30.8
2026-08-06,30.55
2026-08-07,30.35
2026-08-10,30.8
2026-08-11,30.85
2026-08-12,30.8
2026-08-13,29.5
2026-08-14,29.6
2026-08-17,29.55
2026-08-18,29.25
2026-08-19,29.4
2026-08-20,29.1
2026-08-21,30.4
2026-08-24,30.35
