time,close
2024-03-11,20.49
2024-03-12,20.56
2024-03-13,20.68
2024-03-14,20.66
2024-03-15,20.42
2024-03-18,20.27
2024-03-19,20.66
2024-03-20,20.46
2024-03-21,20.66
2024-03-22,20.61
2024-03-25,20.49
2024-03-26,20.58
2024-03-27,20.46
2024-03-28,20.85
2024-03-29,20.63
2024-04-01,20.66
2024-04-02,20.78
2024-04-03,20.75
2024-04-04,20.7
2024-04-05,20.68
2024-04-08,20.7
2024-04-09,20.8
2024-04-10,21.28
2024-04-11,21.26
2024-04-12,21.43
2024-04-15,20.42
2024-04-16,20.56
2024-04-17,20.13
2024-04-19,19.98
2024-04-22,19.96
2024-04-23,19.36
2024-04-24,19.55
2024-04-25,19.6
2024-04-26,19.64
2024-05-02,19.81
2024-05-03,19.79
2024-05-06,19.81
2024-05-07,19.76
2024-05-08,19.69
2024-05-09,19.72
2024-05-10,19.43
2024-05-13,19.31
2024-05-14,19.33
2024-05-15,19.38
2024-05-16,19.38
2024-05-17,19.67
2024-05-20,19.48
2024-05-21,19.36
2024-05-22,19.43
2024-05-23,19.52
2024-05-24,19.16
2024-05-27,19.16
2024-05-28,19.24
2024-05-29,18.99
2024-05-30,18.78
2024-05-31,18.71
2024-06-03,18.92
2024-06-04,18.97
2024-06-05,18.92
2024-06-06,18.8
2024-06-07,18.78
2024-06-10,18.73
2024-06-11,18.37
2024-06-12,18.54
2024-06-13,18.42
2024-06-14,18.39
2024-06-17,18.44
2024-06-18,18.44
2024-06-19,18.3
2024-06-20,18.3
2024-06-21,18.18
2024-06-24,18.03
2024-06-25,18.2
2024-06-26,18.06
2024-06-27,18.1
2024-06-28,18.13
2024-07-01,18.15
2024-07-02,18.37
2024-07-03,18.34
2024-07-04,18.51
2024-07-05,18.51
2024-07-08,18.3
2024-07-09,18.44
2024-07-10,18.42
2024-07-11,18.51
2024-07-12,18.54
2024-07-15,18.3
2024-07-16,18.25
2024-07-17,17.96
2024-07-18,18.03
2024-07-19,18.22
2024-07-22,18.25
2024-07-23,18.22
2024-07-24,18.22
2024-07-25,18.2
2024-07-26,18.18
2024-07-29,17.86
2024-07-30,17.67
2024-07-31,17.67
2024-08-01,17.55
2024-08-02,17.33
2024-08-05,16.61
2024-08-06,16.76
2024-08-07,17.91
2024-08-08,18.1
2024-08-09,17.91
2024-08-12,17.57
2024-08-13,17.5
2024-08-14,17.91
2024-08-15,18.22
2024-08-16,18.49
2024-08-19,18.58
2024-08-20,18.97
2024-08-21,19.14
2024-08-22,19.16
2024-08-23,19.14
2024-08-26,19.5
2024-08-27,19.93
2024-08-28,19.69
2024-08-29,19.98
2024-08-30,19.98
2024-09-04,20.46
2024-09-05,21.06
2024-09-06,21.14
2024-09-09,20.7
2024-09-10,20.61
2024-09-11,20.7
2024-09-12,20.75
2024-09-13,20.7
2024-09-16,20.1
2024-09-17,21.18
2024-09-18,21.14
2024-09-19,21.26
2024-09-20,21.06
2024-09-23,21.02
2024-09-24,21.31
2024-09-25,21.26
2024-09-26,21.38
2024-09-27,20.9
2024-09-30,20.61
2024-10-01,20.92
2024-10-02,20.9
2024-10-03,20.03
2024-10-04,19.98
2024-10-07,19.84
2024-10-08,20.03
2024-10-09,20.46
2024-10-10,20.29
2024-10-11,20.99
2024-10-14,21.84
2024-10-15,21.5
2024-10-16,21.67
2024-10-17,21.72
2024-10-18,21.79
2024-10-21,23.02
2024-10-22,23.23
2024-10-23,22.63
2024-10-24,21.11
2024-10-25,21.11
2024-10-28,20.56
2024-10-29,20.58
2024-10-30,19.81
2024-10-31,19.98
2024-11-01,19.98
2024-11-04,19.98
2024-11-05,19.98
2024-11-06,20.01
2024-11-07,19.93
2024-11-08,19.26
2024-11-11,19.55
2024-11-12,19.4
2024-11-13,19.4
2024-11-14,19.43
2024-11-15,19.38
2024-11-18,19.64
2024-11-19,20.32
2024-11-20,20.85
2024-11-21,20.85
2024-11-22,20.03
2024-11-25,20.56
2024-11-26,20.42
2024-11-27,20.17
2024-11-28,19.79
2024-11-29,19.64
2024-12-02,19.62
2024-12-03,19.69
2024-12-04,19.31
2024-12-05,19.93
2024-12-06,19.98
2024-12-09,19.96
2024-12-10,19.72
2024-12-11,19.67
2024-12-12,19.62
2024-12-13,19.57
2024-12-16,19.72
2024-12-17,19.89
2024-12-18,19.69
2024-12-19,19.36
2024-12-20,19.43
2024-12-23,19.55
2024-12-24,19.43
2024-12-25,19.55
2024-12-26,19.57
2024-12-27,19.43
