time,close
2024-03-11,14.16
2024-03-12,14.16
2024-03-13,14.66
2024-03-14,14.43
2024-03-15,14.96
2024-03-18,14.79
2024-03-19,14.69
2024-03-20,15.69
2024-03-21,16.16
2024-03-22,16.09
2024-03-25,15.92
2024-03-26,16.19
2024-03-27,16.09
2024-03-28,16.12
2024-03-29,16.36
2024-04-01,16.16
2024-04-02,16.02
2024-04-03,15.66
2024-04-04,15.42
2024-04-05,15.09
2024-04-08,15.09
2024-04-09,15.33
2024-04-10,15.23
2024-04-11,15.23
2024-04-12,15.69
2024-04-15,14.96
2024-04-16,14.99
2024-04-17,14.72
2024-04-19,14.45
2024-04-22,14.51
2024-04-23,14.38
2024-04-24,14.65
2024-04-25,14.48
2024-04-26,14.45
2024-05-02,14.65
2024-05-03,14.51
2024-05-06,14.86
2024-05-07,14.86
2024-05-08,14.75
2024-05-09,14.79
2024-05-10,14.75
2024-05-13,14.62
2024-05-14,14.89
2024-05-15,14.96
2024-05-16,15.27
2024-05-17,15.27
2024-05-20,15.4
2024-05-21,15.47
2024-05-22,15.2
2024-05-23,15.23
2024-05-24,15.06
2024-05-27,15.06
2024-05-28,15.27
2024-05-29,14.99
2024-05-30,15.06
2024-05-31,14.89
2024-06-03,15.27
2024-06-04,15.34
2024-06-05,15.34
2024-06-06,15.34
2024-06-07,15.34
2024-06-10,15.44
2024-06-11,15.68
2024-06-12,15.71
2024-06-13,15.68
2024-06-14,15.4
2024-06-17,15.1
2024-06-18,15.1
2024-06-19,15.06
2024-06-20,15.06
2024-06-21,14.92
2024-06-24,14.58
2024-06-25,14.58
2024-06-26,14.55
2024-06-27,14.48
2024-06-28,14.38
2024-07-01,14.51
2024-07-02,14.65
2024-07-03,14.62
2024-07-04,14.55
2024-07-05,14.51
2024-07-08,14.58
2024-07-09,14.65
2024-07-10,14.62
2024-07-11,14.58
2024-07-12,14.58
2024-07-15,14.58
2024-07-16,14.58
2024-07-17,14.79
2024-07-18,14.75
2024-07-19,14.68
2024-07-22,14.62
2024-07-23,14.45
2024-07-24,14.38
2024-07-25,14.24
2024-07-26,14.31
2024-07-29,14.31
2024-07-30,14.1
2024-07-31,14.51
2024-08-01,14.17
2024-08-02,14.45
2024-08-05,13.86
2024-08-06,14.24
2024-08-07,14.14
2024-08-08,14.14
2024-08-09,14.31
2024-08-12,14.24
2024-08-13,14.07
2024-08-14,14.1
2024-08-15,14.24
2024-08-16,14.48
2024-08-19,14.72
2024-08-20,14.65
2024-08-21,14.62
2024-08-22,14.74
2024-08-23,14.74
2024-08-26,14.7
2024-08-27,14.66
2024-08-28,14.66
2024-08-29,14.66
2024-08-30,14.7
2024-09-04,14.58
2024-09-05,14.54
2024-09-06,14.5
2024-09-09,14.34
2024-09-10,14.34
2024-09-11,14.3
2024-09-12,14.54
2024-09-13,14.42
2024-09-16,14.42
2024-09-17,14.54
2024-09-18,14.62
2024-09-19,14.66
2024-09-20,14.78
2024-09-23,14.82
2024-09-24,15.3
2024-09-25,15.58
2024-09-26,15.54
2024-09-27,15.5
2024-09-30,15.46
2024-10-01,15.86
2024-10-02,15.66
2024-10-03,15.42
2024-10-04,15.42
2024-10-07,15.38
2024-10-08,15.38
2024-10-09,15.38
2024-10-10,15.3
2024-10-11,15.3
2024-10-14,15.26
2024-10-15,15.38
2024-10-16,15.34
2024-10-17,15.5
2024-10-18,15.62
2024-10-21,15.38
2024-10-22,15.02
2024-10-23,14.98
2024-10-24,14.82
2024-10-25,14.62
2024-10-28,14.62
2024-10-29,15.02
2024-10-30,15.22
2024-10-31,15.18
2024-11-01,15.1
2024-11-04,14.82
2024-11-05,14.82
2024-11-06,14.9
2024-11-07,14.82
2024-11-08,14.66
2024-11-11,14.58
2024-11-12,14.7
2024-11-13,14.66
2024-11-14,14.58
2024-11-15,14.54
2024-11-18,14.58
2024-11-19,14.46
2024-11-20,14.54
2024-11-21,14.66
2024-11-22,14.58
2024-11-25,14.82
