time,close
2024-03-11,11.87
2024-03-12,11.5
2024-03-13,12.3
2024-03-14,12.72
2024-03-15,12.72
2024-03-18,12.08
2024-03-19,11.81
2024-03-20,12.24
2024-03-21,12.33
2024-03-22,12.33
2024-03-25,12.36
2024-03-26,12.82
2024-03-27,12.85
2024-03-28,12.85
2024-03-29,12.57
2024-04-01,12.57
2024-04-02,12.82
2024-04-03,12.54
2024-04-04,12.3
2024-04-05,11.81
2024-04-08,11.59
2024-04-09,12.02
2024-04-10,11.75
2024-04-11,11.72
2024-04-12,11.93
2024-04-15,11.1
2024-04-16,10.92
2024-04-17,10.4
2024-04-19,9.97
2024-04-22,10.49
2024-04-23,10.12
2024-04-24,10.55
2024-04-25,10.46
2024-04-26,10.31
2024-05-02,10.25
2024-05-03,10.28
2024-05-06,10.77
2024-05-07,10.71
2024-05-08,10.71
2024-05-09,10.55
2024-05-10,10.74
2024-05-13,10.74
2024-05-14,10.71
2024-05-15,10.92
2024-05-16,11.1
2024-05-17,11.16
2024-05-20,11.16
2024-05-21,11.2
2024-05-22,11.13
2024-05-23,11.26
2024-05-24,10.83
2024-05-27,10.95
2024-05-28,11.1
2024-05-29,11.01
2024-05-30,10.95
2024-05-31,11.01
2024-06-03,11.23
2024-06-04,11.16
2024-06-05,11.1
2024-06-06,11.07
2024-06-07,11.04
2024-06-10,11.16
2024-06-11,11.23
2024-06-12,11.65
2024-06-13,11.56
2024-06-14,11.13
2024-06-17,11.13
2024-06-18,11.13
2024-06-19,11.04
2024-06-20,10.77
2024-06-21,10.71
2024-06-24,10.22
2024-06-25,10.28
2024-06-26,10.28
2024-06-27,10.28
2024-06-28,10.03
2024-07-01,10.16
2024-07-02,10.31
2024-07-03,10.43
2024-07-04,10.37
2024-07-05,10.28
2024-07-08,10.28
2024-07-09,10.55
2024-07-10,10.4
2024-07-11,10.52
2024-07-12,10.31
2024-07-15,10.31
2024-07-16,10.34
2024-07-17,10.16
2024-07-18,10.37
2024-07-19,9.67
2024-07-22,9.02
2024-07-23,8.53
2024-07-24,8.87
2024-07-25,8.6
2024-07-26,8.44
2024-07-29,8.5
2024-07-30,8.07
2024-07-31,8.61
2024-08-01,8.54
2024-08-02,8.8
2024-08-05,8.3
2024-08-06,8.54
2024-08-07,8.54
2024-08-08,8.5
2024-08-09,8.69
2024-08-12,8.8
2024-08-13,8.69
2024-08-14,8.5
2024-08-15,8.57
2024-08-16,9.15
2024-08-19,9.18
2024-08-20,9.3
2024-08-21,9.38
2024-08-22,9.3
2024-08-23,9.3
2024-08-26,9.3
2024-08-27,9.11
2024-08-28,9.22
2024-08-29,9.3
2024-08-30,9.3
2024-09-04,9.18
2024-09-05,9.11
2024-09-06,9.03
2024-09-09,8.92
2024-09-10,8.69
2024-09-11,8.65
2024-09-12,8.61
2024-09-13,8.65
2024-09-16,8.46
2024-09-17,8.65
2024-09-18,8.69
2024-09-19,8.73
2024-09-20,8.61
2024-09-23,8.69
2024-09-24,8.73
2024-09-25,9.18
2024-09-26,9.15
2024-09-27,9.11
2024-09-30,9.18
2024-10-01,9.45
2024-10-02,9.34
2024-10-03,9.07
2024-10-04,9.03
2024-10-07,9.07
2024-10-08,9.18
2024-10-09,9.22
2024-10-10,9.07
2024-10-11,9.11
2024-10-14,8.8
2024-10-15,8.65
2024-10-16,8.65
2024-10-17,8.76
2024-10-18,8.73
2024-10-21,8.84
2024-10-22,8.8
2024-10-23,8.76
2024-10-24,8.61
2024-10-25,8.5
2024-10-28,8.38
2024-10-29,8.42
2024-10-30,8.3
2024-10-31,8.38
2024-11-01,8.23
2024-11-04,8.23
2024-11-05,8.11
2024-11-06,8.27
2024-11-07,8.23
2024-11-08,8.15
2024-11-11,8.04
2024-11-12,7.96
2024-11-13,7.77
2024-11-14,7.59
2024-11-15,7.42
2024-11-18,7.58
2024-11-19,7.33
2024-11-20,7.41
2024-11-21,7.56
2024-11-22,7.44
2024-11-25,7.52
2024-11-26,7.73
2024-11-27,7.69
2024-11-28,7.65
2024-11-29,7.69
2024-12-02,7.69
2024-12-03,7.56
2024-12-04,7.43
2024-12-05,7.92
2024-12-06,7.81
2024-12-09,7.85
2024-12-10,7.81
2024-12-11,7.77
2024-12-12,7.77
2024-12-13,7.69
2024-12-16,7.92
2024-12-17,7.88
2024-12-18,7.92
2024-12-19,7.81
2024-12-20,7.88
2024-12-23,7.81
2024-12-24,7.73
2024-12-25,7.85
2024-12-26,7.77
2024-12-27,7.77
2024-12-30,7.65
2024-12-31,7.54
2025-01-02,7.61
2025-01-03,7.55
2025-01-06,7.35
2025-01-07,7.27
2025-01-08,7.38
2025-01-09,7.32
2025-01-10,7.04
2025-01-13,6.98
2025-01-14,6.92
2025-01-15,7.08
2025-01-16,7.21
2025-01-17,7.25
2025-01-20,7.3
2025-01-21,7.33
2025-01-22,7.22
2025-01-23,7.33
2025-01-24,7.57
2025-02-03,7.53
2025-02-04,7.77
2025-02-05,7.65
2025-02-06,7.69
2025-02-07,7.73
2025-02-10,7.62
2025-02-11,7.61
2025-02-12,7.64
2025-02-13,7.69
2025-02-14,7.77
2025-02-17,8.23
2025-02-18,8.38
2025-02-19,8.57
2025-02-20,8.61
2025-02-21,8.65
2025-02-24,8.8
