time,close
2024-03-11,15.48
2024-03-12,15.39
2024-03-13,15.39
2024-03-14,15.39
2024-03-15,15.3
2024-03-18,15.25
2024-03-19,15.43
2024-03-20,15.25
2024-03-21,15.3
2024-03-22,15.3
2024-03-25,15.3
2024-03-26,15.34
2024-03-27,15.34
2024-03-28,15.39
2024-03-29,15.3
2024-04-01,15.34
2024-04-02,15.34
2024-04-03,15.34
2024-04-04,15.34
2024-04-05,14.94
2024-04-08,14.94
2024-04-09,15.21
2024-04-10,15.21
2024-04-11,15.07
2024-04-12,15.03
2024-04-15,15.34
2024-04-16,14.62
2024-04-17,14.71
2024-04-19,14.62
2024-04-22,14.58
2024-04-23,14.49
2024-04-24,14.49
2024-04-25,14.53
2024-04-26,14.71
2024-05-02,14.67
2024-05-03,14.62
2024-05-06,14.62
2024-05-07,14.58
2024-05-08,14.58
2024-05-09,14.53
2024-05-10,14.53
2024-05-13,14.53
2024-05-14,14.62
2024-05-15,14.62
2024-05-16,14.62
2024-05-17,14.76
2024-05-20,14.71
2024-05-21,14.98
2024-05-22,15.03
2024-05-23,15.16
2024-05-24,15.07
2024-05-27,15.34
2024-05-28,15.34
2024-05-29,15.16
2024-05-30,15.61
2024-06-03,15.12
2024-06-04,15.12
2024-06-05,15.52
2024-06-06,15.52
2024-06-07,15.48
2024-06-10,15.48
2024-06-11,15.25
2024-06-12,15.3
2024-06-13,15.48
2024-06-14,15.3
2024-06-17,15.61
2024-06-18,15.57
2024-06-19,15.52
2024-06-20,15.25
2024-06-21,15.43
2024-06-24,14.8
2024-06-25,15.16
2024-06-26,15.34
2024-06-27,15.57
2024-06-28,15.57
2024-07-01,15.7
2024-07-02,15.97
2024-07-03,16.69
2024-07-04,16.6
2024-07-05,16.33
2024-07-08,16.37
2024-07-09,16.37
2024-07-10,16.42
2024-07-11,16.51
2024-07-12,16.37
2024-07-15,16.69
2024-07-16,17.85
2024-07-17,17.23
2024-07-18,16.78
2024-07-19,17.23
2024-07-22,16.33
2024-07-23,16.15
2024-07-24,16.42
2024-07-25,16.19
2024-07-26,16.6
2024-07-29,16.55
2024-07-30,16.46
2024-07-31,16.15
2024-08-01,15.92
2024-08-02,15.92
2024-08-05,15.48
2024-08-06,15.52
2024-08-07,15.52
2024-08-08,15.52
2024-08-09,15.52
2024-08-12,16.06
2024-08-13,16.42
2024-08-14,16.15
2024-08-15,16.15
2024-08-16,16.15
2024-08-19,16.42
2024-08-20,16.42
2024-08-21,16.96
2024-08-22,16.6
2024-08-23,17.05
2024-08-27,16.24
2024-08-28,16.6
2024-08-30,16.6
2024-09-04,16.78
2024-09-05,16.51
2024-09-06,16.24
2024-09-09,16.37
2024-09-10,16.51
2024-09-11,16.55
2024-09-12,16.55
2024-09-13,16.51
2024-09-16,16.51
2024-09-18,16.51
2024-09-19,16.51
2024-09-20,16.37
2024-09-23,16.37
2024-09-24,16.37
2024-09-25,16.33
2024-09-26,16.33
2024-09-27,16.42
2024-09-30,16.28
2024-10-01,16.6
2024-10-02,16.15
2024-10-03,16.15
2024-10-04,16.6
2024-10-07,16.46
2024-10-08,16.46
2024-10-09,16.42
2024-10-10,16.37
2024-10-11,16.46
2024-10-14,16.28
2024-10-15,16.33
2024-10-16,16.42
2024-10-17,16.51
2024-10-18,16.46
2024-10-21,16.33
2024-10-22,16.24
2024-10-23,16.51
2024-10-24,16.28
2024-10-25,16.51
2024-10-29,16.33
2024-10-30,16.46
2024-10-31,16.6
2024-11-01,16.55
2024-11-04,16.82
2024-11-05,16.33
2024-11-06,16.37
2024-11-07,16.37
2024-11-08,16.37
2024-11-11,16.46
2024-11-12,16.51
2024-11-13,16.69
2024-11-14,16.87
2024-11-15,16.78
2024-11-18,16.73
2024-11-19,16.82
2024-11-20,17.23
2024-11-21,18.21
2024-11-22,17.85
2024-11-25,17.49
2024-11-26,17.23
2024-11-27,17.14
2024-11-28,17.58
2024-11-29,17.76
2024-12-02,17.72
2024-12-03,17.67
2024-12-04,17.94
2024-12-05,17.72
2024-12-06,17.45
2024-12-09,17.4
2024-12-10,17.05
2024-12-11,17.05
2024-12-12,17.0
2024-12-13,17.05
2024-12-16,17.0
2024-12-17,17.0
2024-12-18,17.1
2024-12-19,16.9
2024-12-20,16.9
2024-12-23,16.85
2024-12-24,16.65
2024-12-25,16.7
2024-12-26,16.7
2024-12-27,16.65
2024-12-30,16.65
2024-12-31,16.5
2025-01-02,16.6
2025-01-03,16.35
2025-01-06,16.35
2025-01-07,16.7
2025-01-08,16.7
2025-01-09,16.85
2025-01-13,16.2
2025-01-14,16.7
2025-01-15,16.35
2025-01-16,16.55
2025-01-17,16.6
2025-01-20,17.0
2025-01-21,17.0
2025-01-22,16.9
2025-01-23,17.15
2025-01-24,17.0
2025-02-03,16.95
2025-02-04,17.0
2025-02-05,16.95
2025-02-06,16.9
2025-02-07,16.9
2025-02-10,16.75
2025-02-11,16.8
2025-02-13,16.75
2025-02-14,16.8
2025-02-17,16.85
2025-02-18,16.85
2025-02-19,16.95
2025-02-20,16.9
2025-02-21,16.85
2025-02-24,16.8
2025-02-25,16.85
2025-02-26,16.9
2025-02-27,17.0
2025-02-28,17.15
2025-03-03,17.25
2025-03-04,17.8
2025-03-05,17.75
2025-03-07,17.7
2025-03-10,17.9
2025-03-11,17.25
2025-03-12,17.7
2025-03-13,17.2
2025-03-14,17.2
2025-03-17,17.0
2025-03-18,16.75
2025-03-19,16.85
2025-03-20,17.2
2025-03-21,17.45
2025-03-24,16.95
2025-03-25,17.0
2025-03-26,17.0
2025-03-28,17.0
2025-03-31,16.8
2025-04-01,16.75
2025-04-02,16.8
2025-04-03,15.85
2025-04-04,16.5
2025-04-08,15.5
2025-04-09,16.15
2025-04-10,17.2
2025-04-11,16.25
2025-04-14,16.65
2025-04-15,15.95
2025-04-16,16.2
2025-04-17,16.6
2025-04-18,16.7
2025-04-21,16.25
2025-04-22,16.0
2025-04-23,16.5
2025-04-24,16.3
2025-04-25,16.05
2025-04-28,16.15
2025-04-29,16.15
2025-05-05,16.2
2025-05-06,16.6
2025-05-07,16.7
2025-05-08,16.85
2025-05-09,16.7
2025-05-12,16.55
2025-05-13,16.55
2025-05-14,16.55
2025-05-15,16.55
2025-05-16,16.55
2025-05-19,16.35
2025-05-20,16.95
2025-05-21,16.6
2025-05-22,16.65
2025-05-23,17.0
2025-05-26,16.7
2025-05-27,16.65
2025-05-28,16.8
2025-05-29,17.1
2025-06-02,17.05
2025-06-03,17.0
2025-06-04,17.0
2025-06-05,17.0
2025-06-06,16.85
2025-06-09,16.8
2025-06-10,16.75
2025-06-11,16.7
2025-06-12,16.75
2025-06-13,16.75
2025-06-16,16.8
2025-06-17,16.7
2025-06-18,16.75
2025-06-19,16.75
2025-06-20,16.75
2025-06-23,16.95
2025-06-24,17.1
2025-06-25,17.1
2025-06-26,17.1
2025-06-27,17.1
2025-06-30,17.1
2025-07-01,17.1
2025-07-02,17.4
2025-07-03,17.1
2025-07-04,17.2
2025-07-07,17.2
2025-07-08,17.15
2025-07-09,17.05
2025-07-10,16.95
2025-07-11,17.1
2025-07-14,17.25
2025-07-15,17.2
2025-07-16,17.15
2025-07-17,17.15
2025-07-18,17.05
2025-07-21,17.0
2025-07-22,17.1
2025-07-23,17.1
2025-07-24,17.0
2025-07-25,16.95
2025-07-28,16.95
2025-07-29,16.9
2025-07-30,16.85
2025-07-31,16.8
2025-08-01,16.8
2025-08-04,16.9
2025-08-05,16.8
2025-08-06,16.75
2025-08-07,17.1
2025-08-08,17.05
2025-08-11,17.05
2025-08-12,17.0
2025-08-13,16.95
2025-08-14,16.8
2025-08-15,16.95
2025-08-18,16.85
2025-08-19,16.9
2025-08-20,16.9
2025-08-21,16.8
2025-08-22,16.45
2025-08-25,16.5
2025-08-26,16.65
2025-08-27,16.9
2025-08-28,16.9
2025-08-29,16.85
2025-09-03,16.8
2025-09-04,16.8
2025-09-05,16.9
2025-09-08,16.7
2025-09-09,16.65
2025-09-10,16.75
2025-09-11,16.65
2025-09-12,16.7
2025-09-15,17.0
2025-09-16,16.9
2025-09-17,17.0
2025-09-18,16.9
2025-09-19,16.95
2025-09-22,17.05
2025-09-23,17.05
2025-09-24,17.0
2025-09-25,17.05
2025-09-26,17.05
2025-09-29,16.95
2025-09-30,18.1
2025-10-01,19.35
2025-10-02,20.7
2025-10-03,19.3
2025-10-06,17.95
2025-10-07,17.5
2025-10-08,16.55
2025-10-09,16.5
2025-10-10,16.3
2025-11-19,16.8
2025-11-20,17.95
2025-11-21,18.7
2025-11-24,17.8
2025-11-25,16.6
2025-11-26,16.45
2025-11-27,16.65
2025-11-28,16.2
2025-12-01,16.55
2025-12-02,16.9
2025-12-03,16.8
2025-12-04,16.75
2025-12-05,16.75
2025-12-08,16.8
2025-12-09,17.0
2025-12-10,16.85
2025-12-11,16.9
2025-12-12,16.85
2025-12-15,16.75
2025-12-16,17.3
2025-12-17,16.7
2025-12-18,16.4
2025-12-19,16.7
2025-12-22,16.95
2025-12-23,16.55
2025-12-24,16.8
