time,close
2024-03-11,59.59
2024-03-12,59.34
2024-03-13,60.01
2024-03-14,59.76
2024-03-15,59.07
2024-03-18,58.3
2024-03-19,58.21
2024-03-20,58.38
2024-03-21,58.73
2024-03-22,58.21
2024-03-25,57.78
2024-03-26,58.13
2024-03-27,58.13
2024-03-28,58.13
2024-03-29,58.04
2024-04-01,57.53
2024-04-02,57.78
2024-04-03,57.27
2024-04-04,58.56
2024-04-05,58.3
2024-04-08,57.53
2024-04-09,57.53
2024-04-10,57.36
2024-04-11,57.18
2024-04-12,57.27
2024-04-15,55.72
2024-04-16,54.95
2024-04-17,55.12
2024-04-19,55.12
2024-04-22,54.95
2024-04-23,54.52
2024-04-24,54.95
2024-04-25,55.55
2024-04-26,55.81
2024-05-02,56.15
2024-05-03,56.32
2024-05-06,56.5
2024-05-07,58.38
2024-05-08,58.3
2024-05-09,57.18
2024-05-10,57.1
2024-05-13,56.5
2024-05-14,57.1
2024-05-15,57.53
2024-05-16,57.7
2024-05-17,57.53
2024-05-20,57.01
2024-05-21,56.84
2024-05-22,56.5
2024-05-23,57.53
2024-05-24,56.67
2024-05-27,56.75
2024-05-28,57.36
2024-05-29,56.93
2024-05-30,56.41
2024-05-31,56.15
2024-06-03,56.75
2024-06-04,56.67
2024-06-05,58.82
2024-06-06,57.7
2024-06-07,58.21
2024-06-10,57.7
2024-06-11,57.1
2024-06-12,57.53
2024-06-13,57.44
2024-06-14,56.84
2024-06-17,56.67
2024-06-18,56.58
2024-06-19,56.07
2024-06-20,56.67
2024-06-21,56.67
2024-06-24,56.24
2024-06-25,56.24
2024-06-26,55.98
2024-06-27,56.07
2024-06-28,56.24
2024-07-01,56.67
2024-07-02,56.84
2024-07-03,56.84
2024-07-04,57.01
2024-07-05,57.7
2024-07-08,58.04
2024-07-09,57.96
2024-07-10,57.36
2024-07-11,56.93
2024-07-12,56.93
2024-07-15,56.84
2024-07-16,56.75
2024-07-17,56.41
2024-07-18,56.58
2024-07-19,56.07
2024-07-22,56.15
2024-07-23,56.58
2024-07-24,56.32
2024-07-25,56.32
2024-07-26,56.5
2024-07-29,57.7
2024-07-30,58.13
2024-07-31,61.48
2024-08-01,60.36
2024-08-02,61.39
2024-08-05,59.59
2024-08-06,62.42
2024-08-07,63.36
2024-08-08,62.42
2024-08-09,62.94
2024-08-12,62.68
2024-08-13,63.36
2024-08-14,63.54
2024-08-15,63.36
2024-08-16,63.36
2024-08-19,65.25
2024-08-20,64.91
2024-08-21,64.65
2024-08-22,63.71
2024-08-23,64.31
2024-08-26,63.02
2024-08-27,63.11
2024-08-28,63.45
2024-08-29,63.11
2024-08-30,63.45
2024-09-04,63.8
2024-09-05,64.14
2024-09-06,64.74
2024-09-09,64.22
2024-09-10,64.31
2024-09-11,64.05
2024-09-12,64.14
2024-09-13,62.59
2024-09-16,61.73
2024-09-17,63.02
2024-09-18,62.94
2024-09-19,62.94
2024-09-20,62.42
2024-09-23,62.59
2024-09-24,62.42
2024-09-25,61.79
2024-09-26,62.77
2024-09-27,63.04
2024-09-30,62.24
2024-10-01,62.24
2024-10-02,62.24
2024-10-03,62.42
2024-10-04,60.82
2024-10-07,59.57
2024-10-08,60.55
2024-10-09,60.2
2024-10-10,60.11
2024-10-11,60.11
2024-10-14,59.66
2024-10-15,59.31
2024-10-16,59.93
2024-10-17,60.02
2024-10-18,59.84
2024-10-21,59.75
2024-10-22,59.75
2024-10-23,59.75
2024-10-24,60.73
2024-10-25,60.37
2024-10-28,59.66
2024-10-29,59.48
2024-10-30,58.86
2024-10-31,58.69
2024-11-01,58.42
2024-11-04,58.24
2024-11-05,58.15
2024-11-06,58.42
2024-11-07,58.51
2024-11-08,58.33
2024-11-11,57.89
2024-11-12,57.62
2024-11-13,57.71
2024-11-14,57.71
2024-11-15,56.56
2024-11-18,56.11
2024-11-19,55.93
2024-11-20,56.47
2024-11-21,56.73
2024-11-22,57.09
2024-11-25,57.09
2024-11-26,57.53
2024-11-27,57.35
2024-11-28,57.27
2024-11-29,57.35
2024-12-02,57.27
2024-12-03,56.73
2024-12-04,56.2
2024-12-05,57.09
2024-12-06,56.91
2024-12-09,56.91
2024-12-10,56.73
2024-12-11,57.0
2024-12-12,57.35
2024-12-13,57.0
2024-12-16,57.71
2024-12-17,57.35
2024-12-18,57.44
2024-12-19,56.73
2024-12-20,57.71
2024-12-23,57.18
2024-12-24,57.09
2024-12-25,57.18
2024-12-26,57.09
2024-12-27,57.09
2024-12-30,56.64
2024-12-31,56.73
2025-01-02,56.46
2025-01-03,56.37
2025-01-06,55.92
2025-01-07,55.21
2025-01-08,55.21
2025-01-09,55.3
2025-01-10,54.85
2025-01-13,54.94
2025-01-14,55.12
2025-01-15,55.21
2025-01-16,55.39
2025-01-17,55.48
2025-01-20,55.39
2025-01-21,55.3
2025-01-22,55.12
2025-01-23,55.48
2025-01-24,55.66
2025-02-03,54.14
2025-02-04,53.87
2025-02-05,55.03
2025-02-06,54.31
2025-02-07,54.4
2025-02-10,54.22
2025-02-11,54.04
2025-02-12,54.58
2025-02-13,54.31
2025-02-14,53.96
2025-02-17,53.69
2025-02-18,53.96
2025-02-19,54.4
2025-02-20,54.31
2025-02-21,54.94
2025-02-24,57.09
2025-02-25,56.28
2025-02-26,56.46
2025-02-27,55.66
2025-02-28,55.66
2025-03-03,56.55
2025-03-04,56.82
2025-03-05,56.1
2025-03-06,56.28
2025-03-07,56.1
2025-03-10,55.92
2025-03-11,55.84
2025-03-12,55.66
2025-03-13,55.48
2025-03-14,55.57
2025-03-17,56.37
2025-03-18,55.92
2025-03-19,55.74
2025-03-20,55.3
2025-03-21,54.85
2025-03-24,54.94
2025-03-25,54.94
2025-03-26,54.76
2025-03-27,54.67
2025-03-28,53.96
2025-03-31,54.22
2025-04-01,54.4
2025-04-02,54.14
2025-04-03,50.56
2025-04-04,52.34
2025-04-08,48.77
2025-04-09,46.53
2025-04-10,49.75
2025-04-11,51.45
2025-04-14,50.91
2025-04-15,50.38
2025-04-16,50.11
2025-04-17,50.11
2025-04-18,50.64
2025-04-21,50.73
2025-04-22,50.11
2025-04-23,50.47
2025-04-24,50.38
2025-04-25,52.17
2025-04-28,51.45
2025-04-29,51.54
2025-05-05,50.91
2025-05-06,50.91
2025-05-07,51.18
2025-05-08,51.36
2025-05-09,51.63
2025-05-12,52.43
2025-05-13,52.34
2025-05-14,52.07
2025-05-15,52.62
2025-05-16,52.07
2025-05-19,51.88
2025-05-20,51.79
2025-05-21,51.33
2025-05-22,50.96
2025-05-23,51.23
2025-05-26,51.6
2025-05-27,51.33
2025-05-28,51.14
2025-05-29,51.05
2025-05-30,50.86
2025-06-02,50.58
2025-06-03,51.42
2025-06-04,52.72
2025-06-05,52.16
2025-06-06,51.23
2025-06-09,51.23
2025-06-10,51.23
2025-06-11,51.14
2025-06-12,51.79
2025-06-13,51.42
2025-06-16,52.16
2025-06-17,52.07
2025-06-18,51.88
2025-06-19,51.97
2025-06-20,52.44
2025-06-23,51.79
2025-06-24,52.25
2025-06-25,52.62
2025-06-26,52.25
2025-06-27,53.55
2025-06-30,53.74
2025-07-01,53.27
2025-07-02,53.46
2025-07-03,53.27
2025-07-04,53.55
2025-07-07,53.64
2025-07-08,54.66
2025-07-09,55.77
2025-07-10,55.31
2025-07-11,55.4
2025-07-14,55.86
2025-07-15,55.68
2025-07-16,55.68
2025-07-17,55.68
2025-07-18,55.77
2025-07-21,55.59
2025-07-22,55.77
2025-07-23,57.16
2025-07-24,59.02
2025-07-25,58.55
2025-07-28,58.64
2025-07-29,58.55
2025-07-30,58.27
2025-07-31,56.7
2025-08-01,55.59
2025-08-04,55.96
2025-08-05,55.68
2025-08-06,56.79
2025-08-07,56.42
2025-08-08,56.33
2025-08-11,56.98
2025-08-12,57.26
2025-08-13,56.61
2025-08-14,57.16
2025-08-15,56.51
2025-08-18,56.24
2025-08-19,56.05
2025-08-20,55.59
2025-08-21,55.68
2025-08-22,54.38
2025-08-25,54.38
2025-08-26,55.31
2025-08-27,56.05
2025-08-28,56.51
2025-08-29,55.86
2025-09-03,56.98
2025-09-04,57.26
2025-09-05,56.42
2025-09-08,56.14
2025-09-09,55.86
2025-09-10,55.4
2025-09-11,56.7
2025-09-12,58.55
2025-09-15,58.46
2025-09-16,59.94
2025-09-17,60.31
2025-09-18,58.92
2025-09-19,57.44
2025-09-22,56.88
2025-09-23,57.07
2025-09-24,57.44
2025-09-25,56.98
2025-09-26,56.61
2025-09-29,55.86
2025-09-30,55.59
2025-10-01,57.53
2025-10-02,56.7
2025-10-03,56.79
2025-10-06,57.81
2025-10-07,56.88
2025-10-08,58.74
2025-10-09,58.27
2025-10-10,57.81
2025-10-13,59.29
2025-10-14,58.83
2025-10-15,58.92
2025-10-16,59.31
2025-10-17,56.98
2025-10-20,53.3
2025-10-21,54.76
2025-10-22,54.56
2025-10-23,54.85
2025-10-24,56.31
2025-10-27,55.24
2025-10-28,55.63
2025-10-29,55.72
2025-10-30,55.34
2025-10-31,55.82
2025-11-03,55.53
2025-11-04,55.53
2025-11-05,56.21
2025-11-06,56.21
2025-11-07,55.82
2025-11-10,55.24
2025-11-11,57.08
2025-11-12,57.95
2025-11-13,59.89
2025-11-14,60.86
2025-11-17,60.18
2025-11-18,58.83
2025-11-19,59.02
2025-11-20,58.83
2025-11-21,58.05
2025-11-24,61.06
2025-11-25,59.99
2025-11-26,60.86
2025-11-27,60.09
2025-11-28,62.02
2025-12-01,62.9
2025-12-02,62.99
2025-12-03,62.6
2025-12-04,61.44
2025-12-05,61.44
2025-12-08,61.54
2025-12-09,60.57
2025-12-10,61.15
2025-12-11,59.6
2025-12-12,58.34
2025-12-15,60.09
2025-12-16,62.22
2025-12-17,60.96
2025-12-18,61.93
2025-12-19,62.02
2025-12-22,61.25
2025-12-23,60.67
2025-12-24,59.6
2025-12-25,59.41
2025-12-26,59.6
2025-12-29,60.18
2025-12-30,59.89
2025-12-31,59.31
2026-01-05,58.44
2026-01-06,58.92
2026-01-07,59.02
2026-01-08,60.28
2026-01-09,59.12
2026-01-12,60.76
2026-01-13,61.35
2026-01-14,65.61
2026-01-15,68.81
2026-01-16,67.45
2026-01-19,68.42
2026-01-20,71.13
2026-01-21,68.13
2026-01-22,68.71
2026-01-23,65.12
2026-01-26,66.77
2026-01-27,65.61
2026-01-28,65.61
2026-01-29,68.9
2026-01-30,68.42
2026-02-02,70.36
2026-02-03,69.39
2026-02-04,69.78
2026-02-05,66.97
2026-02-06,66.97
2026-02-09,67.45
2026-02-10,66.29
2026-02-11,66.97
2026-02-12,66.87
2026-02-13,67.35
2026-02-23,68.42
2026-02-24,68.03
2026-02-25,70.07
2026-02-26,68.42
2026-02-27,66.09
2026-03-02,64.54
2026-03-03,61.44
2026-03-04,62.9
2026-03-05,61.25
2026-03-06,60.47
2026-03-09,56.31
2026-03-10,60.18
2026-03-11,61.06
2026-03-12,59.7
2026-03-13,61.15
2026-03-16,59.89
2026-03-17,59.6
2026-03-18,59.8
2026-03-19,59.12
2026-03-20,58.15
2026-03-23,58.92
2026-03-24,59.31
2026-03-25,60.18
2026-03-26,59.12
2026-03-27,59.6
2026-03-30,58.73
2026-03-31,58.63
2026-04-01,59.41
2026-04-02,58.92
2026-04-03,58.15
2026-04-06,59.02
2026-04-07,59.12
2026-04-08,60.67
2026-04-09,59.89
2026-04-10,60.86
2026-04-13,60.86
2026-04-14,60.09
2026-04-15,59.41
2026-04-16,59.21
2026-04-17,59.41
2026-04-20,59.6
2026-04-21,59.7
2026-04-22,59.89
2026-04-23,60.09
2026-04-24,59.5
2026-04-28,59.31
2026-04-29,59.02
2026-05-04,59.02
2026-05-05,59.21
2026-05-06,59.6
2026-05-07,59.6
2026-05-08,59.02
2026-05-11,58.73
2026-05-12,58.24
2026-05-13,57.47
2026-05-14,58.24
2026-05-15,57.95
2026-05-18,58.63
2026-05-19,57.95
2026-05-20,57.28
2026-05-21,57.18
2026-05-22,57.66
2026-05-25,57.28
2026-05-26,57.28
2026-05-27,56.98
2026-05-28,57.18
2026-05-29,57.37
2026-06-01,57.28
2026-06-02,56.79
2026-06-03,56.5
2026-06-04,56.79
2026-06-05,56.6
2026-06-08,56.21
2026-06-09,56.5
2026-06-10,57.08
2026-06-11,57.37
2026-06-12,57.18
2026-06-15,57.86
2026-06-16,57.28
2026-06-17,57.18
2026-06-18,57.37
2026-06-19,57.18
2026-06-22,56.79
2026-06-23,56.6
2026-06-24,56.5
2026-06-25,56.5
2026-06-26,56.3
2026-06-29,56.1
2026-06-30,54.8
2026-07-01,55.2
2026-07-02,55.5
2026-07-03,54.9
2026-07-06,55.3
2026-07-07,55.1
2026-07-08,55.7
2026-07-09,55.7
2026-07-10,56.6
2026-07-13,55.4
2026-07-14,56.0
2026-07-15,56.2
2026-07-16,56.2
2026-07-17,59.0
2026-07-20,58.5
2026-07-21,58.4
2026-07-22,59.1
2026-07-23,57.8
2026-07-24,58.9
2026-07-27,57.9
2026-07-28,59.6
2026-07-29,60.0
2026-07-30,61.2
2026-07-31,60.9
2026-08-03,60.3
2026-08-04,59.5
2026-08-05,58.6
2026-08-06,59.0
2026-08-07,62.0
2026-08-10,62.1
2026-08-11,62.0
2026-08-12,61.8
2026-08-13,61.6
2026-08-14,61.6
2026-08-17,62.2
2026-08-18,62.1
2026-08-19,63.1
2026-08-20,64.0
2026-08-21,63.8
2026-08-24,63.2
