time,close
2024-03-11,47.81
2024-03-12,48.47
2024-03-13,48.72
2024-03-14,48.39
2024-03-15,48.72
2024-03-18,48.64
2024-03-19,48.14
2024-03-20,49.06
2024-03-21,49.55
2024-03-22,49.55
2024-03-25,49.14
2024-03-26,49.22
2024-03-27,49.64
2024-03-28,49.14
2024-03-29,48.64
2024-04-01,48.47
2024-04-02,48.81
2024-04-03,48.72
2024-04-04,47.89
2024-04-05,47.31
2024-04-08,47.31
2024-04-09,47.64
2024-04-10,47.64
2024-04-11,47.64
2024-04-12,47.89
2024-04-15,46.56
2024-04-16,46.39
2024-04-17,46.89
2024-04-19,46.89
2024-04-22,47.14
2024-04-23,47.56
2024-04-24,48.72
2024-04-25,48.89
2024-04-26,49.14
2024-05-02,48.72
2024-05-03,48.64
2024-05-06,49.14
2024-05-07,49.31
2024-05-08,48.72
2024-05-09,48.72
2024-05-10,48.31
2024-05-13,48.06
2024-05-14,47.89
2024-05-15,48.72
2024-05-16,49.47
2024-05-17,49.31
2024-05-20,49.47
2024-05-21,49.14
2024-05-22,48.89
2024-05-23,48.72
2024-05-24,48.47
2024-05-27,48.56
2024-05-28,48.97
2024-05-29,49.06
2024-05-30,49.22
2024-05-31,49.55
2024-06-03,50.14
2024-06-04,50.14
2024-06-05,49.72
2024-06-06,49.14
2024-06-07,48.89
2024-06-10,48.72
2024-06-11,47.81
2024-06-12,48.22
2024-06-13,48.72
2024-06-14,47.89
2024-06-17,47.72
2024-06-18,47.89
2024-06-19,47.81
2024-06-20,47.81
2024-06-21,47.81
2024-06-24,47.64
2024-06-25,48.06
2024-06-26,48.72
2024-06-27,48.39
2024-06-28,48.56
2024-07-01,49.14
2024-07-02,49.8
2024-07-03,49.97
2024-07-04,51.14
2024-07-05,51.22
2024-07-08,51.22
2024-07-09,51.39
2024-07-10,50.39
2024-07-11,50.55
2024-07-12,50.55
2024-07-15,50.64
2024-07-16,50.64
2024-07-17,50.47
2024-07-18,51.05
2024-07-19,51.3
2024-07-22,53.3
2024-07-23,55.8
2024-07-24,58.3
2024-07-25,57.7
2024-07-26,57.6
2024-07-29,58.2
2024-07-30,58.5
2024-07-31,58.5
2024-08-01,57.5
2024-08-02,57.7
2024-08-05,56.2
2024-08-06,56.0
2024-08-07,56.6
2024-08-08,55.6
2024-08-09,56.5
2024-08-12,57.0
2024-08-13,57.2
2024-08-14,57.6
2024-08-15,57.6
2024-08-16,58.0
2024-08-19,57.4
2024-08-20,57.8
2024-08-21,57.5
2024-08-22,57.0
2024-08-23,56.8
2024-08-26,57.0
2024-08-27,57.2
2024-08-28,57.7
2024-08-29,57.0
2024-08-30,56.6
2024-09-04,56.5
2024-09-05,56.9
2024-09-06,57.4
2024-09-09,57.5
2024-09-10,57.3
2024-09-11,57.0
2024-09-12,57.0
2024-09-13,56.9
2024-09-16,56.6
2024-09-17,57.3
2024-09-18,57.6
2024-09-19,57.3
2024-09-20,56.2
2024-09-23,56.6
2024-09-24,57.4
2024-09-25,58.5
2024-09-26,58.5
2024-09-27,58.5
2024-09-30,58.4
2024-10-01,58.5
2024-10-02,57.3
2024-10-03,56.9
2024-10-04,56.5
2024-10-07,56.5
2024-10-08,56.4
2024-10-09,56.4
2024-10-10,56.9
2024-10-11,57.3
2024-10-14,57.4
2024-10-15,57.9
2024-10-16,58.0
2024-10-17,58.1
2024-10-18,58.3
2024-10-21,57.7
2024-10-22,57.3
2024-10-23,56.8
2024-10-24,56.8
2024-10-25,57.3
2024-10-28,57.2
2024-10-29,58.5
2024-10-30,58.0
2024-10-31,58.0
2024-11-01,58.4
2024-11-04,57.9
2024-11-05,57.2
2024-11-06,58.1
2024-11-07,58.1
2024-11-08,58.3
2024-11-11,58.3
2024-11-12,58.0
2024-11-13,57.7
2024-11-14,57.2
2024-11-15,57.1
2024-11-18,58.1
2024-11-19,58.1
2024-11-20,58.8
2024-11-21,59.0
2024-11-22,58.9
2024-11-25,59.3
2024-11-26,58.5
2024-11-27,57.9
2024-11-28,57.7
2024-11-29,58.5
2024-12-02,58.8
2024-12-03,59.2
2024-12-04,58.8
2024-12-05,59.7
2024-12-06,58.6
2024-12-09,58.0
2024-12-10,58.0
2024-12-11,58.1
2024-12-12,58.0
2024-12-13,57.8
2024-12-16,58.2
2024-12-17,58.2
2024-12-18,58.5
2024-12-19,58.3
2024-12-20,56.5
2024-12-23,57.8
2024-12-24,59.5
2024-12-25,59.0
2024-12-26,59.3
2024-12-27,59.1
2024-12-30,58.2
2024-12-31,59.8
2025-01-02,59.9
2025-01-03,58.8
2025-01-06,58.7
2025-01-07,58.9
2025-01-08,59.1
2025-01-09,59.3
2025-01-10,58.6
2025-01-13,59.1
2025-01-14,58.6
2025-01-15,58.8
2025-01-16,58.9
2025-01-17,59.0
2025-01-20,59.5
2025-01-21,59.7
2025-01-22,59.6
2025-01-23,59.2
2025-01-24,59.0
2025-02-03,58.5
2025-02-04,58.3
2025-02-05,58.3
2025-02-06,58.6
2025-02-07,57.7
2025-02-10,57.0
2025-02-11,57.3
2025-02-12,57.2
2025-02-13,57.4
2025-02-14,58.0
2025-02-17,57.7
2025-02-18,58.3
2025-02-19,58.5
2025-02-20,58.6
2025-02-21,58.3
2025-02-24,58.7
2025-02-25,59.0
2025-02-26,59.2
2025-02-27,59.2
2025-02-28,59.5
2025-03-03,59.0
2025-03-04,58.8
2025-03-05,58.9
2025-03-06,58.2
2025-03-07,57.4
2025-03-10,56.6
2025-03-11,56.3
2025-03-12,56.3
2025-03-13,56.1
2025-03-14,56.3
2025-03-17,56.7
2025-03-18,56.8
2025-03-19,56.7
2025-03-20,57.2
2025-03-21,56.8
2025-03-24,59.5
2025-03-25,59.2
2025-03-26,58.5
2025-03-27,58.2
2025-03-28,57.9
2025-03-31,57.9
2025-04-01,58.4
2025-04-02,58.8
2025-04-03,56.5
2025-04-04,56.2
2025-04-08,55.4
2025-04-09,55.0
2025-04-10,58.2
2025-04-11,59.5
2025-04-14,58.8
2025-04-15,58.2
2025-04-16,56.6
2025-04-17,54.1
2025-04-18,53.5
2025-04-21,52.8
2025-04-22,52.0
2025-04-23,52.8
2025-04-24,53.8
2025-04-25,53.9
2025-04-28,52.8
2025-04-29,53.2
2025-05-05,52.1
2025-05-06,50.8
2025-05-07,51.5
2025-05-08,52.5
2025-05-09,52.0
2025-05-12,51.9
2025-05-13,50.5
2025-05-14,49.7
2025-05-15,48.4
2025-05-16,49.0
2025-05-19,50.2
2025-05-20,51.2
2025-05-21,51.3
2025-05-22,50.1
2025-05-23,49.05
2025-05-26,49.6
2025-05-27,51.8
2025-05-28,51.7
2025-05-29,53.0
2025-05-30,53.4
2025-06-02,55.5
2025-06-03,55.2
2025-06-04,53.8
2025-06-05,52.2
2025-06-06,51.0
2025-06-09,51.0
2025-06-10,51.8
2025-06-11,51.2
2025-06-12,52.0
2025-06-13,52.3
2025-06-16,52.3
2025-06-17,52.1
2025-06-18,51.7
2025-06-19,52.3
2025-06-20,52.0
2025-06-23,52.3
2025-06-24,52.3
2025-06-25,53.0
2025-06-26,52.6
2025-06-27,52.7
2025-06-30,53.3
2025-07-01,52.2
2025-07-02,51.6
2025-07-03,51.6
2025-07-04,53.0
2025-07-07,52.9
2025-07-08,52.5
2025-07-09,54.0
2025-07-10,53.2
2025-07-11,52.7
2025-07-14,51.9
2025-07-15,50.5
2025-07-16,50.6
2025-07-17,51.4
2025-07-18,51.1
2025-07-21,51.1
2025-07-22,52.9
2025-07-23,53.3
2025-07-24,52.5
2025-07-25,52.5
2025-07-28,54.2
2025-07-29,53.6
2025-07-30,52.2
2025-07-31,51.9
2025-08-01,53.0
2025-08-04,52.5
2025-08-05,53.3
2025-08-06,53.6
2025-08-07,53.0
2025-08-08,53.8
2025-08-11,54.3
2025-08-12,53.4
2025-08-13,55.3
2025-08-14,56.0
2025-08-15,56.6
2025-08-18,57.5
2025-08-19,58.3
2025-08-20,58.3
2025-08-21,56.5
2025-08-22,55.0
2025-08-25,53.4
2025-08-26,55.1
2025-08-27,55.5
2025-08-28,57.2
2025-08-29,57.0
2025-09-03,56.8
2025-09-04,58.5
2025-09-05,58.4
2025-09-08,57.5
2025-09-09,57.5
2025-09-10,58.8
2025-09-11,58.9
2025-09-12,59.3
2025-09-15,59.9
2025-09-16,58.4
2025-09-17,57.4
2025-09-18,55.6
2025-09-19,53.0
2025-09-22,52.8
2025-09-23,53.5
2025-09-24,54.4
2025-09-25,54.9
2025-09-26,55.2
2025-09-29,56.5
