time,close
2025-05-13,85.5
2025-05-14,91.4
2025-05-15,97.7
2025-05-16,101.0
2025-05-19,98.2
2025-05-20,99.5
2025-05-21,98.0
2025-05-22,92.0
2025-05-23,90.3
2025-05-26,90.0
2025-05-27,87.2
2025-05-28,88.0
2025-05-29,88.5
2025-05-30,89.0
2025-06-02,87.5
2025-06-03,87.5
2025-06-04,88.0
2025-06-05,88.2
2025-06-06,88.2
2025-06-09,88.2
2025-06-10,88.2
2025-06-11,88.2
2025-06-12,88.2
2025-06-13,88.2
2025-06-16,94.0
2025-06-17,95.4
2025-06-18,94.3
2025-06-19,94.2
2025-06-20,93.5
2025-06-23,94.5
2025-06-24,94.6
2025-06-25,94.6
2025-06-26,94.6
2025-06-27,94.6
2025-06-30,94.6
2025-07-01,94.6
2025-07-02,94.6
2025-07-03,94.1
2025-07-04,94.1
2025-07-07,94.1
2025-07-08,94.1
2025-07-09,94.1
2025-07-10,93.7
2025-07-11,92.3
2025-07-14,92.4
2025-07-15,92.0
2025-07-16,91.3
2025-07-17,90.3
2025-07-18,90.1
2025-07-21,88.9
2025-07-22,88.4
2025-07-23,88.2
2025-07-24,88.0
2025-07-25,87.6
2025-07-28,87.9
2025-07-29,86.0
2025-07-30,85.3
2025-07-31,82.7
2025-08-01,81.9
2025-08-04,85.0
2025-08-05,84.0
2025-08-06,84.9
2025-08-07,84.9
2025-08-08,84.0
2025-08-11,84.0
2025-08-12,84.0
2025-08-13,83.3
2025-08-14,82.8
2025-08-15,82.9
2025-08-18,81.6
2025-08-19,81.5
2025-08-20,81.5
2025-08-21,80.9
2025-08-22,80.8
2025-08-25,80.8
2025-08-26,80.2
2025-08-27,80.2
2025-08-28,80.2
2025-08-29,80.2
2025-09-03,80.2
2025-09-04,80.1
2025-09-05,80.4
2025-09-08,80.3
2025-09-09,80.3
2025-09-10,80.3
2025-09-11,80.3
2025-09-12,80.3
2025-09-15,80.3
2025-09-16,80.2
2025-09-17,80.3
2025-09-18,80.0
2025-09-19,80.0
2025-09-22,80.2
2025-09-23,80.2
2025-09-24,80.1
2025-09-25,80.1
2025-09-26,80.2
2025-09-29,80.0
2025-09-30,80.2
2025-10-01,80.2
2025-10-02,80.3
2025-10-03,80.0
2025-10-06,81.0
2025-10-07,86.6
2025-10-08,86.6
2025-10-09,87.2
2025-10-10,89.0
2025-10-13,89.2
2025-10-14,86.5
2025-10-15,83.7
2025-10-16,82.1
2025-10-17,79.0
2025-10-20,73.5
2025-10-21,74.1
2025-10-22,79.0
2025-10-23,80.6
2025-10-24,82.2
2025-10-27,81.0
2025-10-28,80.0
2025-10-29,79.2
2025-10-30,77.5
2025-10-31,77.1
2025-11-03,75.5
2025-11-04,74.5
2025-11-05,74.6
2025-11-06,73.8
2025-11-07,71.5
2025-11-10,70.5
2025-11-11,72.0
2025-11-12,73.5
2025-11-13,72.9
2025-11-14,72.0
2025-11-17,71.9
2025-11-18,72.0
2025-11-19,72.0
2025-11-20,72.0
2025-11-21,74.5
2025-11-24,77.9
2025-11-25,81.5
2025-11-26,87.2
2025-11-27,89.5
2025-11-28,95.0
2025-12-01,101.6
2025-12-02,103.8
2025-12-03,100.0
2025-12-04,102.0
2025-12-05,104.0
2025-12-08,106.3
2025-12-09,103.0
2025-12-10,95.8
2025-12-11,91.0
2025-12-12,84.7
2025-12-15,78.8
2025-12-16,84.3
2025-12-17,87.9
2025-12-18,88.8
2025-12-19,93.8
2025-12-22,98.0
2025-12-23,103.0
2025-12-24,102.0
2025-12-25,99.0
2025-12-26,92.1
2025-12-29,94.0
2025-12-30,91.0
2025-12-31,94.2
2026-01-05,100.0
2026-01-06,102.9
2026-01-07,100.5
2026-01-08,94.1
2026-01-09,93.1
2026-01-12,93.1
2026-01-13,94.9
2026-01-14,92.5
2026-01-15,92.3
2026-01-16,93.0
2026-01-19,93.5
2026-01-20,91.7
2026-01-21,91.7
2026-01-22,92.0
2026-01-23,93.8
2026-01-26,93.5
2026-01-27,91.9
2026-01-28,91.0
2026-01-29,92.0
2026-01-30,92.5
2026-02-02,86.8
2026-02-03,86.7
2026-02-04,85.5
2026-02-05,86.0
2026-02-06,83.0
2026-02-09,83.0
2026-02-10,84.5
2026-02-11,86.0
2026-02-12,85.4
2026-02-13,85.6
2026-02-23,84.7
2026-02-24,83.5
2026-02-25,81.0
2026-02-26,81.7
2026-02-27,83.5
2026-03-02,80.1
2026-03-03,75.9
2026-03-04,74.3
2026-03-05,75.5
2026-03-06,76.7
2026-03-09,71.4
2026-03-10,73.0
2026-03-11,78.1
2026-03-12,80.3
2026-03-13,79.3
2026-03-16,76.6
2026-03-17,76.9
2026-03-18,77.8
2026-03-19,81.0
2026-03-20,79.0
2026-03-23,78.3
2026-03-24,79.3
2026-03-25,82.5
2026-03-26,81.8
2026-03-27,83.0
2026-03-30,83.3
2026-03-31,83.4
2026-04-01,83.9
2026-04-02,83.9
2026-04-03,83.2
2026-04-06,82.6
2026-04-07,81.9
2026-04-08,85.0
2026-04-09,80.0
2026-04-10,81.0
2026-04-13,80.2
2026-04-14,80.0
2026-04-15,84.0
2026-04-16,86.1
2026-04-17,82.8
2026-04-20,85.3
2026-04-21,83.7
2026-04-22,83.9
2026-04-23,83.5
2026-04-24,81.5
2026-04-28,84.3
2026-04-29,85.7
2026-05-04,85.2
2026-05-05,88.0
2026-05-06,90.0
2026-05-07,91.5
2026-05-08,91.5
2026-05-11,89.0
2026-05-12,89.5
2026-05-13,90.0
2026-05-14,89.8
2026-05-15,88.4
2026-05-18,90.4
2026-05-19,91.5
2026-05-20,91.6
2026-05-21,93.5
2026-05-22,93.4
2026-05-25,95.7
2026-05-26,95.7
2026-05-27,91.7
2026-05-28,91.8
2026-05-29,93.5
2026-06-01,92.2
2026-06-02,92.0
2026-06-03,92.0
2026-06-04,90.7
2026-06-05,91.5
2026-06-08,89.0
2026-06-09,90.0
2026-06-10,90.0
2026-06-11,89.9
2026-06-12,87.0
2026-06-15,88.6
2026-06-16,89.3
2026-06-17,89.3
2026-06-18,91.0
2026-06-19,91.0
2026-06-22,91.9
2026-06-23,90.5
2026-06-24,90.5
2026-06-25,87.9
2026-06-26,88.8
2026-06-29,88.5
2026-06-30,89.8
2026-07-01,88.2
2026-07-02,87.0
2026-07-03,85.8
2026-07-06,83.0
2026-07-07,82.4
2026-07-08,84.0
2026-07-09,83.2
2026-07-10,82.3
2026-07-13,82.9
2026-07-14,81.8
2026-07-15,81.8
2026-07-16,81.9
2026-07-17,79.8
2026-07-20,77.6
2026-07-21,77.6
2026-07-22,73.5
2026-07-23,74.9
2026-07-24,74.5
2026-07-27,74.0
2026-07-28,74.5
2026-07-29,76.9
2026-07-30,79.5
2026-07-31,79.6
2026-08-03,81.0
2026-08-04,81.2
2026-08-05,81.0
2026-08-06,80.9
2026-08-07,79.0
2026-08-10,78.5
2026-08-11,78.4
2026-08-12,78.4
2026-08-13,77.0
2026-08-14,74.5
2026-08-17,75.0
2026-08-18,75.0
2026-08-19,74.9
2026-08-20,75.0
2026-08-21,76.9
2026-08-24,76.9
