time,close
2025-12-11,30.8
2025-12-12,30.3
2025-12-15,29.1
2025-12-16,29.5
2025-12-17,29.7
2025-12-18,29.0
2025-12-19,29.2
2025-12-22,28.95
2025-12-23,28.0
2025-12-24,28.0
2025-12-25,27.85
2025-12-26,27.95
2025-12-29,27.9
2025-12-30,28.6
2025-12-31,29.8
2026-01-05,28.3
2026-01-06,28.7
2026-01-07,28.35
2026-01-08,28.6
2026-01-09,28.75
2026-01-12,29.4
2026-01-13,30.6
2026-01-14,31.25
2026-01-15,31.05
2026-01-16,30.9
2026-01-19,31.6
2026-01-20,30.6
2026-01-21,29.85
2026-01-22,29.45
2026-01-23,29.0
2026-01-26,28.0
2026-01-27,27.3
2026-01-28,27.8
2026-01-29,27.4
2026-01-30,27.7
2026-02-02,27.6
2026-02-03,27.55
2026-02-04,28.0
2026-02-05,27.95
2026-02-06,27.45
2026-02-09,27.6
2026-02-10,27.6
2026-02-11,28.2
2026-02-12,28.35
2026-02-13,29.95
2026-02-23,30.5
2026-02-24,32.0
2026-02-25,31.05
2026-02-26,31.1
2026-02-27,32.0
2026-03-02,32.25
2026-03-03,32.9
2026-03-04,33.0
2026-03-05,32.95
2026-03-06,31.2
2026-03-09,29.05
2026-03-10,31.0
2026-03-11,31.3
2026-03-12,30.9
2026-03-13,30.6
2026-03-16,31.0
2026-03-17,32.45
2026-03-18,31.0
2026-03-19,31.3
2026-03-20,29.15
2026-03-23,29.2
2026-03-24,29.5
2026-03-25,30.5
2026-03-26,29.2
2026-03-27,29.5
2026-03-30,28.9
2026-03-31,29.55
2026-04-01,29.25
2026-04-02,28.7
2026-04-03,28.1
2026-04-06,27.95
2026-04-07,28.1
2026-04-08,29.15
2026-04-09,28.65
2026-04-10,28.25
2026-04-13,28.95
2026-04-14,28.8
2026-04-15,28.85
2026-04-16,28.75
2026-04-17,28.75
2026-04-20,28.65
2026-04-21,28.15
2026-04-22,27.95
2026-04-23,27.65
2026-04-24,27.6
2026-04-28,27.5
2026-04-29,27.4
2026-05-04,27.3
2026-05-05,27.2
2026-05-06,28.0
2026-05-07,27.8
2026-05-08,27.5
2026-05-11,27.65
2026-05-12,28.2
2026-05-13,27.7
2026-05-14,27.85
2026-05-15,27.8
2026-05-18,27.75
2026-05-19,27.8
2026-05-20,27.4
2026-05-21,27.3
2026-05-22,27.5
2026-05-25,27.5
2026-05-26,27.6
2026-05-27,27.6
2026-05-28,27.3
2026-05-29,27.4
2026-06-01,27.35
2026-06-02,26.6
2026-06-03,26.55
2026-06-04,26.5
2026-06-05,26.5
2026-06-08,25.9
2026-06-09,25.6
2026-06-10,25.9
2026-06-11,25.65
2026-06-12,25.4
2026-06-15,27.15
2026-06-16,28.05
2026-06-17,28.0
2026-06-18,27.55
2026-06-19,27.4
2026-06-22,27.55
2026-06-23,27.2
2026-06-24,27.2
2026-06-25,27.9
2026-06-26,28.45
2026-06-29,28.35
2026-06-30,28.6
2026-07-01,28.9
2026-07-02,28.5
2026-07-03,28.5
2026-07-06,28.0
2026-07-07,28.55
2026-07-08,28.55
2026-07-09,27.85
2026-07-10,27.3
2026-07-13,27.05
2026-07-14,27.05
2026-07-15,26.1
2026-07-16,26.7
2026-07-17,27.4
2026-07-20,27.35
2026-07-21,26.65
2026-07-22,25.8
2026-07-23,26.6
2026-07-24,25.85
2026-07-27,24.4
2026-07-28,24.7
2026-07-29,24.15
2026-07-30,25.4
2026-07-31,25.4
2026-08-03,26.25
2026-08-04,26.0
2026-08-05,25.7
2026-08-06,25.6
2026-08-07,25.35
2026-08-10,25.8
2026-08-11,25.6
2026-08-12,25.75
2026-08-13,25.3
2026-08-14,24.65
2026-08-17,24.85
2026-08-18,24.8
2026-08-19,24.7
2026-08-20,24.6
2026-08-21,25.55
2026-08-24,25.6
