time,close
2024-03-11,23.66
2024-03-12,24.34
2024-03-13,25.01
2024-03-14,25.01
2024-03-15,24.87
2024-03-18,26.61
2024-03-19,25.83
2024-03-20,25.45
2024-03-21,26.03
2024-03-22,25.79
2024-03-25,25.16
2024-03-26,25.5
2024-03-27,25.06
2024-03-28,24.77
2024-03-29,24.96
2024-04-01,24.82
2024-04-02,24.68
2024-04-03,24.63
2024-04-04,24.43
2024-04-05,23.85
2024-04-08,22.79
2024-04-09,23.37
2024-04-10,23.42
2024-04-11,23.08
2024-04-12,23.32
2024-04-15,21.73
2024-04-16,21.44
2024-04-17,21.25
2024-04-19,20.57
2024-04-22,21.63
2024-04-23,21.15
2024-04-24,21.78
2024-04-25,21.78
2024-04-26,21.68
2024-05-02,21.97
2024-05-03,22.6
2024-05-06,22.55
2024-05-07,22.55
2024-05-08,22.4
2024-05-09,22.07
2024-05-10,21.73
2024-05-13,21.49
2024-05-14,21.49
2024-05-15,21.58
2024-05-16,21.87
2024-05-17,22.31
2024-05-20,22.07
2024-05-21,22.36
2024-05-22,22.36
2024-05-23,22.21
2024-05-24,21.54
2024-05-27,21.54
2024-05-28,21.68
2024-05-29,21.39
2024-05-30,20.86
2024-05-31,21.0
2024-06-03,21.54
2024-06-04,21.34
2024-06-05,21.73
2024-06-06,21.73
2024-06-07,21.44
2024-06-10,21.34
2024-06-11,20.96
2024-06-12,21.1
2024-06-13,20.96
2024-06-14,20.72
2024-06-17,20.43
2024-06-18,20.38
2024-06-19,19.94
2024-06-20,19.56
2024-06-21,19.32
2024-06-24,19.27
2024-06-25,20.57
2024-06-26,20.09
2024-06-27,19.7
2024-06-28,19.75
2024-07-01,21.1
2024-07-02,20.96
2024-07-03,20.57
2024-07-04,20.52
2024-07-05,20.09
2024-07-08,19.6
2024-07-09,19.8
2024-07-10,19.85
2024-07-11,19.99
2024-07-12,20.04
2024-07-15,19.65
2024-07-16,19.51
2024-07-17,19.07
2024-07-18,19.46
2024-07-19,19.22
2024-07-22,19.36
2024-07-23,19.36
2024-07-24,19.46
2024-07-25,19.02
2024-07-26,18.64
2024-07-29,18.3
2024-07-30,18.11
2024-07-31,17.96
2024-08-01,17.58
2024-08-02,17.34
2024-08-05,16.23
2024-08-06,16.42
2024-08-07,17.38
2024-08-08,17.05
2024-08-09,16.9
2024-08-12,16.8
2024-08-13,16.85
2024-08-14,17.38
2024-08-15,17.19
2024-08-16,17.67
2024-08-19,17.67
2024-08-20,18.11
2024-08-21,18.25
2024-08-22,19.02
2024-08-23,18.83
2024-08-26,19.17
2024-08-27,19.36
2024-08-28,18.83
2024-08-29,18.59
2024-08-30,18.54
2024-09-04,19.02
2024-09-05,19.02
2024-09-06,19.41
2024-09-09,19.41
2024-09-10,18.54
2024-09-11,18.45
2024-09-12,18.35
2024-09-13,18.64
2024-09-16,18.25
2024-09-17,18.74
2024-09-18,18.49
2024-09-19,18.78
2024-09-20,18.83
2024-09-23,18.35
2024-09-24,18.4
2024-09-25,18.45
2024-09-26,18.54
2024-09-27,18.74
2024-09-30,18.45
2024-10-01,18.74
2024-10-02,18.49
2024-10-03,18.01
2024-10-04,17.67
2024-10-07,17.62
2024-10-08,17.72
2024-10-09,17.87
2024-10-10,17.82
2024-10-11,18.35
2024-10-14,18.49
2024-10-15,18.16
2024-10-16,18.06
2024-10-17,18.11
2024-10-18,18.11
2024-10-21,18.45
2024-10-22,17.96
2024-10-23,18.01
2024-10-24,17.53
2024-10-25,17.53
2024-10-28,17.48
2024-10-29,17.53
2024-10-30,17.58
2024-10-31,17.24
2024-11-01,17.14
2024-11-04,17.09
2024-11-05,17.14
2024-11-06,17.43
2024-11-07,17.43
2024-11-08,17.34
2024-11-11,17.38
2024-11-12,17.38
2024-11-13,17.48
2024-11-14,17.48
2024-11-15,17.58
2024-11-18,17.48
2024-11-19,17.29
2024-11-20,17.29
2024-11-21,17.58
2024-11-22,17.48
2024-11-25,17.62
2024-11-26,17.67
2024-11-27,17.48
2024-11-28,17.38
2024-11-29,17.29
2024-12-02,17.24
2024-12-03,17.09
2024-12-04,16.71
2024-12-05,17.24
2024-12-06,17.09
2024-12-09,17.09
2024-12-10,16.95
2024-12-11,16.76
2024-12-12,16.71
2024-12-13,16.76
2024-12-16,16.71
2024-12-17,16.56
2024-12-18,16.51
2024-12-19,16.47
2024-12-20,16.47
2024-12-23,16.47
2024-12-24,16.47
2024-12-25,16.71
2024-12-26,16.56
2024-12-27,16.56
2024-12-30,16.56
2024-12-31,16.56
2025-01-02,16.71
2025-01-03,16.61
2025-01-06,16.56
2025-01-07,16.37
2025-01-08,16.37
2025-01-09,16.42
2025-01-10,16.27
2025-01-13,16.13
2025-01-14,15.55
2025-01-15,15.94
2025-01-16,15.98
2025-01-17,15.98
2025-01-20,16.03
2025-01-21,16.03
2025-01-22,15.74
2025-01-23,15.89
2025-01-24,15.98
2025-02-03,15.74
2025-02-04,15.74
2025-02-05,16.27
2025-02-06,16.13
2025-02-07,16.27
2025-02-10,16.03
2025-02-11,15.84
2025-02-12,15.84
2025-02-13,16.08
2025-02-14,16.03
2025-02-17,15.89
2025-02-18,16.27
2025-02-19,16.61
2025-02-20,16.76
2025-02-21,16.66
2025-02-24,16.76
2025-02-25,16.66
2025-02-26,16.56
2025-02-27,16.61
2025-02-28,16.8
2025-03-03,17.09
2025-03-04,17.09
2025-03-05,17.14
2025-03-06,17.24
2025-03-07,17.58
2025-03-10,17.62
2025-03-11,17.58
2025-03-12,17.67
2025-03-13,18.16
2025-03-14,18.11
2025-03-17,18.06
2025-03-18,17.82
2025-03-19,17.82
2025-03-20,17.77
2025-03-21,17.82
2025-03-24,18.49
2025-03-25,19.12
2025-03-26,19.27
2025-03-27,18.98
2025-03-28,18.83
2025-03-31,18.49
