time,close
2024-03-11,8.88
2024-03-12,8.96
2024-03-13,8.96
2024-03-14,9.39
2024-03-15,9.52
2024-03-18,9.26
2024-03-19,8.96
2024-03-20,9.05
2024-03-21,9.01
2024-03-22,8.96
2024-03-25,8.8
2024-03-26,8.88
2024-03-27,9.05
2024-03-28,9.14
2024-03-29,8.92
2024-04-01,8.92
2024-04-02,8.96
2024-04-03,8.71
2024-04-04,8.58
2024-04-05,8.15
2024-04-08,7.68
2024-04-09,7.86
2024-04-10,7.82
2024-04-11,7.76
2024-04-12,7.86
2024-04-15,7.68
2024-04-16,8.09
2024-04-17,7.99
2024-04-19,7.8
2024-04-22,7.85
2024-04-23,7.68
2024-04-24,7.76
2024-04-25,7.8
2024-04-26,7.75
2024-05-02,7.86
2024-05-03,7.77
2024-05-06,7.86
2024-05-07,8.32
2024-05-08,8.15
2024-05-09,8.28
2024-05-10,8.45
2024-05-13,8.2
2024-05-14,7.92
2024-05-15,8.06
2024-05-16,8.06
2024-05-17,8.03
2024-05-20,7.98
2024-05-21,8.03
2024-05-22,8.15
2024-05-23,8.17
2024-05-24,7.82
2024-05-27,7.68
2024-05-28,7.98
2024-05-29,7.98
2024-05-30,7.97
2024-05-31,7.84
2024-06-03,7.86
2024-06-04,7.87
2024-06-05,7.82
2024-06-06,8.07
2024-06-07,8.62
2024-06-10,8.71
2024-06-11,8.45
2024-06-12,8.5
2024-06-13,8.36
2024-06-14,7.86
2024-06-17,7.98
2024-06-18,8.1
2024-06-19,8.01
2024-06-20,7.9
2024-06-21,7.9
2024-06-24,8.07
2024-06-25,8.15
2024-06-26,8.14
2024-06-27,8.01
2024-06-28,7.86
2024-07-01,7.85
2024-07-02,7.85
2024-07-03,7.86
2024-07-04,8.04
2024-07-05,7.87
2024-07-08,8.42
2024-07-09,8.47
2024-07-10,8.3
2024-07-11,8.18
2024-07-12,8.45
2024-07-15,9.01
2024-07-16,9.22
2024-07-17,8.71
2024-07-18,9.31
2024-07-19,9.44
2024-07-22,9.44
2024-07-23,8.8
2024-07-24,8.2
2024-07-25,8.11
2024-07-26,8.24
2024-07-29,8.21
2024-07-30,8.07
2024-07-31,8.11
2024-08-01,7.77
2024-08-02,7.92
2024-08-05,7.79
2024-08-06,7.83
2024-08-07,7.86
2024-08-08,7.82
2024-08-09,7.84
2024-08-12,7.79
2024-08-13,7.79
2024-08-14,7.76
2024-08-15,7.74
2024-08-16,7.83
2024-08-19,7.81
2024-08-20,7.83
2024-08-21,7.91
2024-08-22,8.28
2024-08-23,8.21
2024-08-26,8.15
2024-08-27,7.98
2024-08-28,7.92
2024-08-29,7.86
2024-08-30,7.8
2024-09-04,7.78
2024-09-05,7.78
2024-09-06,7.75
2024-09-09,7.86
2024-09-10,7.85
2024-09-11,7.84
2024-09-12,7.89
2024-09-13,7.78
2024-09-16,7.74
2024-09-17,7.86
2024-09-18,7.94
2024-09-19,7.94
2024-09-20,7.86
2024-09-23,7.75
2024-09-24,7.73
2024-09-25,7.92
2024-09-26,7.98
2024-09-27,7.86
2024-09-30,7.79
2024-10-01,7.85
2024-10-02,7.93
2024-10-03,7.92
2024-10-04,7.93
2024-10-07,7.86
2024-10-08,7.86
2024-10-09,7.94
2024-10-10,8.11
2024-10-11,8.26
